Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,14.873,14.873,14.767,14.767,10882,0
2017-09-05,17:00:00,14.732,14.732,14.661,14.676,13687,0
2017-09-05,18:00:00,14.691,14.7,14.681,14.681,2387,0
2017-09-05,19:00:00,14.661,14.661,14.565,14.587,7555,0
2017-09-05,20:00:00,14.565,14.584,14.545,14.546,20176,0
2017-09-05,21:00:00,14.614,14.628,14.584,14.62,11927,0
2017-09-05,22:00:00,14.603,14.603,14.565,14.584,15496,0
2017-09-06,16:00:00,14.652,14.671,14.652,14.658,5526,0
2017-09-06,17:00:00,14.671,14.679,14.671,14.678,3216,0
2017-09-06,18:00:00,14.676,14.689,14.671,14.683,1038,0
2017-09-06,19:00:00,14.689,14.707,14.689,14.707,1245,0
2017-09-06,20:00:00,14.701,14.728,14.7,14.709,1764,0
2017-09-06,21:00:00,14.716,14.729,14.711,14.711,4315,0
2017-09-06,22:00:00,14.709,14.718,14.69,14.69,2676,0
2017-09-07,16:00:00,14.777,14.825,14.753,14.777,6494,0
2017-09-07,17:00:00,14.767,14.767,14.748,14.758,23602,0
2017-09-07,18:00:00,14.758,14.777,14.743,14.767,41193,0
2017-09-07,19:00:00,14.772,14.806,14.767,14.806,13119,0
2017-09-07,20:00:00,14.796,14.806,14.787,14.806,15755,0
2017-09-07,21:00:00,14.806,14.816,14.801,14.816,3320,0
2017-09-07,22:00:00,14.812,14.835,14.806,14.835,5944,0
2017-09-08,16:00:00,14.835,14.835,14.785,14.785,1596,0
2017-09-08,17:00:00,14.747,14.748,14.73,14.73,1929,0
2017-09-08,18:00:00,14.748,14.758,14.714,14.717,3178,0
2017-09-08,19:00:00,14.69,14.69,14.69,14.69,207,0
2017-09-08,20:00:00,14.695,14.695,14.661,14.671,4196,0
2017-09-08,21:00:00,14.655,14.679,14.652,14.666,3061,0
2017-09-08,22:00:00,14.661,14.681,14.652,14.681,6166,0
2017-09-11,16:00:00,14.748,14.816,14.748,14.816,15960,0
2017-09-11,17:00:00,14.825,14.825,14.806,14.817,6476,0
2017-09-11,18:00:00,14.825,14.835,14.825,14.835,17137,0
