Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,100.8,100.81,100.8,100.81,32862,0
2017-09-06,17:00:00,100.81,100.81,100.79,100.8,130257,0
2017-09-06,18:00:00,100.8,100.81,100.8,100.81,97159,0
2017-09-06,19:00:00,100.81,100.81,100.8,100.81,47132,0
2017-09-06,20:00:00,100.81,100.81,100.8,100.81,26400,0
2017-09-06,21:00:00,100.81,100.81,100.78,100.79,441041,0
2017-09-06,22:00:00,100.78,100.8,100.78,100.78,83281,0
2017-09-07,16:00:00,100.8,100.81,100.8,100.81,30486,0
2017-09-07,17:00:00,100.81,100.82,100.81,100.82,51710,0
2017-09-07,18:00:00,100.82,100.82,100.81,100.82,245827,0
2017-09-07,19:00:00,100.82,100.82,100.81,100.82,64070,0
2017-09-07,20:00:00,100.81,100.82,100.81,100.81,232332,0
2017-09-07,21:00:00,100.81,100.82,100.81,100.81,110487,0
2017-09-07,22:00:00,100.81,100.82,100.81,100.82,82363,0
2017-09-08,16:00:00,100.82,100.82,100.81,100.82,29176,0
2017-09-08,17:00:00,100.82,100.82,100.77,100.8,80292,0
2017-09-08,18:00:00,100.79,100.81,100.79,100.81,270732,0
2017-09-08,19:00:00,100.8,100.82,100.8,100.81,75206,0
2017-09-08,20:00:00,100.81,100.82,100.79,100.8,126275,0
2017-09-08,21:00:00,100.81,100.82,100.8,100.81,81358,0
2017-09-08,22:00:00,100.81,100.82,100.79,100.81,217892,0
2017-09-11,16:00:00,100.79,100.81,100.79,100.8,14510,0
2017-09-11,17:00:00,100.8,100.8,100.79,100.8,15458,0
2017-09-11,18:00:00,100.79,100.8,100.79,100.8,48337,0
2017-09-11,19:00:00,100.8,100.8,100.78,100.79,57590,0
2017-09-11,20:00:00,100.79,100.79,100.77,100.77,61474,0
2017-09-11,21:00:00,100.78,100.78,100.77,100.77,95113,0
2017-09-11,22:00:00,100.78,100.79,100.76,100.78,291980,0
2017-09-12,16:00:00,100.79,100.8,100.79,100.8,25948,0
2017-09-12,17:00:00,100.8,100.8,100.79,100.8,41313,0
2017-09-12,18:00:00,100.79,100.8,100.79,100.8,44165,0
2017-09-12,19:00:00,100.8,100.8,100.78,100.78,101171,0
2017-09-12,20:00:00,100.79,100.79,100.77,100.78,69331,0
2017-09-12,21:00:00,100.78,100.79,100.77,100.78,53264,0
2017-09-12,22:00:00,100.78,100.79,100.77,100.78,77796,0
2017-09-13,16:00:00,100.8,100.8,100.79,100.8,14369,0
2017-09-13,17:00:00,100.79,100.8,100.79,100.8,47817,0
2017-09-13,18:00:00,100.79,100.8,100.79,100.8,48035,0
2017-09-13,19:00:00,100.8,100.8,100.79,100.79,17555,0
2017-09-13,20:00:00,100.79,100.8,100.79,100.8,29119,0
2017-09-13,21:00:00,100.8,100.81,100.79,100.81,128733,0
2017-09-13,22:00:00,100.81,100.81,100.8,100.81,72276,0
2017-09-14,16:00:00,100.8,100.81,100.79,100.8,29597,0
2017-09-14,17:00:00,100.8,100.81,100.8,100.8,21480,0
2017-09-14,18:00:00,100.8,100.81,100.79,100.81,72865,0
2017-09-14,19:00:00,100.8,100.81,100.8,100.81,20434,0
2017-09-14,20:00:00,100.81,100.81,100.79,100.8,83695,0
2017-09-14,21:00:00,100.81,100.82,100.8,100.81,49704,0
2017-09-14,22:00:00,100.82,100.82,100.8,100.8,63854,0
2017-09-15,16:00:00,100.79,100.81,100.79,100.8,12933,0
2017-09-15,17:00:00,100.81,100.81,100.8,100.8,23552,0
2017-09-15,18:00:00,100.8,100.81,100.79,100.8,31057,0
2017-09-15,19:00:00,100.81,100.81,100.79,100.81,36612,0
2017-09-15,20:00:00,100.81,100.81,100.79,100.8,17340,0
2017-09-15,21:00:00,100.8,100.81,100.79,100.8,60208,0
2017-09-15,22:00:00,100.8,100.81,100.79,100.8,121708,0
2017-09-18,16:00:00,100.8,100.82,100.8,100.8,30454,0
2017-09-18,17:00:00,100.8,100.82,100.79,100.79,56713,0
2017-09-18,18:00:00,100.79,100.81,100.79,100.81,22372,0
2017-09-18,19:00:00,100.8,100.81,100.8,100.81,51858,0
2017-09-18,20:00:00,100.8,100.81,100.8,100.81,17600,0
2017-09-18,21:00:00,100.81,100.81,100.8,100.8,76733,0
2017-09-18,22:00:00,100.8,100.82,100.8,100.81,173204,0
2017-09-19,16:00:00,100.81,100.82,100.81,100.81,12323,0
2017-09-19,17:00:00,100.82,100.82,100.81,100.82,37655,0
2017-09-19,18:00:00,100.82,100.82,100.81,100.81,64824,0
2017-09-19,19:00:00,100.82,100.83,100.81,100.82,25165,0
2017-09-19,20:00:00,100.81,100.82,100.81,100.82,51451,0
2017-09-19,21:00:00,100.82,100.82,100.8,100.81,67290,0
2017-09-19,22:00:00,100.81,100.82,100.81,100.82,64061,0
2017-09-20,16:00:00,100.82,100.83,100.82,100.82,19332,0
2017-09-20,17:00:00,100.82,100.83,100.82,100.82,23642,0
2017-09-20,18:00:00,100.83,100.83,100.82,100.83,30020,0
2017-09-20,19:00:00,100.82,100.83,100.82,100.82,31867,0
