Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-01,16:00:00,23.775,23.785,23.775,23.785,2660,0
2017-09-01,17:00:00,23.732,23.794,23.732,23.794,1242,0
2017-09-01,18:00:00,23.854,23.861,23.73,23.775,2074,0
2017-09-01,19:00:00,23.825,23.825,23.825,23.825,105,0
2017-09-01,20:00:00,23.861,23.861,23.789,23.855,3522,0
2017-09-01,21:00:00,23.841,23.841,23.837,23.837,754,0
2017-09-01,22:00:00,23.856,23.872,23.833,23.833,3137,0
2017-09-05,16:00:00,23.909,23.909,23.819,23.819,11058,0
2017-09-05,17:00:00,23.785,23.803,23.602,23.602,12989,0
2017-09-05,18:00:00,23.603,23.698,23.603,23.627,3261,0
2017-09-05,19:00:00,23.593,23.622,23.545,23.545,2560,0
2017-09-05,20:00:00,23.539,23.555,23.526,23.548,996,0
2017-09-05,21:00:00,23.545,23.545,23.526,23.526,1256,0
2017-09-05,22:00:00,23.521,23.535,23.479,23.535,7694,0
2017-09-06,16:00:00,23.688,23.688,23.522,23.522,1297,0
2017-09-06,17:00:00,23.568,23.591,23.55,23.591,2631,0
2017-09-06,18:00:00,23.555,23.555,23.507,23.507,1790,0
2017-09-06,19:00:00,23.52,23.52,23.449,23.449,3876,0
2017-09-06,20:00:00,23.47,23.506,23.469,23.469,2570,0
2017-09-06,21:00:00,23.492,23.506,23.492,23.506,5596,0
2017-09-06,22:00:00,23.497,23.523,23.487,23.507,12249,0
2017-09-07,16:00:00,23.507,23.525,23.475,23.475,1876,0
2017-09-07,17:00:00,23.487,23.517,23.449,23.514,1779,0
2017-09-07,18:00:00,23.526,23.526,23.507,23.507,1021,0
2017-09-07,19:00:00,23.497,23.506,23.449,23.459,2530,0
2017-09-07,20:00:00,23.467,23.496,23.449,23.449,3454,0
2017-09-07,21:00:00,23.469,23.479,23.449,23.469,5472,0
2017-09-07,22:00:00,23.469,23.479,23.363,23.449,6616,0
2017-09-08,16:00:00,23.727,23.727,23.449,23.459,8916,0
2017-09-08,17:00:00,23.469,23.469,23.421,23.44,7505,0
2017-09-08,18:00:00,23.421,23.459,23.421,23.449,985,0
2017-09-08,19:00:00,23.49,23.507,23.479,23.507,899,0
2017-09-08,20:00:00,23.512,23.512,23.449,23.449,1688,0
2017-09-08,21:00:00,23.462,23.487,23.462,23.487,7284,0
2017-09-08,22:00:00,23.469,23.487,23.432,23.487,1455,0
2017-09-11,16:00:00,23.459,23.579,23.459,23.579,2049,0
2017-09-11,17:00:00,23.584,23.622,23.545,23.564,1738,0
2017-09-11,18:00:00,23.598,23.64,23.584,23.602,4931,0
2017-09-11,19:00:00,23.602,23.698,23.602,23.671,2294,0
2017-09-11,20:00:00,23.634,23.688,23.579,23.688,3973,0
2017-09-11,21:00:00,23.688,23.688,23.66,23.66,2336,0
2017-09-11,22:00:00,23.677,23.678,23.626,23.626,2853,0
2017-09-12,16:00:00,23.64,23.813,23.64,23.642,2534,0
2017-09-12,17:00:00,23.677,23.697,23.66,23.66,3153,0
2017-09-12,18:00:00,23.654,23.677,23.654,23.677,1776,0
2017-09-12,19:00:00,23.746,23.746,23.708,23.708,2444,0
2017-09-12,20:00:00,23.708,23.727,23.708,23.714,5879,0
2017-09-12,21:00:00,23.707,23.707,23.637,23.661,2509,0
2017-09-12,22:00:00,23.695,23.707,23.632,23.707,2521,0
2017-09-13,16:00:00,23.564,23.564,23.469,23.526,5014,0
2017-09-13,17:00:00,23.497,23.497,23.402,23.402,1175,0
2017-09-13,18:00:00,23.497,23.593,23.497,23.584,5746,0
2017-09-13,19:00:00,23.543,23.584,23.543,23.584,1471,0
2017-09-13,20:00:00,23.526,23.545,23.497,23.517,3891,0
2017-09-13,21:00:00,23.506,23.507,23.449,23.449,3327,0
2017-09-13,22:00:00,23.479,23.487,23.431,23.431,10067,0
2017-09-14,16:00:00,23.44,23.44,23.44,23.44,1066,0
2017-09-14,17:00:00,23.512,23.512,23.44,23.44,3320,0
2017-09-14,18:00:00,23.475,23.526,23.469,23.479,4118,0
2017-09-14,19:00:00,23.479,23.479,23.431,23.431,2299,0
2017-09-14,20:00:00,23.507,23.512,23.464,23.487,3528,0
2017-09-14,21:00:00,23.459,23.506,23.459,23.492,2016,0
2017-09-14,22:00:00,23.479,23.497,23.469,23.497,1049,0
2017-09-15,16:00:00,23.497,23.598,23.497,23.497,2506,0
2017-09-15,17:00:00,23.545,23.545,23.514,23.514,638,0
2017-09-15,18:00:00,23.545,23.622,23.535,23.585,1749,0
2017-09-15,19:00:00,23.594,23.594,23.579,23.579,230,0
2017-09-15,20:00:00,23.593,23.67,23.508,23.584,24154,0
2017-09-15,21:00:00,23.584,23.593,23.574,23.584,626,0
2017-09-15,22:00:00,23.545,23.594,23.545,23.594,640,0
2017-09-18,16:00:00,23.564,23.6,23.519,23.519,3252,0
2017-09-18,17:00:00,23.602,23.602,23.602,23.602,105,0
2017-09-18,18:00:00,23.64,23.698,23.622,23.694,4807,0
2017-09-18,19:00:00,23.688,23.708,23.688,23.708,3212,0
