Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,42.24,42.54,41.691,41.98,652617,0
2017-09-06,17:00:00,41.991,42.669,41.921,42.36,893432,0
2017-09-06,18:00:00,42.41,42.639,42.29,42.448,509368,0
2017-09-06,19:00:00,42.479,42.479,40.774,40.943,873775,0
2017-09-06,20:00:00,40.949,40.949,40.076,40.455,1139140,0
2017-09-06,21:00:00,40.445,40.694,39.986,40.524,491179,0
2017-09-06,22:00:00,40.534,40.983,40.395,40.874,657615,0
2017-09-07,16:00:00,42.09,42.549,41.822,42.26,804146,0
2017-09-07,17:00:00,42.244,43.157,42.18,42.9,1431881,0
2017-09-07,18:00:00,42.882,43.916,42.882,43.437,1457436,0
2017-09-07,19:00:00,43.457,43.696,42.998,43.008,521862,0
2017-09-07,20:00:00,43.058,43.307,42.785,42.975,529288,0
2017-09-07,21:00:00,42.988,43.317,42.973,43.058,405032,0
2017-09-07,22:00:00,43.068,43.726,43.038,43.646,1027105,0
2017-09-08,16:00:00,43.557,43.616,42.11,42.364,1088726,0
2017-09-08,17:00:00,42.38,42.678,41.632,41.691,1378049,0
2017-09-08,18:00:00,41.671,42.27,41.642,42.234,638944,0
2017-09-08,19:00:00,42.25,42.32,41.492,41.731,967744,0
2017-09-08,20:00:00,41.741,41.941,41.302,41.689,601966,0
2017-09-08,21:00:00,41.661,41.761,41.332,41.642,423581,0
2017-09-08,22:00:00,41.602,42.25,41.602,42.24,944301,0
2017-09-11,16:00:00,39.906,41.472,39.607,41.083,1174891,0
2017-09-11,17:00:00,41.083,41.193,39.986,40.115,895645,0
2017-09-11,18:00:00,40.115,40.195,39.637,39.936,776810,0
2017-09-11,19:00:00,39.932,39.996,39.538,39.916,517137,0
2017-09-11,20:00:00,39.917,39.917,38.919,38.929,844343,0
2017-09-11,21:00:00,38.958,39.268,38.73,38.819,696640,0
2017-09-11,22:00:00,38.819,38.839,38.4,38.679,1479078,0
2017-09-12,16:00:00,38.31,38.968,37.822,38.929,1022251,0
2017-09-12,17:00:00,38.966,39.367,38.73,38.889,875697,0
2017-09-12,18:00:00,38.899,39.028,38.53,38.924,479393,0
2017-09-12,19:00:00,38.937,39.028,38.43,39.018,305534,0
2017-09-12,20:00:00,38.998,39.178,38.769,38.909,255774,0
2017-09-12,21:00:00,38.833,39.627,38.833,39.506,571576,0
2017-09-12,22:00:00,39.507,39.736,39.329,39.427,674444,0
2017-09-13,16:00:00,39.048,39.228,38.49,38.579,720953,0
2017-09-13,17:00:00,38.54,38.799,37.752,38.101,1253852,0
2017-09-13,18:00:00,38.061,38.21,37.752,37.925,658015,0
