Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-09,16:00:00,41,41,40.9,40.9,530,0
2017-08-09,17:00:00,40.92,41.06,40.92,41.03,302,0
2017-08-09,18:00:00,41.07,41.07,41.04,41.04,200,0
2017-08-09,19:00:00,41.179,41.179,41.175,41.175,200,0
2017-08-09,21:00:00,41.107,41.107,41.03,41.03,1467,0
2017-08-09,22:00:00,41.085,41.209,41.085,41.209,4250,0
2017-08-10,16:00:00,40.953,40.953,40.915,40.915,1131,0
2017-08-10,17:00:00,40.85,40.85,40.781,40.79,2262,0
2017-08-10,18:00:00,40.856,40.856,40.732,40.792,2513,0
2017-08-10,19:00:00,40.622,40.622,40.622,40.622,922,0
2017-08-10,20:00:00,40.67,40.67,40.67,40.67,368,0
2017-08-10,21:00:00,40.639,40.731,40.639,40.707,739,0
2017-08-11,16:00:00,40.542,40.542,40.491,40.491,407,0
2017-08-11,17:00:00,40.532,40.532,40.532,40.532,100,0
2017-08-11,18:00:00,40.622,40.622,40.622,40.622,100,0
2017-08-11,19:00:00,40.662,40.702,40.662,40.702,317,0
2017-08-11,21:00:00,40.697,40.755,40.697,40.755,537,0
2017-08-11,22:00:00,40.6,40.683,40.6,40.662,2056,0
2017-08-14,19:00:00,41.234,41.234,41.234,41.234,200,0
2017-08-14,20:00:00,41.219,41.219,41.219,41.219,100,0
2017-08-14,21:00:00,41.244,41.244,41.244,41.244,118,0
2017-08-14,22:00:00,41.303,41.303,41.303,41.303,100,0
2017-08-15,16:00:00,41.277,41.277,41.14,41.14,302,0
2017-08-15,17:00:00,41.1,41.16,41.1,41.15,9214,0
2017-08-15,18:00:00,41.14,41.17,41.14,41.17,200,0
2017-08-15,19:00:00,41.168,41.228,41.168,41.224,367,0
2017-08-15,20:00:00,41.199,41.199,41.199,41.199,1139,0
2017-08-15,21:00:00,41.212,41.224,41.212,41.224,905,0
2017-08-15,22:00:00,41.229,41.259,41.16,41.16,16932,0
2017-08-16,17:00:00,41.268,41.348,41.268,41.348,602,0
2017-08-16,18:00:00,41.348,41.408,41.328,41.398,1507,0
2017-08-16,19:00:00,41.398,41.448,41.368,41.398,1808,0
2017-08-16,20:00:00,41.398,41.398,41.298,41.322,1206,0
2017-08-16,21:00:00,41.298,41.378,41.229,41.378,2119,0
2017-08-16,22:00:00,41.348,41.368,41.322,41.368,2683,0
2017-08-17,16:00:00,41.278,41.278,41.27,41.27,748,0
2017-08-17,17:00:00,41.179,41.179,41.01,41.01,2028,0
2017-08-17,18:00:00,41.07,41.07,41.07,41.07,302,0
2017-08-17,19:00:00,41.029,41.029,41.029,41.029,100,0
2017-08-17,20:00:00,40.88,40.916,40.88,40.916,578,0
2017-08-17,21:00:00,40.88,40.88,40.873,40.873,362,0
2017-08-17,22:00:00,40.772,40.772,40.772,40.772,567,0
2017-08-18,16:00:00,40.672,40.672,40.562,40.562,200,0
2017-08-18,17:00:00,40.522,40.652,40.522,40.652,200,0
2017-08-18,18:00:00,40.672,40.682,40.582,40.582,502,0
2017-08-18,20:00:00,40.899,40.899,40.8,40.8,440,0
2017-08-21,16:00:00,40.721,40.721,40.668,40.668,752,0
2017-08-21,17:00:00,40.562,40.574,40.562,40.574,402,0
2017-08-21,18:00:00,40.502,40.672,40.502,40.672,1273,0
2017-08-21,21:00:00,40.622,40.731,40.622,40.731,319,0
2017-08-21,22:00:00,40.731,40.731,40.731,40.731,251,0
2017-08-22,16:00:00,40.82,40.82,40.82,40.82,142,0
2017-08-22,17:00:00,41.03,41.16,40.98,41.16,2523,0
2017-08-22,18:00:00,41.14,41.199,41.14,41.179,847,0
2017-08-22,20:00:00,41.266,41.277,41.266,41.277,1608,0
2017-08-22,21:00:00,41.297,41.308,41.288,41.288,4157,0
2017-08-22,22:00:00,41.338,41.378,41.338,41.338,2111,0
2017-08-23,16:00:00,41.259,41.259,41.12,41.12,1095,0
2017-08-23,17:00:00,41.13,41.13,41.05,41.12,700,0
2017-08-23,18:00:00,41.12,41.12,41.116,41.116,200,0
2017-08-23,19:00:00,41.09,41.09,41.09,41.09,100,0
2017-08-23,20:00:00,41.01,41.01,41.01,41.01,100,0
2017-08-23,21:00:00,41.05,41.05,41.05,41.05,100,0
2017-08-23,22:00:00,41.249,41.249,41.249,41.249,129,0
2017-08-24,16:00:00,41.189,41.189,41.14,41.15,1960,0
2017-08-24,17:00:00,41.05,41.11,41.05,41.11,3080,0
2017-08-24,18:00:00,41.11,41.11,41.08,41.08,200,0
2017-08-24,19:00:00,41.02,41.02,41.02,41.02,100,0
2017-08-24,21:00:00,41.093,41.093,41.093,41.093,302,0
2017-08-24,22:00:00,41.098,41.14,41.06,41.06,905,0
2017-08-25,16:00:00,41.318,41.318,41.318,41.318,188,0
2017-08-25,17:00:00,41.293,41.293,41.17,41.17,389,0
2017-08-25,19:00:00,41.145,41.145,41.145,41.145,205,0
2017-08-25,20:00:00,41.11,41.11,41.11,41.11,100,0
2017-08-25,21:00:00,41.13,41.179,41.13,41.179,1922,0
2017-08-28,16:00:00,41.209,41.209,41.209,41.209,100,0
2017-08-28,17:00:00,41.219,41.229,41.189,41.229,724,0
2017-08-28,21:00:00,41.205,41.205,41.205,41.205,100,0
2017-08-28,22:00:00,41.192,41.234,41.192,41.229,577,0
2017-08-29,16:00:00,40.93,40.93,40.93,40.93,329,0
2017-08-29,17:00:00,41.08,41.08,41.08,41.08,124,0
2017-08-29,18:00:00,41.179,41.249,41.145,41.209,1206,0
2017-08-29,19:00:00,41.242,41.242,41.239,41.239,363,0
2017-08-29,20:00:00,41.219,41.219,41.219,41.219,100,0
2017-08-29,21:00:00,41.249,41.249,41.229,41.229,200,0
2017-08-29,22:00:00,41.308,41.308,41.308,41.308,100,0
2017-08-30,18:00:00,41.428,41.528,41.428,41.503,614,0
2017-08-30,19:00:00,41.486,41.548,41.486,41.548,422,0
2017-08-30,20:00:00,41.608,41.608,41.608,41.608,100,0
2017-08-30,21:00:00,41.676,41.676,41.638,41.638,200,0
2017-08-30,22:00:00,41.676,41.726,41.508,41.726,3796,0
2017-08-31,16:00:00,41.815,41.815,41.815,41.815,111,0
2017-08-31,18:00:00,41.851,41.851,41.851,41.851,120,0
2017-08-31,19:00:00,41.9,41.915,41.9,41.915,1888,0
2017-08-31,20:00:00,41.893,41.945,41.893,41.94,5642,0
2017-08-31,21:00:00,41.945,41.945,41.945,41.945,100,0
2017-08-31,22:00:00,41.985,41.985,41.915,41.915,200,0
2017-09-01,18:00:00,42.084,42.084,42.061,42.061,420,0
2017-09-01,19:00:00,42.084,42.113,42.084,42.113,1783,0
2017-09-01,20:00:00,42.084,42.094,42.045,42.045,759,0
2017-09-01,21:00:00,42.045,42.104,42.045,42.104,804,0
2017-09-01,22:00:00,42.094,42.096,42.076,42.096,580,0
2017-09-05,17:00:00,41.915,42.001,41.915,42.001,18646,0
2017-09-05,18:00:00,41.884,41.945,41.855,41.855,583,0
2017-09-05,19:00:00,41.726,41.726,41.676,41.726,905,0
2017-09-05,20:00:00,41.695,41.756,41.695,41.736,764,0
2017-09-05,21:00:00,41.851,41.851,41.851,41.851,282,0
2017-09-05,22:00:00,41.86,41.86,41.815,41.815,552,0
2017-09-06,16:00:00,41.895,41.895,41.895,41.895,200,0
2017-09-06,17:00:00,41.845,41.845,41.845,41.845,100,0
2017-09-06,18:00:00,41.766,41.766,41.766,41.766,176,0
2017-09-06,19:00:00,41.796,41.796,41.796,41.796,200,0
2017-09-06,20:00:00,41.928,41.928,41.928,41.928,1507,0
2017-09-06,22:00:00,42.043,42.043,42.043,42.043,135,0
2017-09-07,16:00:00,41.965,41.965,41.965,41.965,44516,0
2017-09-07,17:00:00,42.031,42.031,42.031,42.031,633,0
2017-09-07,18:00:00,42.149,42.149,42.149,42.149,200,0
2017-09-07,19:00:00,42.154,42.194,42.154,42.154,2538,0
2017-09-07,21:00:00,42.193,42.193,42.189,42.189,331,0
2017-09-07,22:00:00,42.224,42.234,42.224,42.224,1198,0
2017-09-08,16:00:00,42.094,42.136,42.094,42.136,759,0
2017-09-08,18:00:00,42.245,42.265,42.241,42.241,587,0
2017-09-08,21:00:00,42.249,42.253,42.249,42.253,200,0
2017-09-08,22:00:00,42.142,42.142,42.142,42.142,237,0
2017-09-11,17:00:00,42.413,42.473,42.373,42.373,502,0
2017-09-11,18:00:00,42.437,42.443,42.423,42.443,1436,0
2017-09-11,19:00:00,42.503,42.503,42.503,42.503,100,0
2017-09-11,20:00:00,42.542,42.542,42.542,42.542,100,0
2017-09-11,21:00:00,42.552,42.552,42.542,42.542,200,0
2017-09-11,22:00:00,42.542,42.542,42.542,42.542,100,0
2017-09-12,17:00:00,42.487,42.487,42.443,42.453,11525,0
2017-09-12,20:00:00,42.494,42.513,42.453,42.478,855,0
2017-09-12,21:00:00,42.503,42.503,42.453,42.453,502,0
2017-09-12,22:00:00,42.552,42.552,42.504,42.519,529,0
2017-09-13,16:00:00,42.513,42.513,42.513,42.513,100,0
2017-09-13,17:00:00,42.533,42.533,42.533,42.533,100,0
2017-09-13,18:00:00,42.502,42.502,42.502,42.502,107,0
2017-09-13,19:00:00,42.484,42.484,42.484,42.484,117,0
2017-09-13,20:00:00,42.542,42.542,42.54,42.54,200,0
2017-09-13,21:00:00,42.493,42.493,42.493,42.493,649,0
2017-09-13,22:00:00,42.483,42.572,42.483,42.572,469,0
2017-09-14,16:00:00,42.443,42.443,42.423,42.423,409,0
2017-09-14,18:00:00,42.497,42.497,42.497,42.497,451,0
2017-09-14,21:00:00,42.508,42.508,42.507,42.507,524,0
2017-09-15,16:00:00,42.483,42.483,42.483,42.483,199,0
2017-09-15,17:00:00,42.444,42.444,42.444,42.444,2136,0
2017-09-15,18:00:00,42.533,42.542,42.533,42.542,3416,0
2017-09-15,21:00:00,42.536,42.597,42.483,42.597,1223,0
2017-09-18,17:00:00,42.74,42.74,42.74,42.74,175,0
2017-09-18,18:00:00,42.792,42.792,42.772,42.79,7374,0
2017-09-18,19:00:00,42.77,42.77,42.77,42.77,301,0
2017-09-18,20:00:00,42.727,42.727,42.727,42.727,100,0
2017-09-18,21:00:00,42.702,42.702,42.672,42.672,1705,0
2017-09-18,22:00:00,42.626,42.626,42.592,42.592,401,0
2017-09-19,17:00:00,42.682,42.682,42.622,42.622,390,0
2017-09-19,18:00:00,42.602,42.657,42.602,42.657,848,0
2017-09-19,19:00:00,42.668,42.692,42.668,42.688,1805,0
2017-09-19,20:00:00,42.663,42.663,42.663,42.663,125,0
2017-09-19,21:00:00,42.672,42.692,42.672,42.692,1504,0
2017-09-19,22:00:00,42.642,42.742,42.642,42.742,2195,0
2017-09-20,16:00:00,42.642,42.642,42.642,42.642,351,0
2017-09-20,17:00:00,42.629,42.629,42.408,42.592,543,0
2017-09-20,18:00:00,42.582,42.582,42.582,42.582,200,0
2017-09-20,19:00:00,42.606,42.612,42.606,42.612,200,0
2017-09-20,20:00:00,42.621,42.621,42.621,42.621,100,0
