Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-23,16:00:00,57.023,57.023,57.023,57.023,131,0
2017-06-23,17:00:00,57.176,57.196,57.108,57.178,888,0
2017-06-23,18:00:00,57.206,57.206,56.969,56.969,508,0
2017-06-23,19:00:00,57.245,57.27,57.245,57.27,1037,0
2017-06-23,20:00:00,57.255,57.284,57.127,57.284,3319,0
2017-06-23,21:00:00,57.213,57.213,57.213,57.213,254,0
2017-06-23,22:00:00,57.216,57.216,57.206,57.206,587,0
2017-06-26,16:00:00,57.432,57.432,57.432,57.432,103,0
2017-06-26,17:00:00,57.816,57.816,57.728,57.728,640,0
2017-06-26,18:00:00,57.526,57.59,57.526,57.59,271,0
2017-06-26,19:00:00,57.743,57.743,57.723,57.723,268,0
2017-06-26,20:00:00,57.745,57.745,57.745,57.745,259,0
2017-06-26,22:00:00,57.559,57.666,57.491,57.491,411,0
2017-06-27,16:00:00,57.275,57.275,57.275,57.275,260,0
2017-06-27,20:00:00,57.176,57.176,57.147,57.161,838,0
2017-06-27,21:00:00,57.135,57.135,57.135,57.135,617,0
2017-06-27,22:00:00,57.195,57.245,57.009,57.009,1891,0
2017-06-28,16:00:00,57.137,57.137,57.137,57.137,142,0
2017-06-28,17:00:00,57.3,57.334,57.3,57.334,206,0
2017-06-28,20:00:00,57.457,57.457,57.457,57.457,102,0
2017-06-28,21:00:00,57.412,57.472,57.412,57.464,3059,0
2017-06-28,22:00:00,57.474,57.474,57.393,57.393,945,0
2017-06-29,16:00:00,57.068,57.068,56.693,56.693,363,0
2017-06-29,17:00:00,56.93,56.979,56.873,56.979,3654,0
2017-06-29,20:00:00,56.674,56.674,56.516,56.516,812,0
2017-06-29,21:00:00,56.623,56.652,56.546,56.652,812,0
2017-06-29,22:00:00,56.644,56.776,56.644,56.684,1218,0
2017-06-30,19:00:00,57.097,57.27,57.097,57.27,305,0
2017-06-30,21:00:00,57.304,57.334,57.235,57.334,3439,0
2017-07-03,17:00:00,57.609,57.609,57.609,57.609,130,0
2017-07-03,18:00:00,57.432,57.432,57.432,57.432,305,0
2017-07-03,19:00:00,57.432,57.432,57.432,57.432,1523,0
2017-07-05,16:00:00,56.91,56.91,56.91,56.91,203,0
2017-07-05,17:00:00,56.921,56.921,56.921,56.921,203,0
2017-07-05,18:00:00,57.028,57.028,57.013,57.013,3637,0
2017-07-05,19:00:00,56.881,56.881,56.877,56.877,2280,0
2017-07-05,20:00:00,56.91,57.166,56.91,57.166,203,0
2017-07-05,21:00:00,57.199,57.235,57.153,57.235,988,0
2017-07-05,22:00:00,57.186,57.186,57.033,57.047,726,0
2017-07-06,16:00:00,56.772,56.772,56.339,56.368,1479,0
2017-07-06,17:00:00,56.555,56.555,56.555,56.555,102,0
2017-07-06,18:00:00,56.555,56.555,56.541,56.541,290,0
2017-07-06,19:00:00,56.626,56.801,56.626,56.801,249,0
2017-07-06,20:00:00,56.802,56.802,56.677,56.677,277,0
2017-07-06,21:00:00,56.674,56.684,56.511,56.684,416,0
2017-07-07,20:00:00,56.841,56.94,56.841,56.851,914,0
2017-07-07,21:00:00,56.871,56.871,56.871,56.871,203,0
2017-07-10,16:00:00,56.871,56.871,56.871,56.871,127,0
2017-07-10,20:00:00,57.106,57.106,57.106,57.106,1827,0
2017-07-10,22:00:00,57.166,57.166,56.989,56.989,1218,0
2017-07-11,16:00:00,57.265,57.334,57.265,57.334,3350,0
2017-07-11,17:00:00,57.078,57.196,57.078,57.196,267,0
2017-07-11,18:00:00,57.264,57.264,57.264,57.264,161,0
2017-07-11,19:00:00,57.375,57.42,57.375,57.42,500,0
2017-07-11,20:00:00,57.373,57.56,57.373,57.56,812,0
2017-07-11,21:00:00,57.531,57.531,57.531,57.531,102,0
2017-07-11,22:00:00,57.609,57.61,57.284,57.344,22480,0
2017-07-12,16:00:00,58.102,58.102,58.102,58.102,305,0
2017-07-12,18:00:00,58.168,58.17,58.122,58.122,350,0
2017-07-12,19:00:00,58.151,58.166,58.151,58.166,215,0
