Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-26,16:00:00,16.6386,16.6386,16.6386,16.6386,900,0
2017-05-26,19:00:00,16.695,16.695,16.695,16.695,100,0
2017-05-26,22:00:00,16.7,16.7,16.7,16.7,700,0
2017-05-30,17:00:00,16.75,16.75,16.6987,16.6987,700,0
2017-05-30,19:00:00,16.715,16.715,16.715,16.715,100,0
2017-05-30,20:00:00,16.7,16.7,16.7,16.7,100,0
2017-05-30,21:00:00,16.71,16.71,16.71,16.71,200,0
2017-05-30,22:00:00,16.7199,16.73,16.7199,16.73,960,0
2017-05-31,17:00:00,16.7972,16.7972,16.7743,16.7743,306,0
2017-05-31,18:00:00,16.8,16.8,16.8,16.8,597,0
2017-05-31,19:00:00,16.782,16.782,16.782,16.782,132,0
2017-05-31,20:00:00,16.7557,16.7557,16.7557,16.7557,115,0
2017-05-31,21:00:00,16.7693,16.7693,16.7693,16.7693,150,0
2017-05-31,22:00:00,16.76,16.765,16.76,16.765,700,0
2017-06-01,18:00:00,16.74,16.74,16.74,16.74,1157,0
2017-06-01,21:00:00,16.69,16.69,16.69,16.69,200,0
2017-06-01,22:00:00,16.685,16.685,16.67,16.67,660,0
2017-06-02,16:00:00,16.54,16.54,16.54,16.54,400,0
2017-06-02,17:00:00,16.6,16.6,16.5876,16.5876,400,0
2017-06-02,20:00:00,16.5438,16.5438,16.5438,16.5438,1500,0
2017-06-02,21:00:00,16.54,16.54,16.54,16.54,100,0
2017-06-02,22:00:00,16.52,16.52,16.52,16.52,1300,0
2017-06-05,16:00:00,16.51,16.51,16.51,16.51,100,0
2017-06-05,17:00:00,16.58,16.58,16.58,16.58,100,0
2017-06-05,19:00:00,16.5901,16.5901,16.5901,16.5901,300,0
2017-06-05,22:00:00,16.61,16.61,16.61,16.61,400,0
2017-06-06,22:00:00,16.61,16.69,16.61,16.68,500,0
2017-06-07,17:00:00,16.63,16.66,16.63,16.66,1172,0
2017-06-07,18:00:00,16.6299,16.6299,16.6299,16.6299,2000,0
2017-06-07,19:00:00,16.62,16.62,16.62,16.62,100,0
2017-06-07,20:00:00,16.6238,16.6238,16.6238,16.6238,700,0
2017-06-07,21:00:00,16.62,16.62,16.62,16.62,100,0
2017-06-08,16:00:00,16.65,16.65,16.65,16.65,100,0
2017-06-08,17:00:00,16.7286,16.75,16.7286,16.75,400,0
2017-06-08,19:00:00,16.682,16.685,16.6482,16.65,4630,0
2017-06-08,22:00:00,16.64,16.64,16.64,16.64,500,0
2017-06-09,17:00:00,16.62,16.62,16.62,16.62,100,0
2017-06-09,20:00:00,16.5526,16.5526,16.5363,16.54,3682,0
2017-06-09,21:00:00,16.51,16.51,16.498,16.498,200,0
2017-06-09,22:00:00,16.54,16.54,16.53,16.53,400,0
2017-06-12,16:00:00,16.53,16.53,16.5,16.5,315,0
2017-06-12,19:00:00,16.4765,16.4765,16.4765,16.4765,1585,0
2017-06-12,20:00:00,16.4352,16.4352,16.4352,16.4352,100,0
2017-06-12,21:00:00,16.425,16.425,16.425,16.425,134,0
2017-06-12,22:00:00,16.44,16.45,16.42,16.42,5170,0
2017-06-13,17:00:00,16.42,16.42,16.42,16.42,100,0
2017-06-13,20:00:00,16.4333,16.44,16.427,16.427,1709,0
2017-06-14,16:00:00,16.34,16.34,16.3,16.3,368,0
2017-06-14,18:00:00,16.29,16.3,16.29,16.3,200,0
2017-06-14,20:00:00,16.333,16.333,16.333,16.333,1000,0
2017-06-14,21:00:00,16.36,16.36,16.345,16.345,202,0
2017-06-15,18:00:00,16.2899,16.2899,16.2899,16.2899,100,0
2017-06-15,22:00:00,16.24,16.27,16.24,16.27,839,0
2017-06-16,16:00:00,16.27,16.34,16.27,16.34,1423,0
2017-06-16,22:00:00,16.33,16.33,16.29,16.29,700,0
2017-06-19,18:00:00,16.28,16.28,16.28,16.28,350,0
2017-06-19,22:00:00,16.262,16.2631,16.262,16.2631,400,0
2017-06-20,16:00:00,16.26,16.26,16.26,16.26,100,0
2017-06-20,17:00:00,16.3001,16.3001,16.3001,16.3001,100,0
2017-06-20,18:00:00,16.3822,16.39,16.3822,16.39,200,0
2017-06-20,19:00:00,16.35,16.35,16.35,16.35,100,0
2017-06-20,21:00:00,16.374,16.374,16.374,16.374,600,0
2017-06-21,16:00:00,16.33,16.33,16.33,16.33,1000,0
2017-06-21,19:00:00,16.37,16.39,16.37,16.39,1514,0
2017-06-21,22:00:00,16.38,16.38,16.38,16.38,480,0
2017-06-22,17:00:00,16.41,16.42,16.4,16.4001,2850,0
2017-06-22,19:00:00,16.35,16.35,16.31,16.31,300,0
2017-06-22,20:00:00,16.3342,16.3342,16.33,16.33,3100,0
2017-06-22,21:00:00,16.32,16.35,16.32,16.33,300,0
2017-06-22,22:00:00,16.35,16.35,16.34,16.35,600,0
2017-06-23,17:00:00,16.27,16.28,16.25,16.25,500,0
2017-06-23,18:00:00,16.23,16.24,16.21,16.21,1785,0
2017-06-23,19:00:00,16.235,16.235,16.235,16.235,200,0
2017-06-23,21:00:00,16.2401,16.2401,16.2401,16.2401,100,0
2017-06-23,22:00:00,16.28,16.28,16.27,16.27,1019,0
2017-06-26,17:00:00,16.209,16.209,16.19,16.19,600,0
2017-06-26,18:00:00,16.1899,16.1899,16.1899,16.1899,400,0
2017-06-26,21:00:00,16.18,16.18,16.18,16.18,500,0
2017-06-27,21:00:00,16.24,16.24,16.24,16.24,127,0
2017-06-28,17:00:00,16.24,16.24,16.24,16.24,12300,0
2017-06-29,17:00:00,16.393,16.393,16.383,16.383,2200,0
2017-06-29,18:00:00,16.38,16.4,16.38,16.4,700,0
2017-06-29,19:00:00,16.4101,16.4101,16.4101,16.4101,600,0
2017-06-29,20:00:00,16.44,16.44,16.435,16.435,773,0
2017-06-29,21:00:00,16.44,16.44,16.44,16.44,100,0
2017-06-29,22:00:00,16.43,16.43,16.43,16.43,500,0
2017-06-30,17:00:00,16.452,16.46,16.43,16.4399,1950,0
2017-06-30,18:00:00,16.4289,16.4289,16.4289,16.4289,200,0
2017-06-30,22:00:00,16.41,16.4184,16.4,16.4,1424,0
2017-07-03,17:00:00,16.3042,16.3042,16.3042,16.3042,200,0
2017-07-03,19:00:00,16.23,16.2301,16.23,16.2301,1273,0
2017-07-05,16:00:00,16.361,16.361,16.361,16.361,100,0
2017-07-05,17:00:00,16.351,16.351,16.351,16.351,350,0
2017-07-05,18:00:00,16.39,16.4,16.38,16.4,3666,0
2017-07-05,19:00:00,16.421,16.43,16.42,16.42,500,0
2017-07-05,20:00:00,16.4038,16.4038,16.4038,16.4038,300,0
2017-07-05,22:00:00,16.44,16.44,16.43,16.43,1470,0
2017-07-06,16:00:00,16.52,16.54,16.52,16.54,449,0
2017-07-06,18:00:00,16.64,16.6492,16.64,16.6492,900,0
2017-07-06,19:00:00,16.64,16.64,16.64,16.64,600,0
2017-07-06,20:00:00,16.62,16.63,16.62,16.63,3200,0
2017-07-06,21:00:00,16.662,16.6737,16.662,16.6737,1800,0
2017-07-07,18:00:00,16.62,16.62,16.61,16.61,3103,0
2017-07-07,19:00:00,16.611,16.611,16.611,16.611,101,0
2017-07-07,20:00:00,16.6,16.6,16.6,16.6,240,0
2017-07-07,21:00:00,16.6246,16.6246,16.6246,16.6246,1000,0
2017-07-07,22:00:00,16.64,16.64,16.64,16.64,1747,0
2017-07-10,16:00:00,16.618,16.618,16.618,16.618,295,0
2017-07-10,17:00:00,16.6658,16.68,16.66,16.68,4580,0
2017-07-10,18:00:00,16.68,16.68,16.68,16.68,100,0
2017-07-10,19:00:00,16.685,16.685,16.685,16.685,100,0
2017-07-10,22:00:00,16.76,16.79,16.76,16.79,6100,0
2017-07-11,16:00:00,16.78,16.8114,16.78,16.8114,3400,0
2017-07-11,17:00:00,16.84,16.84,16.84,16.84,13335,0
2017-07-11,18:00:00,16.82,16.8628,16.82,16.8628,5020,0
2017-07-11,19:00:00,16.81,16.81,16.81,16.81,300,0
2017-07-11,21:00:00,16.77,16.77,16.77,16.77,300,0
2017-07-11,22:00:00,16.75,16.75,16.75,16.75,100,0
2017-07-12,16:00:00,16.57,16.57,16.57,16.57,400,0
2017-07-12,17:00:00,16.55,16.55,16.55,16.55,100,0
2017-07-12,22:00:00,16.57,16.57,16.57,16.57,700,0
2017-07-13,16:00:00,16.51,16.51,16.51,16.51,300,0
2017-07-13,20:00:00,16.5601,16.5601,16.56,16.56,200,0
2017-07-14,16:00:00,16.53,16.53,16.428,16.46,7002,0
2017-07-14,17:00:00,16.39,16.39,16.39,16.39,218,0
2017-07-14,21:00:00,16.39,16.39,16.38,16.38,1922,0
2017-07-14,22:00:00,16.38,16.39,16.38,16.39,2500,0
2017-07-17,17:00:00,16.3601,16.3601,16.34,16.34,200,0
2017-07-17,20:00:00,16.325,16.33,16.325,16.33,300,0
2017-07-18,17:00:00,16.3632,16.3632,16.36,16.36,1100,0
2017-07-18,18:00:00,16.34,16.35,16.34,16.3475,1500,0
2017-07-18,19:00:00,16.32,16.32,16.32,16.32,100,0
2017-07-18,22:00:00,16.37,16.37,16.37,16.37,400,0
2017-07-19,17:00:00,16.35,16.35,16.35,16.35,100,0
2017-07-19,18:00:00,16.3,16.3,16.3,16.3,1500,0
2017-07-19,21:00:00,16.27,16.27,16.27,16.27,1700,0
2017-07-19,22:00:00,16.2584,16.26,16.2584,16.26,1117,0
2017-07-20,17:00:00,16.2322,16.2322,16.23,16.23,540,0
2017-07-20,18:00:00,16.2254,16.2254,16.2254,16.2254,400,0
2017-07-20,19:00:00,16.235,16.235,16.235,16.235,101,0
2017-07-20,20:00:00,16.2202,16.2202,16.2202,16.2202,100,0
2017-07-20,21:00:00,16.24,16.24,16.24,16.24,300,0
2017-07-21,17:00:00,16.33,16.33,16.33,16.33,100,0
2017-07-21,19:00:00,16.3502,16.3502,16.3502,16.3502,150,0
2017-07-21,22:00:00,16.298,16.298,16.298,16.298,400,0
2017-07-24,16:00:00,16.37,16.37,16.3,16.3,610,0
2017-07-24,18:00:00,16.301,16.3199,16.301,16.3199,320,0
2017-07-24,19:00:00,16.33,16.33,16.33,16.33,320,0
2017-07-24,22:00:00,16.31,16.31,16.31,16.31,500,0
2017-07-25,17:00:00,16.34,16.34,16.34,16.34,100,0
2017-07-25,18:00:00,16.33,16.33,16.33,16.33,570,0
2017-07-25,19:00:00,16.311,16.311,16.311,16.311,101,0
2017-07-25,21:00:00,16.3164,16.3164,16.3164,16.3164,120,0
2017-07-25,22:00:00,16.3158,16.32,16.3,16.3,1133,0
2017-07-26,16:00:00,16.25,16.25,16.25,16.25,200,0
2017-07-26,17:00:00,16.23,16.23,16.23,16.23,100,0
2017-07-26,18:00:00,16.2299,16.2299,16.2299,16.2299,2450,0
2017-07-26,19:00:00,16.23,16.23,16.23,16.23,100,0
2017-07-26,20:00:00,16.235,16.235,16.235,16.235,109,0
2017-07-26,22:00:00,16.21,16.21,16.2042,16.21,950,0
2017-07-27,16:00:00,16.29,16.2901,16.29,16.2901,600,0
2017-07-27,17:00:00,16.3158,16.3158,16.2633,16.2633,800,0
2017-07-27,18:00:00,16.25,16.25,16.22,16.22,1600,0
2017-07-27,19:00:00,16.145,16.1488,16.145,16.1488,409,0
2017-07-27,20:00:00,16.181,16.2,16.176,16.2,1450,0
2017-07-27,22:00:00,16.2338,16.2338,16.22,16.22,895,0
2017-07-28,16:00:00,16.22,16.25,16.22,16.23,3167,0
2017-07-28,17:00:00,16.18,16.18,16.18,16.18,100,0
2017-07-28,19:00:00,16.2069,16.2069,16.2069,16.2069,100,0
2017-07-28,20:00:00,16.25,16.25,16.25,16.25,100,0
2017-07-28,21:00:00,16.235,16.235,16.235,16.235,100,0
2017-07-31,16:00:00,16.3,16.3,16.3,16.3,125,0
2017-07-31,17:00:00,16.308,16.32,16.3,16.32,7615,0
