Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-17,16:00:00,106.2,106.22,106.18,106.22,525,0
2017-08-17,17:00:00,105.71,105.87,105.71,105.87,202,0
2017-08-17,18:00:00,106,106,105.85,105.85,17376,0
2017-08-17,19:00:00,105.6,105.6,105.48,105.48,1231,0
2017-08-17,20:00:00,105.33,105.33,105.33,105.33,404,0
2017-08-17,21:00:00,105.13,105.13,105.13,105.13,331,0
2017-08-17,22:00:00,105.12,105.12,104.59,104.64,1210,0
2017-08-18,16:00:00,104.31,104.31,104.01,104.19,2136,0
2017-08-18,17:00:00,104.35,104.43,104.31,104.43,353,0
2017-08-18,18:00:00,104.63,104.63,104.63,104.63,100,0
2017-08-18,19:00:00,104.76,104.76,104.72,104.72,296,0
2017-08-18,21:00:00,104.49,104.54,104.44,104.51,658,0
2017-08-18,22:00:00,104.41,104.41,104.25,104.27,2253,0
2017-08-21,16:00:00,104.21,104.21,104.01,104.01,264,0
2017-08-21,17:00:00,103.87,104.19,103.87,104.18,1326,0
2017-08-21,18:00:00,104.18,104.18,104.18,104.18,100,0
2017-08-21,19:00:00,104.25,104.25,104.25,104.25,100,0
2017-08-21,21:00:00,104.04,104.04,104.04,104.04,373,0
2017-08-21,22:00:00,104.04,104.04,104.04,104.04,454,0
2017-08-22,16:00:00,104.44,104.44,104.44,104.44,477,0
2017-08-22,17:00:00,104.8,104.93,104.8,104.9,1963,0
2017-08-22,18:00:00,104.91,105.05,104.85,105.04,909,0
2017-08-22,19:00:00,105.13,105.13,105.07,105.07,406,0
2017-08-22,20:00:00,105.24,105.29,105.16,105.16,602,0
2017-08-22,22:00:00,105.54,105.54,105.5,105.51,955,0
2017-08-23,17:00:00,104.82,104.96,104.82,104.96,404,0
2017-08-23,18:00:00,104.66,104.68,104.66,104.68,202,0
2017-08-23,19:00:00,104.79,104.79,104.79,104.79,100,0
2017-08-23,20:00:00,104.6,104.6,104.51,104.51,2826,0
2017-08-23,21:00:00,104.64,104.65,104.64,104.65,1211,0
2017-08-23,22:00:00,104.63,104.63,104.52,104.52,1200,0
2017-08-24,16:00:00,104.72,104.74,104.39,104.39,877,0
2017-08-24,17:00:00,104.55,104.56,104.45,104.53,543,0
2017-08-24,18:00:00,104.38,104.38,104.38,104.38,258,0
2017-08-24,19:00:00,104.42,104.42,104.42,104.42,100,0
2017-08-24,20:00:00,104.34,104.34,104.34,104.34,148,0
2017-08-24,21:00:00,104.3,104.3,104.2,104.21,5117,0
2017-08-24,22:00:00,104.09,104.17,104.07,104.17,880,0
2017-08-25,16:00:00,104.58,104.59,104.58,104.59,202,0
2017-08-25,17:00:00,104.9,104.9,104.86,104.9,636,0
2017-08-25,18:00:00,104.6,104.6,104.6,104.6,145,0
2017-08-25,19:00:00,104.71,104.8,104.71,104.79,602,0
2017-08-25,21:00:00,104.95,104.95,104.93,104.94,909,0
2017-08-25,22:00:00,104.95,105,104.72,104.72,1232,0
2017-08-28,16:00:00,104.94,105.17,104.85,104.85,838,0
2017-08-28,18:00:00,104.72,104.73,104.62,104.67,12116,0
2017-08-28,19:00:00,104.71,104.71,104.56,104.56,3723,0
2017-08-28,20:00:00,104.66,104.71,104.64,104.67,3410,0
2017-08-28,21:00:00,104.68,104.72,104.62,104.72,3689,0
2017-08-28,22:00:00,104.71,104.77,104.66,104.77,1101,0
2017-08-29,16:00:00,104.29,104.67,104.29,104.67,2364,0
2017-08-29,17:00:00,104.74,104.84,104.6,104.84,1640,0
2017-08-29,18:00:00,104.97,104.97,104.93,104.93,352,0
2017-08-29,20:00:00,105.21,105.21,105.21,105.21,107,0
2017-08-29,21:00:00,105.21,105.24,105.21,105.24,706,0
2017-08-29,22:00:00,105.29,105.42,105.29,105.42,1071,0
2017-08-30,16:00:00,105.46,105.49,105.35,105.49,6344,0
2017-08-30,17:00:00,105.49,105.49,105.32,105.32,3018,0
2017-08-30,18:00:00,105.52,105.52,105.52,105.52,202,0
2017-08-30,19:00:00,105.69,105.69,105.69,105.69,103,0
2017-08-30,20:00:00,105.82,105.82,105.82,105.82,662,0
2017-08-30,21:00:00,105.95,105.95,105.94,105.94,412,0
2017-08-30,22:00:00,105.95,105.95,105.81,105.85,606,0
2017-08-31,16:00:00,106.22,106.41,106.22,106.26,528,0
2017-08-31,17:00:00,106.16,106.19,106.16,106.18,555,0
2017-08-31,18:00:00,106.17,106.26,106.14,106.22,606,0
2017-08-31,19:00:00,106.26,106.26,106.26,106.26,100,0
2017-08-31,20:00:00,106.35,106.35,106.35,106.35,203,0
2017-08-31,21:00:00,106.42,106.42,106.42,106.42,706,0
2017-08-31,22:00:00,106.46,106.57,106.44,106.5,2489,0
2017-09-01,17:00:00,106.91,106.91,106.91,106.91,100,0
2017-09-01,18:00:00,106.79,106.79,106.79,106.79,303,0
2017-09-01,19:00:00,106.9,106.93,106.9,106.9,1436,0
2017-09-01,21:00:00,106.83,106.93,106.82,106.89,23546,0
2017-09-01,22:00:00,106.67,106.67,106.67,106.67,302,0
2017-09-05,16:00:00,106.46,106.46,106.42,106.42,838,0
2017-09-05,17:00:00,106.27,106.31,105.99,106.05,2314,0
2017-09-05,18:00:00,106.19,106.19,106.14,106.16,1789,0
2017-09-05,20:00:00,105.69,105.74,105.69,105.74,303,0
2017-09-05,21:00:00,105.79,105.92,105.79,105.85,1367,0
2017-09-05,22:00:00,105.63,105.74,105.63,105.66,1181,0
2017-09-06,16:00:00,105.97,105.97,105.88,105.92,355,0
2017-09-06,17:00:00,105.95,106.09,105.95,106.06,353,0
2017-09-06,18:00:00,106.13,106.13,106.13,106.13,281,0
2017-09-06,19:00:00,106.03,106.03,105.92,105.92,253,0
2017-09-06,20:00:00,105.92,105.92,105.88,105.91,532,0
2017-09-06,21:00:00,105.96,106.04,105.95,106.04,26428,0
2017-09-06,22:00:00,105.98,105.98,105.88,105.88,2183,0
2017-09-07,16:00:00,105.79,105.79,105.73,105.73,202,0
2017-09-07,17:00:00,105.63,106,105.63,105.96,730,0
2017-09-07,18:00:00,106.01,106.01,106.01,106.01,100,0
2017-09-07,19:00:00,105.91,106.12,105.91,106.12,516,0
