Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-30,17:00:00,117.03,117.03,117.03,117.03,512,0
2017-08-30,18:00:00,117.03,117.07,116.93,116.99,1837,0
2017-08-30,19:00:00,117.11,117.13,117.04,117.12,1438,0
2017-08-30,20:00:00,117.18,117.25,117.12,117.13,4372,0
2017-08-30,21:00:00,117.08,117.15,116.88,117.15,1616,0
2017-08-30,22:00:00,117.21,117.4,117.2,117.4,1566,0
2017-08-31,16:00:00,117.9,117.9,117.68,117.78,856,0
2017-08-31,17:00:00,117.91,117.91,117.88,117.89,324,0
2017-08-31,18:00:00,118.16,118.51,118.1,118.45,2006,0
2017-08-31,19:00:00,118.53,118.53,118.43,118.43,1405,0
2017-08-31,20:00:00,118.35,118.42,118.26,118.36,5347,0
2017-08-31,21:00:00,118.3,118.33,118.28,118.33,1019,0
2017-08-31,22:00:00,118.41,118.54,118.28,118.53,7930,0
2017-09-01,16:00:00,118.73,118.73,118.56,118.56,599,0
2017-09-01,17:00:00,118.73,118.92,118.73,118.92,712,0
2017-09-01,18:00:00,118.97,119.08,118.9,119.08,3959,0
2017-09-01,19:00:00,118.92,119.08,118.92,119.08,846,0
2017-09-01,20:00:00,119.11,119.23,119.11,119.15,654,0
2017-09-01,21:00:00,119.15,119.24,119.13,119.24,610,0
2017-09-01,22:00:00,119.13,119.31,119.13,119.31,5964,0
2017-09-05,16:00:00,119.24,119.43,119.21,119.43,886,0
2017-09-05,17:00:00,119.32,119.33,118.86,119.04,1481,0
2017-09-05,18:00:00,118.97,118.97,118.75,118.79,1196,0
2017-09-05,19:00:00,118.72,118.72,118.05,118.06,1625,0
2017-09-05,20:00:00,117.99,117.99,117.64,117.92,1026,0
2017-09-05,21:00:00,118.01,118.19,117.57,118.04,12897,0
2017-09-05,22:00:00,117.86,118.18,117.86,118.18,2824,0
2017-09-06,16:00:00,118.72,118.72,118.44,118.46,1498,0
2017-09-06,18:00:00,118.32,118.32,118.13,118.17,1309,0
2017-09-06,19:00:00,118.09,118.16,118.09,118.16,206,0
2017-09-06,20:00:00,118.62,118.62,118.62,118.62,118,0
2017-09-06,21:00:00,118.57,118.65,118.49,118.64,2417,0
2017-09-06,22:00:00,118.61,118.63,118.19,118.27,5795,0
2017-09-07,16:00:00,118.75,118.99,117.95,117.95,1173,0
2017-09-07,17:00:00,117.73,118.21,117.64,118.21,710,0
2017-09-07,18:00:00,117.7,117.74,117.69,117.74,456,0
2017-09-07,19:00:00,117.68,118.05,117.68,118.05,3028,0
2017-09-07,20:00:00,118.05,118.1,117.69,117.79,427,0
2017-09-07,21:00:00,117.87,117.89,117.87,117.89,313,0
2017-09-07,22:00:00,117.93,118.21,117.93,118.21,2271,0
2017-09-08,16:00:00,117.84,117.84,117.68,117.68,1056,0
2017-09-08,17:00:00,117.93,118.05,117.82,118.04,2324,0
