Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,86.936,87.084,86.562,86.985,102515,0
2017-09-06,17:00:00,86.936,87.202,86.611,86.749,423564,0
2017-09-06,18:00:00,86.744,87.015,86.502,86.966,325901,0
2017-09-06,19:00:00,86.956,87.045,86.907,87.035,95478,0
2017-09-06,20:00:00,87.045,87.192,86.907,86.926,185311,0
2017-09-06,21:00:00,86.936,87.114,86.936,87.064,54413,0
2017-09-06,22:00:00,87.074,87.291,86.926,86.936,304537,0
2017-09-07,16:00:00,87.281,87.36,86.887,86.956,98525,0
2017-09-07,17:00:00,86.877,87.459,86.798,87.385,381771,0
2017-09-07,18:00:00,87.38,87.459,87.222,87.242,151114,0
2017-09-07,19:00:00,87.242,87.4,87.104,87.169,137654,0
2017-09-07,20:00:00,87.163,87.331,87.163,87.242,115211,0
2017-09-07,21:00:00,87.242,87.311,87.163,87.192,125295,0
2017-09-07,22:00:00,87.192,87.301,87.084,87.271,227045,0
2017-09-08,16:00:00,87.123,87.316,86.729,86.788,111606,0
2017-09-08,17:00:00,86.838,86.838,86.394,86.621,591871,0
2017-09-08,18:00:00,86.621,86.759,86.394,86.473,138098,0
2017-09-08,19:00:00,86.473,86.611,86.448,86.542,165345,0
2017-09-08,20:00:00,86.542,86.64,86.443,86.453,309044,0
2017-09-08,21:00:00,86.458,86.468,86.226,86.246,349888,0
2017-09-08,22:00:00,86.246,86.433,86.108,86.325,684014,0
2017-09-11,16:00:00,87.133,87.577,86.887,87.518,193073,0
2017-09-11,17:00:00,87.528,87.873,87.528,87.607,849792,0
2017-09-11,18:00:00,87.607,87.754,87.577,87.745,298586,0
2017-09-11,19:00:00,87.735,87.922,87.695,87.843,200216,0
2017-09-11,20:00:00,87.853,88.016,87.843,88.011,200499,0
2017-09-11,21:00:00,88.021,88.06,87.892,87.902,189194,0
2017-09-11,22:00:00,87.902,87.981,87.823,87.892,657226,0
2017-09-12,16:00:00,88.139,88.218,87.823,88.1,265943,0
2017-09-12,17:00:00,88.1,88.129,87.745,87.804,263394,0
2017-09-12,18:00:00,87.794,88.109,87.794,87.952,292129,0
2017-09-12,19:00:00,87.961,88.297,87.922,88.257,148680,0
2017-09-12,20:00:00,88.262,88.449,88.208,88.287,241760,0
2017-09-12,21:00:00,88.307,88.376,88.026,88.08,572464,0
2017-09-12,22:00:00,88.085,88.228,88.021,88.228,469743,0
2017-09-13,16:00:00,88.04,88.139,87.695,88.139,507417,0
2017-09-13,17:00:00,88.149,88.267,88.1,88.208,650038,0
2017-09-13,18:00:00,88.228,88.242,87.952,88.06,269263,0
2017-09-13,19:00:00,88.07,88.445,88.07,88.316,356065,0
2017-09-13,20:00:00,88.315,88.4,88.228,88.395,131016,0
2017-09-13,21:00:00,88.385,88.474,88.366,88.376,504888,0
2017-09-13,22:00:00,88.376,88.415,88.119,88.247,298062,0
2017-09-14,16:00:00,88.011,88.454,87.932,88.405,282231,0
2017-09-14,17:00:00,88.425,88.859,88.356,88.829,350596,0
2017-09-14,18:00:00,88.829,89.036,88.809,88.888,742253,0
2017-09-14,19:00:00,88.898,89.066,88.824,89.016,224154,0
2017-09-14,20:00:00,89.016,89.036,88.938,89.016,182989,0
2017-09-14,21:00:00,89.026,89.036,88.928,88.928,619725,0
2017-09-14,22:00:00,88.928,88.938,88.553,88.632,1145081,0
2017-09-15,16:00:00,89.105,89.371,88.73,89.263,963923,0
2017-09-15,17:00:00,89.263,89.874,89.214,89.815,503751,0
2017-09-15,18:00:00,89.795,89.874,89.707,89.795,273546,0
2017-09-15,19:00:00,89.79,89.933,89.736,89.766,421870,0
2017-09-15,20:00:00,89.766,89.825,89.687,89.785,349100,0
2017-09-15,21:00:00,89.785,89.879,89.776,89.869,335254,0
2017-09-15,22:00:00,89.863,89.914,89.756,89.805,937247,0
2017-09-18,16:00:00,90.466,90.88,90.357,90.781,375475,0
2017-09-18,17:00:00,90.781,90.998,90.742,90.904,452907,0
2017-09-18,18:00:00,90.895,91.264,90.895,91.219,267096,0
2017-09-18,19:00:00,91.23,91.412,91.225,91.309,165697,0
2017-09-18,20:00:00,91.314,91.402,91.195,91.363,145755,0
2017-09-18,21:00:00,91.358,91.363,90.673,90.939,716641,0
2017-09-18,22:00:00,90.929,91.067,90.895,91.057,455656,0
2017-09-19,16:00:00,91.323,91.323,90.752,90.978,225844,0
2017-09-19,17:00:00,90.968,91.53,90.968,91.442,536083,0
2017-09-19,18:00:00,91.442,91.447,91.156,91.363,293787,0
2017-09-19,19:00:00,91.363,91.59,91.353,91.471,244596,0
2017-09-19,20:00:00,91.471,91.491,91.343,91.461,195444,0
2017-09-19,21:00:00,91.457,91.491,91.343,91.353,253202,0
2017-09-19,22:00:00,91.353,91.471,91.254,91.294,299494,0
2017-09-20,16:00:00,91.412,91.53,90.781,90.84,413479,0
2017-09-20,17:00:00,90.821,90.909,90.13,90.15,441335,0
2017-09-20,18:00:00,90.16,90.219,89.756,89.854,1062852,0
2017-09-20,19:00:00,89.854,90.113,89.845,90.101,117677,0
2017-09-20,20:00:00,90.091,90.121,89.618,89.638,357024,0
2017-09-20,21:00:00,89.638,89.638,88.938,89.361,982701,0
2017-09-20,22:00:00,89.342,90.091,89.332,90.081,918547,0
2017-09-21,16:00:00,89.963,90.111,89.559,89.914,243472,0
2017-09-21,17:00:00,89.923,89.953,89.115,89.519,363331,0
2017-09-21,18:00:00,89.519,89.825,89.48,89.726,280503,0
2017-09-21,19:00:00,89.736,89.904,89.687,89.894,637097,0
2017-09-21,20:00:00,89.894,90.061,89.884,90.042,173460,0
2017-09-21,21:00:00,90.061,90.14,89.785,89.859,351585,0
2017-09-21,22:00:00,89.864,90.086,89.766,89.914,1198269,0
2017-09-22,16:00:00,89.509,90.14,89.233,89.874,160544,0
2017-09-22,17:00:00,89.874,90.209,89.874,89.958,189528,0
2017-09-22,18:00:00,89.943,90.239,89.933,90.146,96618,0
2017-09-22,19:00:00,90.15,90.259,90.042,90.18,157668,0
2017-09-22,20:00:00,90.19,90.268,89.992,90.214,135352,0
2017-09-22,21:00:00,90.219,90.387,90.199,90.337,229305,0
2017-09-22,22:00:00,90.328,90.367,90.15,90.278,324760,0
