Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-10,16:00:00,18.45,18.55,18.45,18.54,7383,0
2017-08-10,17:00:00,18.55,18.57,18.55,18.57,400,0
2017-08-10,18:00:00,18.5653,18.64,18.55,18.64,11700,0
2017-08-10,19:00:00,18.63,18.63,17.8701,17.8957,45604,0
2017-08-10,20:00:00,17.939,17.939,17.815,17.8232,5241,0
2017-08-10,21:00:00,17.8202,17.8472,17.82,17.8472,1200,0
2017-08-10,22:00:00,17.8701,17.8801,17.84,17.85,61864,0
2017-08-11,16:00:00,17.89,17.9326,17.8886,17.8886,2413,0
2017-08-11,17:00:00,17.89,17.918,17.86,17.86,7200,0
2017-08-11,18:00:00,17.87,17.8748,17.86,17.86,904,0
2017-08-11,19:00:00,17.93,17.949,17.92,17.949,700,0
2017-08-11,20:00:00,17.94,17.94,17.91,17.93,3270,0
2017-08-11,21:00:00,17.9399,17.9679,17.9399,17.9679,700,0
2017-08-11,22:00:00,17.94,17.94,17.94,17.94,265,0
2017-08-14,16:00:00,17.75,17.769,17.69,17.69,12890,0
2017-08-14,17:00:00,17.7,17.72,17.68,17.7,2008,0
2017-08-14,18:00:00,17.72,17.7511,17.72,17.73,4274,0
2017-08-14,19:00:00,17.71,17.74,17.71,17.73,2200,0
2017-08-14,20:00:00,17.75,17.75,17.75,17.75,100,0
2017-08-14,21:00:00,17.82,17.82,17.82,17.82,297,0
2017-08-14,22:00:00,17.78,17.7801,17.78,17.78,1607,0
2017-08-15,16:00:00,17.67,17.67,17.64,17.64,666,0
2017-08-15,17:00:00,17.65,17.6689,17.63,17.63,750,0
2017-08-15,18:00:00,17.62,17.62,17.58,17.58,1138,0
2017-08-15,19:00:00,17.56,17.56,17.56,17.56,142,0
2017-08-15,20:00:00,17.55,17.55,17.53,17.53,1000,0
2017-08-15,21:00:00,17.5387,17.54,17.5202,17.5202,1767,0
2017-08-15,22:00:00,17.5633,17.57,17.55,17.57,2675,0
2017-08-16,16:00:00,17.63,17.63,17.5,17.5101,3085,0
2017-08-16,17:00:00,17.52,17.54,17.5,17.52,5485,0
2017-08-16,18:00:00,17.5124,17.53,17.5124,17.53,608,0
2017-08-16,19:00:00,17.55,17.55,17.55,17.55,200,0
2017-08-16,20:00:00,17.5777,17.609,17.5777,17.5978,10308,0
2017-08-16,21:00:00,17.5907,17.61,17.5907,17.6058,2500,0
2017-08-16,22:00:00,17.5977,17.61,17.58,17.5801,2400,0
2017-08-17,16:00:00,17.6803,17.69,17.6379,17.6392,4220,0
2017-08-17,17:00:00,17.66,17.67,17.6511,17.66,2900,0
2017-08-17,18:00:00,17.6699,17.6699,17.6304,17.6304,225,0
2017-08-17,19:00:00,17.5988,17.5988,17.5988,17.5988,280,0
2017-08-17,20:00:00,17.6599,17.7429,17.6599,17.7429,586,0
2017-08-17,21:00:00,17.74,17.74,17.72,17.72,700,0
2017-08-17,22:00:00,17.71,17.73,17.71,17.73,1100,0
2017-08-18,16:00:00,17.67,17.7499,17.67,17.7499,1309,0
2017-08-18,17:00:00,17.7482,17.7482,17.7,17.705,5525,0
2017-08-18,18:00:00,17.71,17.7599,17.7,17.7599,2100,0
2017-08-18,19:00:00,17.7501,17.79,17.75,17.76,5468,0
2017-08-18,20:00:00,17.77,17.77,17.7401,17.76,3600,0
2017-08-18,21:00:00,17.77,17.78,17.756,17.7601,1300,0
2017-08-18,22:00:00,17.77,17.8,17.77,17.77,1172,0
2017-08-21,16:00:00,17.65,17.71,17.65,17.7,2556,0
2017-08-21,17:00:00,17.7351,17.76,17.723,17.723,3411,0
2017-08-21,18:00:00,17.7401,17.7401,17.7401,17.7401,100,0
2017-08-21,19:00:00,17.79,17.79,17.75,17.75,1000,0
2017-08-21,20:00:00,17.788,17.788,17.75,17.78,851,0
2017-08-21,21:00:00,17.8072,17.81,17.78,17.78,2200,0
2017-08-21,22:00:00,17.7511,17.7542,17.7511,17.7542,400,0
2017-08-22,16:00:00,17.82,17.84,17.8,17.8,3161,0
2017-08-22,17:00:00,17.78,17.8324,17.763,17.8324,2400,0
2017-08-22,18:00:00,17.84,17.84,17.82,17.83,300,0
2017-08-22,19:00:00,17.81,17.81,17.81,17.81,200,0
2017-08-22,21:00:00,17.81,17.81,17.807,17.807,2400,0
2017-08-22,22:00:00,17.7986,17.81,17.795,17.81,2258,0
2017-08-23,16:00:00,17.9,17.92,17.8076,17.8076,1792,0
2017-08-23,17:00:00,17.82,17.82,17.73,17.73,9498,0
2017-08-23,18:00:00,17.73,17.734,17.73,17.734,2112,0
2017-08-23,19:00:00,17.82,17.82,17.7802,17.7802,533,0
