Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-01-04,16:00:00,39.575,39.575,39.575,39.575,8578,0
2017-01-04,18:00:00,39.585,39.587,39.585,39.585,1727,0
2017-01-04,20:00:00,39.584,39.585,39.575,39.575,1730,0
2017-01-04,21:00:00,39.575,39.575,39.575,39.575,5125,0
2017-01-04,22:00:00,39.588,39.622,39.588,39.622,1219,0
2017-01-05,18:00:00,39.613,39.613,39.585,39.585,1632,0
2017-01-05,19:00:00,39.585,39.585,39.585,39.585,100,0
2017-01-05,22:00:00,39.604,39.604,39.604,39.604,401,0
2017-01-06,19:00:00,39.613,39.614,39.613,39.614,625,0
2017-01-06,20:00:00,39.621,40.422,39.621,39.681,29678,0
2017-01-06,22:00:00,39.624,39.632,39.613,39.613,5481,0
2017-01-09,16:00:00,39.625,39.625,39.625,39.625,100,0
2017-01-09,18:00:00,39.613,39.627,39.613,39.627,344,0
2017-01-09,22:00:00,39.626,39.632,39.622,39.632,652,0
2017-01-10,19:00:00,39.628,39.632,39.625,39.625,2073,0
2017-01-10,20:00:00,39.613,39.613,39.595,39.595,5048,0
2017-01-10,22:00:00,39.629,39.632,39.629,39.632,200,0
2017-01-11,17:00:00,39.61,39.61,39.61,39.61,375,0
2017-01-11,20:00:00,39.604,39.608,39.604,39.604,1365,0
2017-01-11,22:00:00,39.635,39.635,39.613,39.613,1596,0
2017-01-12,19:00:00,39.622,39.661,39.622,39.661,1115,0
2017-01-12,22:00:00,39.622,39.642,39.613,39.642,341,0
2017-01-13,16:00:00,39.671,39.671,39.613,39.643,4532,0
2017-01-13,17:00:00,39.67,39.67,39.67,39.67,984,0
2017-01-13,18:00:00,39.639,39.639,39.613,39.613,752,0
2017-01-13,19:00:00,39.622,39.681,39.595,39.608,17421,0
2017-01-13,22:00:00,39.595,39.642,39.59,39.642,773,0
2017-01-17,17:00:00,39.642,39.642,39.642,39.642,100,0
2017-01-17,20:00:00,39.632,39.632,39.632,39.632,135,0
2017-01-17,22:00:00,39.632,39.632,39.632,39.632,773,0
2017-01-18,16:00:00,39.632,39.632,39.632,39.632,142,0
2017-01-18,17:00:00,39.622,39.632,39.622,39.632,1219,0
2017-01-18,22:00:00,39.585,39.602,39.585,39.585,5107,0
2017-01-19,17:00:00,39.575,39.575,39.566,39.566,300,0
2017-01-19,21:00:00,39.635,39.637,39.635,39.637,1762,0
2017-01-19,22:00:00,39.652,39.661,39.613,39.661,401,0
2017-01-20,22:00:00,39.647,39.647,39.647,39.647,100,0
2017-01-23,18:00:00,39.596,39.611,39.595,39.611,3148,0
2017-01-23,19:00:00,39.652,39.652,39.652,39.652,200,0
2017-01-23,21:00:00,39.639,39.639,39.639,39.639,1346,0
2017-01-23,22:00:00,39.648,39.648,39.648,39.648,300,0
2017-01-24,20:00:00,39.661,39.661,39.604,39.661,1130,0
2017-01-24,22:00:00,39.622,39.622,39.595,39.595,576,0
2017-01-25,22:00:00,39.652,39.652,39.652,39.652,1015,0
2017-01-26,19:00:00,39.631,39.631,39.631,39.631,300,0
2017-01-26,20:00:00,39.642,39.642,39.642,39.642,158,0
2017-01-26,22:00:00,39.613,39.613,39.604,39.604,200,0
2017-01-27,21:00:00,39.625,39.671,39.625,39.634,42839,0
2017-01-27,22:00:00,39.638,39.661,39.638,39.661,1640,0
2017-01-30,16:00:00,39.671,39.671,39.612,39.612,2394,0
2017-01-30,22:00:00,39.671,39.671,39.671,39.671,653,0
2017-01-31,22:00:00,39.681,39.681,39.681,39.681,300,0
2017-02-01,16:00:00,39.686,39.686,39.686,39.686,1520,0
2017-02-01,19:00:00,39.643,39.686,39.642,39.658,4545,0
2017-02-01,22:00:00,39.686,39.686,39.686,39.686,100,0
2017-02-02,18:00:00,39.637,39.637,39.637,39.637,1025,0
2017-02-02,22:00:00,39.657,39.657,39.657,39.657,100,0
2017-02-03,16:00:00,39.657,39.696,39.657,39.696,1796,0
2017-02-03,17:00:00,39.647,39.696,39.637,39.696,2637,0
2017-02-03,18:00:00,39.696,39.696,39.696,39.696,507,0
2017-02-03,19:00:00,39.696,39.696,39.686,39.696,3963,0
2017-02-03,20:00:00,39.696,39.696,39.686,39.696,4875,0
2017-02-03,22:00:00,39.637,39.637,39.637,39.637,40,0
2017-02-06,16:00:00,39.696,39.696,39.696,39.696,100,0
2017-02-06,17:00:00,39.696,39.696,39.696,39.696,300,0
2017-02-06,18:00:00,39.696,39.696,39.696,39.696,200,0
2017-02-06,22:00:00,39.696,39.706,39.696,39.696,952,0
2017-02-07,18:00:00,39.661,39.661,39.661,39.661,401,0
2017-02-07,20:00:00,39.676,39.676,39.664,39.664,300,0
2017-02-07,22:00:00,39.676,39.686,39.662,39.686,612,0
2017-02-08,17:00:00,39.696,39.696,39.696,39.696,300,0
2017-02-08,18:00:00,39.706,39.706,39.706,39.706,100,0
2017-02-08,20:00:00,39.686,39.686,39.686,39.686,120,0
2017-02-08,22:00:00,39.706,39.706,39.706,39.706,200,0
2017-02-09,21:00:00,39.67,39.671,39.657,39.657,1218,0
2017-02-09,22:00:00,39.657,39.676,39.657,39.657,885,0
2017-02-10,16:00:00,39.665,39.665,39.665,39.665,100,0
2017-02-10,22:00:00,39.683,39.683,39.683,39.683,100,0
2017-02-13,18:00:00,39.647,39.647,39.647,39.647,478,0
2017-02-13,20:00:00,39.665,39.665,39.665,39.665,111,0
2017-02-13,21:00:00,39.706,39.706,39.706,39.706,521,0
2017-02-13,22:00:00,39.676,39.687,39.657,39.657,1722,0
2017-02-14,22:00:00,39.702,39.702,39.702,39.702,200,0
2017-02-15,17:00:00,39.702,39.702,39.702,39.702,250,0
2017-02-16,16:00:00,39.667,39.667,39.661,39.662,1892,0
2017-02-16,22:00:00,39.712,39.712,39.712,39.712,300,0
2017-02-17,18:00:00,39.666,39.666,39.666,39.666,288,0
2017-02-17,22:00:00,39.676,39.676,39.676,39.676,100,0
2017-02-21,16:00:00,39.726,39.726,39.726,39.726,1136,0
2017-02-21,19:00:00,39.714,39.714,39.714,39.714,376,0
2017-02-21,20:00:00,39.696,39.716,39.696,39.716,812,0
2017-02-21,22:00:00,39.716,39.716,39.716,39.716,100,0
2017-02-22,16:00:00,39.676,39.726,39.676,39.726,1802,0
2017-02-22,17:00:00,39.716,39.716,39.716,39.716,261,0
2017-02-22,19:00:00,39.698,39.698,39.698,39.698,503,0
2017-02-22,22:00:00,39.686,39.716,39.686,39.716,812,0
2017-02-23,20:00:00,39.721,39.721,39.721,39.721,698,0
2017-02-23,22:00:00,39.732,39.732,39.726,39.726,662,0
2017-02-24,22:00:00,39.724,39.724,39.724,39.724,381,0
2017-02-27,18:00:00,39.73,39.73,39.73,39.73,376,0
2017-02-27,22:00:00,39.706,39.706,39.706,39.706,100,0
2017-02-28,17:00:00,39.736,39.736,39.736,39.736,5119,0
2017-02-28,18:00:00,39.711,39.711,39.711,39.711,196,0
2017-02-28,22:00:00,39.696,39.696,39.686,39.686,507,0
2017-03-01,16:00:00,39.752,39.752,39.752,39.752,258,0
2017-03-01,22:00:00,39.732,39.742,39.732,39.742,401,0
2017-03-02,17:00:00,39.732,39.732,39.732,39.732,100,0
2017-03-02,18:00:00,39.731,39.732,39.682,39.732,10260,0
2017-03-02,21:00:00,39.732,39.732,39.732,39.732,100,0
2017-03-02,22:00:00,39.732,39.732,39.682,39.682,7631,0
2017-03-03,16:00:00,39.742,39.742,39.742,39.742,736,0
2017-03-03,17:00:00,39.742,39.742,39.742,39.742,1181,0
2017-03-03,18:00:00,39.742,39.742,39.742,39.742,200,0
2017-03-03,19:00:00,39.742,39.742,39.742,39.742,100,0
2017-03-03,20:00:00,39.732,39.732,39.732,39.732,100,0
2017-03-03,22:00:00,39.731,39.742,39.731,39.742,1487,0
2017-03-06,17:00:00,39.742,39.752,39.739,39.752,3654,0
2017-03-06,18:00:00,39.752,39.752,39.752,39.752,100,0
2017-03-06,19:00:00,39.752,39.752,39.732,39.752,507,0
2017-03-06,22:00:00,39.702,39.702,39.702,39.702,200,0
2017-03-07,20:00:00,39.722,39.722,39.722,39.722,300,0
2017-03-07,22:00:00,39.702,39.732,39.692,39.702,6991,0
2017-03-08,16:00:00,39.752,39.752,39.752,39.752,402,0
2017-03-08,18:00:00,39.702,39.702,39.702,39.702,1906,0
2017-03-08,22:00:00,39.702,39.702,39.692,39.692,200,0
2017-03-09,17:00:00,39.702,39.717,39.702,39.717,847,0
2017-03-09,18:00:00,39.702,39.742,39.702,39.742,300,0
2017-03-09,19:00:00,39.752,39.752,39.751,39.751,18239,0
2017-03-09,20:00:00,39.752,39.752,39.737,39.737,322,0
2017-03-09,22:00:00,39.702,39.702,39.692,39.692,300,0
2017-03-10,17:00:00,39.742,39.742,39.712,39.712,507,0
2017-03-10,22:00:00,39.692,39.692,39.692,39.692,100,0
2017-03-13,15:00:00,39.692,39.692,39.692,39.692,401,0
2017-03-13,16:00:00,39.702,39.702,39.692,39.702,1058,0
2017-03-13,17:00:00,39.692,39.721,39.692,39.701,6744,0
2017-03-13,21:00:00,39.732,39.742,39.732,39.742,200,0
2017-03-14,18:00:00,39.721,39.721,39.721,39.721,120,0
2017-03-14,21:00:00,39.738,39.752,39.702,39.752,3416,0
2017-03-15,17:00:00,39.747,39.747,39.747,39.747,488,0
2017-03-15,21:00:00,39.762,39.762,39.762,39.762,911,0
2017-03-16,21:00:00,39.751,39.758,39.706,39.758,361,0
2017-03-17,18:00:00,39.713,39.713,39.713,39.713,761,0
2017-03-17,19:00:00,39.702,39.713,39.702,39.712,3912,0
2017-03-17,21:00:00,39.732,39.752,39.702,39.702,526,0
2017-03-20,16:00:00,39.782,39.782,39.782,39.782,100,0
2017-03-20,18:00:00,39.781,39.781,39.781,39.781,507,0
2017-03-21,15:00:00,39.772,39.772,39.772,39.772,200,0
2017-03-21,16:00:00,39.772,39.772,39.772,39.772,1113,0
2017-03-21,17:00:00,39.772,39.772,39.772,39.772,507,0
2017-03-21,18:00:00,39.761,39.761,39.761,39.761,507,0
2017-03-21,20:00:00,39.772,39.772,39.732,39.732,1257,0
2017-03-21,21:00:00,39.772,39.772,39.732,39.772,2645,0
2017-03-22,16:00:00,39.762,39.782,39.76,39.772,659,0
2017-03-22,17:00:00,39.782,39.782,39.782,39.782,100,0
2017-03-22,18:00:00,39.777,39.782,39.777,39.782,200,0
2017-03-22,20:00:00,39.782,39.782,39.782,39.782,100,0
2017-03-22,21:00:00,39.782,39.782,39.782,39.782,861,0
2017-03-23,16:00:00,39.772,39.772,39.772,39.772,100,0
2017-03-23,19:00:00,39.771,39.771,39.771,39.771,100,0
