Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,13.477,13.536,13.428,13.469,37962,0
2017-09-06,17:00:00,13.516,13.624,13.516,13.624,16794,0
2017-09-06,18:00:00,13.595,13.614,13.565,13.594,10781,0
2017-09-06,19:00:00,13.598,13.604,13.575,13.604,10623,0
2017-09-06,20:00:00,13.588,13.608,13.575,13.585,7698,0
2017-09-06,21:00:00,13.585,13.624,13.585,13.624,11221,0
2017-09-06,22:00:00,13.609,13.624,13.565,13.565,13921,0
2017-09-07,16:00:00,13.693,13.693,13.634,13.651,10199,0
2017-09-07,17:00:00,13.637,13.673,13.624,13.668,7947,0
2017-09-07,18:00:00,13.663,13.693,13.634,13.663,62534,0
2017-09-07,19:00:00,13.663,13.682,13.634,13.634,21673,0
2017-09-07,20:00:00,13.673,13.673,13.614,13.661,4926,0
2017-09-07,21:00:00,13.675,13.675,13.638,13.65,3471,0
2017-09-07,22:00:00,13.651,13.712,13.634,13.663,11308,0
2017-09-08,16:00:00,13.702,13.702,13.583,13.644,9291,0
2017-09-08,17:00:00,13.614,13.617,13.516,13.541,37852,0
2017-09-08,18:00:00,13.526,13.555,13.526,13.536,3602,0
2017-09-08,19:00:00,13.536,13.555,13.477,13.507,38307,0
2017-09-08,20:00:00,13.516,13.516,13.428,13.457,5888,0
2017-09-08,21:00:00,13.476,13.507,13.389,13.506,24692,0
2017-09-08,22:00:00,13.468,13.516,13.448,13.507,16626,0
2017-09-11,16:00:00,13.516,13.516,13.369,13.467,28470,0
2017-09-11,17:00:00,13.477,13.497,13.438,13.477,11925,0
2017-09-11,18:00:00,13.477,13.526,13.477,13.487,17269,0
2017-09-11,19:00:00,13.487,13.536,13.487,13.536,8469,0
2017-09-11,20:00:00,13.516,13.546,13.507,13.526,6329,0
2017-09-11,21:00:00,13.546,13.565,13.536,13.555,10346,0
2017-09-11,22:00:00,13.548,13.565,13.526,13.565,15099,0
2017-09-12,16:00:00,13.614,13.712,13.605,13.712,12729,0
2017-09-12,17:00:00,13.712,13.712,13.663,13.702,10828,0
2017-09-12,18:00:00,13.712,13.722,13.653,13.719,14384,0
2017-09-12,19:00:00,13.722,13.722,13.684,13.722,4689,0
2017-09-12,20:00:00,13.722,13.732,13.69,13.692,2578,0
2017-09-12,21:00:00,13.693,13.693,13.665,13.665,1797,0
2017-09-12,22:00:00,13.693,13.702,13.673,13.693,25419,0
2017-09-13,16:00:00,13.732,13.751,13.712,13.746,14525,0
2017-09-13,17:00:00,13.744,13.749,13.693,13.732,34652,0
2017-09-13,18:00:00,13.732,13.791,13.723,13.776,17702,0
2017-09-13,19:00:00,13.779,13.781,13.737,13.751,10648,0
2017-09-13,20:00:00,13.756,13.781,13.702,13.762,25516,0
2017-09-13,21:00:00,13.745,13.791,13.745,13.761,13597,0
2017-09-13,22:00:00,13.791,13.791,13.761,13.761,12648,0
2017-09-14,16:00:00,13.751,13.79,13.712,13.722,16016,0
2017-09-14,17:00:00,13.722,13.741,13.663,13.672,16016,0
2017-09-14,18:00:00,13.672,13.683,13.634,13.634,10254,0
2017-09-14,19:00:00,13.634,13.673,13.615,13.644,11379,0
2017-09-14,20:00:00,13.644,13.681,13.624,13.673,9075,0
2017-09-14,21:00:00,13.673,13.673,13.644,13.663,4453,0
2017-09-14,22:00:00,13.668,13.742,13.653,13.683,16644,0
2017-09-15,16:00:00,13.663,13.683,13.64,13.673,11854,0
2017-09-15,17:00:00,13.666,13.712,13.644,13.664,24663,0
2017-09-15,18:00:00,13.683,13.711,13.649,13.674,30961,0
