Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-11,16:00:00,80.421,80.421,80.283,80.283,1706,0
2017-08-11,17:00:00,80.481,80.55,80.471,80.471,1769,0
2017-08-11,18:00:00,80.519,80.519,80.421,80.421,908,0
2017-08-11,19:00:00,80.496,80.496,80.496,80.496,120,0
2017-08-11,20:00:00,80.491,80.53,80.49,80.49,1211,0
2017-08-11,22:00:00,80.374,80.452,80.312,80.312,16167,0
2017-08-14,16:00:00,81.079,81.079,81.079,81.079,138,0
2017-08-14,17:00:00,80.986,81.125,80.986,81.125,450,0
2017-08-14,18:00:00,81.125,81.204,81.105,81.105,1009,0
2017-08-14,19:00:00,81.144,81.144,81.144,81.144,202,0
2017-08-14,22:00:00,81.121,81.154,81.115,81.115,680,0
2017-08-15,16:00:00,81.174,81.174,81.091,81.125,3722,0
2017-08-15,17:00:00,81.055,81.055,80.926,80.926,303,0
2017-08-15,18:00:00,80.976,80.976,80.976,80.976,323,0
2017-08-15,22:00:00,81.045,81.089,80.986,80.986,1679,0
2017-08-16,16:00:00,81.333,81.333,81.333,81.333,551,0
2017-08-16,17:00:00,81.323,81.365,81.314,81.365,454,0
2017-08-16,18:00:00,81.323,81.329,81.253,81.329,913,0
2017-08-16,20:00:00,81.263,81.263,81.263,81.263,121,0
2017-08-16,21:00:00,81.313,81.313,81.184,81.184,716,0
2017-08-16,22:00:00,81.303,81.303,81.242,81.263,522,0
2017-08-17,17:00:00,81.045,81.045,80.877,80.877,420,0
2017-08-17,18:00:00,80.946,80.946,80.867,80.867,851,0
2017-08-17,19:00:00,80.65,80.65,80.599,80.599,202,0
2017-08-17,20:00:00,80.58,80.609,80.53,80.57,1918,0
2017-08-17,21:00:00,80.571,80.58,80.451,80.5,5019,0
2017-08-17,22:00:00,80.461,80.461,80.193,80.193,3252,0
2017-08-18,16:00:00,80.223,80.223,80.144,80.144,331,0
2017-08-18,17:00:00,80.144,80.173,80.144,80.144,1082,0
2017-08-18,18:00:00,80.169,80.169,80.169,80.169,252,0
2017-08-18,19:00:00,80.391,80.401,80.389,80.389,962,0
2017-08-18,20:00:00,80.312,80.327,80.302,80.302,7672,0
2017-08-18,21:00:00,80.302,80.302,80.291,80.291,7503,0
2017-08-18,22:00:00,80.253,80.312,80.154,80.223,885,0
