Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,40.93,40.99,40.93,40.99,5247,0
2017-09-05,17:00:00,41,41.17,41,41.09,1750,0
2017-09-05,18:00:00,41.04,41.055,40.96,40.96,3775,0
2017-09-05,19:00:00,40.96,40.99,40.85,40.8748,2067,0
2017-09-05,20:00:00,40.82,40.859,40.82,40.8524,877,0
2017-09-05,21:00:00,40.8692,40.8879,40.85,40.8726,972,0
2017-09-05,22:00:00,40.88,40.89,40.83,40.87,3828,0
2017-09-06,16:00:00,40.89,40.921,40.87,40.89,2177,0
2017-09-06,17:00:00,40.91,40.91,40.86,40.86,200,0
2017-09-06,18:00:00,40.93,41,40.93,40.96,2355,0
2017-09-06,19:00:00,41.01,41.01,40.97,40.97,719,0
2017-09-06,20:00:00,40.9744,40.9803,40.967,40.977,1391,0
2017-09-06,21:00:00,41.0437,41.0628,41.01,41.02,1010,0
2017-09-06,22:00:00,41.0293,41.06,41,41.06,2773,0
2017-09-07,16:00:00,41.07,41.07,40.93,40.93,520,0
2017-09-07,17:00:00,40.91,41,40.91,40.95,1257,0
2017-09-07,18:00:00,40.918,40.97,40.8905,40.8905,2884,0
2017-09-07,19:00:00,40.9236,40.949,40.9236,40.9409,2701,0
2017-09-07,20:00:00,40.96,40.96,40.932,40.932,838,0
2017-09-07,21:00:00,40.9222,40.98,40.9222,40.98,4759,0
2017-09-07,22:00:00,40.94,41.01,40.94,41.01,3736,0
2017-09-08,16:00:00,40.79,40.79,40.7,40.75,57843,0
2017-09-08,17:00:00,40.75,40.75,40.62,40.62,2472,0
2017-09-08,18:00:00,40.5065,40.5625,40.4898,40.5625,5342,0
2017-09-08,19:00:00,40.5488,40.5515,40.5128,40.5128,1187,0
2017-09-08,20:00:00,40.51,40.52,40.4432,40.4432,2831,0
2017-09-08,21:00:00,40.47,40.47,40.4302,40.46,11763,0
2017-09-08,22:00:00,40.4538,40.47,40.4485,40.47,2287,0
2017-09-11,16:00:00,40.39,40.39,40.37,40.388,3073,0
2017-09-11,17:00:00,40.33,40.34,40.29,40.3,553,0
2017-09-11,18:00:00,40.38,40.467,40.38,40.467,563,0
2017-09-11,19:00:00,40.4924,40.5203,40.4886,40.5203,3622,0
2017-09-11,20:00:00,40.4803,40.5064,40.48,40.481,1581,0
2017-09-11,21:00:00,40.5036,40.522,40.5036,40.515,768,0
2017-09-11,22:00:00,40.5459,40.549,40.51,40.51,4420,0
2017-09-12,16:00:00,40.3,40.4756,40.3,40.4756,672,0
2017-09-12,17:00:00,40.4675,40.48,40.4303,40.4303,8444,0
2017-09-12,18:00:00,40.44,40.53,40.42,40.5293,15821,0
2017-09-12,19:00:00,40.4201,40.4201,40.375,40.3776,1049,0
2017-09-12,20:00:00,40.3805,40.4,40.37,40.39,5358,0
2017-09-12,21:00:00,40.39,40.47,40.39,40.4,4406,0
2017-09-12,22:00:00,40.4344,40.46,40.41,40.46,2182,0
2017-09-13,16:00:00,40.28,40.28,40.1203,40.1723,2750,0
2017-09-13,17:00:00,40.1768,40.1768,40.091,40.11,2012,0
2017-09-13,18:00:00,40.17,40.32,40.17,40.248,653,0
2017-09-13,19:00:00,40.197,40.23,40.1939,40.1939,614,0
2017-09-13,20:00:00,40.242,40.293,40.242,40.293,293,0
2017-09-13,21:00:00,40.2671,40.298,40.25,40.298,4377,0
2017-09-13,22:00:00,40.29,40.2999,40.25,40.27,5476,0
2017-09-14,16:00:00,40.3,40.3662,40.2665,40.2665,1978,0
2017-09-14,17:00:00,40.29,40.3084,40.2,40.2434,22245,0
2017-09-14,18:00:00,40.27,40.27,40.159,40.19,1683,0
2017-09-14,19:00:00,40.1712,40.19,40.1467,40.1529,5475,0
2017-09-14,20:00:00,40.1556,40.192,40.13,40.1752,9530,0
2017-09-14,21:00:00,40.1544,40.16,40.115,40.16,2325,0
2017-09-14,22:00:00,40.16,40.19,40.12,40.12,27658,0
2017-09-15,16:00:00,40.24,40.31,40.24,40.24,1937,0
2017-09-15,17:00:00,40.33,40.339,40.2,40.222,962,0
2017-09-15,18:00:00,40.2984,40.2984,40.2984,40.2984,202,0
2017-09-15,19:00:00,40.35,40.35,40.35,40.35,200,0
2017-09-15,20:00:00,40.3232,40.38,40.3232,40.34,1832,0
2017-09-15,21:00:00,40.3698,40.44,40.35,40.42,3344,0
2017-09-15,22:00:00,40.43,40.43,40.39,40.42,3596,0
2017-09-18,16:00:00,40.42,40.44,40.3764,40.4201,2366,0
2017-09-18,17:00:00,40.42,40.42,40.38,40.39,2177,0
2017-09-18,18:00:00,40.372,40.4,40.3542,40.365,821,0
2017-09-18,19:00:00,40.3755,40.385,40.331,40.3789,4801,0
2017-09-18,20:00:00,40.3803,40.4107,40.365,40.4037,2307,0
2017-09-18,21:00:00,40.435,40.4399,40.337,40.337,5833,0
2017-09-18,22:00:00,40.381,40.41,40.372,40.41,2426,0
2017-09-19,16:00:00,40.09,40.47,40.09,40.45,3003,0
2017-09-19,17:00:00,40.35,40.41,40.31,40.41,4655,0
2017-09-19,18:00:00,40.49,40.49,40.4,40.404,6035,0
2017-09-19,19:00:00,40.39,40.39,40.37,40.3701,329,0
