Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,120.08,120.1,119.82,120.04,16790,0
2017-09-06,17:00:00,120.13,120.27,119.97,120.05,22980,0
2017-09-06,18:00:00,120.06,120.06,119.68,119.76,13294,0
2017-09-06,19:00:00,119.76,119.81,119.68,119.81,15558,0
2017-09-06,20:00:00,119.81,120.1,119.81,120.01,31110,0
2017-09-06,21:00:00,119.96,120.09,119.88,119.98,63123,0
2017-09-06,22:00:00,119.99,120.19,119.83,119.93,96306,0
2017-09-07,16:00:00,120.05,120.05,119.39,119.41,18956,0
2017-09-07,17:00:00,119.31,119.61,119.07,119.56,19818,0
2017-09-07,18:00:00,119.55,119.57,119.04,119.12,14090,0
2017-09-07,19:00:00,119.12,119.43,119.09,119.37,13695,0
2017-09-07,20:00:00,119.36,119.43,119.16,119.16,19133,0
2017-09-07,21:00:00,119.22,119.39,119.17,119.33,15251,0
2017-09-07,22:00:00,119.37,119.47,119.34,119.42,19098,0
2017-09-08,16:00:00,119.07,119.25,118.99,119.16,29929,0
2017-09-08,17:00:00,119.17,119.61,119.17,119.6,23161,0
2017-09-08,18:00:00,119.59,119.77,119.58,119.72,16807,0
2017-09-08,19:00:00,119.64,119.81,119.46,119.8,12424,0
2017-09-08,20:00:00,119.71,119.74,119.51,119.57,28606,0
2017-09-08,21:00:00,119.62,119.95,119.62,119.84,15162,0
2017-09-08,22:00:00,119.83,119.9,119.6,119.78,21873,0
2017-09-11,16:00:00,120.62,121.18,120.62,120.96,32910,0
2017-09-11,17:00:00,121.04,121.14,120.86,121.01,26262,0
2017-09-11,18:00:00,121.07,121.24,120.94,121.24,15301,0
2017-09-11,19:00:00,121.19,121.41,121.14,121.32,10015,0
2017-09-11,20:00:00,121.32,121.42,121.24,121.25,16038,0
2017-09-11,21:00:00,121.24,121.33,121.16,121.2,17340,0
2017-09-11,22:00:00,121.22,121.34,121.12,121.17,51145,0
2017-09-12,16:00:00,121.45,121.83,121.37,121.81,28971,0
2017-09-12,17:00:00,121.86,121.92,121.72,121.72,16128,0
2017-09-12,18:00:00,121.7,122.05,121.68,121.98,18880,0
2017-09-12,19:00:00,122.05,122.15,121.97,122.14,12607,0
2017-09-12,20:00:00,122.16,122.17,122.04,122.05,15268,0
2017-09-12,21:00:00,122.04,122.09,121.93,122.08,24514,0
2017-09-12,22:00:00,122.07,122.12,121.96,122.12,25109,0
2017-09-13,16:00:00,121.97,122.14,121.96,122.03,17206,0
2017-09-13,17:00:00,122.05,122.24,121.95,122.17,22581,0
2017-09-13,18:00:00,122.17,122.23,122.11,122.17,8459,0
2017-09-13,19:00:00,122.17,122.4,122.12,122.35,24821,0
2017-09-13,20:00:00,122.36,122.38,122.25,122.32,20029,0
2017-09-13,21:00:00,122.34,122.44,122.24,122.42,12885,0
2017-09-13,22:00:00,122.39,122.4,122.12,122.25,19399,0
2017-09-14,16:00:00,122.07,122.23,121.89,122.16,20477,0
2017-09-14,17:00:00,122.16,122.26,122.06,122.19,14577,0
2017-09-14,18:00:00,122.14,122.3,122.07,122.17,16922,0
2017-09-14,19:00:00,122.19,122.29,122.14,122.14,11299,0
2017-09-14,20:00:00,122.1,122.1,121.96,122.05,11748,0
2017-09-14,21:00:00,122.05,122.09,122,122.04,53870,0
2017-09-14,22:00:00,122.06,122.08,121.92,122.08,24273,0
2017-09-15,16:00:00,121.99,122.19,121.76,122.1,41698,0
2017-09-15,17:00:00,122.07,122.14,121.93,122.04,13831,0
2017-09-15,18:00:00,122.01,122.3,122.01,122.27,17110,0
2017-09-15,19:00:00,122.3,122.41,122.26,122.37,16024,0
2017-09-15,20:00:00,122.39,122.41,122.34,122.34,14262,0
2017-09-15,21:00:00,122.36,122.55,122.34,122.49,21730,0
2017-09-15,22:00:00,122.48,122.66,122.44,122.65,31751,0
2017-09-18,16:00:00,122.85,123.39,122.76,123.24,38526,0
2017-09-18,17:00:00,123.32,123.37,123.11,123.11,115214,0
2017-09-18,18:00:00,123.14,123.22,123.06,123.12,31736,0
2017-09-18,19:00:00,123.13,123.21,123.09,123.18,19320,0
2017-09-18,20:00:00,123.17,123.37,123.17,123.35,25615,0
2017-09-18,21:00:00,123.34,123.35,123.13,123.21,22636,0
2017-09-18,22:00:00,123.2,123.28,123.15,123.28,25390,0
2017-09-19,16:00:00,123.36,123.43,123.15,123.29,24447,0
2017-09-19,17:00:00,123.31,123.34,123.16,123.24,25338,0
2017-09-19,18:00:00,123.17,123.17,122.99,123.08,22018,0
2017-09-19,19:00:00,123.04,123.24,123.04,123.18,12612,0
2017-09-19,20:00:00,123.24,123.24,123.13,123.18,17615,0
2017-09-19,21:00:00,123.15,123.24,123.13,123.15,21082,0
2017-09-19,22:00:00,123.12,123.22,123.1,123.16,32269,0
2017-09-20,16:00:00,123.26,123.31,123.15,123.25,19903,0
2017-09-20,17:00:00,123.25,123.27,123.03,123.26,720063,0
2017-09-20,18:00:00,123.35,123.5,123.29,123.46,113171,0
2017-09-20,19:00:00,123.42,123.62,123.41,123.62,14707,0
2017-09-20,20:00:00,123.62,123.63,123.46,123.52,26913,0
2017-09-20,21:00:00,123.55,123.61,123.18,123.54,82599,0
2017-09-20,22:00:00,123.52,123.59,123.39,123.51,80945,0
2017-09-21,16:00:00,123.51,123.61,123.21,123.38,27322,0
2017-09-21,17:00:00,123.39,123.49,123.25,123.36,1136398,0
2017-09-21,18:00:00,123.4,123.49,123.3,123.37,47170,0
2017-09-21,19:00:00,123.36,123.51,123.35,123.47,17432,0
2017-09-21,20:00:00,123.51,123.51,123.33,123.37,20589,0
2017-09-21,21:00:00,123.44,123.47,123.22,123.32,10727,0
2017-09-21,22:00:00,123.38,123.4,123.23,123.28,32053,0
2017-09-22,16:00:00,123.15,123.5,123.15,123.46,401406,0
2017-09-22,17:00:00,123.51,123.79,123.41,123.68,20149,0
2017-09-22,18:00:00,123.68,123.77,123.6,123.65,37158,0
2017-09-22,19:00:00,123.66,123.74,123.62,123.62,17525,0
2017-09-22,20:00:00,123.66,123.82,123.66,123.8,15691,0
2017-09-22,21:00:00,123.79,123.81,123.7,123.72,29446,0
2017-09-22,22:00:00,123.72,123.86,123.71,123.78,24422,0
2017-09-25,16:00:00,123.84,124.27,123.84,124.16,32880,0
