Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-30,16:00:00,26.38,26.5,26.372,26.372,3684,0
2017-08-30,17:00:00,26.45,26.45,26.36,26.4,1375,0
2017-08-30,18:00:00,26.37,26.37,26.36,26.36,900,0
2017-08-30,19:00:00,26.353,26.353,26.353,26.353,300,0
2017-08-30,20:00:00,26.34,26.47,26.34,26.44,600,0
2017-08-30,21:00:00,26.39,26.43,26.39,26.43,600,0
2017-08-30,22:00:00,26.48,26.48,26.46,26.47,1073,0
2017-08-31,16:00:00,26.45,26.49,26.45,26.49,200,0
2017-08-31,17:00:00,26.43,26.58,26.4001,26.53,2288,0
2017-08-31,18:00:00,26.5415,26.5472,26.5415,26.5472,502,0
2017-08-31,19:00:00,26.55,26.555,26.5248,26.555,2022,0
2017-08-31,20:00:00,26.52,26.54,26.52,26.54,1692,0
2017-08-31,21:00:00,26.56,26.56,26.37,26.37,2500,0
2017-08-31,22:00:00,26.35,26.35,26.2701,26.29,1524,0
2017-09-01,16:00:00,26.17,26.22,26.08,26.22,5898,0
2017-09-01,17:00:00,26.23,26.29,26.23,26.29,2100,0
2017-09-01,18:00:00,26.15,26.2024,26.15,26.2024,1200,0
2017-09-01,19:00:00,26.19,26.23,26.19,26.191,8271,0
2017-09-01,20:00:00,26.15,26.19,26.15,26.19,3239,0
2017-09-01,21:00:00,26.19,26.2,26.19,26.2,1445,0
2017-09-01,22:00:00,26.2024,26.21,26.12,26.18,2593,0
2017-09-05,16:00:00,26.61,26.61,26.51,26.53,2912,0
2017-09-05,17:00:00,26.56,26.64,26.53,26.64,2026,0
2017-09-05,18:00:00,26.6001,26.6297,26.56,26.56,600,0
2017-09-05,19:00:00,26.7943,26.99,26.7943,26.99,635,0
2017-09-05,20:00:00,27.155,27.155,26.74,26.75,3314,0
2017-09-05,21:00:00,26.869,26.9409,26.79,26.87,8704,0
2017-09-05,22:00:00,26.84,26.9,26.65,26.65,35457,0
2017-09-06,16:00:00,26.38,26.454,26.38,26.454,600,0
2017-09-06,17:00:00,26.44,26.81,26.42,26.72,53911,0
2017-09-06,18:00:00,26.67,26.7,26.64,26.65,2150,0
2017-09-06,19:00:00,26.7,26.71,26.7,26.71,950,0
