Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,24.282,24.322,24.148,24.202,5906489,0
2017-09-05,17:00:00,24.202,24.212,24.085,24.104,13950467,0
2017-09-05,18:00:00,24.099,24.143,24.085,24.119,11299458,0
2017-09-05,19:00:00,24.114,24.115,23.946,23.956,15004857,0
2017-09-05,20:00:00,23.956,23.985,23.886,23.976,8908152,0
2017-09-05,21:00:00,23.971,23.995,23.916,23.92,9435438,0
2017-09-05,22:00:00,23.918,23.966,23.877,23.956,30549037,0
2017-09-06,16:00:00,24.035,24.094,24.005,24.055,4486680,0
2017-09-06,17:00:00,24.05,24.104,24.015,24.05,10519418,0
2017-09-06,18:00:00,24.045,24.065,23.946,23.971,12815460,0
2017-09-06,19:00:00,23.966,24.045,23.926,24.04,10741623,0
2017-09-06,20:00:00,24.04,24.104,24.036,24.08,10718196,0
2017-09-06,21:00:00,24.08,24.124,24.065,24.075,7073348,0
2017-09-06,22:00:00,24.075,24.094,23.995,23.995,16925055,0
2017-09-07,16:00:00,24.045,24.065,23.807,23.817,6614742,0
2017-09-07,17:00:00,23.822,23.827,23.58,23.669,24356560,0
2017-09-07,18:00:00,23.669,23.699,23.502,23.526,15036601,0
2017-09-07,19:00:00,23.531,23.6,23.521,23.584,8706511,0
2017-09-07,20:00:00,23.59,23.59,23.521,23.556,4118143,0
2017-09-07,21:00:00,23.556,23.58,23.531,23.57,6270413,0
2017-09-07,22:00:00,23.57,23.62,23.551,23.59,20825694,0
2017-09-08,16:00:00,23.61,23.773,23.56,23.759,8834608,0
2017-09-08,17:00:00,23.759,23.877,23.75,23.857,12583040,0
2017-09-08,18:00:00,23.857,23.896,23.789,23.798,10300851,0
2017-09-08,19:00:00,23.8,23.857,23.788,23.857,5551710,0
2017-09-08,20:00:00,23.852,23.857,23.768,23.799,7246509,0
2017-09-08,21:00:00,23.807,23.896,23.798,23.842,4167893,0
2017-09-08,22:00:00,23.847,23.847,23.778,23.798,17328481,0
2017-09-11,16:00:00,24.085,24.212,24.035,24.099,8033426,0
2017-09-11,17:00:00,24.099,24.183,24.085,24.163,8588288,0
2017-09-11,18:00:00,24.163,24.222,24.133,24.197,12516304,0
2017-09-11,19:00:00,24.192,24.292,24.163,24.217,12118870,0
2017-09-11,20:00:00,24.222,24.262,24.207,24.222,6548519,0
2017-09-11,21:00:00,24.227,24.232,24.175,24.197,6228447,0
2017-09-11,22:00:00,24.197,24.232,24.183,24.222,17467177,0
2017-09-12,16:00:00,24.312,24.449,24.292,24.404,8795397,0
2017-09-12,17:00:00,24.4,24.429,24.362,24.424,12598963,0
2017-09-12,18:00:00,24.424,24.499,24.39,24.484,10333223,0
2017-09-12,19:00:00,24.479,24.524,24.479,24.509,7021418,0
2017-09-12,20:00:00,24.514,24.529,24.499,24.499,5723951,0
2017-09-12,21:00:00,24.504,24.519,24.449,24.519,7463631,0
2017-09-12,22:00:00,24.519,24.529,24.489,24.499,14009283,0
2017-09-13,16:00:00,24.469,24.469,24.38,24.427,5888493,0
2017-09-13,17:00:00,24.419,24.549,24.419,24.539,10449165,0
2017-09-13,18:00:00,24.54,24.549,24.499,24.499,5603660,0
2017-09-13,19:00:00,24.504,24.519,24.494,24.519,3731517,0
2017-09-13,20:00:00,24.519,24.519,24.459,24.484,4990901,0
2017-09-13,21:00:00,24.483,24.559,24.469,24.544,5765778,0
2017-09-13,22:00:00,24.541,24.559,24.519,24.559,12679638,0
2017-09-14,16:00:00,24.559,24.618,24.539,24.569,3532629,0
2017-09-14,17:00:00,24.574,24.579,24.509,24.509,6436797,0
2017-09-14,18:00:00,24.514,24.539,24.489,24.509,7145917,0
2017-09-14,19:00:00,24.509,24.539,24.499,24.539,3276368,0
2017-09-14,20:00:00,24.534,24.539,24.459,24.459,4715091,0
2017-09-14,21:00:00,24.459,24.489,24.459,24.464,4844750,0
2017-09-14,22:00:00,24.464,24.499,24.449,24.489,14087711,0
2017-09-15,16:00:00,24.459,24.555,24.429,24.49,8591278,0
2017-09-15,17:00:00,24.489,24.535,24.469,24.499,7784731,0
2017-09-15,18:00:00,24.504,24.509,24.459,24.494,4631637,0
2017-09-15,19:00:00,24.494,24.529,24.469,24.514,4065473,0
2017-09-15,20:00:00,24.515,24.539,24.509,24.529,2071365,0
2017-09-15,21:00:00,24.533,24.559,24.529,24.548,4357228,0
2017-09-15,22:00:00,24.549,24.589,24.529,24.569,17974213,0
2017-09-18,16:00:00,24.658,24.757,24.638,24.727,4942109,0
2017-09-18,17:00:00,24.722,24.747,24.707,24.717,8237747,0
2017-09-18,18:00:00,24.722,24.807,24.717,24.797,6383407,0
2017-09-18,19:00:00,24.797,24.826,24.787,24.826,3145450,0
2017-09-18,20:00:00,24.822,24.866,24.807,24.846,3599330,0
2017-09-18,21:00:00,24.851,24.866,24.826,24.851,6527264,0
2017-09-18,22:00:00,24.851,24.866,24.817,24.817,10603877,0
2017-09-19,16:00:00,24.856,24.985,24.817,24.965,5483813,0
2017-09-19,17:00:00,24.96,25.005,24.936,24.97,9082913,0
2017-09-19,18:00:00,24.965,25.025,24.936,25.02,7744597,0
2017-09-19,19:00:00,25.02,25.104,25.005,25.084,5581051,0
2017-09-19,20:00:00,25.084,25.094,25.064,25.089,3644250,0
2017-09-19,21:00:00,25.089,25.104,25.054,25.059,4608488,0
2017-09-19,22:00:00,25.059,25.074,25.025,25.025,11527442,0
2017-09-20,16:00:00,25.064,25.084,24.978,24.994,2940521,0
2017-09-20,17:00:00,24.985,25.059,24.946,25.059,4885357,0
2017-09-20,18:00:00,25.064,25.104,25.044,25.079,4759181,0
2017-09-20,19:00:00,25.079,25.104,25.044,25.059,3609022,0
2017-09-20,20:00:00,25.059,25.074,25.035,25.035,4627166,0
2017-09-20,21:00:00,25.039,25.282,25.035,25.262,19428556,0
2017-09-20,22:00:00,25.267,25.272,25.154,25.194,17105231,0
2017-09-21,16:00:00,25.134,25.312,25.114,25.159,10599862,0
2017-09-21,17:00:00,25.164,25.244,25.124,25.204,11520055,0
2017-09-21,18:00:00,25.204,25.262,25.204,25.234,4983434,0
2017-09-21,19:00:00,25.239,25.252,25.214,25.234,3588267,0
