Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-08,18:00:00,114.44,114.44,114.07,114.14,899,0
2017-08-08,19:00:00,114.41,114.55,114.41,114.53,1601,0
2017-08-08,20:00:00,114.57,114.57,114.57,114.57,760,0
2017-08-08,21:00:00,114.49,114.49,114.34,114.34,839,0
2017-08-08,22:00:00,114.34,114.47,114.34,114.47,243,0
2017-08-09,16:00:00,116.44,116.44,116.24,116.24,494,0
2017-08-09,18:00:00,116.35,116.43,116.32,116.4,19832,0
2017-08-09,19:00:00,116.24,116.24,115.89,115.89,1847,0
2017-08-09,20:00:00,115.9,115.9,115.82,115.82,482,0
2017-08-09,21:00:00,115.68,115.76,115.68,115.76,236,0
2017-08-09,22:00:00,115.87,115.92,115.58,115.58,5269,0
2017-08-10,16:00:00,116.19,116.36,116.19,116.36,773,0
2017-08-10,17:00:00,116.42,116.52,116.32,116.32,1570,0
2017-08-10,18:00:00,116.1,116.46,116.1,116.19,4990,0
2017-08-10,19:00:00,116.17,116.17,116.17,116.17,102,0
2017-08-10,20:00:00,116.23,116.7,116,116.7,810,0
2017-08-10,21:00:00,116.85,117.03,116.38,117.03,1946,0
2017-08-10,22:00:00,117.06,117.43,117.06,117.24,9724,0
2017-08-11,16:00:00,116.38,116.38,116.38,116.38,177,0
2017-08-11,17:00:00,116.59,116.71,116.5,116.5,2091,0
2017-08-11,18:00:00,116.63,116.96,116.63,116.96,851,0
2017-08-11,19:00:00,116.88,116.88,116.88,116.88,102,0
2017-08-11,20:00:00,117,117,117,117,254,0
2017-08-11,21:00:00,116.99,116.99,116.99,116.99,202,0
2017-08-11,22:00:00,116.95,117.3,116.93,117.3,2382,0
2017-08-14,16:00:00,116.67,116.67,116.67,116.67,189,0
2017-08-14,17:00:00,116.67,116.67,116.61,116.61,354,0
2017-08-14,18:00:00,116.86,116.88,116.86,116.88,482,0
2017-08-14,19:00:00,116.74,116.96,116.74,116.96,406,0
2017-08-14,20:00:00,116.84,116.84,116.46,116.64,406,0
2017-08-14,21:00:00,116.53,116.53,116.53,116.53,229,0
2017-08-14,22:00:00,116.56,116.56,116.3,116.3,219,0
2017-08-15,16:00:00,114.93,115.47,114.63,115.47,2054,0
2017-08-15,17:00:00,115.26,115.36,115.26,115.36,214,0
2017-08-15,18:00:00,115.39,115.86,115.39,115.82,406,0
2017-08-15,19:00:00,115.79,115.85,115.76,115.76,1555,0
2017-08-15,20:00:00,115.87,115.87,115.66,115.66,810,0
2017-08-15,21:00:00,115.57,115.61,115.57,115.61,246,0
2017-08-15,22:00:00,115.71,115.71,115.21,115.59,21463,0
2017-08-16,16:00:00,115.08,115.08,115.08,115.08,145,0
2017-08-16,18:00:00,115.77,115.77,115.77,115.77,202,0
2017-08-16,19:00:00,115.41,115.63,115.41,115.63,1536,0
2017-08-16,20:00:00,116.07,116.07,116.05,116.06,2026,0
2017-08-16,21:00:00,115.87,116.47,115.67,116.39,2670,0
2017-08-17,16:00:00,116.22,116.22,116.22,116.22,427,0
2017-08-17,17:00:00,116.17,116.63,116.17,116.54,1799,0
2017-08-17,18:00:00,116.49,116.66,116.49,116.59,1014,0
2017-08-17,19:00:00,116.83,116.83,116.75,116.75,202,0
2017-08-17,20:00:00,116.97,117.06,116.97,117.06,2634,0
2017-08-17,21:00:00,116.95,117.19,116.91,117.19,4458,0
2017-08-17,22:00:00,117.14,117.45,117.14,117.28,1703,0
2017-08-18,16:00:00,117.86,118.22,117.86,118.22,760,0
2017-08-18,17:00:00,118.05,118.05,117.87,117.87,993,0
2017-08-18,18:00:00,117.84,117.84,117.14,117.64,5959,0
2017-08-18,19:00:00,117.36,117.4,116.96,116.96,5622,0
2017-08-18,20:00:00,117.09,117.09,117.09,117.09,117,0
2017-08-18,21:00:00,117.4,117.45,117.39,117.39,1922,0
2017-08-18,22:00:00,117.43,117.54,117.29,117.29,1511,0
2017-08-21,16:00:00,117.55,117.55,117.55,117.55,304,0
2017-08-21,17:00:00,117.78,117.78,117.78,117.78,202,0
2017-08-21,18:00:00,117.35,117.35,117.35,117.35,490,0
2017-08-21,19:00:00,117.35,117.35,117.35,117.35,202,0
2017-08-21,20:00:00,117.66,117.66,117.66,117.66,102,0
2017-08-21,22:00:00,117.62,117.68,117.61,117.68,1780,0
2017-08-22,16:00:00,117.4,117.4,117.07,117.07,202,0
2017-08-22,17:00:00,117.23,117.5,117.23,117.49,1291,0
2017-08-22,18:00:00,117.45,117.64,117.45,117.64,1408,0
2017-08-22,19:00:00,117.41,117.56,117.15,117.15,358,0
2017-08-22,20:00:00,117.27,117.27,117.27,117.27,102,0
2017-08-22,21:00:00,117.01,117.27,117.01,117.27,3553,0
2017-08-22,22:00:00,116.88,117.26,116.88,117.26,506,0
2017-08-23,16:00:00,118.1,118.1,118.1,118.1,428,0
2017-08-23,17:00:00,118.04,118.04,118.04,118.04,102,0
2017-08-23,18:00:00,117.88,117.88,117.88,117.88,102,0
2017-08-23,19:00:00,117.89,117.89,117.89,117.89,202,0
2017-08-23,20:00:00,117.85,117.85,117.84,117.84,304,0
2017-08-23,21:00:00,118.09,118.1,118.09,118.1,304,0
2017-08-23,22:00:00,118.2,118.48,118.09,118.48,6098,0
2017-08-24,16:00:00,117.85,118.2,117.52,118.2,3267,0
2017-08-24,17:00:00,118.28,118.32,118.28,118.28,304,0
2017-08-24,18:00:00,117.62,118.03,117.62,118.03,669,0
2017-08-24,19:00:00,117.86,117.86,117.86,117.86,426,0
2017-08-24,21:00:00,117.76,117.76,117.76,117.76,108,0
2017-08-24,22:00:00,117.75,117.78,117.62,117.72,2704,0
2017-08-25,16:00:00,117.86,117.89,117.86,117.89,584,0
2017-08-25,17:00:00,117.63,118.03,117.63,118,304,0
2017-08-25,18:00:00,118.33,118.39,118.08,118.08,1722,0
2017-08-25,19:00:00,118.11,118.11,118.11,118.11,102,0
2017-08-25,20:00:00,117.96,117.96,117.96,117.96,304,0
2017-08-25,21:00:00,118.31,118.31,118.31,118.31,102,0
2017-08-25,22:00:00,118.34,118.47,118.34,118.46,304,0
2017-08-28,16:00:00,117.93,117.93,117.73,117.73,202,0
2017-08-28,17:00:00,117.93,118.05,117.9,118.01,578,0
2017-08-28,18:00:00,118.12,118.25,117.98,117.98,2026,0
2017-08-28,19:00:00,117.64,117.64,117.6,117.6,406,0
2017-08-28,20:00:00,118.15,118.15,118.15,118.15,102,0
2017-08-29,16:00:00,119.62,119.63,119.55,119.55,1906,0
2017-08-29,17:00:00,119.42,119.42,119.09,119.09,2061,0
2017-08-29,18:00:00,119.07,119.07,118.64,118.64,1925,0
2017-08-29,19:00:00,118.64,118.64,118.33,118.33,1082,0
2017-08-29,20:00:00,118.35,118.84,118.34,118.34,3879,0
2017-08-29,22:00:00,118.3,118.5,118.19,118.36,838,0
2017-08-30,17:00:00,117.91,118.15,117.9,118.15,608,0
2017-08-30,18:00:00,118.45,118.68,118.45,118.68,3402,0
2017-08-30,19:00:00,118.53,118.53,118.24,118.45,1317,0
2017-08-30,20:00:00,118.37,118.37,118.35,118.35,202,0
2017-08-30,21:00:00,117.96,117.96,117.88,117.88,293,0
2017-08-30,22:00:00,118.03,118.71,118.03,118.59,5743,0
2017-08-31,17:00:00,118.8,118.8,118.76,118.76,244,0
2017-08-31,18:00:00,118.63,118.85,118.63,118.85,491,0
2017-08-31,20:00:00,118.68,118.74,118.62,118.74,2270,0
2017-08-31,21:00:00,118.57,118.83,118.57,118.83,710,0
2017-08-31,22:00:00,118.96,119.27,118.92,118.99,9443,0
2017-09-01,16:00:00,118.35,118.35,118.35,118.35,666,0
2017-09-01,17:00:00,117.55,117.55,117.46,117.53,676,0
2017-09-01,18:00:00,118.19,118.19,118.19,118.19,102,0
2017-09-01,19:00:00,117.94,117.94,117.94,117.94,102,0
2017-09-01,20:00:00,117.81,117.81,117.81,117.81,121,0
2017-09-01,21:00:00,117.7,117.7,117.7,117.7,411,0
2017-09-01,22:00:00,117.62,117.62,117.22,117.27,44593,0
2017-09-05,16:00:00,119.02,119.02,119.02,119.02,102,0
2017-09-05,17:00:00,119.36,119.61,119.36,119.61,1165,0
2017-09-05,18:00:00,119.63,119.71,119.57,119.57,974,0
2017-09-05,19:00:00,119.49,119.73,119.49,119.73,1262,0
2017-09-05,20:00:00,120.05,120.19,119.88,119.88,1722,0
2017-09-05,21:00:00,119.83,119.86,119.83,119.86,2938,0
2017-09-05,22:00:00,119.95,120.1,119.94,120.1,2781,0
2017-09-06,16:00:00,120.26,120.26,120.01,120.01,506,0
2017-09-06,17:00:00,120.19,120.27,120.01,120.26,1865,0
2017-09-06,18:00:00,120.47,120.47,120.47,120.47,102,0
2017-09-06,19:00:00,120.46,120.46,120.45,120.45,406,0
2017-09-06,20:00:00,119.59,119.59,119.44,119.44,222,0
2017-09-06,21:00:00,119.31,119.31,119.07,119.07,304,0
2017-09-06,22:00:00,118.97,119.08,118.89,118.89,3910,0
2017-09-07,17:00:00,120.46,121.05,120.46,120.91,1184,0
2017-09-07,18:00:00,121.62,121.62,121.4,121.4,922,0
2017-09-07,19:00:00,120.93,120.93,120.44,120.72,1770,0
2017-09-07,20:00:00,120.48,120.7,120.48,120.7,269,0
2017-09-07,21:00:00,120.57,120.59,120.57,120.59,273,0
2017-09-07,22:00:00,120.98,120.98,120.98,120.98,642,0
2017-09-08,16:00:00,121.06,121.06,120.56,120.56,1620,0
2017-09-08,17:00:00,120.33,120.43,120.23,120.23,493,0
2017-09-08,19:00:00,120.35,120.4,120.13,120.17,604,0
2017-09-08,20:00:00,120.15,120.4,120.15,120.16,415,0
2017-09-08,21:00:00,120.15,120.15,120.15,120.15,354,0
2017-09-08,22:00:00,120.24,120.61,120.24,120.38,632,0
2017-09-11,16:00:00,118.92,118.92,118.92,118.92,601,0
2017-09-11,17:00:00,119.27,119.39,118.93,119.07,17682,0
2017-09-11,18:00:00,118.52,119.01,118.52,118.88,800,0
2017-09-11,19:00:00,118.45,118.52,118.42,118.42,825,0
2017-09-11,20:00:00,118.45,118.45,118.03,118.35,872,0
2017-09-11,21:00:00,118.41,118.65,118.41,118.65,406,0
2017-09-11,22:00:00,118.48,118.48,118.23,118.26,6404,0
2017-09-12,16:00:00,118.07,118.07,118.07,118.07,102,0
2017-09-12,17:00:00,117.6,117.64,117.6,117.61,425,0
2017-09-12,18:00:00,117.52,117.73,117.52,117.73,3951,0
2017-09-12,19:00:00,117.53,117.55,117.48,117.55,517,0
2017-09-12,20:00:00,117.45,117.48,117.45,117.48,406,0
