Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-28,16:00:00,25.065,25.065,25.065,25.065,638,0
2017-08-28,17:00:00,25.037,25.065,24.988,24.988,8890,0
2017-08-28,19:00:00,25.037,25.037,24.98,24.98,733,0
2017-08-28,20:00:00,25.008,25.037,25.008,25.037,378,0
2017-08-28,21:00:00,25.017,25.037,25.017,25.026,504,0
2017-08-28,22:00:00,25.026,25.037,25.026,25.037,754,0
2017-08-29,16:00:00,25.037,25.065,25.037,25.055,2228,0
2017-08-29,17:00:00,25.075,25.132,25.075,25.132,524,0
2017-08-29,18:00:00,25.142,25.142,25.094,25.104,2229,0
2017-08-29,19:00:00,25.102,25.122,25.084,25.084,3035,0
2017-08-29,20:00:00,25.112,25.112,25.084,25.112,1902,0
2017-08-29,21:00:00,25.075,25.112,25.075,25.094,3691,0
2017-08-29,22:00:00,25.075,25.094,25.055,25.075,6410,0
2017-08-30,16:00:00,25.094,25.094,24.987,25.055,1693,0
2017-08-30,17:00:00,25.1,25.123,25.1,25.123,278,0
2017-08-30,18:00:00,25.113,25.113,25.031,25.075,1342,0
2017-08-30,19:00:00,25.046,25.073,25.046,25.049,2157,0
2017-08-30,20:00:00,25.093,25.113,25.073,25.094,2443,0
2017-08-30,21:00:00,25.075,25.094,25.055,25.055,1119,0
2017-08-30,22:00:00,25.094,25.113,25.094,25.113,3593,0
2017-08-31,16:00:00,25.113,25.116,25.075,25.102,1652,0
2017-08-31,18:00:00,25.104,25.104,25.104,25.104,239,0
2017-08-31,19:00:00,25.104,25.104,25.104,25.104,206,0
2017-08-31,20:00:00,25.143,25.143,25.094,25.133,630,0
2017-08-31,21:00:00,25.11,25.152,25.107,25.152,1794,0
2017-08-31,22:00:00,25.152,25.181,25.118,25.172,9590,0
2017-09-01,16:00:00,25.172,25.172,25.065,25.065,661,0
2017-09-01,17:00:00,25.172,25.172,25.162,25.162,1652,0
2017-09-01,18:00:00,25.133,25.135,25.086,25.086,3280,0
2017-09-01,19:00:00,25.108,25.133,25.104,25.133,2136,0
2017-09-01,20:00:00,25.139,25.162,25.139,25.162,884,0
2017-09-01,21:00:00,25.139,25.139,25.139,25.139,104,0
2017-09-01,22:00:00,25.162,25.162,25.162,25.162,239,0
2017-09-05,16:00:00,25.085,25.085,25.085,25.085,620,0
2017-09-05,17:00:00,25.162,25.162,25.139,25.139,1342,0
2017-09-05,18:00:00,25.116,25.152,25.116,25.123,1339,0
2017-09-05,19:00:00,25.094,25.105,25.094,25.094,3604,0
2017-09-05,20:00:00,25.124,25.124,25.124,25.124,1032,0
2017-09-05,21:00:00,25.143,25.162,25.133,25.133,2168,0
2017-09-05,22:00:00,25.181,25.181,25.173,25.18,2683,0
2017-09-06,16:00:00,25.23,25.249,25.23,25.23,2131,0
2017-09-06,17:00:00,25.249,25.249,25.249,25.249,1032,0
2017-09-06,18:00:00,25.239,25.24,25.23,25.239,1445,0
2017-09-06,19:00:00,25.231,25.231,25.231,25.231,412,0
2017-09-06,20:00:00,25.248,25.249,25.242,25.249,1136,0
2017-09-06,21:00:00,25.239,25.239,25.239,25.239,124,0
2017-09-06,22:00:00,25.231,25.249,25.23,25.249,4012,0
2017-09-07,17:00:00,25.278,25.284,25.278,25.278,2477,0
2017-09-07,18:00:00,25.336,25.336,25.3,25.3,1703,0
2017-09-07,19:00:00,25.288,25.346,25.288,25.312,2787,0
2017-09-07,20:00:00,25.303,25.322,25.303,25.322,230,0
2017-09-07,21:00:00,25.288,25.288,25.239,25.239,4800,0
2017-09-07,22:00:00,25.239,25.356,25.239,25.288,9269,0
2017-09-08,16:00:00,25.278,25.278,25.278,25.278,412,0
2017-09-08,17:00:00,25.25,25.265,25.25,25.265,1445,0
2017-09-08,18:00:00,25.298,25.298,25.288,25.288,2425,0
2017-09-08,19:00:00,25.278,25.278,25.249,25.249,1135,0
2017-09-08,20:00:00,25.278,25.288,25.268,25.288,1878,0
2017-09-08,21:00:00,25.286,25.286,25.281,25.281,315,0
2017-09-08,22:00:00,25.276,25.278,25.268,25.268,2002,0
2017-09-11,16:00:00,25.278,25.284,25.278,25.284,2154,0
2017-09-11,17:00:00,25.278,25.278,25.278,25.278,1136,0
2017-09-11,18:00:00,25.288,25.298,25.288,25.289,941,0
2017-09-11,20:00:00,25.298,25.298,25.298,25.298,250,0
2017-09-11,21:00:00,25.298,25.385,25.298,25.385,11161,0
2017-09-11,22:00:00,25.385,25.385,25.336,25.336,3270,0
2017-09-12,16:00:00,25.404,25.617,25.394,25.424,6915,0
2017-09-12,17:00:00,25.434,25.456,25.394,25.414,3364,0
2017-09-12,18:00:00,25.433,25.482,25.433,25.482,1150,0
2017-09-12,20:00:00,25.482,25.511,25.482,25.482,1993,0
2017-09-12,21:00:00,25.482,25.55,25.482,25.544,2322,0
2017-09-12,22:00:00,25.55,25.637,25.55,25.627,23233,0
2017-09-13,16:00:00,25.637,25.637,25.637,25.637,412,0
2017-09-13,17:00:00,25.559,25.637,25.532,25.532,1421,0
2017-09-13,18:00:00,25.53,25.569,25.482,25.54,3884,0
2017-09-13,19:00:00,25.501,25.501,25.494,25.494,620,0
2017-09-13,20:00:00,25.501,25.501,25.501,25.501,1342,0
2017-09-13,21:00:00,25.501,25.569,25.501,25.545,3096,0
2017-09-13,22:00:00,25.547,25.55,25.52,25.55,2271,0
2017-09-14,16:00:00,25.472,25.472,25.472,25.472,392,0
