Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,63.12,63.21,62.911,62.981,37304,0
2017-09-06,17:00:00,62.951,63.095,62.921,63.025,72064,0
2017-09-06,18:00:00,63.02,63.06,62.761,62.921,72547,0
2017-09-06,19:00:00,62.901,62.951,62.851,62.911,39695,0
2017-09-06,20:00:00,62.891,63.05,62.841,62.961,88743,0
2017-09-06,21:00:00,62.959,63.21,62.921,63.11,86995,0
2017-09-06,22:00:00,63.11,63.19,63.045,63.18,329119,0
2017-09-07,16:00:00,63.229,63.229,62.632,62.632,24252,0
2017-09-07,17:00:00,62.622,63.011,62.542,62.951,70727,0
2017-09-07,18:00:00,62.961,63.02,62.741,62.811,44846,0
2017-09-07,19:00:00,62.801,62.931,62.741,62.911,26314,0
2017-09-07,20:00:00,62.911,62.971,62.851,62.971,43382,0
2017-09-07,21:00:00,62.971,63.16,62.951,63.14,55175,0
2017-09-07,22:00:00,63.14,63.348,63.11,63.318,298643,0
2017-09-08,16:00:00,63.239,63.239,63.001,63.17,15822,0
2017-09-08,17:00:00,63.249,63.718,63.14,63.718,42448,0
2017-09-08,18:00:00,63.757,63.896,63.688,63.886,49369,0
2017-09-08,19:00:00,63.866,63.896,63.807,63.822,31102,0
2017-09-08,20:00:00,63.822,63.996,63.797,63.837,98301,0
2017-09-08,21:00:00,63.827,63.856,63.757,63.837,180548,0
2017-09-08,22:00:00,63.837,63.876,63.598,63.736,210782,0
2017-09-11,16:00:00,64.035,64.185,63.846,63.936,48993,0
2017-09-11,17:00:00,63.916,63.916,63.578,63.728,104301,0
2017-09-11,18:00:00,63.728,64.055,63.608,63.946,106997,0
2017-09-11,19:00:00,63.946,63.961,63.797,63.946,63466,0
2017-09-11,20:00:00,63.976,64.006,63.846,63.876,65207,0
2017-09-11,21:00:00,63.886,64.235,63.876,64.095,115187,0
2017-09-11,22:00:00,64.095,64.215,64.065,64.125,389417,0
2017-09-12,16:00:00,64.285,64.653,64.255,64.543,39755,0
2017-09-12,17:00:00,64.503,64.516,64.24,64.325,32403,0
2017-09-12,18:00:00,64.345,64.395,64.265,64.285,23216,0
2017-09-12,19:00:00,64.295,64.404,64.235,64.385,35266,0
2017-09-12,20:00:00,64.395,64.404,64.295,64.355,17623,0
2017-09-12,21:00:00,64.35,64.523,64.325,64.503,67490,0
2017-09-12,22:00:00,64.503,64.743,64.483,64.633,455709,0
2017-09-13,16:00:00,64.444,64.623,64.275,64.503,29770,0
2017-09-13,17:00:00,64.503,64.683,64.424,64.663,36000,0
2017-09-13,18:00:00,64.653,64.683,64.414,64.583,92745,0
2017-09-13,19:00:00,64.583,64.822,64.503,64.803,54677,0
2017-09-13,20:00:00,64.803,64.822,64.693,64.723,18435,0
2017-09-13,21:00:00,64.713,64.822,64.673,64.763,29767,0
2017-09-13,22:00:00,64.763,64.822,64.713,64.812,185713,0
2017-09-14,16:00:00,64.803,64.842,64.573,64.573,92394,0
2017-09-14,17:00:00,64.573,64.812,64.503,64.783,83875,0
2017-09-14,18:00:00,64.773,64.922,64.653,64.882,38807,0
2017-09-14,19:00:00,64.892,65.021,64.862,64.937,32046,0
2017-09-14,20:00:00,64.922,64.981,64.902,64.961,27568,0
2017-09-14,21:00:00,64.952,65.041,64.887,65.021,84521,0
2017-09-14,22:00:00,65.031,65.101,64.961,65.061,313714,0
2017-09-15,16:00:00,65.021,65.639,64.912,65.001,276851,0
2017-09-15,17:00:00,65.016,65.081,64.862,65.031,133672,0
2017-09-15,18:00:00,65.031,65.121,65.021,65.101,68557,0
2017-09-15,19:00:00,65.111,65.181,65.091,65.106,35670,0
2017-09-15,20:00:00,65.106,65.121,65.056,65.101,46287,0
2017-09-15,21:00:00,65.106,65.121,65.071,65.091,88682,0
2017-09-15,22:00:00,65.086,65.161,65.041,65.131,456071,0
2017-09-18,16:00:00,65.291,65.361,65.161,65.181,47459,0
2017-09-18,17:00:00,65.186,65.59,65.171,65.511,114425,0
2017-09-18,18:00:00,65.53,65.769,65.53,65.769,95296,0
2017-09-18,19:00:00,65.789,65.889,65.769,65.799,39798,0
2017-09-18,20:00:00,65.809,65.974,65.789,65.919,141138,0
2017-09-18,21:00:00,65.907,65.949,65.839,65.929,84252,0
2017-09-18,22:00:00,65.929,66.158,65.919,66.108,330853,0
2017-09-19,16:00:00,65.999,66.148,65.859,66.073,37871,0
2017-09-19,17:00:00,66.059,66.078,65.899,65.909,91427,0
2017-09-19,18:00:00,65.879,66.098,65.839,66.059,80248,0
2017-09-19,19:00:00,66.038,66.138,66.009,66.098,21129,0
2017-09-19,20:00:00,66.098,66.123,66.044,66.108,28130,0
2017-09-19,21:00:00,66.108,66.218,66.088,66.098,47912,0
2017-09-19,22:00:00,66.108,66.288,66.108,66.168,268089,0
2017-09-20,16:00:00,66.328,66.434,66.108,66.248,35925,0
2017-09-20,17:00:00,66.238,66.298,66.118,66.268,102786,0
2017-09-20,18:00:00,66.268,66.368,66.218,66.288,211693,0
2017-09-20,19:00:00,66.288,66.358,66.278,66.288,43928,0
2017-09-20,20:00:00,66.278,66.283,66.078,66.118,53289,0
2017-09-20,21:00:00,66.098,66.178,65.879,66.059,159263,0
2017-09-20,22:00:00,66.049,66.278,65.969,66.198,412745,0
2017-09-21,16:00:00,66.158,66.348,66.138,66.223,29283,0
2017-09-21,17:00:00,66.238,66.497,66.238,66.378,44109,0
2017-09-21,18:00:00,66.368,66.477,66.368,66.417,77275,0
2017-09-21,19:00:00,66.417,66.437,66.238,66.288,50604,0
2017-09-21,20:00:00,66.298,66.323,66.088,66.118,96995,0
2017-09-21,21:00:00,66.118,66.148,65.989,66.039,68833,0
2017-09-21,22:00:00,66.029,66.039,65.829,65.909,390056,0
2017-09-22,16:00:00,65.869,65.969,65.54,65.54,30030,0
2017-09-22,17:00:00,65.55,65.6,65.281,65.351,112877,0
2017-09-22,18:00:00,65.361,65.511,65.341,65.441,70754,0
2017-09-22,19:00:00,65.441,65.491,65.371,65.411,98705,0
2017-09-22,20:00:00,65.411,65.411,65.281,65.321,93011,0
2017-09-22,21:00:00,65.321,65.491,65.241,65.481,98274,0
2017-09-22,22:00:00,65.486,65.53,65.308,65.391,394200,0
2017-09-25,16:00:00,65.371,65.54,64.912,64.942,36493,0
2017-09-25,17:00:00,64.902,65.171,64.852,64.932,174802,0
2017-09-25,18:00:00,64.932,64.932,64.733,64.817,105800,0
2017-09-25,19:00:00,64.817,64.827,64.613,64.788,89097,0
2017-09-25,20:00:00,64.788,64.822,64.743,64.773,83290,0
2017-09-25,21:00:00,64.78,64.812,64.723,64.723,194429,0
2017-09-25,22:00:00,64.723,64.902,64.713,64.832,469415,0
2017-09-26,16:00:00,64.932,65.501,64.892,65.501,75923,0
2017-09-26,17:00:00,65.53,65.57,65.271,65.371,94608,0
2017-09-26,18:00:00,65.371,65.391,65.231,65.271,93496,0
2017-09-26,19:00:00,65.301,65.311,64.803,65.161,147306,0
2017-09-26,20:00:00,65.141,65.501,65.071,65.501,143244,0
2017-09-26,21:00:00,65.511,65.545,65.331,65.501,73715,0
2017-09-26,22:00:00,65.491,65.55,65.191,65.221,404050,0
2017-09-27,16:00:00,65.461,65.869,65.461,65.629,227615,0
2017-09-27,17:00:00,65.639,65.719,65.481,65.506,165025,0
2017-09-27,18:00:00,65.506,65.859,65.471,65.819,124182,0
2017-09-27,19:00:00,65.829,65.874,65.719,65.749,104211,0
2017-09-27,20:00:00,65.749,65.899,65.729,65.774,201937,0
2017-09-27,21:00:00,65.774,65.999,65.774,65.989,114205,0
2017-09-27,22:00:00,65.999,66.188,65.959,66.069,421010,0
2017-09-28,16:00:00,65.999,66.098,65.481,65.56,79019,0
2017-09-28,17:00:00,65.55,65.639,65.171,65.171,92580,0
2017-09-28,18:00:00,65.191,65.321,65.061,65.201,177609,0
2017-09-28,19:00:00,65.201,65.411,65.191,65.301,97369,0
2017-09-28,20:00:00,65.301,65.361,65.221,65.301,49379,0
2017-09-28,21:00:00,65.331,65.381,65.251,65.281,69398,0
2017-09-28,22:00:00,65.281,65.381,65.241,65.351,262837,0
2017-09-29,16:00:00,65.271,65.441,65.251,65.441,19034,0
2017-09-29,17:00:00,65.471,65.759,65.411,65.729,79951,0
2017-09-29,18:00:00,65.709,65.719,65.511,65.564,52947,0
2017-09-29,19:00:00,65.56,65.609,65.53,65.56,43984,0
2017-09-29,20:00:00,65.55,65.979,65.54,65.859,71095,0
2017-09-29,21:00:00,65.859,65.879,65.789,65.869,44793,0
2017-09-29,22:00:00,65.869,65.934,65.779,65.839,317730,0
2017-10-02,16:00:00,65.799,66.138,65.451,66.138,121505,0
2017-10-02,17:00:00,66.075,66.168,65.919,66.059,39264,0
