Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,144.53,145.22,144.24,144.46,117664,0
2017-09-05,17:00:00,144.43,145.24,144.35,145.07,143184,0
2017-09-05,18:00:00,145,145.27,144.78,144.95,95875,0
2017-09-05,19:00:00,144.91,144.91,144.32,144.58,76077,0
2017-09-05,20:00:00,144.62,144.87,144.26,144.87,106978,0
2017-09-05,21:00:00,144.87,145.69,144.85,145.63,138628,0
2017-09-05,22:00:00,145.6,145.7,145.38,145.49,622510,0
2017-09-06,16:00:00,145.55,145.86,145.22,145.69,149187,0
2017-09-06,17:00:00,145.74,145.76,144.97,145.55,74409,0
2017-09-06,18:00:00,145.57,145.61,145.02,145.52,58468,0
2017-09-06,19:00:00,145.53,145.55,145.14,145.14,40088,0
2017-09-06,20:00:00,145.13,145.19,144.94,145.05,45114,0
2017-09-06,21:00:00,145.04,145.11,144.96,145.03,85238,0
2017-09-06,22:00:00,145.03,145.05,144.63,144.63,675211,0
2017-09-07,16:00:00,144.87,145.52,144.83,145.04,106944,0
2017-09-07,17:00:00,145.06,145.13,144.68,144.68,221862,0
2017-09-07,18:00:00,144.72,144.96,144.58,144.79,144699,0
2017-09-07,19:00:00,144.82,144.96,144.71,144.8,153197,0
2017-09-07,20:00:00,144.78,145.16,144.78,145.16,212255,0
2017-09-07,21:00:00,145.16,145.5,145.11,145.17,205993,0
2017-09-07,22:00:00,145.17,145.58,144.86,145.54,387732,0
2017-09-08,16:00:00,145.35,145.35,143.56,143.64,145850,0
2017-09-08,17:00:00,143.68,144.02,143.02,143.92,285537,0
2017-09-08,18:00:00,143.96,144.32,143.76,144.13,143767,0
2017-09-08,19:00:00,144.16,144.36,144.07,144.14,73474,0
2017-09-08,20:00:00,144.16,144.25,143.67,143.96,125804,0
2017-09-08,21:00:00,143.96,144.25,143.77,144.22,385041,0
2017-09-08,22:00:00,144.22,144.25,143.46,143.56,661628,0
2017-09-11,16:00:00,144.98,145.4,143.2,144.4,145417,0
2017-09-11,17:00:00,144.41,145.06,143.87,144.5,330947,0
2017-09-11,18:00:00,144.52,144.61,144.13,144.43,169758,0
2017-09-11,19:00:00,144.46,144.65,144.31,144.53,246430,0
2017-09-11,20:00:00,144.53,144.61,144.17,144.56,202492,0
2017-09-11,21:00:00,144.57,144.7,144.43,144.56,269933,0
2017-09-11,22:00:00,144.55,144.75,144.32,144.74,447567,0
2017-09-12,16:00:00,144.7,144.86,143.02,143.59,107545,0
2017-09-12,17:00:00,143.51,143.59,142.44,143.08,220915,0
2017-09-12,18:00:00,143.05,143.08,142.84,143.02,161314,0
2017-09-12,19:00:00,143,143.08,142.84,143.03,123660,0
2017-09-12,20:00:00,143.01,143.08,142.86,142.97,333293,0
2017-09-12,21:00:00,142.96,143,142.45,142.67,217299,0
2017-09-12,22:00:00,142.67,143.45,142.56,143.4,533462,0
2017-09-13,16:00:00,143.5,143.6,142.62,143.05,156651,0
2017-09-13,17:00:00,143.08,143.12,142.73,142.8,248403,0
2017-09-13,18:00:00,142.79,142.85,142.49,142.53,171460,0
2017-09-13,19:00:00,142.52,142.65,142.1,142.12,126207,0
2017-09-13,20:00:00,142.13,142.56,141.98,142.27,185046,0
2017-09-13,21:00:00,142.26,142.38,142.05,142.22,230292,0
2017-09-13,22:00:00,142.24,142.42,142.04,142.29,558891,0
2017-09-14,16:00:00,141.41,141.69,140.23,140.85,219055,0
2017-09-14,17:00:00,140.85,141.31,140.02,140.92,393990,0
2017-09-14,18:00:00,140.89,141.12,140.66,140.73,279754,0
2017-09-14,19:00:00,140.75,140.88,140.27,140.8,254287,0
2017-09-14,20:00:00,140.8,141.16,140.6,141.06,279758,0
2017-09-14,21:00:00,141.09,141.33,140.78,141.15,307154,0
2017-09-14,22:00:00,141.13,141.53,140.94,141.44,676868,0
2017-09-15,16:00:00,141.65,142.69,141.46,142.59,641987,0
2017-09-15,17:00:00,142.61,142.83,142.15,142.73,203428,0
2017-09-15,18:00:00,142.7,142.92,142.56,142.78,158490,0
2017-09-15,19:00:00,142.78,143.14,142.76,142.94,119824,0
2017-09-15,20:00:00,142.94,143.04,142.68,143.04,169019,0
2017-09-15,21:00:00,143.05,143.32,143.03,143.23,170134,0
2017-09-15,22:00:00,143.21,143.71,143.18,143.58,1220419,0
2017-09-18,16:00:00,143.59,144.3,143.33,144.23,77555,0
2017-09-18,17:00:00,144.27,144.79,144.16,144.46,160453,0
2017-09-18,18:00:00,144.45,144.59,143.84,143.97,147052,0
2017-09-18,19:00:00,143.97,144,143.31,143.33,118092,0
2017-09-18,20:00:00,143.34,143.68,143.21,143.6,123731,0
2017-09-18,21:00:00,143.6,143.6,143.11,143.32,133743,0
2017-09-18,22:00:00,143.34,143.54,143.23,143.34,384350,0
2017-09-19,16:00:00,143.35,144.15,139.21,139.54,628409,0
2017-09-19,17:00:00,139.2,141.46,138.08,138.37,1164178,0
2017-09-19,18:00:00,138.37,139.65,137.41,139.6,686430,0
2017-09-19,19:00:00,139.59,140,138.96,139.17,363787,0
2017-09-19,20:00:00,139.21,139.85,138.96,139.85,412806,0
2017-09-19,21:00:00,139.85,140.18,139.68,139.99,259380,0
2017-09-19,22:00:00,139.98,140.08,139.39,139.59,943947,0
2017-09-20,16:00:00,139.77,140.18,139.15,139.52,159370,0
2017-09-20,17:00:00,139.49,140.23,139.41,139.51,292727,0
2017-09-20,18:00:00,139.53,139.8,139.31,139.6,176259,0
2017-09-20,19:00:00,139.61,139.81,139.25,139.35,197208,0
2017-09-20,20:00:00,139.37,139.4,139.03,139.17,207204,0
2017-09-20,21:00:00,139.18,139.18,138.1,138.73,249672,0
2017-09-20,22:00:00,138.75,139.22,138.45,139.02,885111,0
2017-09-21,16:00:00,139.15,139.49,138.51,138.84,107696,0
2017-09-21,17:00:00,138.83,139.21,138.52,138.86,302884,0
2017-09-21,18:00:00,138.84,139.21,138.74,138.74,89551,0
2017-09-21,19:00:00,138.74,138.93,138.56,138.85,138880,0
2017-09-21,20:00:00,138.85,138.95,138.42,138.5,179162,0
2017-09-21,21:00:00,138.51,138.53,138.09,138.12,176460,0
2017-09-21,22:00:00,138.12,138.47,138.03,138.03,523900,0
2017-09-22,16:00:00,136.85,137.81,135.82,137.11,316602,0
2017-09-22,17:00:00,137.09,137.28,136.24,136.39,325949,0
2017-09-22,18:00:00,136.37,136.85,136.24,136.63,200715,0
2017-09-22,19:00:00,136.69,136.88,136.21,136.55,139033,0
2017-09-22,20:00:00,136.56,136.72,136.38,136.45,117568,0
2017-09-22,21:00:00,136.46,136.46,136.1,136.16,212795,0
2017-09-22,22:00:00,136.14,136.69,136.13,136.43,850587,0
2017-09-25,16:00:00,136.45,136.59,135.93,136.04,103866,0
2017-09-25,17:00:00,136.12,136.58,136,136.41,309264,0
2017-09-25,18:00:00,136.42,137.01,136.31,136.91,179956,0
2017-09-25,19:00:00,136.92,136.96,136.46,136.52,115420,0
2017-09-25,20:00:00,136.5,136.56,135.72,135.76,114794,0
2017-09-25,21:00:00,135.75,136.37,135.72,136.29,106543,0
2017-09-25,22:00:00,136.31,136.33,135.9,136.04,572074,0
2017-09-26,16:00:00,136.05,136.59,135.69,136,105636,0
2017-09-26,17:00:00,135.96,136.09,135.07,135.2,163448,0
2017-09-26,18:00:00,135.21,135.25,132.79,134.42,602436,0
2017-09-26,19:00:00,134.41,135.1,134.38,134.94,201929,0
2017-09-26,20:00:00,134.95,135.28,134.73,135.28,235231,0
2017-09-26,21:00:00,135.27,135.4,134.88,135.24,234399,0
2017-09-26,22:00:00,135.25,135.63,135.01,135.08,504050,0
2017-09-27,16:00:00,134.68,135.05,133.66,133.87,184990,0
2017-09-27,17:00:00,133.91,134.13,133.53,133.81,322492,0
2017-09-27,18:00:00,133.82,133.95,133.52,133.92,206130,0
2017-09-27,19:00:00,133.91,134,133.67,133.73,146617,0
2017-09-27,20:00:00,133.75,133.79,133.19,133.65,180756,0
2017-09-27,21:00:00,133.66,134.04,133.51,133.99,244023,0
2017-09-27,22:00:00,134,134.16,133.37,133.41,765407,0
2017-09-28,16:00:00,133.62,133.94,133.08,133.2,100982,0
2017-09-28,17:00:00,133.27,134.86,133.2,134.83,215332,0
2017-09-28,18:00:00,134.81,135.33,134.66,134.91,219400,0
2017-09-28,19:00:00,134.92,135,134.67,134.67,184750,0
2017-09-28,20:00:00,134.68,135.18,134.68,135.18,120355,0
2017-09-28,21:00:00,135.17,135.22,134.8,135.13,187308,0
2017-09-28,22:00:00,135.13,135.46,135.08,135.42,482889,0
2017-09-29,16:00:00,135.05,135.6,134.93,135.01,105011,0
2017-09-29,17:00:00,134.98,136.05,134.98,135.76,162035,0
2017-09-29,18:00:00,135.74,136.37,135.59,136.28,160867,0
2017-09-29,19:00:00,136.28,136.5,136.14,136.18,129982,0
2017-09-29,20:00:00,136.17,136.44,136.01,136.01,92835,0
2017-09-29,21:00:00,136.01,136.07,135.55,135.67,85163,0
2017-09-29,22:00:00,135.66,136.02,135.53,136,605479,0
