Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,138.07,139.28,137.78,139.28,105252,0
2017-09-05,17:00:00,139.29,139.99,139.07,139.85,151875,0
2017-09-05,18:00:00,139.83,140.35,139.75,140.34,139950,0
2017-09-05,19:00:00,140.33,140.35,139.45,139.59,95502,0
2017-09-05,20:00:00,139.59,139.6,139.34,139.48,86477,0
2017-09-05,21:00:00,139.48,139.84,139.48,139.69,103277,0
2017-09-05,22:00:00,139.71,139.74,139.45,139.64,300034,0
2017-09-06,16:00:00,140.2,140.2,139.18,139.81,67070,0
2017-09-06,17:00:00,139.84,140.4,139.58,139.72,134758,0
2017-09-06,18:00:00,139.74,139.84,139.4,139.47,82304,0
2017-09-06,19:00:00,139.47,139.61,139.32,139.54,85580,0
2017-09-06,20:00:00,139.54,139.86,139.54,139.85,67551,0
2017-09-06,21:00:00,139.85,140.15,139.72,139.85,86038,0
2017-09-06,22:00:00,139.86,140.07,139.42,139.52,218103,0
2017-09-07,16:00:00,139.55,139.85,138.7,138.71,47945,0
2017-09-07,17:00:00,138.75,138.8,137.97,138.47,127181,0
2017-09-07,18:00:00,138.51,138.91,138.31,138.37,111406,0
2017-09-07,19:00:00,138.36,138.36,137.95,138,63283,0
2017-09-07,20:00:00,138.03,138.03,137.61,137.94,71836,0
2017-09-07,21:00:00,137.94,138.17,137.77,137.84,84037,0
2017-09-07,22:00:00,137.86,138.09,137.79,137.91,261201,0
2017-09-08,16:00:00,137.9,139.34,137.82,139.34,53656,0
2017-09-08,17:00:00,139.55,141.12,139.35,140.97,142551,0
2017-09-08,18:00:00,140.98,141.78,140.59,141.72,158917,0
2017-09-08,19:00:00,141.71,142.41,141.46,142.39,124621,0
2017-09-08,20:00:00,142.4,142.41,141.71,141.74,140105,0
2017-09-08,21:00:00,141.75,142.03,141.48,141.52,178410,0
2017-09-08,22:00:00,141.53,141.96,141.38,141.92,406216,0
2017-09-11,16:00:00,142.4,144.08,141.75,142.89,126425,0
