Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-03,15:00:00,21.14,21.2,20.33,20.52,224148,0
2017-11-03,16:00:00,20.5614,20.565,20,20.28,222889,0
2017-11-03,17:00:00,20.28,20.53,20.276,20.45,134799,0
2017-11-03,18:00:00,20.4562,20.55,20.35,20.36,106410,0
2017-11-03,19:00:00,20.37,20.48,20.25,20.3,60145,0
2017-11-03,20:00:00,20.29,20.31,20.24,20.26,93079,0
2017-11-03,21:00:00,20.25,20.41,20.22,20.32,213275,0
2017-11-06,16:00:00,20.34,20.4024,20.06,20.32,43757,0
2017-11-06,17:00:00,20.33,20.35,20.16,20.31,198908,0
2017-11-06,18:00:00,20.31,20.4,20.16,20.29,150325,0
2017-11-06,19:00:00,20.31,20.46,20.3,20.3,72468,0
2017-11-06,20:00:00,20.3,20.68,20.3,20.58,294149,0
2017-11-06,21:00:00,20.53,20.58,20.3,20.32,107703,0
2017-11-06,22:00:00,20.32,20.4303,20.3,20.4,195229,0
2017-11-07,16:00:00,20.45,20.51,20.36,20.44,18385,0
2017-11-07,17:00:00,20.36,20.5,20.31,20.4,25799,0
2017-11-07,18:00:00,20.3612,20.47,20.2901,20.44,88896,0
2017-11-07,19:00:00,20.44,20.46,20.31,20.35,54450,0
2017-11-07,20:00:00,20.32,20.41,20.29,20.3,31300,0
2017-11-07,21:00:00,20.3,20.3203,20.29,20.3,41255,0
2017-11-07,22:00:00,20.3,20.405,20.26,20.26,127823,0
2017-11-08,16:00:00,20.35,20.5,20.33,20.3786,50316,0
2017-11-08,17:00:00,20.42,20.69,20.4,20.41,219134,0
2017-11-08,18:00:00,20.36,20.45,20.12,20.275,719868,0
2017-11-08,19:00:00,20.27,20.32,20.215,20.29,231956,0
2017-11-08,20:00:00,20.2925,20.5,20.29,20.39,108831,0
2017-11-08,21:00:00,20.4,20.5,20.34,20.49,135476,0
2017-11-08,22:00:00,20.49,20.51,20.29,20.3,1219901,0
2017-11-09,16:00:00,20.48,20.5,20.3,20.31,13073,0
2017-11-09,17:00:00,20.3225,20.6,20.311,20.6,49376,0
2017-11-09,18:00:00,20.51,20.97,20.51,20.78,78098,0
2017-11-09,19:00:00,20.78,20.86,20.62,20.75,23829,0
2017-11-09,20:00:00,20.74,20.75,20.45,20.545,64839,0
2017-11-09,21:00:00,20.55,20.73,20.5,20.6,20870,0
2017-11-09,22:00:00,20.6,20.6,20.39,20.39,83050,0
2017-11-10,16:00:00,20.46,20.53,19.98,20.2,57566,0
2017-11-10,17:00:00,20.25,20.3,20.09,20.16,36765,0
2017-11-10,18:00:00,20.15,20.55,20.15,20.43,58067,0
2017-11-10,19:00:00,20.43,20.55,20.41,20.45,37729,0
2017-11-10,20:00:00,20.45,20.51,20.32,20.49,65703,0
2017-11-10,21:00:00,20.5,20.7,20.48,20.55,61064,0
2017-11-10,22:00:00,20.57,20.8,20.52,20.68,60853,0
2017-11-13,16:00:00,20.71,20.77,20.53,20.59,22850,0
