Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,14.32,14.32,14.02,14.15,3779,0
2017-09-06,17:00:00,14.23,14.295,14.06,14.07,4200,0
2017-09-06,18:00:00,14.17,14.29,14.0201,14.29,7289,0
2017-09-06,19:00:00,14.32,14.5,14.3,14.395,28148,0
2017-09-06,20:00:00,14.37,14.58,14.33,14.495,11590,0
2017-09-06,21:00:00,14.475,14.58,14.475,14.5,12027,0
2017-09-06,22:00:00,14.51,14.69,14.41,14.61,52088,0
2017-09-07,16:00:00,14.46,14.58,14.2,14.48,7869,0
2017-09-07,17:00:00,14.45,14.57,14.39,14.4905,6428,0
2017-09-07,18:00:00,14.46,14.5,14.28,14.39,6954,0
2017-09-07,19:00:00,14.395,14.65,14.395,14.65,42062,0
2017-09-07,20:00:00,14.63,14.77,14.55,14.65,11904,0
2017-09-07,21:00:00,14.635,14.7,14.53,14.585,13654,0
2017-09-07,22:00:00,14.61,14.66,14.47,14.54,43786,0
2017-09-08,16:00:00,14.59,14.75,14.33,14.38,5395,0
2017-09-08,17:00:00,14.38,14.4,14.16,14.25,11954,0
2017-09-08,18:00:00,14.23,14.315,14.01,14.26,27400,0
2017-09-08,19:00:00,14.24,14.24,14.08,14.08,7527,0
2017-09-08,20:00:00,14.09,14.15,14.02,14.14,12595,0
2017-09-08,21:00:00,14.08,14.31,14.08,14.28,11656,0
2017-09-08,22:00:00,14.28,14.37,14.23,14.3,42213,0
2017-09-11,16:00:00,14.43,14.55,14.29,14.31,6256,0
2017-09-11,17:00:00,14.31,14.42,14.23,14.31,7454,0
2017-09-11,18:00:00,14.35,14.57,14.31,14.54,7100,0
2017-09-11,19:00:00,14.54,14.64,14.53,14.55,8438,0
2017-09-11,20:00:00,14.6099,14.66,14.57,14.65,6211,0
2017-09-11,21:00:00,14.63,14.74,14.63,14.66,10477,0
2017-09-11,22:00:00,14.66,14.75,14.6,14.61,20956,0
2017-09-12,16:00:00,14.8,14.8,14.56,14.58,4541,0
2017-09-12,17:00:00,14.5201,14.77,14.52,14.6725,11440,0
2017-09-12,18:00:00,14.67,14.8099,14.61,14.73,24828,0
2017-09-12,19:00:00,14.73,14.81,14.71,14.72,19023,0
2017-09-12,20:00:00,14.75,14.85,14.71,14.74,24068,0
2017-09-12,21:00:00,14.78,14.7999,14.66,14.7391,21853,0
2017-09-12,22:00:00,14.735,14.735,14.64,14.7,23911,0
2017-09-13,16:00:00,14.67,15.2,14.67,14.98,24273,0
2017-09-13,17:00:00,15.035,15.035,14.76,14.76,13043,0
2017-09-13,18:00:00,14.82,14.94,14.82,14.86,9989,0
2017-09-13,19:00:00,14.85,14.88,14.78,14.83,8261,0
2017-09-13,20:00:00,14.82,14.92,14.81,14.9,4179,0
2017-09-13,21:00:00,14.9,14.9,14.765,14.85,5605,0
2017-09-13,22:00:00,14.84,14.89,14.78,14.84,39053,0
2017-09-14,16:00:00,14.86,15,14.5955,14.83,12451,0
2017-09-14,17:00:00,14.83,14.83,14.68,14.77,14056,0
2017-09-14,18:00:00,14.8,14.92,14.745,14.89,4850,0
2017-09-14,19:00:00,14.92,14.92,14.84,14.87,3313,0
2017-09-14,20:00:00,14.87,14.87,14.78,14.82,2700,0
2017-09-14,21:00:00,14.7872,14.85,14.76,14.82,7246,0
2017-09-14,22:00:00,14.8,14.89,14.76,14.84,54424,0
2017-09-15,16:00:00,14.88,14.88,14.78,14.84,17547,0
2017-09-15,17:00:00,14.84,14.98,14.82,14.96,7050,0
2017-09-15,18:00:00,14.97,14.97,14.84,14.86,4354,0
2017-09-15,19:00:00,14.86,14.91,14.85,14.89,6063,0
2017-09-15,20:00:00,14.9,15,14.88,14.98,9292,0
2017-09-15,21:00:00,14.99,15,14.91,14.94,7413,0
2017-09-15,22:00:00,14.95,15.18,14.93,15.16,110283,0
2017-09-18,16:00:00,15.14,15.2,15.02,15.18,6116,0
2017-09-18,17:00:00,15.13,15.2,15.1,15.19,5200,0
2017-09-18,18:00:00,15.165,15.22,15.135,15.14,8157,0
2017-09-18,19:00:00,15.16,15.24,15.13,15.18,9084,0
2017-09-18,20:00:00,15.2,15.22,15.12,15.16,4500,0
2017-09-18,21:00:00,15.15,15.15,15.03,15.07,11643,0
2017-09-18,22:00:00,15.05,15.08,14.89,14.97,47279,0
2017-09-19,16:00:00,14.92,14.97,14.65,14.76,2745,0
2017-09-19,17:00:00,14.79,14.92,14.64,14.675,8406,0
2017-09-19,18:00:00,14.69,14.71,14.59,14.61,6232,0
2017-09-19,19:00:00,14.62,14.65,14.51,14.51,8722,0
2017-09-19,20:00:00,14.48,14.55,14.39,14.44,17026,0
2017-09-19,21:00:00,14.4787,14.57,14.44,14.52,9975,0
2017-09-19,22:00:00,14.5,14.59,14.36,14.57,45000,0
2017-09-20,16:00:00,14.58,14.74,14.48,14.73,1535,0
2017-09-20,17:00:00,14.76,14.93,14.73,14.93,4001,0
2017-09-20,18:00:00,14.92,15.1,14.86,15.1,7334,0
2017-09-20,19:00:00,15.1,15.15,14.922,15.15,6701,0
2017-09-20,20:00:00,15.14,15.15,14.98,15.02,7075,0
2017-09-20,21:00:00,15.04,15.18,14.89,15.15,15673,0
2017-09-20,22:00:00,15.16,15.22,15.12,15.19,19185,0
2017-09-21,16:00:00,15.15,15.15,14.91,15.06,1973,0
2017-09-21,17:00:00,15.1,15.34,14.99,15.31,9940,0
2017-09-21,18:00:00,15.29,15.45,15.23,15.23,8096,0
2017-09-21,19:00:00,15.29,15.34,15.2,15.28,2150,0
2017-09-21,20:00:00,15.2625,15.333,15.25,15.3,3388,0
2017-09-21,21:00:00,15.27,15.3,15.15,15.27,4800,0
2017-09-21,22:00:00,15.21,15.27,15.14,15.21,23962,0
2017-09-22,16:00:00,15.13,15.3,15.13,15.3,2782,0
2017-09-22,17:00:00,15.28,15.3,15.17,15.17,3400,0
2017-09-22,18:00:00,15.26,15.26,14.6,14.76,24871,0
2017-09-22,19:00:00,14.775,14.81,14.5,14.72,32534,0
2017-09-22,20:00:00,14.74,14.75,14.12,14.5,32791,0
2017-09-22,21:00:00,14.49,14.53,14.26,14.3,21115,0
2017-09-22,22:00:00,14.3,14.39,14.23,14.25,38471,0
2017-09-25,16:00:00,14.25,14.25,14.12,14.12,516,0
2017-09-25,17:00:00,14.27,14.28,14.15,14.165,5097,0
2017-09-25,18:00:00,14.11,14.11,14,14.03,7529,0
2017-09-25,19:00:00,14.01,14.08,14,14.06,5568,0
2017-09-25,20:00:00,14.06,14.06,14,14.06,8157,0
2017-09-25,21:00:00,14.05,14.3,14.05,14.27,13703,0
2017-09-25,22:00:00,14.29,14.29,14.08,14.13,21630,0
2017-09-26,16:00:00,14.11,14.69,14.11,14.54,27826,0
2017-09-26,17:00:00,14.45,14.45,14.31,14.35,6196,0
2017-09-26,18:00:00,14.38,14.47,14.37,14.43,4400,0
2017-09-26,19:00:00,14.44,14.46,14.3,14.3,3542,0
2017-09-26,20:00:00,14.3,14.32,14.22,14.28,5847,0
2017-09-26,21:00:00,14.29,14.32,14.14,14.32,21710,0
2017-09-26,22:00:00,14.36,14.43,14.33,14.39,16596,0
2017-09-27,16:00:00,14.47,14.62,14.44,14.47,2115,0
2017-09-27,17:00:00,14.48,14.56,14.46,14.46,1900,0
2017-09-27,18:00:00,14.47,14.55,14.43,14.45,4973,0
2017-09-27,19:00:00,14.45,14.605,14.45,14.57,2400,0
2017-09-27,20:00:00,14.61,14.77,14.6,14.77,5450,0
2017-09-27,21:00:00,14.81,14.83,14.61,14.66,6459,0
2017-09-27,22:00:00,14.72,14.72,14.49,14.58,21454,0
2017-09-28,16:00:00,14.59,14.6,14.48,14.54,2373,0
2017-09-28,17:00:00,14.54,14.74,14.47,14.72,7937,0
2017-09-28,18:00:00,14.72,14.78,14.65,14.72,9434,0
2017-09-28,19:00:00,14.775,14.8565,14.67,14.67,13278,0
2017-09-28,20:00:00,14.7,14.86,14.69,14.86,5703,0
2017-09-28,21:00:00,14.89,14.9072,14.81,14.83,11235,0
2017-09-28,22:00:00,14.835,14.99,14.835,14.91,31242,0
2017-09-29,16:00:00,14.92,14.93,14.78,14.81,1634,0
2017-09-29,17:00:00,14.76,14.9,14.74,14.9,8801,0
2017-09-29,18:00:00,14.88,14.89,14.75,14.85,7606,0
2017-09-29,19:00:00,14.85,14.91,14.69,14.77,20734,0
2017-09-29,20:00:00,14.825,14.86,14.72,14.7941,11051,0
2017-09-29,21:00:00,14.82,14.93,14.75,14.9,14592,0
2017-09-29,22:00:00,14.9199,15,14.84,14.97,51631,0
2017-10-02,16:00:00,15.01,15.24,15,15.24,1832,0
2017-10-02,17:00:00,15.29,15.34,15.17,15.23,5722,0
2017-10-02,18:00:00,15.13,15.2,15.08,15.08,9075,0
2017-10-02,19:00:00,15.1,15.19,15.1,15.18,8299,0
2017-10-02,20:00:00,15.2,15.25,14.91,14.91,13101,0
2017-10-02,21:00:00,14.92,15.08,14.75,15.04,17408,0
2017-10-02,22:00:00,15.03,15.15,15.01,15.03,37308,0
2017-10-03,16:00:00,15.1,15.15,15.05,15.08,1804,0
2017-10-03,17:00:00,15.17,15.25,15.09,15.25,5525,0
2017-10-03,18:00:00,15.21,15.4,15.11,15.4,90002,0
2017-10-03,19:00:00,15.35,15.65,15.35,15.64,8665,0
2017-10-03,20:00:00,15.65,15.754,15.59,15.754,52542,0
2017-10-03,21:00:00,15.75,15.82,15.55,15.58,10404,0
2017-10-03,22:00:00,15.58,15.67,15.51,15.62,25196,0
2017-10-04,16:00:00,15.55,15.66,15.51,15.55,3257,0
2017-10-04,17:00:00,15.57,15.59,15.46,15.58,6900,0
2017-10-04,18:00:00,15.6,15.61,15.53,15.55,6701,0
2017-10-04,19:00:00,15.535,15.555,15.32,15.4,6245,0
2017-10-04,20:00:00,15.42,15.47,15.27,15.3001,5284,0
2017-10-04,21:00:00,15.33,15.41,15.33,15.4,7033,0
2017-10-04,22:00:00,15.4,15.4,15.31,15.31,13362,0
2017-10-05,16:00:00,15.35,15.46,15.35,15.45,2107,0
2017-10-05,17:00:00,15.47,15.47,15.3496,15.46,3510,0
2017-10-05,18:00:00,15.37,15.37,15.22,15.32,2918,0
2017-10-05,19:00:00,15.23,15.33,15.22,15.245,1200,0
2017-10-05,20:00:00,15.21,15.4299,15.21,15.4,4783,0
2017-10-05,21:00:00,15.415,15.47,15.3571,15.47,28366,0
2017-10-05,22:00:00,15.53,15.53,15.42,15.48,24250,0
2017-10-06,16:00:00,15.52,15.57,15.48,15.48,5498,0
2017-10-06,17:00:00,15.55,15.55,15.42,15.43,8599,0
2017-10-06,18:00:00,15.42,15.51,15.42,15.46,4178,0
2017-10-06,19:00:00,15.45,15.47,15.43,15.46,7328,0
2017-10-06,20:00:00,15.43,15.56,15.415,15.5,30416,0
2017-10-06,21:00:00,15.511,15.511,15.34,15.35,19087,0
2017-10-06,22:00:00,15.33,15.43,15.31,15.42,77057,0
2017-10-09,16:00:00,15.31,15.31,14.85,14.94,6380,0
2017-10-09,17:00:00,14.87,14.87,14.47,14.48,15986,0
2017-10-09,18:00:00,14.45,14.49,14.23,14.262,15673,0
2017-10-09,19:00:00,14.21,14.24,13.96,14.015,16833,0
2017-10-09,20:00:00,14.01,14.05,13.86,13.95,24546,0
2017-10-09,21:00:00,13.92,13.93,13.61,13.6517,32257,0
2017-10-09,22:00:00,13.62,13.645,13.38,13.46,39662,0
2017-10-10,16:00:00,13.55,14.56,13.46,14.1114,35771,0
2017-10-10,17:00:00,14.02,14.4,14.01,14.17,34044,0
2017-10-10,18:00:00,14.1673,14.17,13.895,13.935,12320,0
2017-10-10,19:00:00,13.98,13.99,13.78,13.785,6828,0
2017-10-10,20:00:00,13.785,13.83,13.625,13.72,16703,0
2017-10-10,21:00:00,13.74,14.01,13.725,13.88,40526,0
2017-10-10,22:00:00,13.89,13.96,13.81,13.85,33242,0
2017-10-11,16:00:00,13.87,13.93,13.81,13.83,4941,0
2017-10-11,17:00:00,13.83,13.94,13.76,13.79,8704,0
2017-10-11,18:00:00,13.81,13.9,13.805,13.84,10485,0
2017-10-11,19:00:00,13.86,13.86,13.74,13.75,13055,0
2017-10-11,20:00:00,13.755,13.76,13.58,13.73,18293,0
2017-10-11,21:00:00,13.73,13.75,13.62,13.67,7606,0
2017-10-11,22:00:00,13.66,13.815,13.62,13.65,46110,0
2017-10-12,16:00:00,13.65,13.65,13.26,13.27,9278,0
2017-10-12,17:00:00,13.25,13.41,13.2058,13.32,13600,0
2017-10-12,18:00:00,13.3,13.38,13.16,13.22,20330,0
2017-10-12,19:00:00,13.22,13.23,12.94,12.99,11901,0
2017-10-12,20:00:00,12.98,13,12.81,12.85,8917,0
2017-10-12,21:00:00,12.8419,12.85,12.68,12.73,21307,0
2017-10-12,22:00:00,12.75,12.97,12.75,12.87,27222,0
2017-10-13,16:00:00,12.87,12.87,12.19,12.53,21454,0
2017-10-13,17:00:00,12.56,12.64,12.43,12.5,64906,0
2017-10-13,18:00:00,12.5,12.6,12.485,12.54,23502,0
2017-10-13,19:00:00,12.53,12.53,12.32,12.47,23154,0
2017-10-13,20:00:00,12.49,12.53,12.285,12.32,26832,0
2017-10-13,21:00:00,12.325,12.48,12.21,12.48,13904,0
2017-10-13,22:00:00,12.5,12.52,12.36,12.49,63301,0
2017-10-16,16:00:00,12.58,12.92,12.58,12.74,11764,0
2017-10-16,17:00:00,12.8,12.9,12.6,12.6,41284,0
2017-10-16,18:00:00,12.6,12.71,12.57,12.57,11359,0
2017-10-16,19:00:00,12.57,12.66,12.55,12.59,11422,0
2017-10-16,20:00:00,12.58,12.8,12.52,12.79,28837,0
2017-10-16,21:00:00,12.789,12.79,12.59,12.739,30749,0
2017-10-16,22:00:00,12.7,12.82,12.7,12.71,68594,0
2017-10-17,16:00:00,12.73,12.86,12.69,12.78,8020,0
2017-10-17,17:00:00,12.77,12.905,12.73,12.815,89579,0
2017-10-17,18:00:00,12.815,12.93,12.605,12.61,27994,0
2017-10-17,19:00:00,12.62,12.685,12.6,12.68,6218,0
2017-10-17,20:00:00,12.68,12.73,12.54,12.68,9869,0
2017-10-17,21:00:00,12.68,12.79,12.67,12.75,8763,0
2017-10-17,22:00:00,12.75,12.77,12.69,12.7,46478,0
2017-10-18,16:00:00,12.9,13.02,12.78,12.89,42681,0
2017-10-18,17:00:00,12.89,13,12.86,13,15766,0
2017-10-18,18:00:00,13,13.015,12.9,12.9,10027,0
2017-10-18,19:00:00,12.89,13.035,12.86,12.99,25518,0
2017-10-18,20:00:00,12.98,12.99,12.85,12.865,12489,0
2017-10-18,21:00:00,12.875,12.89,12.76,12.79,18654,0
2017-10-18,22:00:00,12.78,12.84,12.7,12.72,34843,0
2017-10-19,16:00:00,12.85,13.5616,12.71,13.285,32468,0
2017-10-19,17:00:00,13.29,13.39,13.17,13.27,42556,0
2017-10-19,18:00:00,13.285,13.4,13.24,13.25,32994,0
2017-10-19,19:00:00,13.25,13.29,13.24,13.25,23120,0
2017-10-19,20:00:00,13.26,13.3208,13.2,13.26,24364,0
2017-10-19,21:00:00,13.28,13.3,13.25,13.25,25230,0
2017-10-19,22:00:00,13.27,13.42,13.26,13.32,76568,0
2017-10-20,16:00:00,13.41,13.55,13.24,13.24,17492,0
2017-10-20,17:00:00,13.22,13.35,13.22,13.27,7272,0
2017-10-20,18:00:00,13.3025,13.31,13.02,13.25,12625,0
2017-10-20,19:00:00,13.25,13.25,13.2,13.21,9964,0
2017-10-20,20:00:00,13.2,13.25,13.2,13.25,5974,0
2017-10-20,21:00:00,13.24,13.24,13.12,13.17,7271,0
2017-10-20,22:00:00,13.15,13.18,13.07,13.1,26380,0
2017-10-23,16:00:00,13.1,13.1,13,13.05,55580,0
2017-10-23,17:00:00,13.08,13.08,12.905,12.91,5006,0
2017-10-23,18:00:00,12.9,13.01,12.85,12.97,15059,0
2017-10-23,19:00:00,13,13,12.89,12.905,5400,0
2017-10-23,20:00:00,12.92,12.96,12.83,12.83,5576,0
2017-10-23,21:00:00,12.84,12.91,12.79,12.8,8814,0
2017-10-23,22:00:00,12.79,12.87,12.76,12.82,55072,0
2017-10-24,16:00:00,12.87,12.89,12.74,12.885,2300,0
2017-10-24,17:00:00,12.89,13.07,12.89,13.04,8850,0
2017-10-24,18:00:00,13.05,13.05,12.77,12.96,10806,0
2017-10-24,19:00:00,12.9499,13,12.79,12.85,10967,0
2017-10-24,20:00:00,12.845,12.93,12.694,12.75,57032,0
2017-10-24,21:00:00,12.775,13,12.775,12.84,64277,0
2017-10-24,22:00:00,12.85,12.86,12.67,12.79,91196,0
2017-10-25,16:00:00,12.74,12.83,12.66,12.74,3233,0
2017-10-25,17:00:00,12.805,12.85,12.69,12.85,15010,0
2017-10-25,18:00:00,12.85,12.87,12.69,12.74,14603,0
2017-10-25,19:00:00,12.73,12.85,12.7167,12.7167,11301,0
2017-10-25,20:00:00,12.71,12.75,12.7,12.74,8651,0
2017-10-25,21:00:00,12.75,12.78,12.68,12.71,26649,0
2017-10-25,22:00:00,12.69,12.86,12.69,12.83,56930,0
2017-10-26,16:00:00,12.93,12.93,12.78,12.81,9209,0
2017-10-26,17:00:00,12.84,12.97,12.8,12.81,33052,0
2017-10-26,18:00:00,12.82,12.935,12.75,12.92,16087,0
2017-10-26,19:00:00,12.88,13.03,12.66,12.7,40471,0
2017-10-26,20:00:00,12.7,12.8,12.65,12.72,10629,0
2017-10-26,21:00:00,12.72,12.72,12.61,12.6799,21699,0
2017-10-26,22:00:00,12.68,12.72,12.64,12.67,40245,0
2017-10-27,16:00:00,12.63,12.63,12.45,12.5,23607,0
2017-10-27,17:00:00,12.52,12.6,12.38,12.41,55474,0
2017-10-27,18:00:00,12.455,12.79,12.42,12.63,115788,0
2017-10-27,19:00:00,12.67,12.68,12.61,12.6625,42701,0
2017-10-27,20:00:00,12.67,12.86,12.64,12.77,20214,0
2017-10-27,21:00:00,12.782,12.8,12.6,12.7,19054,0
2017-10-27,22:00:00,12.71,12.75,12.59,12.63,51614,0
2017-10-30,15:00:00,12.56,12.76,12.53,12.62,10526,0
2017-10-30,16:00:00,12.63,12.74,12.62,12.68,12984,0
2017-10-30,17:00:00,12.63,12.64,12.45,12.46,23233,0
2017-10-30,18:00:00,12.47,12.5,12.35,12.3971,15863,0
2017-10-30,19:00:00,12.39,12.42,12.33,12.4,17061,0
2017-10-30,20:00:00,12.37,12.47,12.37,12.41,6465,0
2017-10-30,21:00:00,12.39,12.43,12.35,12.37,20902,0
2017-10-31,15:00:00,12.35,12.53,12.35,12.53,2450,0
2017-10-31,16:00:00,12.56,12.63,12.21,12.39,17690,0
2017-10-31,17:00:00,12.33,12.38,12.25,12.32,15067,0
2017-10-31,18:00:00,12.3,12.3,12.17,12.2,9300,0
2017-10-31,19:00:00,12.2,12.27,12.13,12.2011,5101,0
2017-10-31,20:00:00,12.22,12.27,12.1606,12.26,7461,0
2017-10-31,21:00:00,12.2441,12.34,12.08,12.13,140333,0
2017-11-01,15:00:00,12.25,12.38,12,12.25,15216,0
2017-11-01,16:00:00,12.21,12.24,11.94,11.99,11877,0
2017-11-01,17:00:00,11.99,11.99,11.79,11.86,14476,0
2017-11-01,18:00:00,11.87,11.87,11.62,11.63,16565,0
2017-11-01,19:00:00,11.64,11.68,11.47,11.54,24943,0
2017-11-01,20:00:00,11.56,11.66,11.39,11.39,25454,0
2017-11-01,21:00:00,11.47,11.52,11.41,11.43,64402,0
2017-11-02,15:00:00,11.4,11.49,11.38,11.49,2714,0
2017-11-02,16:00:00,11.48,11.55,11.3952,11.48,14647,0
2017-11-02,17:00:00,11.41,11.46,11.37,11.41,2600,0
2017-11-02,18:00:00,11.4,11.45,11.27,11.29,14333,0
2017-11-02,19:00:00,11.31,11.32,11.15,11.2,7836,0
2017-11-02,20:00:00,11.22,11.26,11.13,11.15,10151,0
2017-11-02,21:00:00,11.12,11.32,11.08,11.29,46700,0
2017-11-03,15:00:00,11.29,11.4,11.18,11.23,5183,0
2017-11-03,16:00:00,11.26,11.505,11.26,11.4,9822,0
2017-11-03,17:00:00,11.43,11.46,11.28,11.3,6000,0
2017-11-03,18:00:00,11.3,11.355,11.26,11.26,8851,0
2017-11-03,19:00:00,11.23,11.31,11.23,11.295,7032,0
2017-11-03,20:00:00,11.305,11.43,11.255,11.4,30137,0
2017-11-03,21:00:00,11.4,11.62,11.38,11.46,106203,0
2017-11-06,16:00:00,11.46,11.73,11.46,11.65,6035,0
2017-11-06,17:00:00,11.655,11.79,11.57,11.615,11700,0
2017-11-06,18:00:00,11.615,11.735,11.61,11.63,9000,0
2017-11-06,19:00:00,11.62,11.72,11.59,11.675,6547,0
2017-11-06,20:00:00,11.685,11.75,11.6,11.65,7040,0
2017-11-06,21:00:00,11.66,11.67,11.55,11.55,14151,0
2017-11-06,22:00:00,11.55,11.63,11.54,11.56,29850,0
2017-11-07,16:00:00,11.52,11.64,11.52,11.575,3053,0
2017-11-07,17:00:00,11.6,11.6,11.47,11.53,16276,0
2017-11-07,18:00:00,11.545,11.62,11.32,11.32,42726,0
2017-11-07,19:00:00,11.355,11.42,11.24,11.28,14368,0
2017-11-07,20:00:00,11.24,11.345,11.22,11.3,6600,0
2017-11-07,21:00:00,11.3,11.355,11.2,11.21,9478,0
2017-11-07,22:00:00,11.22,11.25,11.2,11.22,46429,0
2017-11-08,16:00:00,11.13,11.13,10.77,10.8,15487,0
2017-11-08,17:00:00,10.81,10.81,10.32,10.43,35244,0
2017-11-08,18:00:00,10.47,10.53,10.4,10.4,23910,0
2017-11-08,19:00:00,10.36,10.52,10.36,10.48,26938,0
2017-11-08,20:00:00,10.48,10.54,10.45,10.54,32413,0
2017-11-08,21:00:00,10.525,10.61,10.47,10.55,29253,0
2017-11-08,22:00:00,10.525,10.64,10.51,10.59,59617,0
2017-11-09,16:00:00,10.54,10.92,10.47,10.86,7579,0
2017-11-09,17:00:00,10.87,10.93,10.79,10.86,17608,0
2017-11-09,18:00:00,10.85,10.89,10.53,10.53,21088,0
2017-11-09,19:00:00,10.53,10.77,10.52,10.77,16957,0
2017-11-09,20:00:00,10.77,10.9,10.76,10.87,101725,0
2017-11-09,21:00:00,10.87,10.91,10.8283,10.87,169154,0
2017-11-09,22:00:00,10.87,10.93,10.67,10.71,103461,0
2017-11-10,16:00:00,10.75,10.882,10.7,10.8,14092,0
2017-11-10,17:00:00,10.8,10.85,10.75,10.76,96118,0
2017-11-10,18:00:00,10.74,10.8,10.64,10.8,18727,0
2017-11-10,19:00:00,10.8,10.83,10.71,10.74,39842,0
2017-11-10,20:00:00,10.73,10.8,10.69,10.72,20997,0
2017-11-10,21:00:00,10.75,10.89,10.69,10.88,337064,0
2017-11-10,22:00:00,10.88,10.95,10.83,10.85,108164,0
2017-11-13,16:00:00,10.78,10.9,10.74,10.89,11333,0
2017-11-13,17:00:00,10.91,11.08,10.91,11.0213,18753,0
2017-11-13,18:00:00,11.02,11.03,10.75,10.82,24949,0
2017-11-13,19:00:00,10.85,10.85,10.75,10.75,7998,0
2017-11-13,20:00:00,10.75,10.805,10.635,10.66,20149,0
