Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,3.63,3.7,3.63,3.7,2798,0
2017-09-05,17:00:00,3.7,3.7,3.624,3.64,10135,0
2017-09-05,18:00:00,3.64,3.74,3.63,3.73,25256,0
2017-09-05,19:00:00,3.73,3.73,3.65,3.66,8038,0
2017-09-05,20:00:00,3.67,3.71,3.67,3.71,7678,0
2017-09-05,21:00:00,3.71,3.71,3.68,3.68,2400,0
2017-09-05,22:00:00,3.69,3.71,3.68,3.71,24429,0
2017-09-06,16:00:00,3.72,3.7745,3.7,3.75,11666,0
2017-09-06,17:00:00,3.7525,3.76,3.7,3.74,5932,0
2017-09-06,18:00:00,3.73,3.75,3.72,3.74,11400,0
2017-09-06,19:00:00,3.7499,3.75,3.74,3.745,4700,0
2017-09-06,20:00:00,3.75,3.75,3.71,3.74,7825,0
2017-09-06,21:00:00,3.7399,3.74,3.66,3.6899,26569,0
2017-09-06,22:00:00,3.6899,3.6899,3.62,3.65,28341,0
2017-09-07,16:00:00,3.65,3.66,3.61,3.66,847,0
2017-09-07,17:00:00,3.63,3.65,3.6,3.64,8261,0
2017-09-07,18:00:00,3.65,3.7,3.64,3.69,8077,0
2017-09-07,19:00:00,3.67,3.67,3.65,3.65,2000,0
2017-09-07,20:00:00,3.65,3.65,3.58,3.581,1600,0
2017-09-07,21:00:00,3.581,3.582,3.54,3.57,12110,0
2017-09-07,22:00:00,3.57,3.57,3.53,3.56,14382,0
2017-09-08,16:00:00,3.53,3.55,3.5,3.55,7387,0
2017-09-08,17:00:00,3.57,3.61,3.56,3.61,1534,0
2017-09-08,18:00:00,3.605,3.64,3.56,3.64,10300,0
2017-09-08,19:00:00,3.68,3.68,3.54,3.54,2100,0
2017-09-08,20:00:00,3.54,3.55,3.54,3.55,600,0
2017-09-08,21:00:00,3.54,3.55,3.54,3.55,700,0
2017-09-08,22:00:00,3.55,3.55,3.51,3.51,25881,0
2017-09-11,16:00:00,3.55,3.595,3.55,3.58,3974,0
2017-09-11,17:00:00,3.58,3.6,3.57,3.585,2024,0
2017-09-11,18:00:00,3.585,3.59,3.55,3.5864,2068,0
2017-09-11,19:00:00,3.6,3.61,3.59,3.605,1000,0
2017-09-11,20:00:00,3.605,3.61,3.6,3.605,2931,0
2017-09-11,21:00:00,3.61,3.61,3.57,3.575,5300,0
2017-09-11,22:00:00,3.58,3.59,3.54,3.55,12621,0
2017-09-12,16:00:00,3.63,3.64,3.62,3.62,801,0
2017-09-12,17:00:00,3.59,3.64,3.59,3.61,1347,0
2017-09-12,18:00:00,3.63,3.69,3.62,3.67,8471,0
2017-09-12,19:00:00,3.68,3.69,3.66,3.67,1000,0
2017-09-12,20:00:00,3.69,3.73,3.66,3.72,13683,0
2017-09-12,21:00:00,3.73,3.75,3.72,3.73,3640,0
2017-09-12,22:00:00,3.74,3.75,3.72,3.75,9140,0
2017-09-13,16:00:00,3.76,3.8,3.76,3.8,712,0
2017-09-13,17:00:00,3.79,3.8,3.76,3.78,35090,0
2017-09-13,18:00:00,3.76,3.78,3.75,3.75,6127,0
2017-09-13,19:00:00,3.75,3.8,3.75,3.8,3926,0
2017-09-13,20:00:00,3.7914,3.83,3.77,3.825,22520,0
2017-09-13,21:00:00,3.83,3.83,3.79,3.79,4280,0
2017-09-13,22:00:00,3.8,3.8699,3.795,3.82,21376,0
2017-09-14,16:00:00,3.82,3.9,3.78,3.86,7687,0
2017-09-14,17:00:00,3.87,3.87,3.85,3.87,1300,0
2017-09-14,18:00:00,3.87,3.88,3.84,3.86,3748,0
2017-09-14,19:00:00,3.87,3.87,3.85,3.87,2138,0
2017-09-14,20:00:00,3.87,3.94,3.87,3.9001,3550,0
2017-09-14,21:00:00,3.903,3.91,3.89,3.9,2885,0
2017-09-14,22:00:00,3.91,3.91,3.85,3.89,32580,0
2017-09-15,16:00:00,3.9,3.9,3.89,3.89,63775,0
2017-09-15,17:00:00,3.91,3.94,3.91,3.94,500,0
2017-09-15,18:00:00,3.94,4,3.94,3.99,5007,0
2017-09-15,19:00:00,3.98,3.99,3.98,3.99,3500,0
2017-09-15,20:00:00,3.98,3.99,3.98,3.99,3851,0
2017-09-15,21:00:00,3.98,4.01,3.98,4,17074,0
2017-09-15,22:00:00,3.995,4.03,3.945,3.95,128571,0
2017-09-18,16:00:00,4,4.0329,3.93,3.94,17538,0
2017-09-18,17:00:00,3.91,3.95,3.91,3.93,4700,0
2017-09-18,18:00:00,3.92,3.95,3.905,3.95,1500,0
2017-09-18,19:00:00,3.98,4,3.96,3.96,7700,0
2017-09-18,20:00:00,3.96,4,3.95,3.95,3825,0
2017-09-18,21:00:00,3.95,3.99,3.95,3.98,21009,0
2017-09-18,22:00:00,3.98,3.99,3.92,3.94,27713,0
2017-09-19,16:00:00,3.92,3.9296,3.91,3.91,2511,0
2017-09-19,17:00:00,3.905,3.92,3.9,3.92,5411,0
2017-09-19,18:00:00,3.94,3.94,3.94,3.94,700,0
2017-09-19,19:00:00,3.93,3.95,3.91,3.93,3449,0
2017-09-19,20:00:00,3.94,3.95,3.87,3.895,14811,0
2017-09-19,21:00:00,3.91,3.91,3.83,3.83,19481,0
2017-09-19,22:00:00,3.83,3.85,3.81,3.84,39026,0
2017-09-20,16:00:00,3.84,3.91,3.84,3.86,3021,0
2017-09-20,17:00:00,3.87,3.97,3.87,3.97,1900,0
2017-09-20,18:00:00,3.97,3.97,3.93,3.93,13017,0
2017-09-20,19:00:00,3.93,3.94,3.92,3.935,2784,0
2017-09-20,20:00:00,3.94,3.945,3.94,3.94,1385,0
2017-09-20,21:00:00,3.942,3.95,3.92,3.92,5764,0
2017-09-20,22:00:00,3.921,3.935,3.92,3.92,17380,0
2017-09-21,16:00:00,3.92,3.957,3.91,3.91,1994,0
2017-09-21,17:00:00,3.91,3.965,3.9,3.96,15408,0
2017-09-21,18:00:00,3.96,3.97,3.945,3.95,5955,0
2017-09-21,19:00:00,3.9511,3.96,3.94,3.95,4990,0
2017-09-21,20:00:00,3.95,3.96,3.94,3.94,2700,0
2017-09-21,21:00:00,3.96,3.96,3.94,3.94,4798,0
2017-09-21,22:00:00,3.95,3.95,3.91,3.91,12303,0
2017-09-22,16:00:00,3.92,3.92,3.88,3.88,537,0
2017-09-22,17:00:00,3.881,3.97,3.88,3.95,4480,0
2017-09-22,18:00:00,3.95,3.97,3.9328,3.94,4208,0
2017-09-22,19:00:00,3.94,3.95,3.93,3.94,2604,0
2017-09-22,20:00:00,3.94,3.94,3.93,3.93,1850,0
2017-09-22,21:00:00,3.92,3.94,3.92,3.92,1100,0
2017-09-22,22:00:00,3.94,3.94,3.93,3.94,16258,0
2017-09-25,16:00:00,3.94,3.95,3.9,3.93,5766,0
2017-09-25,17:00:00,3.93,3.98,3.93,3.97,19944,0
2017-09-25,18:00:00,3.95,3.97,3.89,3.93,13011,0
2017-09-25,19:00:00,3.912,3.912,3.87,3.9,3644,0
2017-09-25,20:00:00,3.9,3.91,3.9,3.91,1000,0
2017-09-25,21:00:00,3.904,3.95,3.895,3.95,11087,0
2017-09-25,22:00:00,3.94,3.95,3.93,3.94,47612,0
2017-09-26,16:00:00,3.96,3.99,3.95,3.95,11264,0
2017-09-26,17:00:00,3.95,4,3.94,3.96,13307,0
2017-09-26,18:00:00,3.98,4.075,3.98,4.055,10748,0
2017-09-26,19:00:00,4.05,4.06,4,4.005,14738,0
2017-09-26,20:00:00,4.005,4.01,3.995,3.995,8700,0
2017-09-26,21:00:00,4.01,4.01,3.9975,4,7031,0
2017-09-26,22:00:00,3.99,4.01,3.92,3.94,27339,0
2017-09-27,16:00:00,3.97,4.07,3.97,4.05,2408,0
2017-09-27,17:00:00,4.03,4.04,4,4,3737,0
2017-09-27,18:00:00,4.01,4.01,3.98,4,3323,0
2017-09-27,19:00:00,3.99,4.02,3.99,4.01,16005,0
2017-09-27,20:00:00,4.02,4.02,4,4,15452,0
2017-09-27,21:00:00,4,4.07,4,4.055,44211,0
2017-09-27,22:00:00,4.05,4.07,4.04,4.07,35373,0
2017-09-28,16:00:00,4.05,4.1,4.04,4.1,31756,0
2017-09-28,17:00:00,4.12,4.14,4.08,4.1333,124060,0
2017-09-28,18:00:00,4.12,4.14,4.09,4.11,62349,0
2017-09-28,19:00:00,4.11,4.12,4.08,4.12,15576,0
2017-09-28,20:00:00,4.12,4.12,4.09,4.09,6907,0
2017-09-28,21:00:00,4.1,4.11,4.09,4.1,33592,0
2017-09-28,22:00:00,4.11,4.12,4.08,4.1,27059,0
2017-09-29,16:00:00,4.11,4.145,4.08,4.1081,5701,0
2017-09-29,17:00:00,4.1,4.115,4.05,4.1,11607,0
2017-09-29,18:00:00,4.1,4.11,4.07,4.08,4450,0
2017-09-29,19:00:00,4.11,4.11,4.0501,4.08,15300,0
2017-09-29,20:00:00,4.09,4.11,4.07,4.095,2800,0
2017-09-29,21:00:00,4.09,4.1,4.08,4.09,2200,0
2017-09-29,22:00:00,4.09,4.1,4.065,4.09,169179,0
2017-10-02,16:00:00,4.11,4.1525,4.09,4.1,31459,0
2017-10-02,17:00:00,4.1,4.15,4.09,4.145,57087,0
2017-10-02,18:00:00,4.13,4.15,4.1,4.13,40126,0
2017-10-02,19:00:00,4.13,4.13,4.11,4.13,61200,0
2017-10-02,20:00:00,4.13,4.15,4.11,4.14,27799,0
2017-10-02,21:00:00,4.135,4.14,4.12,4.14,15860,0
2017-10-02,22:00:00,4.14,4.14,4.07,4.11,92624,0
2017-10-03,16:00:00,4.13,4.149,4.04,4.11,13198,0
2017-10-03,17:00:00,4.14,4.19,4.12,4.13,20744,0
2017-10-03,18:00:00,4.135,4.15,4.13,4.13,13452,0
2017-10-03,19:00:00,4.135,4.14,4.13,4.135,5834,0
2017-10-03,20:00:00,4.13,4.14,4.11,4.12,10770,0
2017-10-03,21:00:00,4.13,4.14,4.12,4.12,10399,0
2017-10-03,22:00:00,4.125,4.13,4.09,4.11,56437,0
2017-10-04,16:00:00,4.12,4.185,4.1,4.12,1486,0
2017-10-04,17:00:00,4.11,4.12,4.08,4.1,9970,0
2017-10-04,18:00:00,4.09,4.11,4.078,4.078,36585,0
2017-10-04,19:00:00,4.085,4.09,4.0145,4.0292,10393,0
2017-10-04,20:00:00,4.0231,4.05,4.02,4.02,1700,0
2017-10-04,21:00:00,4.03,4.03,3.99,3.9993,3195,0
2017-10-04,22:00:00,4,4.04,3.99,4.01,48992,0
2017-10-05,16:00:00,4.05,4.119,4.04,4.05,5032,0
2017-10-05,17:00:00,4.0833,4.12,4.02,4.1,20441,0
2017-10-05,18:00:00,4.1,4.13,4.04,4.1,9274,0
2017-10-05,19:00:00,4.11,4.11,4.05,4.05,4900,0
2017-10-05,20:00:00,4.09,4.1,4.08,4.09,2900,0
2017-10-05,21:00:00,4.08,4.09,4.07,4.07,2499,0
2017-10-05,22:00:00,4.08,4.08,4.05,4.06,46941,0
2017-10-06,16:00:00,4.08,4.09,4.04,4.08,5177,0
2017-10-06,17:00:00,4.09,4.11,4.06,4.08,8422,0
2017-10-06,18:00:00,4.1099,4.1099,4.07,4.08,2744,0
2017-10-06,19:00:00,4.08,4.1,4.06,4.07,2400,0
2017-10-06,20:00:00,4.09,4.1,4.06,4.08,22225,0
2017-10-06,21:00:00,4.09,4.0925,4.07,4.07,22678,0
2017-10-06,22:00:00,4.08,4.09,4.01,4.03,28004,0
2017-10-09,16:00:00,4.06,4.11,3.995,4,5505,0
2017-10-09,17:00:00,4,4.02,3.95,4,21616,0
2017-10-09,18:00:00,4,4.02,3.995,3.995,10200,0
2017-10-09,19:00:00,4,4,3.97,3.995,6642,0
2017-10-09,20:00:00,3.9999,4,3.94,3.94,40877,0
2017-10-09,21:00:00,3.965,4.02,3.94,3.975,8410,0
2017-10-09,22:00:00,3.98,3.99,3.9,3.93,35831,0
2017-10-10,16:00:00,3.93,4.03,3.89,4.005,10952,0
2017-10-10,17:00:00,4.005,4.04,3.91,4.03,53633,0
2017-10-10,18:00:00,4.02,4.06,4.01,4.045,16709,0
2017-10-10,19:00:00,4.045,4.065,4.04,4.05,22827,0
2017-10-10,20:00:00,4.06,4.06,4.03,4.03,10996,0
2017-10-10,21:00:00,4.04,4.05,4.02,4.03,40133,0
2017-10-10,22:00:00,4.03,4.04,4.02,4.03,116233,0
2017-10-11,16:00:00,4.04,4.1,4.03,4.045,11053,0
2017-10-11,17:00:00,4.035,4.0809,4.03,4.04,37068,0
2017-10-11,18:00:00,4.05,4.08,3.98,4.01,59012,0
2017-10-11,19:00:00,4.035,4.06,3.99,3.99,21411,0
2017-10-11,20:00:00,4.03,4.06,4.01,4.04,15009,0
2017-10-11,21:00:00,4.04,4.06,4.03,4.04,14403,0
2017-10-11,22:00:00,4.05,4.06,4.03,4.06,28292,0
2017-10-12,16:00:00,4.06,4.06,4,4.02,5091,0
2017-10-12,17:00:00,4.02,4.05,3.96,4.05,22099,0
2017-10-12,18:00:00,4.05,4.06,4.04,4.05,21189,0
2017-10-12,19:00:00,4.05,4.06,4.04,4.0525,25561,0
2017-10-12,20:00:00,4.05,4.06,4.04,4.05,74150,0
2017-10-12,21:00:00,4.05,4.06,4.04,4.05,19098,0
2017-10-12,22:00:00,4.05,4.06,4.035,4.04,40814,0
2017-10-13,16:00:00,4.05,4.06,4.02,4.03,16550,0
2017-10-13,17:00:00,4.03,4.06,4.03,4.05,18087,0
2017-10-13,18:00:00,4.05,4.06,4.0464,4.05,14158,0
2017-10-13,19:00:00,4.06,4.06,4.02,4.05,23975,0
2017-10-13,20:00:00,4.06,4.06,4.04,4.05,18012,0
2017-10-13,21:00:00,4.06,4.06,4.04,4.05,26890,0
2017-10-13,22:00:00,4.05,4.07,4.04,4.05,141094,0
2017-10-16,16:00:00,4.11,4.14,4.06,4.08,85541,0
2017-10-16,17:00:00,4.07,4.11,4.06,4.1,23508,0
2017-10-16,18:00:00,4.1,4.22,4.07,4.18,342332,0
2017-10-16,19:00:00,4.19,4.2,4.16,4.18,11935,0
2017-10-16,20:00:00,4.18,4.21,4.17,4.19,20120,0
2017-10-16,21:00:00,4.19,4.2,4.17,4.18,24063,0
2017-10-16,22:00:00,4.2,4.2,4.16,4.17,52415,0
2017-10-17,16:00:00,4.21,4.27,4.2,4.22,42122,0
2017-10-17,17:00:00,4.23,4.25,4.17,4.19,17280,0
2017-10-17,18:00:00,4.19,4.25,4.18,4.18,55038,0
2017-10-17,19:00:00,4.18,4.21,4.18,4.205,10953,0
2017-10-17,20:00:00,4.2,4.21,4.18,4.19,9308,0
2017-10-17,21:00:00,4.18,4.21,4.11,4.13,32013,0
2017-10-17,22:00:00,4.12,4.15,4.1,4.12,47579,0
2017-10-18,16:00:00,4.15,4.17,4.11,4.152,9787,0
2017-10-18,17:00:00,4.155,4.18,4.14,4.17,72647,0
2017-10-18,18:00:00,4.17,4.21,4.15,4.17,28828,0
2017-10-18,19:00:00,4.18,4.19,4.165,4.19,21897,0
2017-10-18,20:00:00,4.18,4.19,4.14,4.17,31789,0
2017-10-18,21:00:00,4.17,4.2,4.16,4.2,71702,0
2017-10-18,22:00:00,4.21,4.23,4.18,4.19,51664,0
2017-10-19,16:00:00,4.19,4.22,4.18,4.19,1926,0
2017-10-19,17:00:00,4.19,4.23,4.17,4.22,8157,0
2017-10-19,18:00:00,4.22,4.25,4.21,4.21,14727,0
2017-10-19,19:00:00,4.22,4.24,4.2,4.22,8180,0
2017-10-19,20:00:00,4.22,4.26,4.21,4.235,22919,0
2017-10-19,21:00:00,4.24,4.3,4.22,4.3,192787,0
2017-10-19,22:00:00,4.3,4.37,4.29,4.35,57361,0
2017-10-20,16:00:00,4.39,4.42,4.36,4.37,21552,0
2017-10-20,17:00:00,4.38,4.49,4.38,4.48,17911,0
2017-10-20,18:00:00,4.49,4.5,4.47,4.49,20819,0
2017-10-20,19:00:00,4.5,4.54,4.49,4.54,33633,0
2017-10-20,20:00:00,4.54,4.56,4.53,4.55,11420,0
2017-10-20,21:00:00,4.54,4.6,4.54,4.59,15389,0
2017-10-20,22:00:00,4.58,4.64,4.58,4.62,38694,0
2017-10-23,16:00:00,4.67,4.7,4.53,4.67,67655,0
2017-10-23,17:00:00,4.67,4.7,4.5989,4.64,40914,0
2017-10-23,18:00:00,4.63,4.69,4.6289,4.68,27354,0
2017-10-23,19:00:00,4.67,4.69,4.66,4.66,21680,0
2017-10-23,20:00:00,4.6589,4.68,4.65,4.67,10406,0
2017-10-23,21:00:00,4.6676,4.69,4.66,4.68,23060,0
2017-10-23,22:00:00,4.69,4.7,4.66,4.69,42779,0
2017-10-24,16:00:00,4.75,4.81,4.7361,4.8,21101,0
2017-10-24,17:00:00,4.8,4.84,4.7904,4.8,10145,0
2017-10-24,18:00:00,4.8,4.8,4.68,4.68,25222,0
2017-10-24,19:00:00,4.66,4.69,4.65,4.685,28928,0
2017-10-24,20:00:00,4.68,4.78,4.68,4.76,18781,0
2017-10-24,21:00:00,4.7515,4.76,4.71,4.71,19745,0
2017-10-24,22:00:00,4.71,4.72,4.64,4.66,83195,0
2017-10-25,16:00:00,4.66,4.66,4.531,4.5452,39558,0
2017-10-25,17:00:00,4.55,4.61,4.55,4.585,15798,0
2017-10-25,18:00:00,4.59,4.6,4.5,4.58,31404,0
2017-10-25,19:00:00,4.59,4.6,4.53,4.53,44005,0
2017-10-25,20:00:00,4.54,4.58,4.52,4.57,20107,0
2017-10-25,21:00:00,4.57,4.62,4.53,4.58,18328,0
2017-10-25,22:00:00,4.59,4.59,4.54,4.55,74553,0
2017-10-26,16:00:00,4.56,4.59,4.56,4.57,3751,0
2017-10-26,17:00:00,4.56,4.64,4.557,4.62,7600,0
2017-10-26,18:00:00,4.62,4.68,4.61,4.65,15880,0
2017-10-26,19:00:00,4.67,4.67,4.617,4.62,4850,0
2017-10-26,20:00:00,4.64,4.66,4.63,4.66,900,0
2017-10-26,21:00:00,4.65,4.65,4.61,4.61,6257,0
2017-10-26,22:00:00,4.628,4.63,4.61,4.63,18871,0
2017-10-27,16:00:00,4.63,4.65,4.56,4.56,10262,0
2017-10-27,17:00:00,4.56,4.57,4.51,4.54,13279,0
2017-10-27,18:00:00,4.55,4.58,4.54,4.56,33050,0
2017-10-27,19:00:00,4.56,4.5792,4.54,4.55,21741,0
2017-10-27,20:00:00,4.5401,4.58,4.5299,4.56,34959,0
2017-10-27,21:00:00,4.56,4.59,4.55,4.55,4068,0
2017-10-27,22:00:00,4.57,4.61,4.55,4.6,57673,0
2017-10-30,15:00:00,4.64,4.64,4.55,4.55,19294,0
2017-10-30,16:00:00,4.5599,4.58,4.54,4.56,5757,0
2017-10-30,17:00:00,4.54,4.56,4.42,4.44,27557,0
2017-10-30,18:00:00,4.44,4.46,4.3765,4.4,22682,0
2017-10-30,19:00:00,4.4,4.41,4.35,4.36,5444,0
2017-10-30,20:00:00,4.35,4.37,4.31,4.33,17007,0
2017-10-30,21:00:00,4.33,4.37,4.3,4.31,36419,0
2017-10-31,15:00:00,4.28,4.3618,4.28,4.345,22163,0
2017-10-31,16:00:00,4.34,4.41,4.31,4.39,27798,0
2017-10-31,17:00:00,4.37,4.42,4.35,4.36,20062,0
2017-10-31,18:00:00,4.3501,4.38,4.31,4.38,14300,0
2017-10-31,19:00:00,4.38,4.38,4.35,4.36,7786,0
2017-10-31,20:00:00,4.36,4.41,4.35,4.39,20336,0
2017-10-31,21:00:00,4.38,4.49,4.379,4.42,105769,0
2017-11-01,15:00:00,4.5,4.5,4.39,4.41,6992,0
2017-11-01,16:00:00,4.4059,4.42,4.36,4.41,8950,0
