Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,8.9445,9.0228,8.9445,9.0033,10575,0
2017-09-06,17:00:00,9.0033,9.1895,9.0033,9.0522,73887,0
2017-09-06,18:00:00,9.0425,9.0425,9.0131,9.0425,3528,0
2017-09-06,19:00:00,9.0425,9.0522,9.0327,9.0522,920,0
2017-09-06,20:00:00,9.0425,9.0522,9.0131,9.0131,6131,0
2017-09-06,21:00:00,9.0033,9.0425,9.0033,9.0425,9210,0
2017-09-06,22:00:00,9.0425,9.0816,9.0228,9.0228,35117,0
2017-09-07,16:00:00,8.9838,9.0425,8.9641,9.0327,3509,0
2017-09-07,17:00:00,9.0131,9.0327,8.9934,9.0131,6319,0
2017-09-07,18:00:00,9.0228,9.0228,8.9641,9.0033,12398,0
2017-09-07,19:00:00,9.0033,9.0033,8.9739,9.0033,3035,0
2017-09-07,20:00:00,9.0131,9.0131,8.9641,8.9838,3164,0
2017-09-07,21:00:00,8.9838,8.9838,8.9445,8.9445,7474,0
2017-09-07,22:00:00,8.9445,8.9739,8.8759,8.8857,40715,0
2017-09-08,16:00:00,8.8857,8.9838,8.8857,8.9544,2900,0
2017-09-08,17:00:00,8.9544,8.9739,8.8955,8.9151,35837,0
2017-09-08,18:00:00,8.9249,8.9641,8.9053,8.9151,93064,0
2017-09-08,19:00:00,8.9249,8.9445,8.9053,8.9445,15998,0
2017-09-08,20:00:00,8.9151,8.9249,8.8955,8.8955,6524,0
2017-09-08,21:00:00,8.9151,8.9151,8.8955,8.8955,1366,0
2017-09-08,22:00:00,8.9249,8.9347,8.8661,8.8857,9940,0
2017-09-11,16:00:00,8.9151,8.9151,8.9053,8.9053,9817,0
2017-09-11,17:00:00,8.9151,8.9347,8.9053,8.9151,7758,0
2017-09-11,18:00:00,8.9151,8.9248,8.8955,8.8955,11835,0
2017-09-11,19:00:00,8.8857,8.9151,8.8759,8.9053,3777,0
2017-09-11,20:00:00,8.9053,8.9151,8.8857,8.8857,5104,0
2017-09-11,21:00:00,8.8857,8.8857,8.8612,8.8661,6989,0
2017-09-11,22:00:00,8.8563,8.871,8.8073,8.8269,34650,0
2017-09-12,16:00:00,8.8759,8.8955,8.8269,8.8906,17528,0
2017-09-12,17:00:00,8.8857,8.8906,8.8563,8.8563,7758,0
2017-09-12,18:00:00,8.8563,8.8857,8.8466,8.8644,9007,0
2017-09-12,19:00:00,8.8466,8.8661,8.8269,8.8269,13326,0
2017-09-12,20:00:00,8.8367,8.8563,8.8172,8.8563,43078,0
2017-09-12,21:00:00,8.8563,8.8661,8.828,8.8466,11197,0
2017-09-12,22:00:00,8.8466,8.8563,8.8172,8.8172,21228,0
2017-09-13,16:00:00,8.8269,8.8666,8.8269,8.8563,5152,0
2017-09-13,17:00:00,8.8466,8.8759,8.8367,8.8367,12913,0
2017-09-13,18:00:00,8.8466,8.8661,8.8269,8.8563,8511,0
2017-09-13,19:00:00,8.8563,8.8759,8.8466,8.8466,2356,0
2017-09-13,20:00:00,8.8466,8.8759,8.8172,8.8661,115377,0
2017-09-13,21:00:00,8.8661,8.8857,8.8466,8.8759,11583,0
2017-09-13,22:00:00,8.8759,8.8847,8.8172,8.8367,28522,0
2017-09-14,16:00:00,8.8563,8.8759,8.8269,8.8367,2800,0
2017-09-14,17:00:00,8.8367,8.8759,8.8269,8.8759,39217,0
2017-09-14,18:00:00,8.8759,8.8759,8.8367,8.8661,56647,0
2017-09-14,19:00:00,8.8563,8.8563,8.8269,8.8269,4798,0
2017-09-14,20:00:00,8.8269,8.8857,8.8142,8.8759,36911,0
2017-09-14,21:00:00,8.8759,8.8857,8.8563,8.8759,11330,0
2017-09-14,22:00:00,8.8661,8.8857,8.8367,8.8759,37189,0
2017-09-15,16:00:00,8.8563,8.9739,8.8563,8.9739,1352,0
2017-09-15,17:00:00,8.9445,8.9445,8.9053,8.9249,818,0
2017-09-15,18:00:00,8.9249,8.9544,8.9249,8.9445,1301,0
2017-09-15,19:00:00,8.9641,8.9641,8.9445,8.9445,818,0
2017-09-15,20:00:00,8.9697,8.9697,8.9347,8.9641,3516,0
2017-09-15,21:00:00,8.9641,8.9641,8.9445,8.9544,6058,0
2017-09-15,22:00:00,8.9544,9.0033,8.9543,9.0033,9506,0
2017-09-18,16:00:00,9.0228,9.0327,8.9347,9.0327,16612,0
2017-09-18,17:00:00,9.0033,9.0033,8.9641,9.0008,36175,0
2017-09-18,18:00:00,8.9934,8.9934,8.9445,8.9739,5649,0
2017-09-18,19:00:00,8.9739,8.9846,8.9641,8.9739,4076,0
2017-09-18,20:00:00,8.9838,8.9838,8.9641,8.9838,2522,0
2017-09-18,21:00:00,9.013,9.013,8.9544,8.9739,4436,0
2017-09-18,22:00:00,8.9739,8.9934,8.9544,8.9739,14616,0
2017-09-19,16:00:00,9.0327,9.0327,8.9739,8.9739,1821,0
2017-09-19,17:00:00,8.9544,8.9544,8.9053,8.9053,1644,0
2017-09-19,18:00:00,8.9249,8.9249,8.8661,8.8857,9946,0
2017-09-19,19:00:00,8.8955,8.9249,8.8563,8.9249,16127,0
2017-09-19,20:00:00,8.9151,8.9544,8.9151,8.9249,7634,0
2017-09-19,21:00:00,8.9151,8.9544,8.9151,8.9544,5512,0
2017-09-19,22:00:00,8.9544,8.9838,8.9347,8.9739,28188,0
2017-09-20,16:00:00,8.9934,8.9934,8.9445,8.9445,1275,0
2017-09-20,17:00:00,8.9151,8.9249,8.8955,8.9249,4476,0
2017-09-20,18:00:00,8.9445,8.9739,8.9387,8.9445,5431,0
2017-09-20,19:00:00,8.9445,8.9445,8.9347,8.9347,1530,0
2017-09-20,20:00:00,8.9347,8.9838,8.9347,8.9838,4381,0
2017-09-20,21:00:00,8.9739,8.9934,8.9347,8.9934,11178,0
2017-09-20,22:00:00,8.9934,8.9934,8.8955,8.9249,40128,0
2017-09-21,16:00:00,8.9544,8.9641,8.8955,8.9053,3982,0
2017-09-21,17:00:00,8.8857,8.8857,8.8759,8.8759,406,0
2017-09-21,18:00:00,8.8955,8.8955,8.8955,8.8955,206,0
2017-09-21,19:00:00,8.8955,8.8955,8.8955,8.8955,206,0
2017-09-21,20:00:00,8.8955,8.9053,8.8661,8.9053,2701,0
2017-09-21,21:00:00,8.9052,8.9053,8.8955,8.9053,2469,0
2017-09-21,22:00:00,8.9053,8.9053,8.8466,8.8955,16793,0
2017-09-22,16:00:00,8.9151,8.9151,8.8172,8.8661,60703,0
2017-09-22,17:00:00,8.8661,8.8857,8.8563,8.8661,41753,0
2017-09-22,18:00:00,8.8563,8.8955,8.8563,8.8955,2348,0
2017-09-22,19:00:00,8.8759,8.8857,8.8073,8.8073,47583,0
2017-09-22,20:00:00,8.8367,8.8466,8.8073,8.8172,22886,0
2017-09-22,21:00:00,8.8172,8.8269,8.8073,8.8073,5272,0
2017-09-22,22:00:00,8.8073,8.8367,8.7878,8.7975,10408,0
2017-09-25,16:00:00,8.8269,8.8269,8.7975,8.8073,10031,0
2017-09-25,17:00:00,8.8073,8.8172,8.8073,8.8073,9421,0
2017-09-25,18:00:00,8.7975,8.8073,8.7804,8.7878,9619,0
2017-09-25,19:00:00,8.7975,8.7975,8.7779,8.7878,1633,0
2017-09-25,20:00:00,8.7779,8.8073,8.7779,8.7878,7568,0
2017-09-25,21:00:00,8.7828,8.7975,8.7828,8.7927,7733,0
2017-09-25,22:00:00,8.7975,8.7975,8.768,8.7975,11574,0
2017-09-26,16:00:00,8.7975,8.7975,8.6996,8.7878,34251,0
2017-09-26,17:00:00,8.7779,8.7975,8.7779,8.7975,9799,0
2017-09-26,18:00:00,8.7975,8.8269,8.7779,8.7779,21462,0
2017-09-26,19:00:00,8.7779,8.7779,8.7584,8.7779,6329,0
2017-09-26,20:00:00,8.768,8.8172,8.768,8.7779,17456,0
2017-09-26,21:00:00,8.7994,8.8073,8.7878,8.7927,2042,0
2017-09-26,22:00:00,8.7975,8.8269,8.7779,8.7779,57270,0
2017-09-27,16:00:00,8.8367,8.8367,8.7485,8.7485,5221,0
2017-09-27,17:00:00,8.729,8.7485,8.729,8.7387,5104,0
2017-09-27,18:00:00,8.7485,8.7584,8.7387,8.7584,2246,0
2017-09-27,19:00:00,8.7485,8.7584,8.7485,8.7534,1940,0
2017-09-27,20:00:00,8.7584,8.768,8.7584,8.7584,4276,0
2017-09-27,21:00:00,8.7584,8.768,8.7584,8.7584,1020,0
2017-09-27,22:00:00,8.7633,8.8073,8.7094,8.7191,51801,0
2017-09-28,16:00:00,8.7486,8.8371,8.729,8.8175,5674,0
2017-09-28,17:00:00,8.7978,8.8076,8.7585,8.7682,8529,0
2017-09-28,18:00:00,8.7585,8.7682,8.7487,8.7585,4921,0
2017-09-28,19:00:00,8.7585,8.8076,8.7585,8.8076,7548,0
2017-09-28,20:00:00,8.7978,8.8076,8.7978,8.7978,2136,0
2017-09-28,21:00:00,8.8027,8.8076,8.7781,8.788,25655,0
2017-09-28,22:00:00,8.7781,8.8273,8.7585,8.788,39895,0
2017-09-29,16:00:00,8.7978,8.7978,8.7682,8.7682,1414,0
2017-09-29,17:00:00,8.7978,8.7978,8.7585,8.7585,4383,0
2017-09-29,18:00:00,8.7977,8.7978,8.7585,8.7682,5921,0
2017-09-29,19:00:00,8.7781,8.788,8.7682,8.7682,1933,0
2017-09-29,20:00:00,8.7682,8.7781,8.7682,8.7682,1768,0
2017-09-29,21:00:00,8.7682,8.788,8.7191,8.7585,12524,0
2017-09-29,22:00:00,8.7585,8.847,8.7585,8.8175,29866,0
2017-10-02,16:00:00,8.7781,8.7781,8.729,8.7486,2508,0
2017-10-02,17:00:00,8.7585,8.847,8.7585,8.8175,13326,0
2017-10-02,18:00:00,8.8273,8.847,8.8273,8.847,11877,0
2017-10-02,19:00:00,8.841,8.847,8.8175,8.8175,3652,0
2017-10-02,20:00:00,8.8175,8.8175,8.788,8.7978,6339,0
2017-10-02,21:00:00,8.7978,8.8076,8.788,8.8076,1730,0
2017-10-02,22:00:00,8.8076,8.8076,8.7781,8.7978,7194,0
2017-10-03,16:00:00,8.7486,8.788,8.7486,8.7781,2416,0
2017-10-03,17:00:00,8.7682,8.7682,8.7486,8.7585,5676,0
2017-10-03,18:00:00,8.7585,8.8076,8.7191,8.7978,23572,0
2017-10-03,19:00:00,8.7978,8.8175,8.788,8.788,3459,0
2017-10-03,20:00:00,8.7682,8.788,8.7682,8.7781,6001,0
2017-10-03,21:00:00,8.7781,8.7978,8.7781,8.7971,2746,0
2017-10-03,22:00:00,8.7971,8.7978,8.7388,8.7388,43656,0
2017-10-04,16:00:00,8.7388,8.7486,8.6837,8.6995,9033,0
2017-10-04,17:00:00,8.6995,8.729,8.6995,8.7104,5192,0
2017-10-04,18:00:00,8.7103,8.7486,8.7094,8.7388,7068,0
2017-10-04,19:00:00,8.7486,8.8175,8.7486,8.8076,64970,0
2017-10-04,20:00:00,8.8076,8.8076,8.7781,8.788,4069,0
2017-10-04,21:00:00,8.788,8.8076,8.788,8.8076,10972,0
2017-10-04,22:00:00,8.8175,8.8568,8.7978,8.7978,26886,0
2017-10-05,16:00:00,8.788,8.8273,8.788,8.7978,4315,0
2017-10-05,17:00:00,8.7978,8.8666,8.7978,8.8666,13445,0
2017-10-05,18:00:00,8.8666,8.8764,8.8568,8.8764,3305,0
2017-10-05,19:00:00,8.8666,8.9158,8.8666,8.8666,4069,0
2017-10-05,20:00:00,8.8774,8.8863,8.8568,8.8568,1730,0
2017-10-05,21:00:00,8.8568,8.9059,8.8568,8.9059,19326,0
2017-10-05,22:00:00,8.9059,8.9158,8.8764,8.8863,20589,0
2017-10-06,16:00:00,8.847,8.847,8.7585,8.7585,3443,0
2017-10-06,17:00:00,8.7388,8.7486,8.7388,8.7486,4284,0
2017-10-06,18:00:00,8.7486,8.8273,8.7388,8.8273,6699,0
2017-10-06,19:00:00,8.8273,8.8764,8.8175,8.847,5221,0
2017-10-06,20:00:00,8.8371,8.8666,8.8371,8.847,9677,0
2017-10-06,21:00:00,8.847,8.8568,8.847,8.8568,3996,0
2017-10-06,22:00:00,8.8568,8.8764,8.847,8.8764,17163,0
2017-10-09,16:00:00,8.8961,8.8961,8.8076,8.8076,474,0
2017-10-09,17:00:00,8.8076,8.8175,8.7585,8.8076,4537,0
2017-10-09,18:00:00,8.8175,8.8175,8.8076,8.8175,1584,0
2017-10-09,19:00:00,8.8134,8.8175,8.8076,8.8076,3084,0
2017-10-09,20:00:00,8.8076,8.8076,8.7978,8.7978,2249,0
2017-10-09,21:00:00,8.7978,8.8076,8.7978,8.8027,6104,0
2017-10-09,22:00:00,8.8027,8.819,8.7486,8.7682,25695,0
2017-10-10,16:00:00,8.8273,8.847,8.8175,8.847,10238,0
2017-10-10,17:00:00,8.8568,8.8961,8.847,8.8961,10478,0
2017-10-10,18:00:00,8.8961,8.901,8.8568,8.8568,7722,0
2017-10-10,19:00:00,8.8568,8.8764,8.8568,8.8764,1628,0
2017-10-10,20:00:00,8.8843,8.8843,8.847,8.8568,7110,0
2017-10-10,21:00:00,8.847,8.847,8.8371,8.8371,10144,0
2017-10-10,22:00:00,8.842,8.847,8.8273,8.8371,5729,0
2017-10-11,16:00:00,8.8175,8.8322,8.8076,8.8273,11583,0
2017-10-11,17:00:00,8.8076,8.847,8.7978,8.847,19926,0
2017-10-11,18:00:00,8.8371,8.8667,8.8371,8.8666,4585,0
2017-10-11,19:00:00,8.8764,8.8863,8.8666,8.8666,3581,0
2017-10-11,20:00:00,8.8764,8.8961,8.8666,8.8961,14053,0
2017-10-11,21:00:00,8.8961,8.8961,8.8568,8.8568,17169,0
2017-10-11,22:00:00,8.8568,8.8568,8.7781,8.8076,40715,0
2017-10-12,16:00:00,8.788,8.847,8.788,8.847,6337,0
2017-10-12,17:00:00,8.8371,8.847,8.8273,8.8371,5093,0
2017-10-12,18:00:00,8.8175,8.847,8.8175,8.847,6410,0
2017-10-12,19:00:00,8.842,8.847,8.8371,8.8371,1525,0
