Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,181.86,183.1,177.61,180.99,107662,0
2017-09-05,17:00:00,180.99,182.47,180.72,182.33,126110,0
2017-09-05,18:00:00,182.33,182.72,180.87,181.63,93919,0
2017-09-05,19:00:00,181.63,181.63,181.01,181.27,63548,0
2017-09-05,20:00:00,181.18,181.29,180.53,181.29,81038,0
2017-09-05,21:00:00,181.36,181.76,181.22,181.68,71491,0
2017-09-05,22:00:00,181.75,182.42,181.53,182.04,298439,0
2017-09-06,16:00:00,182.25,182.93,181.39,181.65,47350,0
2017-09-06,17:00:00,181.69,181.86,181.15,181.41,122864,0
2017-09-06,18:00:00,181.37,181.67,181.23,181.27,199338,0
2017-09-06,19:00:00,181.34,181.44,181.25,181.26,153940,0
2017-09-06,20:00:00,181.29,181.58,181.08,181.37,134155,0
2017-09-06,21:00:00,181.3,181.57,181.11,181.15,75533,0
2017-09-06,22:00:00,181.22,181.29,180.6,180.92,309077,0
2017-09-07,16:00:00,181.21,181.3,180.41,180.91,39953,0
2017-09-07,17:00:00,180.97,182.24,180.39,180.93,121232,0
2017-09-07,18:00:00,181,181.7,180.69,181.29,87195,0
2017-09-07,19:00:00,181.23,181.27,180.82,181.11,64274,0
2017-09-07,20:00:00,181.11,181.28,180.69,181.19,75719,0
2017-09-07,21:00:00,181.21,181.76,181.1,181.76,58512,0
2017-09-07,22:00:00,181.74,181.76,181.17,181.37,177391,0
2017-09-08,16:00:00,181.21,182.39,180.91,182.11,71180,0
2017-09-08,17:00:00,182.33,182.49,181.62,182.1,163335,0
2017-09-08,18:00:00,182.18,182.63,182.01,182.44,174943,0
2017-09-08,19:00:00,182.48,182.92,182.48,182.8,45351,0
2017-09-08,20:00:00,182.83,182.97,182.55,182.92,63950,0
2017-09-08,21:00:00,182.98,183.41,182.98,183.22,50502,0
2017-09-08,22:00:00,183.18,183.2,181.9,182.12,303836,0
2017-09-11,16:00:00,182.54,183.86,181.66,183.16,62825,0
2017-09-11,17:00:00,183.13,183.62,182.94,183.07,105948,0
2017-09-11,18:00:00,182.99,183.18,182.63,183.17,118261,0
2017-09-11,19:00:00,183.18,183.56,183.18,183.39,52649,0
2017-09-11,20:00:00,183.43,183.64,183.34,183.64,54795,0
2017-09-11,21:00:00,183.65,183.79,183.49,183.65,76471,0
2017-09-11,22:00:00,183.64,183.86,183.33,183.86,280315,0
2017-09-12,16:00:00,183.57,183.9,182.33,182.8,61674,0
2017-09-12,17:00:00,182.88,182.88,180.74,181.1,82068,0
2017-09-12,18:00:00,181.02,181.16,179.78,180.43,100569,0
2017-09-12,19:00:00,180.38,181.07,180.37,180.53,53939,0
2017-09-12,20:00:00,180.47,180.49,179.4,179.41,49730,0
2017-09-12,21:00:00,179.47,179.76,179.15,179.26,64712,0
2017-09-12,22:00:00,179.26,180.09,178.64,180.04,277182,0
2017-09-13,16:00:00,179.98,180.5,179.15,179.38,27179,0
2017-09-13,17:00:00,179.45,180.4,179.29,180.21,73104,0
2017-09-13,18:00:00,180.22,180.55,179.81,180,62973,0
2017-09-13,19:00:00,180,180.24,179.68,180.08,32919,0
2017-09-13,20:00:00,180.09,180.1,179.48,179.53,43106,0
2017-09-13,21:00:00,179.49,179.55,179.12,179.32,48889,0
2017-09-13,22:00:00,179.33,179.47,179.1,179.26,251926,0
2017-09-14,16:00:00,179.25,179.25,178.21,178.41,27659,0
2017-09-14,17:00:00,178.47,178.87,177.84,178.44,85804,0
2017-09-14,18:00:00,178.43,178.87,178.27,178.59,55885,0
2017-09-14,19:00:00,178.6,178.99,178.45,178.59,122169,0
2017-09-14,20:00:00,178.62,179.35,178.44,178.99,80867,0
2017-09-14,21:00:00,179.03,179.06,178.55,178.64,107665,0
2017-09-14,22:00:00,178.67,179.45,178.55,179.17,279654,0
2017-09-15,16:00:00,179.32,180.38,179.07,179.07,221595,0
2017-09-15,17:00:00,179.21,179.51,178,178.09,95307,0
2017-09-15,18:00:00,178.09,178.64,178.03,178.33,69971,0
2017-09-15,19:00:00,178.47,179.13,178.32,178.68,77531,0
2017-09-15,20:00:00,178.7,178.79,178.59,178.76,37087,0
2017-09-15,21:00:00,178.76,178.87,178.57,178.85,67511,0
2017-09-15,22:00:00,178.78,179.3,178.71,179.2,542367,0
2017-09-18,16:00:00,179.24,179.99,179.18,179.52,29290,0
2017-09-18,17:00:00,179.75,179.86,178.61,178.81,45688,0
2017-09-18,18:00:00,178.79,178.84,178.29,178.32,77000,0
2017-09-18,19:00:00,178.33,178.45,177.79,177.92,43314,0
2017-09-18,20:00:00,177.96,178.65,177.93,178.62,48589,0
2017-09-18,21:00:00,178.62,178.62,178.2,178.42,38952,0
2017-09-18,22:00:00,178.44,178.85,178.43,178.62,207917,0
2017-09-19,16:00:00,178.62,179.04,177.65,177.65,24061,0
2017-09-19,17:00:00,177.48,178.07,177.24,177.42,65347,0
2017-09-19,18:00:00,177.4,177.72,177.12,177.12,96918,0
2017-09-19,19:00:00,177.1,177.24,176.79,176.85,26556,0
2017-09-19,20:00:00,176.81,176.94,176.61,176.85,30878,0
2017-09-19,21:00:00,176.9,177.44,176.65,177.33,79285,0
2017-09-19,22:00:00,177.32,177.36,177.03,177.2,453390,0
2017-09-20,16:00:00,177.33,177.96,177.26,177.51,32925,0
2017-09-20,17:00:00,177.52,177.55,177.17,177.39,42076,0
2017-09-20,18:00:00,177.4,177.43,176.95,177.18,41520,0
2017-09-20,19:00:00,177.15,177.44,177.09,177.17,49063,0
2017-09-20,20:00:00,177.24,177.27,176.92,176.96,30690,0
2017-09-20,21:00:00,176.89,176.89,175.73,175.82,88647,0
2017-09-20,22:00:00,175.79,176.39,175.66,176.3,179418,0
2017-09-21,16:00:00,176.36,177.01,176.06,176.72,18303,0
2017-09-21,17:00:00,176.62,176.63,176.1,176.1,42650,0
2017-09-21,18:00:00,176.1,176.47,175.78,175.95,54135,0
2017-09-21,19:00:00,175.94,176.11,175.66,175.79,30380,0
2017-09-21,20:00:00,175.84,175.93,175.53,175.93,28340,0
2017-09-21,21:00:00,175.95,175.95,175.59,175.9,33738,0
2017-09-21,22:00:00,175.88,175.91,175.32,175.34,183306,0
2017-09-22,16:00:00,175.57,175.89,174.91,175.3,23340,0
2017-09-22,17:00:00,175.43,175.6,174.47,175.23,44823,0
2017-09-22,18:00:00,175.23,175.25,174.6,174.6,16322,0
2017-09-22,19:00:00,174.67,174.85,174.56,174.63,18524,0
2017-09-22,20:00:00,174.63,174.74,174.37,174.37,55840,0
2017-09-22,21:00:00,174.37,174.39,174.01,174.21,21449,0
2017-09-22,22:00:00,174.18,174.38,174.01,174.08,150356,0
2017-09-25,16:00:00,175.01,175.97,174.17,174.46,62041,0
2017-09-25,17:00:00,174.53,174.97,174.22,174.23,83504,0
2017-09-25,18:00:00,174.34,174.52,173.94,174.28,206261,0
2017-09-25,19:00:00,174.32,174.67,174.24,174.54,148180,0
2017-09-25,20:00:00,174.57,174.6,174.47,174.55,83308,0
2017-09-25,21:00:00,174.56,174.7,174.47,174.65,187352,0
2017-09-25,22:00:00,174.67,174.86,174.55,174.86,281388,0
2017-09-26,16:00:00,174.87,175.19,174.28,175.08,91206,0
2017-09-26,17:00:00,175.03,175.05,174.44,174.79,169510,0
2017-09-26,18:00:00,174.79,175.18,174.24,174.99,188800,0
2017-09-26,19:00:00,175.03,175.04,174.32,174.6,63459,0
2017-09-26,20:00:00,174.61,174.83,174.54,174.78,63208,0
2017-09-26,21:00:00,174.79,175.14,174.79,174.92,104297,0
2017-09-26,22:00:00,174.92,175.05,174.56,174.65,232584,0
2017-09-27,16:00:00,174.87,174.87,173.28,173.62,54201,0
2017-09-27,17:00:00,173.65,174.22,173.2,174.21,90186,0
2017-09-27,18:00:00,174.14,174.44,173.82,174.18,125969,0
2017-09-27,19:00:00,174.18,174.33,173.83,173.97,69889,0
2017-09-27,20:00:00,173.97,174.03,173.58,173.58,65301,0
2017-09-27,21:00:00,173.6,173.86,173.22,173.8,75151,0
2017-09-27,22:00:00,173.82,174.1,173.64,173.73,252297,0
2017-09-28,16:00:00,173.66,174.95,173.66,174.33,51403,0
2017-09-28,17:00:00,174.38,175.08,174.1,174.8,84650,0
2017-09-28,18:00:00,174.76,174.91,174.48,174.89,67048,0
2017-09-28,19:00:00,174.91,175.34,174.54,175.04,68593,0
