Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-25,16:00:00,58.246,58.246,58.246,58.246,1020,0
2017-08-25,17:00:00,58.266,58.266,58.069,58.251,1424,0
2017-08-25,18:00:00,58.325,58.571,58.276,58.315,2054,0
2017-08-25,19:00:00,58.561,58.571,58.507,58.507,400,0
2017-08-25,20:00:00,58.868,59.436,58.868,59.436,1424,0
2017-08-25,21:00:00,59.274,59.274,59.171,59.171,523,0
2017-08-25,22:00:00,59.254,59.254,58.827,58.865,5819,0
2017-08-28,16:00:00,58.875,58.875,58.875,58.875,246,0
2017-08-28,17:00:00,59.112,59.112,58.521,58.521,813,0
2017-08-28,18:00:00,58.984,59.289,58.699,58.767,1627,0
2017-08-28,19:00:00,58.9,58.9,58.767,58.822,610,0
2017-08-28,20:00:00,58.777,59.102,58.511,58.591,2543,0
2017-08-28,21:00:00,58.581,58.787,58.581,58.787,721,0
2017-08-28,22:00:00,58.709,58.787,58.611,58.689,12209,0
2017-08-29,16:00:00,58.502,58.974,58.502,58.935,1219,0
2017-08-29,17:00:00,58.704,59.033,58.704,58.846,990,0
2017-08-29,18:00:00,58.777,58.777,58.374,58.443,1262,0
2017-08-29,19:00:00,58.355,58.729,58.286,58.591,661,0
2017-08-29,20:00:00,58.747,58.747,58.601,58.611,610,0
2017-08-29,22:00:00,58.615,58.709,58.177,58.394,8876,0
2017-08-30,16:00:00,59.868,59.868,59.868,59.868,102,0
2017-08-30,17:00:00,58.448,58.591,58.433,58.591,1017,0
2017-08-30,18:00:00,58.767,58.767,58.355,58.729,2034,0
2017-08-30,19:00:00,58.993,58.993,58.679,58.679,610,0
2017-08-30,20:00:00,58.709,58.757,58.601,58.757,1017,0
2017-08-30,21:00:00,58.581,58.767,58.524,58.767,2599,0
2017-08-30,22:00:00,58.955,59.013,58.767,58.846,5575,0
2017-08-31,16:00:00,58.827,58.827,58.827,58.827,1141,0
2017-08-31,17:00:00,58.935,59.967,58.935,59.908,3548,0
2017-08-31,18:00:00,59.85,60.076,59.712,60.076,4242,0
2017-08-31,19:00:00,60.203,60.203,59.953,60.095,712,0
2017-08-31,20:00:00,59.864,60.056,59.642,59.888,407,0
2017-08-31,21:00:00,59.652,60.105,59.652,59.85,3015,0
2017-08-31,22:00:00,59.918,60.026,59.495,59.594,15024,0
