Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-08-31,16:00:00,14.801,14.801,14.801,14.801,857,0
2017-08-31,17:00:00,14.81,14.849,14.81,14.81,3078,0
2017-08-31,18:00:00,14.81,14.834,14.81,14.81,1192,0
2017-08-31,19:00:00,14.81,14.81,14.81,14.81,209,0
2017-08-31,20:00:00,14.792,14.792,14.792,14.792,418,0
2017-08-31,21:00:00,14.828,14.828,14.828,14.828,2079,0
2017-08-31,22:00:00,14.81,14.817,14.792,14.81,764,0
2017-09-01,16:00:00,14.819,14.849,14.819,14.849,1017,0
2017-09-01,17:00:00,14.855,14.855,14.814,14.847,3573,0
2017-09-01,18:00:00,14.822,14.822,14.822,14.822,101,0
2017-09-01,19:00:00,14.81,14.81,14.801,14.81,728,0
2017-09-01,20:00:00,14.819,14.819,14.818,14.818,270,0
2017-09-01,21:00:00,14.801,14.802,14.801,14.801,999,0
2017-09-01,22:00:00,14.829,14.829,14.829,14.829,101,0
2017-09-05,16:00:00,14.782,14.839,14.782,14.829,1500,0
2017-09-05,17:00:00,14.824,14.897,14.821,14.887,6469,0
2017-09-05,18:00:00,14.875,14.877,14.859,14.859,1385,0
2017-09-05,20:00:00,14.863,14.945,14.863,14.897,8102,0
2017-09-05,21:00:00,14.887,14.887,14.867,14.867,3238,0
2017-09-05,22:00:00,14.892,14.906,14.887,14.887,519,0
2017-09-06,16:00:00,14.849,14.926,14.849,14.897,861,0
2017-09-06,17:00:00,14.897,14.906,14.801,14.839,24928,0
2017-09-06,18:00:00,14.829,14.877,14.829,14.867,623,0
2017-09-06,19:00:00,14.839,14.852,14.839,14.839,1329,0
2017-09-06,20:00:00,14.867,14.867,14.819,14.819,903,0
2017-09-06,21:00:00,14.849,14.849,14.829,14.829,519,0
2017-09-06,22:00:00,14.829,14.877,14.829,14.877,2457,0
2017-09-07,16:00:00,14.859,14.926,14.839,14.887,3122,0
2017-09-07,17:00:00,14.897,14.926,14.897,14.926,8420,0
2017-09-07,18:00:00,14.926,14.935,14.867,14.877,10320,0
2017-09-07,19:00:00,14.877,14.877,14.867,14.867,8318,0
2017-09-07,20:00:00,14.867,14.867,14.814,14.814,24579,0
2017-09-07,21:00:00,14.801,14.819,14.773,14.773,6955,0
2017-09-07,22:00:00,14.773,14.81,14.763,14.782,3253,0
2017-09-08,16:00:00,14.782,14.839,14.773,14.782,19904,0
2017-09-08,17:00:00,14.782,14.782,14.753,14.763,5720,0
2017-09-08,18:00:00,14.763,14.773,14.733,14.733,7515,0
2017-09-08,19:00:00,14.733,14.762,14.724,14.753,10191,0
2017-09-08,20:00:00,14.758,14.762,14.753,14.758,9150,0
2017-09-08,21:00:00,14.76,14.763,14.753,14.753,8346,0
2017-09-08,22:00:00,14.753,14.753,14.715,14.715,9281,0
2017-09-11,16:00:00,14.715,14.715,14.715,14.715,350,0
2017-09-11,17:00:00,14.743,14.763,14.733,14.753,2754,0
2017-09-11,18:00:00,14.747,14.747,14.747,14.747,418,0
2017-09-11,20:00:00,14.743,14.771,14.743,14.771,1870,0
2017-09-11,21:00:00,14.76,14.773,14.756,14.756,728,0
2017-09-11,22:00:00,14.744,14.744,14.666,14.705,19169,0
2017-09-12,16:00:00,14.685,14.733,14.685,14.733,786,0
2017-09-12,17:00:00,14.705,14.705,14.695,14.699,602,0
2017-09-12,18:00:00,14.696,14.733,14.696,14.733,5281,0
2017-09-12,19:00:00,14.733,14.743,14.705,14.724,28463,0
2017-09-12,21:00:00,14.733,14.733,14.728,14.728,430,0
2017-09-12,22:00:00,14.733,14.733,14.715,14.715,1663,0
2017-09-13,16:00:00,14.705,14.724,14.705,14.724,2534,0
2017-09-13,17:00:00,14.724,14.724,14.724,14.724,519,0
2017-09-13,18:00:00,14.715,14.72,14.685,14.695,18824,0
2017-09-13,19:00:00,14.685,14.686,14.685,14.686,9350,0
2017-09-13,20:00:00,14.695,14.72,14.685,14.72,7244,0
2017-09-13,21:00:00,14.724,14.724,14.715,14.724,1769,0
2017-09-13,22:00:00,14.715,14.743,14.647,14.656,29944,0
2017-09-14,16:00:00,14.763,14.763,14.675,14.715,6940,0
2017-09-14,17:00:00,14.685,14.685,14.666,14.666,7125,0
2017-09-14,18:00:00,14.675,14.675,14.656,14.666,1863,0
2017-09-14,19:00:00,14.675,14.675,14.675,14.675,1242,0
2017-09-14,20:00:00,14.675,14.675,14.675,14.675,4764,0
2017-09-14,21:00:00,14.675,14.675,14.675,14.675,1242,0
2017-09-14,22:00:00,14.675,14.675,14.647,14.647,2097,0
2017-09-15,16:00:00,14.647,14.647,14.647,14.647,737,0
2017-09-15,17:00:00,14.682,14.715,14.682,14.715,2971,0
2017-09-15,18:00:00,14.722,14.724,14.722,14.724,4190,0
2017-09-15,19:00:00,14.724,14.724,14.724,14.724,517,0
2017-09-15,20:00:00,14.724,14.732,14.724,14.732,284,0
2017-09-15,22:00:00,14.724,14.733,14.715,14.715,2249,0
2017-09-18,16:00:00,14.715,14.715,14.715,14.715,437,0
2017-09-18,17:00:00,14.724,14.733,14.724,14.733,1969,0
2017-09-18,18:00:00,14.724,14.724,14.705,14.705,5150,0
2017-09-18,19:00:00,14.705,14.722,14.675,14.722,15091,0
2017-09-18,20:00:00,14.705,14.715,14.705,14.715,934,0
2017-09-18,21:00:00,14.715,14.715,14.685,14.695,6110,0
2017-09-18,22:00:00,14.696,14.724,14.695,14.698,5875,0
2017-09-19,16:00:00,14.675,14.675,14.675,14.675,192,0
2017-09-19,17:00:00,14.695,14.695,14.656,14.656,12698,0
2017-09-19,18:00:00,14.656,14.663,14.598,14.627,43404,0
2017-09-19,19:00:00,14.627,14.666,14.627,14.656,13545,0
