Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-07-17,16:00:00,24.249,24.249,24.249,24.249,482,0
2017-07-17,17:00:00,24.203,24.229,24.203,24.229,1909,0
2017-07-17,19:00:00,24.164,24.201,24.164,24.201,439,0
2017-07-17,20:00:00,24.201,24.281,24.201,24.281,469,0
2017-07-17,21:00:00,24.222,24.317,24.208,24.208,2912,0
2017-07-17,22:00:00,24.318,24.318,24.002,24.257,17416,0
2017-07-18,17:00:00,24.3,24.318,24.3,24.3,3266,0
2017-07-18,18:00:00,24.242,24.242,24.202,24.235,1189,0
2017-07-18,20:00:00,24.223,24.223,24.164,24.164,970,0
2017-07-18,21:00:00,24.21,24.241,24.184,24.223,4219,0
2017-07-18,22:00:00,24.241,24.28,24.184,24.232,3261,0
2017-07-19,17:00:00,24.196,24.317,24.196,24.317,1726,0
2017-07-19,18:00:00,24.322,24.322,24.217,24.318,3425,0
2017-07-19,19:00:00,24.329,24.329,24.262,24.329,1016,0
2017-07-19,20:00:00,24.28,24.28,24.28,24.28,101,0
2017-07-19,21:00:00,24.28,24.312,24.215,24.31,3253,0
2017-07-19,22:00:00,24.324,24.324,24.262,24.262,2709,0
2017-07-20,16:00:00,24.283,24.32,24.283,24.32,415,0
2017-07-20,18:00:00,24.456,24.456,24.322,24.322,2710,0
2017-07-20,19:00:00,24.358,24.358,24.265,24.265,303,0
2017-07-20,20:00:00,24.359,24.359,24.359,24.359,204,0
2017-07-20,21:00:00,24.265,24.367,24.265,24.274,1699,0
2017-07-20,22:00:00,24.303,24.43,24.265,24.35,6761,0
2017-07-21,16:00:00,24.274,24.274,24.274,24.274,110,0
2017-07-21,19:00:00,24.303,24.355,24.257,24.348,3073,0
2017-07-21,20:00:00,24.355,24.373,24.352,24.373,846,0
2017-07-21,21:00:00,24.303,24.343,24.293,24.343,3339,0
2017-07-21,22:00:00,24.313,24.322,24.293,24.293,2285,0
2017-07-24,16:00:00,24.216,24.216,24.216,24.216,104,0
2017-07-24,19:00:00,24.329,24.382,24.281,24.382,2937,0
2017-07-24,20:00:00,24.281,24.281,24.281,24.281,386,0
2017-07-24,21:00:00,24.281,24.303,24.281,24.303,1927,0
2017-07-24,22:00:00,24.373,24.409,24.31,24.332,1462,0
2017-07-25,16:00:00,24.293,24.293,24.293,24.293,101,0
2017-07-25,18:00:00,24.291,24.291,24.291,24.291,208,0
2017-07-25,19:00:00,24.33,24.373,24.255,24.332,4161,0
2017-07-25,20:00:00,24.342,24.361,24.342,24.361,208,0
2017-07-25,21:00:00,24.342,24.371,24.322,24.332,3760,0
2017-07-25,22:00:00,24.332,24.41,24.303,24.332,8163,0
2017-07-26,16:00:00,24.4,24.4,24.4,24.4,101,0
2017-07-26,19:00:00,24.35,24.468,24.35,24.405,2939,0
2017-07-26,21:00:00,24.415,24.415,24.344,24.403,806,0
2017-07-26,22:00:00,24.313,24.415,24.313,24.337,16537,0
2017-07-27,16:00:00,24.283,24.283,24.283,24.283,618,0
2017-07-27,17:00:00,24.371,24.371,24.371,24.371,101,0
2017-07-27,18:00:00,24.371,24.435,24.363,24.435,1881,0
2017-07-27,19:00:00,24.38,24.38,24.38,24.38,366,0
2017-07-27,20:00:00,24.391,24.391,24.391,24.391,208,0
2017-07-27,21:00:00,24.347,24.423,24.347,24.423,929,0
2017-07-27,22:00:00,24.405,24.488,24.334,24.391,7009,0
2017-07-28,16:00:00,24.293,24.293,24.293,24.293,279,0
2017-07-28,17:00:00,24.352,24.352,24.332,24.34,840,0
2017-07-28,18:00:00,24.352,24.394,24.316,24.394,5547,0
2017-07-28,19:00:00,24.388,24.395,24.383,24.383,1655,0
2017-07-28,20:00:00,24.293,24.382,24.293,24.322,1131,0
2017-07-28,21:00:00,24.476,24.476,24.293,24.385,1578,0
2017-07-28,22:00:00,24.33,24.391,24.313,24.391,3752,0
2017-07-31,18:00:00,24.352,24.467,24.303,24.378,3564,0
2017-07-31,20:00:00,24.34,24.4,24.34,24.361,1608,0
2017-07-31,21:00:00,24.356,24.403,24.352,24.371,3877,0
2017-07-31,22:00:00,24.371,24.466,24.352,24.361,3137,0
2017-08-01,18:00:00,24.381,24.386,24.332,24.386,3652,0
2017-08-01,19:00:00,24.305,24.353,24.305,24.353,418,0
2017-08-01,20:00:00,24.376,24.447,24.376,24.447,293,0
2017-08-01,21:00:00,24.327,24.327,24.327,24.327,101,0
2017-08-01,22:00:00,24.385,24.41,24.35,24.4,4442,0
2017-08-02,18:00:00,24.313,24.359,24.313,24.359,825,0
2017-08-02,19:00:00,24.313,24.337,24.313,24.337,516,0
2017-08-02,20:00:00,24.361,24.438,24.328,24.419,5337,0
2017-08-02,21:00:00,24.363,24.363,24.363,24.363,1125,0
2017-08-02,22:00:00,24.366,24.448,24.313,24.448,1394,0
2017-08-03,17:00:00,24.359,24.391,24.359,24.391,1302,0
2017-08-03,18:00:00,24.382,24.41,24.382,24.382,1685,0
2017-08-03,20:00:00,24.386,24.412,24.332,24.412,3355,0
2017-08-03,21:00:00,24.371,24.417,24.371,24.391,9032,0
2017-08-03,22:00:00,24.422,24.429,24.379,24.429,5361,0
2017-08-04,16:00:00,24.434,24.434,24.434,24.434,432,0
2017-08-04,17:00:00,24.352,24.352,24.352,24.352,101,0
2017-08-04,18:00:00,24.371,24.44,24.352,24.352,1268,0
