Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,8.8163,8.8549,8.7586,8.8549,154874,0
2017-09-06,17:00:00,8.8596,8.8644,8.7971,8.8067,212633,0
2017-09-06,18:00:00,8.8067,8.8885,8.7875,8.8789,167290,0
2017-09-06,19:00:00,8.8789,8.8837,8.8404,8.8741,183621,0
2017-09-06,20:00:00,8.8741,8.9126,8.8741,8.903,148955,0
2017-09-06,21:00:00,8.903,8.9559,8.8943,8.9559,221700,0
2017-09-06,22:00:00,8.9607,8.9848,8.9415,8.9607,500293,0
2017-09-07,16:00:00,8.98,9.1243,8.98,9.0617,161583,0
2017-09-07,17:00:00,9.0666,9.0666,8.8837,8.8933,134184,0
2017-09-07,18:00:00,8.8933,8.9222,8.8452,8.903,134043,0
2017-09-07,19:00:00,8.903,8.9174,8.8644,8.8741,96623,0
2017-09-07,20:00:00,8.8789,8.9126,8.8741,8.8982,61183,0
2017-09-07,21:00:00,8.8933,8.9221,8.8837,8.903,75754,0
2017-09-07,22:00:00,8.9077,8.9222,8.8837,8.9126,522058,0
2017-09-08,16:00:00,8.9607,8.9703,8.8741,8.9559,161065,0
2017-09-08,17:00:00,8.9607,8.98,8.8741,8.8837,190741,0
2017-09-08,18:00:00,8.8789,8.9077,8.7971,8.8019,183011,0
2017-09-08,19:00:00,8.8067,8.8356,8.7875,8.8116,143268,0
2017-09-08,20:00:00,8.8067,8.8163,8.7538,8.773,177603,0
2017-09-08,21:00:00,8.7778,8.7971,8.7393,8.7393,150480,0
2017-09-08,22:00:00,8.7442,8.7778,8.7393,8.7683,433513,0
2017-09-11,16:00:00,8.9318,8.9896,8.9318,8.9703,128956,0
2017-09-11,17:00:00,8.9703,8.9992,8.903,8.9944,278090,0
2017-09-11,18:00:00,8.9992,9.0184,8.9415,8.98,227202,0
2017-09-11,19:00:00,8.98,9.0473,8.9656,9.0281,256751,0
2017-09-11,20:00:00,9.0281,9.0378,8.9896,8.9992,304430,0
2017-09-11,21:00:00,8.9944,9.0089,8.9453,8.98,194793,0
2017-09-11,22:00:00,8.9751,9.0377,8.9703,8.9896,573293,0
2017-09-12,16:00:00,8.98,9.0762,8.98,9.057,308103,0
2017-09-12,17:00:00,9.057,9.0666,8.9415,9.0089,318924,0
2017-09-12,18:00:00,9.0089,9.0089,8.927,8.98,183262,0
2017-09-12,19:00:00,8.9703,8.98,8.9361,8.9511,130487,0
2017-09-12,20:00:00,8.9511,8.9607,8.9222,8.9511,124659,0
2017-09-12,21:00:00,8.9511,8.9848,8.903,8.9126,243214,0
2017-09-12,22:00:00,8.9174,8.9174,8.8211,8.8356,394605,0
2017-09-13,16:00:00,8.8644,8.8837,8.7586,8.8644,168316,0
2017-09-13,17:00:00,8.8741,8.903,8.8116,8.8356,222404,0
2017-09-13,18:00:00,8.826,8.8452,8.773,8.7875,158549,0
2017-09-13,19:00:00,8.7875,8.7875,8.7586,8.773,272815,0
2017-09-13,20:00:00,8.773,8.8549,8.7683,8.85,345351,0
2017-09-13,21:00:00,8.85,8.8644,8.826,8.8644,275787,0
2017-09-13,22:00:00,8.8644,8.8741,8.826,8.8452,619750,0
2017-09-14,16:00:00,8.7875,8.7971,8.5949,8.6623,435449,0
2017-09-14,17:00:00,8.672,8.672,8.5854,8.6431,1185880,0
2017-09-14,18:00:00,8.6383,8.6527,8.5854,8.5949,615299,0
2017-09-14,19:00:00,8.5949,8.5949,8.4987,8.5083,356656,0
2017-09-14,20:00:00,8.5131,8.5854,8.5131,8.5516,329308,0
2017-09-14,21:00:00,8.5564,8.6335,8.5516,8.6143,238163,0
2017-09-14,22:00:00,8.619,8.6383,8.5757,8.6238,518824,0
2017-09-15,16:00:00,8.6623,8.7201,8.6238,8.7201,135585,0
2017-09-15,17:00:00,8.7201,8.7345,8.6623,8.7104,242339,0
2017-09-15,18:00:00,8.7201,8.7249,8.696,8.7201,84055,0
2017-09-15,19:00:00,8.7201,8.7683,8.7201,8.7683,161244,0
2017-09-15,20:00:00,8.7682,8.85,8.7586,8.8452,146396,0
2017-09-15,21:00:00,8.8452,8.8549,8.7971,8.826,213522,0
2017-09-15,22:00:00,8.8293,8.8308,8.7875,8.8067,1265993,0
2017-09-18,16:00:00,8.7393,8.7875,8.7104,8.7683,366181,0
2017-09-18,17:00:00,8.7778,8.7875,8.7297,8.7297,657135,0
2017-09-18,18:00:00,8.7345,8.7345,8.6527,8.6671,318424,0
2017-09-18,19:00:00,8.672,8.7875,8.672,8.7778,376801,0
2017-09-18,20:00:00,8.7778,8.8163,8.7586,8.7971,224582,0
2017-09-18,21:00:00,8.7875,8.7875,8.7249,8.7297,255594,0
2017-09-18,22:00:00,8.7393,8.7683,8.7104,8.7393,709824,0
2017-09-19,16:00:00,8.7971,8.8163,8.7634,8.7683,177184,0
2017-09-19,17:00:00,8.761,8.7683,8.6816,8.7104,232807,0
2017-09-19,18:00:00,8.7104,8.7865,8.7043,8.7778,759359,0
2017-09-19,19:00:00,8.773,8.7875,8.7586,8.7778,90368,0
2017-09-19,20:00:00,8.7827,8.826,8.7683,8.7778,167340,0
2017-09-19,21:00:00,8.7683,8.7971,8.7489,8.7634,275340,0
2017-09-19,22:00:00,8.7586,8.7683,8.7009,8.7104,561658,0
2017-09-20,16:00:00,8.7104,8.7297,8.6431,8.6751,161321,0
2017-09-20,17:00:00,8.6816,8.6816,8.5372,8.5469,445744,0
2017-09-20,18:00:00,8.542,8.5661,8.4987,8.5469,306633,0
2017-09-20,19:00:00,8.5469,8.6046,8.5372,8.6046,361399,0
2017-09-20,20:00:00,8.6046,8.6623,8.5854,8.6335,203128,0
2017-09-20,21:00:00,8.6238,8.6335,8.5324,8.5757,287724,0
2017-09-20,22:00:00,8.5757,8.6527,8.566,8.6527,767862,0
2017-09-21,16:00:00,8.6912,8.7201,8.6479,8.6479,100208,0
2017-09-21,17:00:00,8.6479,8.6671,8.6046,8.619,550103,0
2017-09-21,18:00:00,8.6238,8.6816,8.5276,8.5324,457884,0
2017-09-21,19:00:00,8.5324,8.5949,8.5083,8.5661,392192,0
2017-09-21,20:00:00,8.5661,8.6046,8.5564,8.5757,120247,0
2017-09-21,21:00:00,8.5805,8.5854,8.5324,8.5661,183262,0
2017-09-21,22:00:00,8.5661,8.5949,8.5661,8.5949,285571,0
2017-09-22,16:00:00,8.6046,8.672,8.6045,8.672,110459,0
2017-09-22,17:00:00,8.672,8.7778,8.672,8.7489,246641,0
2017-09-22,18:00:00,8.7489,8.8741,8.7393,8.8308,146157,0
2017-09-22,19:00:00,8.826,8.8452,8.7875,8.8067,242173,0
2017-09-22,20:00:00,8.8019,8.8163,8.7778,8.7923,76924,0
2017-09-22,21:00:00,8.7875,8.7971,8.7683,8.773,121741,0
2017-09-22,22:00:00,8.773,8.8067,8.7683,8.7971,305162,0
2017-09-25,16:00:00,8.7489,8.7489,8.6912,8.7009,128202,0
2017-09-25,17:00:00,8.7056,8.7393,8.6238,8.6431,777510,0
2017-09-25,18:00:00,8.6431,8.6527,8.5854,8.6046,121160,0
2017-09-25,19:00:00,8.6094,8.6143,8.5564,8.6143,88080,0
2017-09-25,20:00:00,8.6143,8.6383,8.6046,8.6238,133198,0
2017-09-25,21:00:00,8.6238,8.6431,8.6143,8.6143,140354,0
2017-09-25,22:00:00,8.619,8.6287,8.5854,8.5854,305619,0
2017-09-26,16:00:00,8.6046,8.6143,8.5469,8.5564,122157,0
2017-09-26,17:00:00,8.5661,8.6143,8.5516,8.5661,136310,0
2017-09-26,18:00:00,8.5661,8.5709,8.518,8.5324,81123,0
2017-09-26,19:00:00,8.5324,8.5564,8.4891,8.518,176990,0
2017-09-26,20:00:00,8.518,8.5661,8.518,8.5469,84452,0
2017-09-26,21:00:00,8.5469,8.5516,8.4603,8.4698,217660,0
2017-09-26,22:00:00,8.465,8.4795,8.4409,8.4506,571381,0
2017-09-27,16:00:00,8.4025,8.421,8.3543,8.364,113978,0
2017-09-27,17:00:00,8.3543,8.364,8.2436,8.2677,266753,0
2017-09-27,18:00:00,8.2725,8.3255,8.263,8.2774,236182,0
2017-09-27,19:00:00,8.2774,8.3158,8.2581,8.2918,269177,0
2017-09-27,20:00:00,8.2966,8.3158,8.2581,8.2869,170874,0
2017-09-27,21:00:00,8.2869,8.3351,8.2774,8.3351,200799,0
2017-09-27,22:00:00,8.3351,8.3447,8.3158,8.3351,688923,0
2017-09-28,16:00:00,8.2774,8.4025,8.2389,8.3591,251940,0
2017-09-28,17:00:00,8.3543,8.3929,8.3063,8.364,235381,0
2017-09-28,18:00:00,8.3543,8.3736,8.2389,8.2389,142238,0
2017-09-28,19:00:00,8.2389,8.2774,8.2341,8.2725,160490,0
2017-09-28,20:00:00,8.2774,8.2918,8.2389,8.2677,134070,0
2017-09-28,21:00:00,8.2677,8.2822,8.2389,8.2725,200657,0
2017-09-28,22:00:00,8.2774,8.2869,8.2581,8.2774,344008,0
2017-09-29,16:00:00,8.3255,8.4362,8.3255,8.4362,202556,0
2017-09-29,17:00:00,8.4314,8.4362,8.3543,8.3929,338090,0
2017-09-29,18:00:00,8.3929,8.4025,8.2389,8.2774,530869,0
2017-09-29,19:00:00,8.2677,8.3351,8.2581,8.3255,300842,0
2017-09-29,20:00:00,8.3158,8.3302,8.2869,8.3255,190408,0
2017-09-29,21:00:00,8.3207,8.4217,8.3158,8.417,173494,0
2017-09-29,22:00:00,8.417,8.4217,8.3832,8.4121,768265,0
2017-10-02,16:00:00,8.3543,8.3736,8.3158,8.3543,40508,0
2017-10-02,17:00:00,8.3543,8.4265,8.3351,8.3736,223239,0
2017-10-02,18:00:00,8.3688,8.3832,8.2774,8.2869,250289,0
2017-10-02,19:00:00,8.2869,8.3351,8.2774,8.3302,171151,0
2017-10-02,20:00:00,8.3302,8.3832,8.3158,8.3832,172896,0
2017-10-02,21:00:00,8.3784,8.4025,8.3736,8.3929,143082,0
2017-10-02,22:00:00,8.388,8.4314,8.3688,8.4217,429792,0
2017-10-03,16:00:00,8.4698,8.5372,8.4603,8.5276,63439,0
2017-10-03,17:00:00,8.5324,8.5805,8.4987,8.5757,140921,0
2017-10-03,18:00:00,8.5661,8.6335,8.5661,8.619,128709,0
2017-10-03,19:00:00,8.6143,8.6287,8.5758,8.5949,78885,0
2017-10-03,20:00:00,8.5998,8.6046,8.5949,8.5949,27875,0
2017-10-03,21:00:00,8.5949,8.672,8.5949,8.6623,250139,0
2017-10-03,22:00:00,8.6576,8.6816,8.6335,8.6816,312508,0
2017-10-04,16:00:00,8.7586,8.7586,8.619,8.6238,166755,0
2017-10-04,17:00:00,8.6238,8.6479,8.5757,8.6046,241600,0
2017-10-04,18:00:00,8.6094,8.6143,8.5324,8.5661,167580,0
2017-10-04,19:00:00,8.5564,8.5757,8.5564,8.5709,95529,0
2017-10-04,20:00:00,8.5709,8.5757,8.5276,8.5469,77243,0
2017-10-04,21:00:00,8.5462,8.5516,8.5372,8.5469,72180,0
2017-10-04,22:00:00,8.5516,8.5613,8.5276,8.5372,382130,0
2017-10-05,16:00:00,8.6623,8.8067,8.6431,8.7778,275968,0
2017-10-05,17:00:00,8.7778,8.8355,8.7393,8.8067,314122,0
2017-10-05,18:00:00,8.8067,8.8644,8.7971,8.7971,209461,0
2017-10-05,19:00:00,8.7971,8.8067,8.7489,8.7683,304172,0
2017-10-05,20:00:00,8.7683,8.773,8.6912,8.7586,256660,0
2017-10-05,21:00:00,8.7586,8.7586,8.6768,8.6912,158367,0
2017-10-05,22:00:00,8.6912,8.7297,8.6912,8.7104,592270,0
2017-10-06,16:00:00,8.5469,8.6238,8.506,8.6238,153992,0
2017-10-06,17:00:00,8.6094,8.7104,8.5854,8.6912,290886,0
2017-10-06,18:00:00,8.6912,8.7249,8.6623,8.7009,191250,0
2017-10-06,19:00:00,8.7104,8.7345,8.6768,8.7297,118483,0
2017-10-06,20:00:00,8.7345,8.7586,8.7201,8.7442,108166,0
2017-10-06,21:00:00,8.7442,8.7683,8.6046,8.6143,468295,0
2017-10-06,22:00:00,8.6143,8.773,8.5854,8.7393,1271888,0
2017-10-09,16:00:00,8.7009,8.7201,8.6238,8.6431,123660,0
2017-10-09,17:00:00,8.6335,8.6816,8.5949,8.6143,287557,0
2017-10-09,18:00:00,8.6111,8.619,8.5854,8.6046,100424,0
2017-10-09,19:00:00,8.5949,8.6335,8.5613,8.6238,126971,0
2017-10-09,20:00:00,8.6238,8.7201,8.6238,8.7056,219000,0
2017-10-09,21:00:00,8.7104,8.8789,8.7056,8.8741,773226,0
2017-10-09,22:00:00,8.8741,8.8837,8.8067,8.826,846060,0
2017-10-10,16:00:00,9.0193,9.1353,9.0096,9.116,383223,0
2017-10-10,17:00:00,9.1103,9.203,9.087,9.1885,854009,0
2017-10-10,18:00:00,9.1836,9.1836,9.0386,9.0483,369640,0
2017-10-10,19:00:00,9.0531,9.0773,9.029,9.0531,137265,0
2017-10-10,20:00:00,9.058,9.1208,9.0531,9.116,217604,0
2017-10-10,21:00:00,9.116,9.1546,9.1063,9.1353,204217,0
2017-10-10,22:00:00,9.145,9.1836,9.1353,9.1643,691746,0
2017-10-11,16:00:00,9.2803,9.2803,9.087,9.1387,272436,0
2017-10-11,17:00:00,9.1353,9.2126,9.0676,9.0821,341906,0
2017-10-11,18:00:00,9.0821,9.1305,9.0773,9.0773,188097,0
2017-10-11,19:00:00,9.0821,9.087,9.0048,9.0096,141407,0
2017-10-11,20:00:00,9.0096,9.0483,8.9661,8.9768,216803,0
2017-10-11,21:00:00,8.9806,9.0386,8.9758,9.0386,188357,0
2017-10-11,22:00:00,9.0338,9.0676,9.0193,9.0483,350543,0
2017-10-12,16:00:00,9.0386,9.1353,8.971,8.9903,202754,0
2017-10-12,17:00:00,9,9.058,8.9951,9.029,110626,0
2017-10-12,18:00:00,9.0338,9.0531,9,9.0096,90595,0
2017-10-12,19:00:00,9.0096,9.0386,9.0096,9.0193,51100,0
2017-10-12,20:00:00,9.0241,9.0386,9,9.0338,83522,0
2017-10-12,21:00:00,9.0338,9.0483,9.029,9.0435,75304,0
2017-10-12,22:00:00,9.0386,9.0483,9,9,382685,0
2017-10-13,16:00:00,9.1546,9.1933,9.1256,9.1885,355710,0
2017-10-13,17:00:00,9.1885,9.2126,9.1208,9.1256,364535,0
2017-10-13,18:00:00,9.1305,9.1836,9.0676,9.1836,242828,0
2017-10-13,19:00:00,9.1788,9.2078,9.116,9.1256,171786,0
2017-10-13,20:00:00,9.1208,9.2078,9.1208,9.1981,172112,0
2017-10-13,21:00:00,9.1933,9.1933,9.1353,9.1643,279967,0
2017-10-13,22:00:00,9.1643,9.203,9.1643,9.174,485522,0
2017-10-16,16:00:00,9.561,9.561,9.4495,9.464,343427,0
2017-10-16,17:00:00,9.4688,9.4688,9.3238,9.3383,1395053,0
