Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-07-20,16:00:00,19.407,19.407,19.407,19.407,100,0
2017-07-20,17:00:00,19.417,19.417,19.417,19.417,100,0
2017-07-20,18:00:00,19.407,19.407,19.38,19.407,917,0
2017-07-20,19:00:00,19.417,19.417,19.417,19.417,509,0
2017-07-20,21:00:00,19.407,19.417,19.407,19.407,3338,0
2017-07-20,22:00:00,19.4,19.4,19.384,19.387,1834,0
2017-07-21,17:00:00,19.337,19.337,19.337,19.337,101,0
2017-07-21,20:00:00,19.476,19.476,19.443,19.443,308,0
2017-07-21,21:00:00,19.446,19.446,19.436,19.436,202,0
2017-07-21,22:00:00,19.436,19.454,19.436,19.451,2171,0
2017-07-24,16:00:00,19.466,19.466,19.427,19.436,928,0
2017-07-24,17:00:00,19.436,19.446,19.407,19.417,1224,0
2017-07-24,18:00:00,19.417,19.417,19.407,19.417,2974,0
2017-07-24,19:00:00,19.407,19.417,19.407,19.417,3643,0
2017-07-24,20:00:00,19.407,19.417,19.407,19.407,715,0
2017-07-24,21:00:00,19.407,19.417,19.397,19.407,3939,0
2017-07-24,22:00:00,19.407,19.417,19.407,19.417,1467,0
2017-07-25,17:00:00,19.357,19.367,19.337,19.337,4982,0
2017-07-25,18:00:00,19.301,19.344,19.301,19.344,563,0
2017-07-25,19:00:00,19.349,19.365,19.337,19.365,2427,0
2017-07-25,21:00:00,19.34,19.342,19.315,19.327,1140,0
2017-07-26,18:00:00,19.312,19.318,19.312,19.317,1917,0
2017-07-26,19:00:00,19.312,19.347,19.308,19.317,1326,0
2017-07-26,22:00:00,19.337,19.407,19.337,19.407,588,0
2017-07-27,18:00:00,19.316,19.387,19.316,19.387,1485,0
2017-07-27,21:00:00,19.377,19.377,19.377,19.377,100,0
2017-07-27,22:00:00,19.377,19.377,19.377,19.377,469,0
2017-07-28,16:00:00,19.347,19.347,19.347,19.347,100,0
2017-07-28,17:00:00,19.367,19.372,19.367,19.372,408,0
2017-07-28,18:00:00,19.387,19.387,19.377,19.377,318,0
2017-07-28,19:00:00,19.382,19.387,19.382,19.387,17541,0
2017-07-28,20:00:00,19.387,19.387,19.387,19.387,100,0
2017-07-28,21:00:00,19.387,19.397,19.387,19.397,620,0
2017-07-28,22:00:00,19.387,19.387,19.387,19.387,202,0
2017-07-31,16:00:00,19.427,19.427,19.427,19.427,1405,0
2017-07-31,17:00:00,19.404,19.404,19.404,19.404,658,0
2017-07-31,18:00:00,19.387,19.387,19.387,19.387,509,0
2017-07-31,21:00:00,19.392,19.397,19.392,19.397,308,0
2017-07-31,22:00:00,19.397,19.407,19.397,19.407,1342,0
2017-08-01,16:00:00,19.434,19.434,19.434,19.434,100,0
2017-08-01,17:00:00,19.434,19.454,19.405,19.454,3299,0
2017-08-01,18:00:00,19.454,19.461,19.444,19.444,1694,0
2017-08-01,19:00:00,19.454,19.454,19.454,19.454,100,0
2017-08-01,20:00:00,19.454,19.454,19.444,19.454,4479,0
2017-08-01,21:00:00,19.48,19.48,19.464,19.464,317,0
2017-08-01,22:00:00,19.464,19.467,19.464,19.464,820,0
2017-08-02,18:00:00,19.464,19.493,19.415,19.454,7906,0
2017-08-02,20:00:00,19.442,19.442,19.442,19.442,2297,0
2017-08-02,21:00:00,19.428,19.428,19.428,19.428,176,0
