Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,54.185,54.335,54.105,54.145,19617,0
2017-09-05,17:00:00,54.165,54.165,53.867,54.075,83603,0
2017-09-05,18:00:00,54.085,54.384,54.085,54.368,26619,0
2017-09-05,19:00:00,54.355,54.355,54.035,54.075,39594,0
2017-09-05,20:00:00,54.085,54.185,54.035,54.135,25733,0
2017-09-05,21:00:00,54.175,54.215,54.045,54.085,24236,0
2017-09-05,22:00:00,54.105,54.205,54.026,54.175,288579,0
2017-09-06,16:00:00,54.414,54.414,53.787,54.045,95125,0
2017-09-06,17:00:00,54.026,54.055,53.667,53.737,47806,0
2017-09-06,18:00:00,53.727,53.777,53.667,53.707,36118,0
2017-09-06,19:00:00,53.697,53.747,53.627,53.627,32845,0
2017-09-06,20:00:00,53.632,53.652,53.558,53.568,30202,0
2017-09-06,21:00:00,53.568,53.692,53.538,53.612,127679,0
2017-09-06,22:00:00,53.607,53.607,53.429,53.548,345492,0
2017-09-07,16:00:00,53.627,53.662,53.349,53.488,10112,0
2017-09-07,17:00:00,53.488,53.727,53.429,53.717,12557,0
2017-09-07,18:00:00,53.707,53.77,53.488,53.627,31160,0
2017-09-07,19:00:00,53.627,53.727,53.587,53.722,15092,0
2017-09-07,20:00:00,53.737,53.737,53.627,53.657,15771,0
2017-09-07,21:00:00,53.657,53.757,53.657,53.747,23877,0
2017-09-07,22:00:00,53.747,53.777,53.677,53.747,109654,0
2017-09-08,16:00:00,53.747,53.747,53.239,53.259,36306,0
2017-09-08,17:00:00,53.239,53.364,53.15,53.259,87814,0
2017-09-08,18:00:00,53.269,53.329,53.219,53.249,85079,0
2017-09-08,19:00:00,53.269,53.359,53.07,53.269,91106,0
2017-09-08,20:00:00,53.284,53.449,53.269,53.449,16964,0
2017-09-08,21:00:00,53.419,53.548,53.419,53.449,22818,0
2017-09-08,22:00:00,53.449,53.568,53.419,53.568,139835,0
2017-09-11,16:00:00,53.817,53.817,53.697,53.747,42984,0
