Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-23,22:00:00,24.754,24.823,24.754,24.798,5204,0
2017-06-26,18:00:00,24.873,24.873,24.873,24.873,796,0
2017-06-26,21:00:00,25.022,25.042,25.022,25.042,823,0
2017-06-26,22:00:00,25.042,25.052,25.002,25.002,1713,0
2017-06-27,20:00:00,25.161,25.161,25.112,25.112,202,0
2017-06-27,21:00:00,25.032,25.032,25.032,25.032,100,0
2017-06-28,17:00:00,25.3,25.3,25.3,25.3,100,0
2017-06-28,18:00:00,25.432,25.435,25.422,25.422,403,0
2017-06-28,19:00:00,25.409,25.409,25.409,25.409,202,0
2017-06-28,20:00:00,25.429,25.429,25.429,25.429,403,0
2017-06-28,21:00:00,25.419,25.419,25.38,25.38,4028,0
2017-06-28,22:00:00,25.375,25.375,25.37,25.37,1410,0
2017-06-29,20:00:00,25.132,25.132,25.132,25.132,100,0
2017-06-29,21:00:00,25.142,25.142,25.141,25.141,375,0
2017-06-30,19:00:00,25.29,25.29,25.29,25.29,595,0
2017-06-30,20:00:00,25.39,25.39,25.39,25.39,369,0
2017-06-30,21:00:00,25.419,25.419,25.418,25.418,785,0
2017-06-30,22:00:00,25.38,25.419,25.38,25.419,906,0
2017-07-03,20:00:00,25.419,25.419,25.419,25.419,0,0
2017-07-05,16:00:00,25.419,25.419,25.419,25.419,202,0
2017-07-05,21:00:00,25.39,25.39,25.39,25.39,2014,0
2017-07-06,21:00:00,25.022,25.022,25.022,25.022,1007,0
2017-07-07,19:00:00,25.052,25.052,25.052,25.052,201,0
2017-07-10,16:00:00,25.112,25.112,25.112,25.112,151,0
2017-07-10,22:00:00,24.923,24.923,24.923,24.923,1949,0
2017-07-11,18:00:00,24.724,24.724,24.724,24.724,503,0
2017-07-12,17:00:00,25.18,25.21,25.18,25.209,503,0
2017-07-12,19:00:00,25.051,25.082,25.051,25.082,967,0
2017-07-12,21:00:00,25.002,25.002,25.002,25.002,236,0
2017-07-12,22:00:00,25.037,25.037,25.012,25.012,5815,0
2017-07-13,22:00:00,25.27,25.27,25.246,25.246,302,0
2017-07-17,22:00:00,25.548,25.548,25.479,25.479,705,0
2017-07-18,16:00:00,25.469,25.469,25.419,25.419,605,0
2017-07-18,20:00:00,25.26,25.26,25.26,25.26,100,0
2017-07-19,20:00:00,25.637,25.637,25.637,25.637,403,0
2017-07-19,22:00:00,25.648,25.667,25.639,25.667,1998,0
2017-07-20,22:00:00,25.717,25.717,25.717,25.717,202,0
2017-07-21,17:00:00,25.519,25.519,25.519,25.519,202,0
2017-07-24,17:00:00,25.27,25.27,25.27,25.27,202,0
2017-07-24,22:00:00,25.26,25.26,25.26,25.26,14053,0
2017-07-25,22:00:00,25.578,25.578,25.578,25.578,100,0
2017-07-27,16:00:00,25.22,25.22,25.22,25.22,353,0
2017-07-27,17:00:00,25.293,25.293,25.293,25.293,398,0
2017-07-31,17:00:00,24.823,24.823,24.823,24.823,302,0
2017-08-01,17:00:00,24.724,24.724,24.615,24.654,2518,0
2017-08-01,20:00:00,24.893,24.893,24.893,24.893,100,0
2017-08-01,22:00:00,25.022,25.022,25.022,25.022,14880,0
2017-08-02,17:00:00,24.575,24.575,24.575,24.575,202,0
2017-08-02,18:00:00,24.501,24.501,24.501,24.501,100,0
2017-08-02,19:00:00,24.496,24.496,24.496,24.496,100,0
2017-08-02,22:00:00,24.486,24.486,24.431,24.431,553,0
2017-08-03,16:00:00,24.337,24.337,24.337,24.337,1007,0
2017-08-03,18:00:00,24.188,24.188,24.185,24.185,202,0
2017-08-03,21:00:00,24.023,24.023,24.023,24.023,1007,0
2017-08-03,22:00:00,24.039,24.039,24.039,24.039,202,0
2017-08-04,17:00:00,24.317,24.317,24.258,24.258,388,0
2017-08-04,18:00:00,24.267,24.307,24.267,24.307,2206,0
2017-08-04,21:00:00,24.357,24.357,24.357,24.357,100,0
2017-08-04,22:00:00,24.347,24.347,24.347,24.347,100,0
2017-08-07,17:00:00,24.357,24.357,24.277,24.277,202,0
2017-08-07,20:00:00,24.416,24.416,24.416,24.416,100,0
2017-08-07,22:00:00,24.367,24.367,24.327,24.327,202,0
2017-08-08,17:00:00,24.387,24.387,24.387,24.387,100,0
2017-08-08,19:00:00,24.555,24.555,24.377,24.377,302,0
2017-08-08,20:00:00,24.367,24.367,24.366,24.366,797,0
2017-08-08,22:00:00,24.367,24.367,24.228,24.238,403,0
2017-08-09,16:00:00,23.84,23.84,23.83,23.83,1208,0
2017-08-09,18:00:00,23.83,23.83,23.83,23.83,100,0
2017-08-09,19:00:00,23.91,23.91,23.91,23.91,100,0
2017-08-09,21:00:00,23.85,23.85,23.781,23.781,202,0
2017-08-09,22:00:00,23.711,23.771,23.711,23.771,202,0
2017-08-10,17:00:00,23.583,23.583,23.583,23.583,161,0
2017-08-10,18:00:00,23.409,23.409,23.409,23.409,2014,0
2017-08-11,16:00:00,22.858,22.858,22.858,22.858,202,0
2017-08-11,19:00:00,23.284,23.284,23.284,23.284,437,0
2017-08-11,20:00:00,23.294,23.294,23.294,23.294,131,0
2017-08-11,22:00:00,23.334,23.334,23.334,23.334,129,0
2017-08-14,16:00:00,23.354,23.354,23.354,23.354,286,0
2017-08-15,21:00:00,23.046,23.056,23.037,23.046,1108,0
2017-08-15,22:00:00,23.016,23.016,23.016,23.016,403,0
2017-08-16,20:00:00,23.086,23.146,23.086,23.146,3372,0
2017-08-17,17:00:00,22.838,22.838,22.838,22.838,515,0
2017-08-17,19:00:00,22.915,22.915,22.915,22.915,655,0
2017-08-17,21:00:00,22.818,22.822,22.818,22.818,2216,0
2017-08-17,22:00:00,22.788,22.788,22.689,22.689,302,0
2017-08-18,16:00:00,22.441,22.441,22.441,22.441,202,0
2017-08-18,19:00:00,22.589,22.589,22.589,22.589,100,0
2017-08-21,18:00:00,22.539,22.539,22.539,22.539,202,0
2017-08-22,17:00:00,22.689,22.689,22.689,22.689,121,0
2017-08-22,18:00:00,22.699,22.699,22.699,22.699,202,0
2017-08-22,20:00:00,22.675,22.675,22.675,22.675,302,0
2017-08-22,22:00:00,22.748,22.748,22.748,22.748,100,0
2017-08-23,17:00:00,22.689,22.689,22.689,22.689,100,0
2017-08-24,21:00:00,22.774,22.774,22.774,22.774,438,0
2017-08-24,22:00:00,22.798,22.798,22.798,22.798,100,0
2017-08-25,17:00:00,22.878,22.878,22.878,22.878,100,0
2017-08-25,20:00:00,22.924,22.924,22.924,22.924,151,0
2017-08-25,22:00:00,22.986,22.986,22.986,22.986,100,0
2017-08-28,20:00:00,22.936,22.936,22.936,22.936,1511,0
2017-08-29,17:00:00,22.826,22.826,22.826,22.826,202,0
2017-08-29,18:00:00,22.732,22.732,22.732,22.732,1007,0
2017-08-29,21:00:00,22.887,22.887,22.878,22.878,11415,0
2017-08-29,22:00:00,22.911,22.956,22.911,22.956,755,0
2017-08-30,17:00:00,22.936,22.936,22.936,22.936,100,0
2017-08-30,22:00:00,23.036,23.036,22.986,22.986,11415,0
2017-08-31,17:00:00,23.235,23.235,23.156,23.205,906,0
2017-08-31,18:00:00,23.294,23.294,23.294,23.294,2014,0
2017-08-31,19:00:00,23.284,23.284,23.225,23.225,705,0
2017-08-31,20:00:00,23.245,23.245,23.225,23.225,6748,0
2017-08-31,21:00:00,23.215,23.215,23.215,23.215,100,0
2017-08-31,22:00:00,23.185,23.185,23.185,23.185,100,0
2017-09-01,17:00:00,23.334,23.334,23.334,23.334,100,0
2017-09-01,22:00:00,23.463,23.463,23.463,23.463,100,0
2017-09-05,16:00:00,23.553,23.553,23.503,23.503,1138,0
2017-09-05,17:00:00,23.473,23.473,23.473,23.473,1007,0
2017-09-05,18:00:00,23.393,23.393,23.393,23.393,1611,0
2017-09-05,19:00:00,23.334,23.334,23.245,23.245,202,0
2017-09-05,20:00:00,23.156,23.156,23.156,23.156,100,0
2017-09-05,22:00:00,23.264,23.264,23.264,23.264,100,0
2017-09-08,21:00:00,23.473,23.473,23.473,23.473,503,0
2017-09-11,18:00:00,23.666,23.666,23.666,23.666,100,0
2017-09-11,19:00:00,23.691,23.691,23.691,23.691,1685,0
2017-09-11,22:00:00,23.612,23.612,23.612,23.612,100,0
2017-09-13,20:00:00,24.138,24.138,24.114,24.138,310,0
2017-09-13,21:00:00,24.088,24.088,24.068,24.068,202,0
2017-09-19,16:00:00,24.377,24.377,24.377,24.377,100,0
2017-09-19,21:00:00,24.228,24.228,24.228,24.228,100,0
2017-09-21,19:00:00,24.138,24.138,24.128,24.128,503,0
2017-09-26,21:00:00,24.829,24.829,24.81,24.829,603,0
2017-09-26,22:00:00,24.759,24.759,24.759,24.759,100,0
2017-09-27,22:00:00,25.361,25.361,25.337,25.337,726,0
2017-09-28,17:00:00,25.247,25.247,25.247,25.247,100,0
2017-09-28,18:00:00,25.168,25.168,25.168,25.168,793,0
2017-09-29,17:00:00,25.347,25.347,25.347,25.347,100,0
2017-09-29,20:00:00,25.321,25.357,25.321,25.357,362,0
2017-10-02,18:00:00,25.526,25.526,25.526,25.526,1082,0
2017-10-02,19:00:00,25.606,25.606,25.554,25.56,603,0
2017-10-03,16:00:00,25.835,25.835,25.835,25.835,100,0
2017-10-03,19:00:00,25.735,25.735,25.735,25.735,373,0
2017-10-04,20:00:00,25.805,25.805,25.805,25.805,201,0
2017-10-04,22:00:00,25.755,25.755,25.755,25.755,271,0
2017-10-05,20:00:00,25.825,25.825,25.825,25.825,100,0
2017-10-05,22:00:00,25.843,25.843,25.835,25.835,533,0
2017-10-06,16:00:00,25.775,25.785,25.775,25.775,402,0
2017-10-06,18:00:00,25.715,25.715,25.715,25.715,201,0
2017-10-09,16:00:00,25.737,25.737,25.737,25.737,201,0
2017-10-10,22:00:00,25.426,25.447,25.426,25.426,1295,0
2017-10-11,20:00:00,25.357,25.357,25.357,25.357,100,0
2017-10-12,16:00:00,25.327,25.327,25.187,25.187,904,0
2017-10-12,22:00:00,25.184,25.227,25.184,25.227,502,0
2017-10-16,17:00:00,25.297,25.297,25.217,25.217,2813,0
2017-10-16,19:00:00,24.998,25.058,24.998,24.998,402,0
2017-10-19,16:00:00,25.207,25.207,25.032,25.032,352,0
2017-10-19,17:00:00,25.078,25.078,25.078,25.078,100,0
2017-10-23,16:00:00,25.486,25.486,25.486,25.486,201,0
2017-10-24,17:00:00,25.596,25.596,25.596,25.596,293,0
2017-10-24,21:00:00,25.486,25.486,25.486,25.486,502,0
2017-10-25,21:00:00,25.337,25.337,25.337,25.337,576,0
2017-10-26,21:00:00,25.347,25.347,25.307,25.307,621,0
2017-10-27,22:00:00,25.148,25.148,25.148,25.148,402,0
2017-10-30,19:00:00,24.549,24.549,24.549,24.549,293,0
2017-10-30,21:00:00,24.59,24.59,24.59,24.59,402,0
2017-11-01,20:00:00,24.401,24.401,24.341,24.341,1329,0
2017-11-02,17:00:00,24.341,24.341,24.341,24.341,502,0
2017-11-02,18:00:00,24.51,24.51,24.48,24.48,402,0
2017-11-02,20:00:00,24.391,24.391,24.391,24.391,151,0
2017-11-02,21:00:00,24.394,24.394,24.394,24.394,411,0
2017-11-03,19:00:00,24.252,24.252,24.252,24.252,201,0
2017-11-06,21:00:00,24.162,24.162,24.162,24.162,502,0
2017-11-06,22:00:00,24.092,24.092,24.092,24.092,126,0
2017-11-08,16:00:00,23.794,23.794,23.794,23.794,100,0
2017-11-09,19:00:00,24.122,24.122,24.122,24.122,843,0
2017-11-09,21:00:00,24.252,24.252,24.192,24.192,992,0
2017-11-09,22:00:00,24.162,24.162,24.162,24.162,2109,0
2017-11-10,19:00:00,24.319,24.319,24.319,24.319,100,0
2017-11-14,17:00:00,24.124,24.124,24.124,24.124,251,0
2017-11-15,22:00:00,24.142,24.142,24.142,24.142,291,0
2017-11-22,21:00:00,25.596,25.596,25.576,25.576,2109,0
2017-11-24,19:00:00,25.496,25.496,25.496,25.496,308,0
2017-11-24,20:00:00,25.496,25.496,25.496,25.496,0,0
2017-11-27,19:00:00,25.377,25.377,25.377,25.377,2009,0
2017-12-01,16:00:00,25.974,25.974,25.974,25.974,201,0
2017-12-01,18:00:00,25.82,25.82,25.82,25.82,100,0
2017-12-01,21:00:00,25.685,25.685,25.685,25.685,201,0
2017-12-04,16:00:00,26.263,26.263,26.263,26.263,117,0
2017-12-04,17:00:00,26.34,26.34,26.34,26.34,201,0
2017-12-04,19:00:00,26.263,26.263,26.233,26.233,402,0
