Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,7.3344,7.4688,7.2896,7.4688,345005,0
2017-09-06,17:00:00,7.4688,7.5986,7.4509,7.5225,695873,0
2017-09-06,18:00:00,7.5225,7.527,7.424,7.442,425030,0
2017-09-06,19:00:00,7.4374,7.4957,7.4061,7.4778,653538,0
2017-09-06,20:00:00,7.4732,7.5047,7.4464,7.4598,506479,0
2017-09-06,21:00:00,7.4553,7.4598,7.4061,7.4143,414151,0
2017-09-06,22:00:00,7.4015,7.433,7.3882,7.4061,897026,0
2017-09-07,16:00:00,7.442,7.518,7.433,7.4509,343863,0
2017-09-07,17:00:00,7.4509,7.5136,7.3882,7.3882,469894,0
2017-09-07,18:00:00,7.3971,7.4151,7.3434,7.3747,301293,0
2017-09-07,19:00:00,7.3703,7.4151,7.3524,7.3926,377555,0
2017-09-07,20:00:00,7.3926,7.3971,7.3344,7.3569,274108,0
2017-09-07,21:00:00,7.3613,7.3613,7.3076,7.3524,446244,0
2017-09-07,22:00:00,7.3479,7.3793,7.3076,7.3166,989229,0
2017-09-08,16:00:00,7.2986,7.3793,7.2896,7.3434,262814,0
2017-09-08,17:00:00,7.3434,7.3971,7.3166,7.3524,481819,0
2017-09-08,18:00:00,7.3524,7.3938,7.3524,7.3613,255155,0
2017-09-08,19:00:00,7.3613,7.3882,7.3174,7.3703,179104,0
2017-09-08,20:00:00,7.3703,7.4061,7.3524,7.3613,131926,0
2017-09-08,21:00:00,7.3659,7.433,7.3613,7.3703,281464,0
2017-09-08,22:00:00,7.3747,7.3793,7.3211,7.3434,573269,0
2017-09-11,16:00:00,7.3434,7.4598,7.3434,7.3793,261936,0
2017-09-11,17:00:00,7.3837,7.433,7.3747,7.3793,421859,0
2017-09-11,18:00:00,7.3837,7.4105,7.3344,7.4015,388340,0
2017-09-11,19:00:00,7.3971,7.4509,7.3793,7.442,183719,0
2017-09-11,20:00:00,7.4464,7.4509,7.4061,7.4105,159411,0
2017-09-11,21:00:00,7.4105,7.4195,7.3882,7.3971,149570,0
2017-09-11,22:00:00,7.3971,7.3971,7.3613,7.3882,790454,0
2017-09-12,16:00:00,7.3882,7.5315,7.3882,7.4767,237845,0
2017-09-12,17:00:00,7.4688,7.5001,7.4464,7.4598,241940,0
2017-09-12,18:00:00,7.4598,7.4867,7.3971,7.4732,498433,0
2017-09-12,19:00:00,7.4778,7.5315,7.4688,7.5136,297284,0
2017-09-12,20:00:00,7.5136,7.5225,7.4732,7.4867,194791,0
2017-09-12,21:00:00,7.4867,7.5225,7.424,7.442,560826,0
2017-09-12,22:00:00,7.442,7.442,7.3747,7.424,646098,0
2017-09-13,16:00:00,7.4598,7.5225,7.3971,7.4867,427138,0
2017-09-13,17:00:00,7.4867,7.5762,7.4778,7.5584,2088022,0
2017-09-13,18:00:00,7.5494,7.5852,7.527,7.5315,789443,0
2017-09-13,19:00:00,7.5359,7.5674,7.5225,7.5315,234473,0
2017-09-13,20:00:00,7.5315,7.5405,7.5047,7.5225,350476,0
2017-09-13,21:00:00,7.527,7.5405,7.4957,7.5225,208068,0
2017-09-13,22:00:00,7.5136,7.5584,7.5047,7.5315,1309422,0
2017-09-14,16:00:00,7.5315,7.621,7.5315,7.621,200319,0
2017-09-14,17:00:00,7.621,7.7554,7.621,7.6568,695538,0
2017-09-14,18:00:00,7.6524,7.6747,7.5852,7.6658,892488,0
2017-09-14,19:00:00,7.6658,7.7195,7.6613,7.6972,279601,0
2017-09-14,20:00:00,7.6972,7.7016,7.6478,7.6837,312077,0
2017-09-14,21:00:00,7.6837,7.7016,7.6747,7.6837,281096,0
2017-09-14,22:00:00,7.6882,7.7643,7.6568,7.6837,2452396,0
2017-09-15,16:00:00,7.7016,7.7374,7.6121,7.6121,504205,0
2017-09-15,17:00:00,7.6121,7.63,7.527,7.5584,413033,0
2017-09-15,18:00:00,7.5584,7.6478,7.5494,7.6389,245707,0
2017-09-15,19:00:00,7.6389,7.7195,7.63,7.6837,310087,0
2017-09-15,20:00:00,7.6927,7.7105,7.6345,7.6568,277949,0
2017-09-15,21:00:00,7.6478,7.6568,7.621,7.6345,248945,0
2017-09-15,22:00:00,7.6345,7.7195,7.63,7.7016,1250580,0
2017-09-18,16:00:00,7.6927,7.8001,7.6568,7.742,304074,0
2017-09-18,17:00:00,7.7464,7.7598,7.6747,7.7195,443025,0
2017-09-18,18:00:00,7.7195,7.7195,7.63,7.6524,361775,0
2017-09-18,19:00:00,7.6568,7.6613,7.6032,7.6345,176669,0
2017-09-18,20:00:00,7.6389,7.6747,7.6166,7.63,304131,0
2017-09-18,21:00:00,7.6345,7.6478,7.5942,7.5986,222657,0
2017-09-18,22:00:00,7.6032,7.621,7.5852,7.6121,895160,0
2017-09-19,16:00:00,7.6121,7.6416,7.5225,7.5315,187339,0
2017-09-19,17:00:00,7.527,7.5628,7.4867,7.5449,398506,0
2017-09-19,18:00:00,7.5405,7.5449,7.3882,7.4509,535394,0
2017-09-19,19:00:00,7.4509,7.5225,7.4464,7.4899,202381,0
2017-09-19,20:00:00,7.4912,7.5136,7.4374,7.442,199194,0
2017-09-19,21:00:00,7.442,7.4688,7.3882,7.3926,562951,0
2017-09-19,22:00:00,7.3882,7.3971,7.3613,7.3703,1600544,0
2017-09-20,16:00:00,7.3613,7.3971,7.2449,7.3166,534486,0
2017-09-20,17:00:00,7.3223,7.3613,7.2807,7.3211,529124,0
2017-09-20,18:00:00,7.3344,7.3569,7.2986,7.3569,317514,0
2017-09-20,19:00:00,7.3524,7.3524,7.3076,7.3282,245140,0
2017-09-20,20:00:00,7.3344,7.3882,7.3121,7.3703,410905,0
2017-09-20,21:00:00,7.3703,7.3793,7.2986,7.3343,388926,0
2017-09-20,22:00:00,7.3255,7.3703,7.3121,7.3255,1094372,0
2017-09-21,16:00:00,7.3344,7.4867,7.3344,7.4732,241381,0
2017-09-21,17:00:00,7.4688,7.4688,7.3613,7.3747,343191,0
2017-09-21,18:00:00,7.3703,7.3962,7.3344,7.3703,176041,0
2017-09-21,19:00:00,7.3659,7.3837,7.3344,7.3747,152999,0
2017-09-21,20:00:00,7.3747,7.3971,7.3613,7.3926,221420,0
2017-09-21,21:00:00,7.3926,7.4151,7.3613,7.4105,255612,0
2017-09-21,22:00:00,7.4151,7.424,7.3747,7.3793,639847,0
2017-09-22,16:00:00,7.433,7.442,7.3703,7.4151,178363,0
2017-09-22,17:00:00,7.424,7.4688,7.3882,7.4688,381337,0
2017-09-22,18:00:00,7.4688,7.4732,7.3971,7.424,255553,0
2017-09-22,19:00:00,7.4225,7.424,7.3793,7.3882,264806,0
2017-09-22,20:00:00,7.3846,7.4553,7.3703,7.4285,266501,0
2017-09-22,21:00:00,7.433,7.433,7.4061,7.424,205412,0
2017-09-22,22:00:00,7.4195,7.4598,7.4061,7.433,848015,0
2017-09-25,16:00:00,7.5225,7.7554,7.4867,7.7554,659846,0
2017-09-25,17:00:00,7.7554,7.9255,7.6927,7.8449,1269026,0
2017-09-25,18:00:00,7.8359,7.8449,7.7464,7.7862,482765,0
2017-09-25,19:00:00,7.7867,7.8897,7.7732,7.8494,708808,0
2017-09-25,20:00:00,7.8449,7.8986,7.827,7.8851,733663,0
2017-09-25,21:00:00,7.8897,7.9255,7.8718,7.8941,698398,0
2017-09-25,22:00:00,7.8897,7.8941,7.7822,7.7912,1427200,0
2017-09-26,16:00:00,7.8718,8.042,7.8359,8.0017,1005805,0
2017-09-26,17:00:00,8.0061,8.0867,7.9882,8.0554,981125,0
2017-09-26,18:00:00,8.051,8.1493,8.033,8.127,827707,0
2017-09-26,19:00:00,8.127,8.1404,7.9255,7.9255,1423716,0
2017-09-26,20:00:00,7.9255,7.9345,7.8181,7.9076,1271952,0
2017-09-26,21:00:00,7.9166,7.9613,7.8673,7.9568,717926,0
2017-09-26,22:00:00,7.9613,8.0151,7.7822,7.8628,2958073,0
2017-09-27,16:00:00,7.8808,7.9255,7.5628,7.7061,914780,0
2017-09-27,17:00:00,7.7016,7.7464,7.6658,7.7464,477894,0
2017-09-27,18:00:00,7.742,7.7554,7.6389,7.6613,421815,0
2017-09-27,19:00:00,7.6658,7.7822,7.6568,7.7732,260977,0
2017-09-27,20:00:00,7.7732,7.8897,7.7643,7.8851,365118,0
2017-09-27,21:00:00,7.8897,7.9345,7.8091,7.9345,776155,0
2017-09-27,22:00:00,7.9345,7.9478,7.8808,7.9076,1399141,0
2017-09-28,16:00:00,7.9255,7.9793,7.8628,7.8673,288901,0
2017-09-28,17:00:00,7.8718,7.8808,7.7688,7.8225,561354,0
2017-09-28,18:00:00,7.8208,7.827,7.7506,7.7778,399785,0
2017-09-28,19:00:00,7.7822,7.8181,7.7285,7.8001,602718,0
2017-09-28,20:00:00,7.7912,7.8001,7.7151,7.7688,636370,0
2017-09-28,21:00:00,7.7643,7.8628,7.7598,7.8494,426458,0
2017-09-28,22:00:00,7.8494,7.8897,7.8359,7.8628,1279450,0
2017-09-29,16:00:00,7.8397,7.8859,7.6366,7.8028,942541,0
2017-09-29,17:00:00,7.812,7.8121,7.6643,7.7382,688384,0
2017-09-29,18:00:00,7.7422,7.7566,7.7058,7.7336,402641,0
2017-09-29,19:00:00,7.729,7.7474,7.6966,7.7336,402317,0
2017-09-29,20:00:00,7.7336,7.7473,7.6972,7.7151,300114,0
2017-09-29,21:00:00,7.7197,7.7474,7.7151,7.7382,241126,0
2017-09-29,22:00:00,7.7382,7.7613,7.729,7.7474,1040013,0
2017-10-02,16:00:00,7.7566,7.7566,7.6089,7.7104,326095,0
2017-10-02,17:00:00,7.7013,7.7843,7.692,7.7382,416789,0
2017-10-02,18:00:00,7.7382,7.7566,7.7013,7.7427,222797,0
2017-10-02,19:00:00,7.7382,7.7936,7.729,7.752,254127,0
2017-10-02,20:00:00,7.7474,7.7797,7.729,7.7659,128136,0
2017-10-02,21:00:00,7.7751,7.7751,7.7197,7.7474,239672,0
2017-10-02,22:00:00,7.752,7.7936,7.7382,7.7566,757055,0
