Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,12.369,12.465,12.369,12.445,10424,0
2017-09-06,17:00:00,12.397,12.465,12.397,12.436,9643,0
2017-09-06,18:00:00,12.445,12.445,12.397,12.417,4597,0
2017-09-06,19:00:00,12.407,12.445,12.397,12.397,8261,0
2017-09-06,20:00:00,12.401,12.436,12.388,12.427,8409,0
2017-09-06,21:00:00,12.417,12.436,12.359,12.378,7198,0
2017-09-06,22:00:00,12.369,12.378,12.321,12.369,44622,0
2017-09-07,16:00:00,12.387,12.427,12.378,12.427,1727,0
2017-09-07,17:00:00,12.407,12.503,12.359,12.378,15698,0
2017-09-07,18:00:00,12.378,12.378,12.321,12.349,11607,0
2017-09-07,19:00:00,12.349,12.369,12.33,12.349,5434,0
2017-09-07,20:00:00,12.349,12.369,12.311,12.33,10179,0
2017-09-07,21:00:00,12.311,12.364,12.311,12.349,9536,0
2017-09-07,22:00:00,12.344,12.359,12.321,12.349,11301,0
2017-09-08,16:00:00,12.359,12.427,12.359,12.387,2329,0
2017-09-08,17:00:00,12.382,12.475,12.382,12.397,9917,0
2017-09-08,18:00:00,12.417,12.465,12.417,12.445,14608,0
2017-09-08,19:00:00,12.455,12.455,12.397,12.438,7972,0
2017-09-08,20:00:00,12.417,12.427,12.397,12.397,5622,0
2017-09-08,21:00:00,12.407,12.417,12.39,12.407,7103,0
2017-09-08,22:00:00,12.417,12.417,12.369,12.387,20259,0
2017-09-11,16:00:00,12.387,12.493,12.387,12.485,5484,0
2017-09-11,17:00:00,12.485,12.533,12.475,12.503,18483,0
2017-09-11,18:00:00,12.504,12.518,12.427,12.503,29507,0
2017-09-11,19:00:00,12.485,12.533,12.485,12.523,29146,0
2017-09-11,20:00:00,12.513,12.518,12.493,12.513,9311,0
2017-09-11,21:00:00,12.513,12.513,12.488,12.493,11053,0
2017-09-11,22:00:00,12.485,12.493,12.465,12.475,27457,0
2017-09-12,16:00:00,12.503,12.513,12.436,12.503,6018,0
2017-09-12,17:00:00,12.488,12.523,12.485,12.503,4861,0
2017-09-12,18:00:00,12.475,12.513,12.445,12.493,5762,0
2017-09-12,19:00:00,12.475,12.503,12.465,12.482,8805,0
2017-09-12,20:00:00,12.47,12.485,12.436,12.436,3741,0
2017-09-12,21:00:00,12.445,12.445,12.387,12.412,8979,0
2017-09-12,22:00:00,12.387,12.427,12.374,12.407,44563,0
2017-09-13,16:00:00,12.417,12.455,12.387,12.436,3990,0
2017-09-13,17:00:00,12.436,12.503,12.436,12.503,9814,0
2017-09-13,18:00:00,12.503,12.523,12.493,12.493,11736,0
2017-09-13,19:00:00,12.493,12.493,12.485,12.493,3891,0
2017-09-13,20:00:00,12.493,12.493,12.445,12.455,8232,0
2017-09-13,21:00:00,12.445,12.445,12.417,12.436,7007,0
2017-09-13,22:00:00,12.427,12.455,12.427,12.436,23670,0
2017-09-14,16:00:00,12.427,12.427,12.321,12.417,3127,0
2017-09-14,17:00:00,12.417,12.465,12.412,12.455,4368,0
2017-09-14,18:00:00,12.455,12.465,12.417,12.436,4820,0
2017-09-14,19:00:00,12.455,12.475,12.339,12.397,46450,0
2017-09-14,20:00:00,12.397,12.465,12.387,12.465,8389,0
2017-09-14,21:00:00,12.475,12.475,12.417,12.455,10984,0
2017-09-14,22:00:00,12.475,12.493,12.432,12.493,22990,0
2017-09-15,16:00:00,12.503,12.533,12.465,12.533,49225,0
2017-09-15,17:00:00,12.503,12.513,12.417,12.436,8914,0
2017-09-15,18:00:00,12.436,12.513,12.436,12.503,11326,0
2017-09-15,19:00:00,12.503,12.533,12.493,12.493,6143,0
2017-09-15,20:00:00,12.513,12.513,12.485,12.503,12278,0
2017-09-15,21:00:00,12.503,12.523,12.485,12.493,22957,0
2017-09-15,22:00:00,12.498,12.533,12.475,12.503,109536,0
2017-09-18,16:00:00,12.533,12.533,12.513,12.533,2849,0
2017-09-18,17:00:00,12.543,12.599,12.543,12.561,17803,0
2017-09-18,18:00:00,12.561,12.581,12.503,12.533,30179,0
2017-09-18,19:00:00,12.533,12.547,12.493,12.518,9512,0
2017-09-18,20:00:00,12.533,12.591,12.533,12.591,3213,0
2017-09-18,21:00:00,12.581,12.599,12.543,12.551,21243,0
2017-09-18,22:00:00,12.551,12.561,12.513,12.533,29789,0
2017-09-19,16:00:00,12.561,12.561,12.493,12.493,2316,0
2017-09-19,17:00:00,12.485,12.523,12.465,12.485,5379,0
2017-09-19,18:00:00,12.47,12.513,12.46,12.501,5750,0
2017-09-19,19:00:00,12.485,12.561,12.485,12.543,16708,0
2017-09-19,20:00:00,12.543,12.546,12.523,12.533,5783,0
2017-09-19,21:00:00,12.533,12.543,12.523,12.541,9758,0
2017-09-19,22:00:00,12.533,12.543,12.533,12.543,24971,0
2017-09-20,16:00:00,12.561,12.609,12.523,12.561,15749,0
2017-09-20,17:00:00,12.566,12.581,12.533,12.571,33297,0
2017-09-20,18:00:00,12.591,12.619,12.561,12.619,15555,0
2017-09-20,19:00:00,12.619,12.619,12.475,12.543,56260,0
2017-09-20,20:00:00,12.543,12.581,12.503,12.561,14879,0
2017-09-20,21:00:00,12.551,12.551,12.387,12.417,16719,0
2017-09-20,22:00:00,12.417,12.485,12.417,12.475,26966,0
2017-09-21,16:00:00,12.387,12.485,12.387,12.475,12514,0
2017-09-21,17:00:00,12.455,12.533,12.455,12.513,14314,0
2017-09-21,18:00:00,12.493,12.533,12.493,12.503,6070,0
2017-09-21,19:00:00,12.505,12.533,12.475,12.533,5946,0
2017-09-21,20:00:00,12.531,12.533,12.493,12.503,7725,0
2017-09-21,21:00:00,12.503,12.513,12.465,12.513,6214,0
2017-09-21,22:00:00,12.503,12.513,12.475,12.485,16587,0
