Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,25.29,25.29,25.2799,25.28,12898,0
2017-09-05,17:00:00,25.27,25.28,25.22,25.225,13225,0
2017-09-05,18:00:00,25.2201,25.28,25.2201,25.261,18612,0
2017-09-05,19:00:00,25.2601,25.2634,25.24,25.24,6714,0
2017-09-05,20:00:00,25.24,25.25,25.24,25.25,7031,0
2017-09-05,21:00:00,25.25,25.27,25.24,25.2699,11117,0
2017-09-05,22:00:00,25.2699,25.2699,25.24,25.26,5185,0
2017-09-06,16:00:00,25.28,25.3,25.28,25.3,7798,0
2017-09-06,17:00:00,25.3,25.31,25.28,25.3,10975,0
2017-09-06,18:00:00,25.27,25.3,25.27,25.3,2772,0
2017-09-06,19:00:00,25.271,25.3,25.271,25.2999,2553,0
2017-09-06,20:00:00,25.3,25.35,25.3,25.3298,3613,0
2017-09-06,21:00:00,25.31,25.35,25.31,25.35,2620,0
2017-09-06,22:00:00,25.3299,25.35,25.27,25.3,12772,0
2017-09-07,16:00:00,25.31,25.33,25.26,25.2601,17595,0
2017-09-07,17:00:00,25.31,25.31,25.26,25.27,13003,0
2017-09-07,18:00:00,25.29,25.29,25.27,25.29,6143,0
2017-09-07,19:00:00,25.2898,25.29,25.25,25.2691,14811,0
2017-09-07,20:00:00,25.26,25.28,25.26,25.26,4510,0
2017-09-07,21:00:00,25.28,25.32,25.28,25.32,3140,0
2017-09-07,22:00:00,25.3,25.35,25.261,25.3401,14693,0
2017-09-08,16:00:00,25.34,25.34,25.31,25.31,7883,0
2017-09-08,17:00:00,25.32,25.3399,25.31,25.31,4466,0
2017-09-08,18:00:00,25.29,25.32,25.27,25.32,6896,0
2017-09-08,19:00:00,25.33,25.339,25.25,25.25,25066,0
2017-09-08,20:00:00,25.2499,25.25,25.22,25.25,5629,0
2017-09-08,21:00:00,25.22,25.2398,25.22,25.2323,6086,0
2017-09-08,22:00:00,25.22,25.24,25.18,25.2,11992,0
2017-09-11,16:00:00,25.28,25.29,25.28,25.29,2988,0
2017-09-11,17:00:00,25.28,25.3,25.25,25.29,6636,0
2017-09-11,18:00:00,25.259,25.32,25.25,25.2701,5182,0
2017-09-11,20:00:00,25.28,25.3238,25.28,25.32,4704,0
2017-09-11,21:00:00,25.32,25.32,25.27,25.27,4455,0
2017-09-11,22:00:00,25.3099,25.37,25.27,25.32,13012,0
2017-09-12,16:00:00,25.45,25.5,25.4,25.4768,27206,0
2017-09-12,17:00:00,25.43,25.4672,25.43,25.4592,28186,0
2017-09-12,18:00:00,25.445,25.45,25.4,25.424,23604,0
2017-09-12,19:00:00,25.41,25.429,25.4,25.4,10869,0
2017-09-12,20:00:00,25.42,25.429,25.4,25.4,8006,0
2017-09-12,21:00:00,25.4,25.4066,25.39,25.39,1438,0
2017-09-12,22:00:00,25.3875,25.41,25.3701,25.41,15970,0
2017-09-13,16:00:00,25.41,25.415,25.4,25.4,8804,0
2017-09-13,17:00:00,25.37,25.4,25.36,25.36,8567,0
2017-09-13,18:00:00,25.36,25.41,25.36,25.38,11569,0
2017-09-13,19:00:00,25.3732,25.3892,25.36,25.36,22718,0
2017-09-13,20:00:00,25.35,25.35,25.3,25.33,14661,0
2017-09-13,21:00:00,25.33,25.3764,25.31,25.37,5634,0
2017-09-13,22:00:00,25.37,25.3707,25.31,25.36,23316,0
2017-09-14,16:00:00,25.36,25.3701,25.36,25.36,14197,0
2017-09-14,17:00:00,25.36,25.3666,25.3262,25.3262,7690,0
2017-09-14,18:00:00,25.33,25.35,25.32,25.3431,11087,0
2017-09-14,19:00:00,25.35,25.35,25.3443,25.349,1610,0
2017-09-14,20:00:00,25.34,25.34,25.3168,25.3168,1310,0
2017-09-14,21:00:00,25.32,25.34,25.31,25.33,7146,0
2017-09-14,22:00:00,25.32,25.34,25.31,25.32,11937,0
2017-09-15,16:00:00,25.34,25.3604,25.34,25.3462,6227,0
2017-09-15,17:00:00,25.36,25.375,25.32,25.375,6534,0
2017-09-15,18:00:00,25.3748,25.3821,25.34,25.355,3365,0
2017-09-15,19:00:00,25.355,25.398,25.34,25.398,59621,0
2017-09-15,20:00:00,25.39,25.4,25.34,25.344,9715,0
2017-09-15,21:00:00,25.34,25.38,25.34,25.36,60107,0
2017-09-15,22:00:00,25.36,25.38,25.33,25.38,110580,0
2017-09-18,16:00:00,25.38,25.38,25.34,25.3533,18596,0
2017-09-18,17:00:00,25.37,25.37,25.31,25.31,5129,0
2017-09-18,18:00:00,25.31,25.31,25.3,25.31,4474,0
2017-09-18,19:00:00,25.325,25.34,25.3202,25.3316,2955,0
2017-09-18,20:00:00,25.3131,25.346,25.3,25.3,17218,0
2017-09-18,21:00:00,25.318,25.3292,25.3,25.32,5145,0
2017-09-18,22:00:00,25.3068,25.3339,25.3068,25.33,6104,0
2017-09-19,16:00:00,25.33,25.33,25.3,25.325,23613,0
2017-09-19,17:00:00,25.315,25.33,25.3,25.3,10375,0
2017-09-19,18:00:00,25.32,25.35,25.3001,25.31,12797,0
2017-09-19,19:00:00,25.32,25.38,25.3,25.301,14880,0
2017-09-19,20:00:00,25.28,25.3,25.2492,25.28,43706,0
2017-09-19,21:00:00,25.2709,25.28,25.2301,25.263,23496,0
2017-09-19,22:00:00,25.24,25.3,25.24,25.26,34833,0
2017-09-20,16:00:00,25.26,25.29,25.25,25.2798,11091,0
2017-09-20,17:00:00,25.27,25.27,25.25,25.2592,8178,0
2017-09-20,18:00:00,25.242,25.26,25.23,25.23,3490,0
2017-09-20,19:00:00,25.25,25.25,25.23,25.25,16037,0
2017-09-20,20:00:00,25.23,25.268,25.23,25.268,9708,0
2017-09-20,21:00:00,25.251,25.259,25.2321,25.24,8172,0
2017-09-20,22:00:00,25.2399,25.25,25.23,25.25,13368,0
2017-09-21,16:00:00,25.25,25.25,25.24,25.25,12433,0
2017-09-21,17:00:00,25.25,25.25,25.23,25.2467,13096,0
2017-09-21,18:00:00,25.25,25.25,25.2315,25.25,2200,0
2017-09-21,19:00:00,25.2353,25.25,25.23,25.2489,5567,0
2017-09-21,20:00:00,25.2357,25.25,25.2357,25.241,3376,0
2017-09-21,21:00:00,25.2453,25.25,25.243,25.25,4093,0
2017-09-21,22:00:00,25.25,25.25,25.22,25.22,11136,0
2017-09-22,16:00:00,25.25,25.25,25.2493,25.25,13154,0
2017-09-22,17:00:00,25.24,25.269,25.23,25.23,15869,0
2017-09-22,18:00:00,25.229,25.24,25.2215,25.24,6014,0
2017-09-22,19:00:00,25.241,25.2445,25.22,25.2272,8600,0
2017-09-22,20:00:00,25.25,25.25,25.22,25.25,918,0
2017-09-22,21:00:00,25.24,25.25,25.21,25.21,7140,0
2017-09-22,22:00:00,25.2364,25.29,25.2215,25.29,4632,0
2017-09-25,16:00:00,25.29,25.3,25.29,25.3,6642,0
2017-09-25,17:00:00,25.3,25.3,25.28,25.28,13741,0
2017-09-25,18:00:00,25.27,25.29,25.2601,25.28,7697,0
2017-09-25,19:00:00,25.26,25.2899,25.25,25.25,4917,0
2017-09-25,20:00:00,25.26,25.29,25.25,25.2616,17771,0
2017-09-25,21:00:00,25.264,25.27,25.25,25.25,9617,0
2017-09-25,22:00:00,25.26,25.27,25.25,25.2601,15344,0
2017-09-26,16:00:00,25.25,25.27,25.25,25.27,25112,0
2017-09-26,17:00:00,25.2693,25.27,25.25,25.26,10876,0
2017-09-26,18:00:00,25.2599,25.26,25.23,25.26,14886,0
2017-09-26,19:00:00,25.255,25.26,25.22,25.2416,9330,0
2017-09-26,20:00:00,25.23,25.239,25.22,25.2201,3374,0
2017-09-26,21:00:00,25.23,25.23,25.2,25.2,19851,0
2017-09-26,22:00:00,25.2007,25.21,25.1758,25.21,27684,0
2017-09-27,16:00:00,25.23,25.23,25.22,25.22,14639,0
2017-09-27,17:00:00,25.23,25.24,25.22,25.228,5859,0
2017-09-27,18:00:00,25.221,25.23,25.21,25.2145,3876,0
2017-09-27,19:00:00,25.22,25.2481,25.2139,25.2481,3266,0
2017-09-27,20:00:00,25.221,25.27,25.221,25.2324,16553,0
2017-09-27,21:00:00,25.23,25.26,25.2105,25.26,6059,0
2017-09-27,22:00:00,25.23,25.26,25.2,25.21,12633,0
2017-09-28,16:00:00,25.18,25.191,25.18,25.191,6074,0
2017-09-28,17:00:00,25.19,25.1963,25.1825,25.19,5943,0
2017-09-28,18:00:00,25.19,25.19,25.18,25.19,722,0
2017-09-28,19:00:00,25.19,25.21,25.19,25.21,1000,0
2017-09-28,20:00:00,25.22,25.22,25.22,25.22,1364,0
2017-09-28,21:00:00,25.22,25.22,25.17,25.18,10315,0
2017-09-28,22:00:00,25.18,25.24,25.17,25.22,12970,0
2017-09-29,16:00:00,25.29,25.29,25.25,25.255,14223,0
2017-09-29,17:00:00,25.25,25.25,25.24,25.25,4895,0
2017-09-29,18:00:00,25.2421,25.25,25.24,25.25,4694,0
2017-09-29,19:00:00,25.24,25.25,25.24,25.2421,3780,0
2017-09-29,20:00:00,25.242,25.25,25.24,25.25,8460,0
2017-09-29,21:00:00,25.2499,25.25,25.2437,25.25,4371,0
2017-09-29,22:00:00,25.27,25.29,25.22,25.28,27841,0
2017-10-02,16:00:00,25.28,25.3,25.28,25.2898,14730,0
2017-10-02,17:00:00,25.2899,25.2899,25.27,25.2859,12525,0
2017-10-02,18:00:00,25.287,25.29,25.2815,25.2879,3173,0
2017-10-02,19:00:00,25.28,25.2865,25.25,25.2865,10606,0
2017-10-02,20:00:00,25.28,25.29,25.28,25.28,7887,0
2017-10-02,21:00:00,25.28,25.29,25.27,25.27,8841,0
2017-10-02,22:00:00,25.27,25.27,25.25,25.25,13810,0
2017-10-03,16:00:00,25.29,25.29,25.27,25.28,7237,0
2017-10-03,17:00:00,25.28,25.28,25.2668,25.28,1941,0
2017-10-03,18:00:00,25.26,25.2641,25.25,25.2501,9324,0
2017-10-03,19:00:00,25.25,25.26,25.23,25.26,7989,0
2017-10-03,20:00:00,25.23,25.26,25.23,25.2396,6784,0
2017-10-03,21:00:00,25.24,25.26,25.24,25.2598,5473,0
2017-10-03,22:00:00,25.2544,25.26,25.24,25.25,12153,0
2017-10-04,16:00:00,25.25,25.275,25.23,25.2572,6780,0
2017-10-04,17:00:00,25.2301,25.2301,25.2,25.2,6746,0
2017-10-04,18:00:00,25.2299,25.24,25.2254,25.24,5770,0
2017-10-04,19:00:00,25.22,25.24,25.16,25.16,15124,0
2017-10-04,20:00:00,25.19,25.22,25.1501,25.1622,8660,0
2017-10-04,21:00:00,25.1692,25.2,25.1692,25.19,9708,0
2017-10-04,22:00:00,25.1761,25.2,25.17,25.18,15505,0
2017-10-05,16:00:00,25.2,25.21,25.19,25.2036,6757,0
2017-10-05,17:00:00,25.1999,25.2,25.19,25.2,2225,0
2017-10-05,18:00:00,25.1921,25.1921,25.19,25.19,1112,0
2017-10-05,19:00:00,25.19,25.2,25.1802,25.1977,7105,0
2017-10-05,20:00:00,25.191,25.2,25.191,25.197,2926,0
2017-10-05,21:00:00,25.2,25.2,25.18,25.1907,6199,0
2017-10-05,22:00:00,25.19,25.2,25.14,25.15,38015,0
2017-10-06,16:00:00,25.19,25.19,25.1501,25.1501,20656,0
2017-10-06,17:00:00,25.1628,25.17,25.111,25.16,14276,0
2017-10-06,18:00:00,25.17,25.17,25.12,25.12,16759,0
2017-10-06,19:00:00,25.11,25.15,25.07,25.14,20840,0
2017-10-06,20:00:00,25.1438,25.23,25.1119,25.23,11030,0
2017-10-06,21:00:00,25.218,25.2299,25.1804,25.2299,2347,0
2017-10-06,22:00:00,25.1816,25.21,25.16,25.18,11575,0
2017-10-09,16:00:00,25.29,25.29,25.2,25.2,21484,0
2017-10-09,17:00:00,25.21,25.21,25.18,25.21,12954,0
2017-10-09,18:00:00,25.21,25.2101,25.17,25.18,14717,0
2017-10-09,19:00:00,25.1648,25.18,25.1648,25.18,419,0
2017-10-09,20:00:00,25.16,25.229,25.16,25.229,3007,0
2017-10-09,21:00:00,25.2102,25.23,25.19,25.23,2355,0
2017-10-09,22:00:00,25.2,25.28,25.19,25.27,8324,0
2017-10-10,16:00:00,25.25,25.26,25.2238,25.2238,2263,0
2017-10-10,17:00:00,25.23,25.25,25.22,25.23,6646,0
2017-10-10,18:00:00,25.23,25.25,25.23,25.2362,3304,0
2017-10-10,19:00:00,25.24,25.24,25.23,25.2336,2883,0
2017-10-10,20:00:00,25.23,25.23,25.2169,25.23,4791,0
2017-10-10,21:00:00,25.22,25.24,25.21,25.24,6416,0
2017-10-10,22:00:00,25.225,25.24,25.21,25.21,1777,0
2017-10-11,16:00:00,25.26,25.27,25.26,25.26,35155,0
2017-10-11,17:00:00,25.26,25.2677,25.252,25.252,3302,0
2017-10-11,18:00:00,25.25,25.26,25.25,25.26,5605,0
2017-10-11,19:00:00,25.27,25.27,25.24,25.242,17335,0
2017-10-11,20:00:00,25.2393,25.25,25.2393,25.2454,1961,0
2017-10-11,21:00:00,25.24,25.24,25.23,25.24,4557,0
2017-10-11,22:00:00,25.24,25.27,25.21,25.27,9975,0
2017-10-12,16:00:00,25.26,25.27,25.25,25.262,9018,0
2017-10-12,17:00:00,25.2538,25.2538,25.24,25.25,5297,0
2017-10-12,18:00:00,25.25,25.26,25.25,25.26,2346,0
2017-10-12,19:00:00,25.26,25.26,25.25,25.2534,3031,0
2017-10-12,20:00:00,25.2501,25.26,25.25,25.26,3448,0
2017-10-12,21:00:00,25.26,25.2899,25.25,25.2887,10063,0
2017-10-12,22:00:00,25.29,25.32,25.26,25.32,4797,0
2017-10-13,16:00:00,25.37,25.37,25.33,25.35,21917,0
2017-10-13,17:00:00,25.36,25.3637,25.34,25.3501,14250,0
2017-10-13,18:00:00,25.36,25.36,25.35,25.3501,2158,0
2017-10-13,19:00:00,25.35,25.36,25.35,25.3577,3940,0
2017-10-13,20:00:00,25.3562,25.37,25.35,25.3699,6777,0
2017-10-13,21:00:00,25.3541,25.37,25.35,25.35,13523,0
2017-10-13,22:00:00,25.37,25.37,25.35,25.37,11128,0
2017-10-16,16:00:00,25.35,25.35,25.332,25.332,11724,0
2017-10-16,17:00:00,25.34,25.34,25.33,25.3334,4128,0
2017-10-16,18:00:00,25.3389,25.3393,25.31,25.3107,9849,0
