Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-25,18:00:00,24.8674,24.8674,24.8674,24.8674,2000,0
2017-05-25,19:00:00,24.7104,24.7104,24.7104,24.7104,600,0
2017-05-25,20:00:00,24.7372,24.7372,24.7372,24.7372,600,0
2017-05-25,22:00:00,24.75,24.75,24.75,24.75,200,0
2017-05-26,17:00:00,24.799,24.799,24.799,24.799,495,0
2017-05-26,18:00:00,24.7822,24.8,24.7822,24.8,600,0
2017-05-26,19:00:00,25.0499,25.0499,25.0499,25.0499,600,0
2017-05-26,22:00:00,25.0054,25.0054,25.0054,25.0054,300,0
2017-05-30,16:00:00,25,25,25,25,100,0
2017-05-30,17:00:00,25.05,25.05,25.05,25.05,200,0
2017-05-30,18:00:00,25,25.05,24.951,24.951,1492,0
2017-05-30,19:00:00,24.9774,24.9774,24.9774,24.9774,776,0
2017-05-30,20:00:00,24.978,24.978,24.95,24.95,4000,0
2017-05-30,22:00:00,25,25,25,25,600,0
2017-05-31,16:00:00,24.9948,24.9948,24.9948,24.9948,830,0
2017-05-31,17:00:00,24.95,24.95,24.95,24.95,200,0
2017-05-31,18:00:00,24.9501,24.9501,24.9501,24.9501,220,0
2017-05-31,19:00:00,24.95,24.9636,24.95,24.95,1100,0
2017-05-31,20:00:00,24.969,24.969,24.969,24.969,507,0
2017-05-31,22:00:00,24.95,24.9686,24.95,24.95,1400,0
2017-06-01,16:00:00,24.9,24.9,24.9,24.9,100,0
2017-06-01,17:00:00,24.8627,24.9,24.8627,24.9,200,0
2017-06-01,20:00:00,24.89,24.9636,24.89,24.9299,850,0
2017-06-01,21:00:00,24.93,25.1,24.93,25.1,1100,0
2017-06-01,22:00:00,25.082,25.082,25,25,500,0
2017-06-02,16:00:00,25,25.1,25,25.1,203,0
2017-06-02,18:00:00,25.02,25.02,25.02,25.02,100,0
2017-06-02,20:00:00,25.0587,25.0587,25.0587,25.0587,1000,0
2017-06-02,21:00:00,24.9822,25.09,24.9822,25.09,700,0
2017-06-02,22:00:00,25.0899,25.09,25.03,25.03,2200,0
2017-06-05,16:00:00,24.95,25.03,24.95,25.03,303,0
