Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-20,16:00:00,25.32,25.32,25.32,25.32,141,0
2017-06-20,17:00:00,25.32,25.32,25.32,25.32,185,0
2017-06-20,18:00:00,25.33,25.33,25.33,25.33,585,0
2017-06-20,19:00:00,25.32,25.325,25.32,25.325,302,0
2017-06-20,20:00:00,25.33,25.33,25.316,25.33,1739,0
2017-06-20,21:00:00,25.299,25.299,25.299,25.299,1311,0
2017-06-20,22:00:00,25.3,25.314,25.29,25.312,10913,0
2017-06-21,17:00:00,25.32,25.35,25.3,25.3,2722,0
2017-06-21,18:00:00,25.301,25.301,25.301,25.301,202,0
2017-06-21,19:00:00,25.32,25.32,25.32,25.32,101,0
2017-06-21,20:00:00,25.336,25.336,25.29,25.314,504,0
2017-06-21,21:00:00,25.355,25.42,25.34,25.42,4276,0
2017-06-21,22:00:00,25.34,25.439,25.25,25.25,4958,0
2017-06-22,16:00:00,25.191,25.191,25.191,25.191,421,0
2017-06-22,18:00:00,25.159,25.159,25.159,25.159,202,0
2017-06-22,19:00:00,25.171,25.201,25.156,25.161,1563,0
2017-06-22,20:00:00,25.131,25.161,25.131,25.161,254,0
2017-06-22,21:00:00,25.153,25.191,25.153,25.191,238,0
2017-06-22,22:00:00,25.176,25.176,25.176,25.176,197,0
2017-06-23,16:00:00,25.162,25.162,25.138,25.138,606,0
2017-06-23,17:00:00,25.147,25.147,25.147,25.147,187,0
2017-06-23,18:00:00,25.155,25.155,25.155,25.155,106,0
2017-06-23,19:00:00,25.163,25.201,25.163,25.168,1104,0
2017-06-23,20:00:00,25.165,25.578,25.132,25.26,5437,0
2017-06-23,21:00:00,25.161,25.252,25.161,25.252,2070,0
2017-06-23,22:00:00,25.222,25.222,25.169,25.169,729,0
2017-06-26,16:00:00,25.171,25.171,25.043,25.122,4805,0
2017-06-26,17:00:00,25.109,25.115,25.109,25.115,490,0
2017-06-26,18:00:00,25.119,25.152,25.119,25.152,3025,0
2017-06-26,19:00:00,25.119,25.119,25.119,25.119,202,0
2017-06-26,20:00:00,25.136,25.136,25.136,25.136,772,0
2017-06-26,21:00:00,25.151,25.151,25.151,25.151,786,0
2017-06-26,22:00:00,25.11,25.11,25.092,25.092,3811,0
2017-06-27,16:00:00,25.131,25.131,25.131,25.131,339,0
2017-06-27,17:00:00,25.112,25.141,25.112,25.141,302,0
2017-06-27,19:00:00,25.141,25.147,25.112,25.112,1172,0
2017-06-27,22:00:00,25.116,25.15,25.116,25.122,1353,0
2017-06-28,16:00:00,25.181,25.181,25.161,25.161,662,0
2017-06-28,17:00:00,25.168,25.168,25.168,25.168,138,0
2017-06-28,18:00:00,25.146,25.147,25.146,25.147,1200,0
2017-06-28,19:00:00,25.191,25.191,25.154,25.175,3327,0
2017-06-28,21:00:00,25.191,25.191,25.141,25.141,892,0
2017-06-28,22:00:00,25.151,25.201,25.151,25.171,2420,0
2017-06-29,16:00:00,25.28,25.28,25.171,25.171,273,0
2017-06-29,18:00:00,25.161,25.191,25.161,25.191,706,0
2017-06-29,19:00:00,25.211,25.498,25.211,25.498,14758,0
2017-06-29,21:00:00,25.507,25.507,25.505,25.505,338,0
2017-06-29,22:00:00,25.459,25.588,25.439,25.439,9464,0
2017-06-30,18:00:00,25.368,25.369,25.368,25.369,1043,0
2017-06-30,19:00:00,25.36,25.36,25.36,25.36,207,0
2017-06-30,20:00:00,25.357,25.357,25.357,25.357,156,0
2017-06-30,21:00:00,25.354,25.354,25.354,25.354,264,0
2017-06-30,22:00:00,25.368,25.369,25.34,25.34,2858,0
2017-07-03,16:00:00,25.26,25.34,25.26,25.31,718,0
