Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,23.83,23.872,23.526,23.658,44068,0
2017-09-05,17:00:00,23.746,23.766,23.622,23.675,19043,0
2017-09-05,18:00:00,23.655,23.692,23.6,23.675,11277,0
2017-09-05,19:00:00,23.655,23.655,23.508,23.516,11477,0
2017-09-05,20:00:00,23.583,23.614,23.481,23.498,17866,0
2017-09-05,21:00:00,23.498,23.498,23.361,23.463,9857,0
2017-09-05,22:00:00,23.467,23.498,23.434,23.481,10313,0
2017-09-06,16:00:00,23.564,23.627,23.509,23.564,10554,0
2017-09-06,17:00:00,23.574,23.641,23.532,23.574,19626,0
2017-09-06,18:00:00,23.635,23.645,23.528,23.645,12498,0
2017-09-06,19:00:00,23.645,23.683,23.599,23.619,1340,0
2017-09-06,20:00:00,23.692,23.692,23.665,23.681,1940,0
2017-09-06,21:00:00,23.675,23.686,23.388,23.404,19817,0
2017-09-06,22:00:00,23.388,23.495,23.38,23.488,4052,0
2017-09-07,16:00:00,23.489,23.549,23.489,23.501,1234,0
2017-09-07,17:00:00,23.514,23.591,23.508,23.535,17902,0
2017-09-07,18:00:00,23.554,23.583,23.544,23.544,9656,0
2017-09-07,19:00:00,23.544,23.554,23.509,23.526,12483,0
2017-09-07,20:00:00,23.526,23.554,23.515,23.554,2448,0
2017-09-07,21:00:00,23.516,23.554,23.516,23.544,4671,0
2017-09-07,22:00:00,23.573,23.573,23.508,23.564,8887,0
2017-09-08,16:00:00,23.473,23.615,23.473,23.527,979,0
2017-09-08,17:00:00,23.576,23.576,23.564,23.564,681,0
2017-09-08,18:00:00,23.564,23.627,23.482,23.574,15620,0
2017-09-08,19:00:00,23.574,23.6,23.544,23.544,3052,0
2017-09-08,20:00:00,23.59,23.6,23.544,23.586,5965,0
2017-09-08,21:00:00,23.591,23.6,23.554,23.6,10577,0
2017-09-08,22:00:00,23.6,23.619,23.516,23.609,5838,0
2017-09-11,16:00:00,23.655,23.655,23.603,23.603,489,0
2017-09-11,17:00:00,23.646,23.646,23.588,23.599,10659,0
2017-09-11,18:00:00,23.596,23.635,23.585,23.619,7608,0
2017-09-11,19:00:00,23.619,23.627,23.463,23.597,16755,0
2017-09-11,20:00:00,23.603,23.603,23.574,23.591,9601,0
2017-09-11,21:00:00,23.591,23.609,23.587,23.6,8620,0
2017-09-11,22:00:00,23.6,23.645,23.6,23.627,4701,0
2017-09-12,16:00:00,23.721,23.721,23.627,23.675,2522,0
2017-09-12,17:00:00,23.683,23.728,23.659,23.711,17305,0
