Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,12.17,12.225,12.05,12.18,88698,0
2017-09-06,17:00:00,12.18,12.2,12.05,12.09,239951,0
2017-09-06,18:00:00,12.09,12.1,12.04,12.08,67254,0
2017-09-06,19:00:00,12.07,12.08,12,12.02,40776,0
2017-09-06,20:00:00,12.025,12.095,12.025,12.07,66769,0
2017-09-06,21:00:00,12.07,12.085,12.04,12.05,66511,0
2017-09-06,22:00:00,12.045,12.15,12.04,12.08,364907,0
2017-09-07,16:00:00,12.07,12.2,12.04,12.065,68394,0
2017-09-07,17:00:00,12.06,12.13,12.01,12.105,292639,0
2017-09-07,18:00:00,12.1,12.12,12,12.03,107312,0
2017-09-07,19:00:00,12.03,12.11,12.01,12.105,51132,0
2017-09-07,20:00:00,12.1,12.11,12.065,12.1,229066,0
2017-09-07,21:00:00,12.1,12.19,12.095,12.18,89256,0
2017-09-07,22:00:00,12.18,12.23,12.15,12.16,251177,0
2017-09-08,16:00:00,12.13,12.21,12.08,12.16,98728,0
2017-09-08,17:00:00,12.155,12.195,12.03,12.045,136241,0
2017-09-08,18:00:00,12.05,12.1,12.03,12.03,59830,0
2017-09-08,19:00:00,12.0201,12.05,11.9925,12.01,41771,0
2017-09-08,20:00:00,12,12.01,11.94,11.99,54365,0
2017-09-08,21:00:00,11.99,12.115,11.98,12.1,68130,0
2017-09-08,22:00:00,12.09,12.17,12.08,12.11,653029,0
2017-09-11,16:00:00,12.17,12.54,12.17,12.38,151312,0
2017-09-11,17:00:00,12.38,12.54,12.36,12.51,94501,0
2017-09-11,18:00:00,12.51,12.55,12.47,12.5034,114287,0
2017-09-11,19:00:00,12.51,12.58,12.51,12.575,37005,0
2017-09-11,20:00:00,12.57,12.625,12.56,12.61,104676,0
2017-09-11,21:00:00,12.605,12.62,12.59,12.595,97797,0
2017-09-11,22:00:00,12.595,12.65,12.58,12.59,485967,0
2017-09-12,16:00:00,12.57,12.8,12.535,12.7,75228,0
2017-09-12,17:00:00,12.695,12.82,12.49,12.495,221532,0
2017-09-12,18:00:00,12.49,12.635,12.46,12.62,122162,0
2017-09-12,19:00:00,12.62,12.72,12.615,12.72,68503,0
2017-09-12,20:00:00,12.71,12.725,12.67,12.67,77256,0
2017-09-12,21:00:00,12.67,12.69,12.59,12.6,93459,0
2017-09-12,22:00:00,12.6,12.6,12.475,12.51,564428,0
2017-09-13,16:00:00,12.54,12.8,12.54,12.8,74300,0
2017-09-13,17:00:00,12.8,12.83,12.675,12.695,95914,0
2017-09-13,18:00:00,12.7,12.76,12.67,12.75,107620,0
2017-09-13,19:00:00,12.75,12.75,12.67,12.68,62893,0
2017-09-13,20:00:00,12.679,12.72,12.66,12.72,62294,0
2017-09-13,21:00:00,12.71,12.79,12.65,12.77,152598,0
2017-09-13,22:00:00,12.76,12.77,12.7,12.75,668763,0
2017-09-14,16:00:00,12.78,13.06,12.78,13.06,97868,0
2017-09-14,17:00:00,13.08,13.18,12.945,13.05,119668,0
2017-09-14,18:00:00,13.06,13.061,12.91,13.01,237071,0
2017-09-14,19:00:00,13.02,13.07,13.01,13.01,93208,0
2017-09-14,20:00:00,13,13.03,12.975,13.01,89203,0
2017-09-14,21:00:00,13.0072,13.04,12.985,13.02,217279,0
2017-09-14,22:00:00,13.01,13.04,12.985,13.03,382524,0
2017-09-15,16:00:00,13.03,13.03,12.76,12.76,289208,0
2017-09-15,17:00:00,12.75,12.86,12.66,12.74,162975,0
2017-09-15,18:00:00,12.73,12.77,12.63,12.635,117854,0
2017-09-15,19:00:00,12.63,12.69,12.61,12.62,86039,0
2017-09-15,20:00:00,12.62,12.63,12.585,12.61,72014,0
2017-09-15,21:00:00,12.6153,12.64,12.6,12.63,105626,0
2017-09-15,22:00:00,12.6245,12.64,12.6,12.62,493834,0
2017-09-18,16:00:00,12.61,12.84,12.605,12.73,49903,0
