Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,1.1,1.13,1.09,1.13,737126,0
2017-09-06,17:00:00,1.125,1.13,1.1,1.11,1534379,0
2017-09-06,18:00:00,1.1099,1.11,1.1,1.105,286143,0
2017-09-06,19:00:00,1.105,1.11,1.1,1.1,190978,0
2017-09-06,20:00:00,1.105,1.11,1.1,1.11,172404,0
2017-09-06,21:00:00,1.105,1.11,1.1,1.105,238837,0
2017-09-06,22:00:00,1.105,1.11,1.09,1.1,2284492,0
2017-09-07,16:00:00,1.1,1.13,1.08,1.0961,458076,0
2017-09-07,17:00:00,1.09,1.1,1.09,1.1,296766,0
2017-09-07,18:00:00,1.095,1.1,1.08,1.095,560069,0
2017-09-07,19:00:00,1.1,1.11,1.095,1.105,646698,0
2017-09-07,20:00:00,1.1,1.13,1.1,1.125,1103893,0
2017-09-07,21:00:00,1.125,1.14,1.12,1.14,766550,0
2017-09-07,22:00:00,1.14,1.16,1.13,1.15,1653548,0
2017-09-08,16:00:00,1.13,1.15,1.1,1.11,675954,0
2017-09-08,17:00:00,1.11,1.13,1.09,1.095,832248,0
2017-09-08,18:00:00,1.095,1.11,1.09,1.099,633248,0
2017-09-08,19:00:00,1.09,1.1,1.08,1.085,528247,0
2017-09-08,20:00:00,1.08,1.09,1.06,1.065,821554,0
2017-09-08,21:00:00,1.065,1.085,1.06,1.085,534749,0
2017-09-08,22:00:00,1.0845,1.09,1.08,1.09,1097744,0
2017-09-11,16:00:00,1.08,1.09,1.05,1.075,598714,0
2017-09-11,17:00:00,1.075,1.09,1.07,1.085,272160,0
2017-09-11,18:00:00,1.084,1.1,1.08,1.0804,508847,0
2017-09-11,19:00:00,1.08,1.09,1.06,1.06,4384354,0
2017-09-11,20:00:00,1.06,1.07,1.05,1.06,977750,0
2017-09-11,21:00:00,1.0601,1.0699,1.05,1.05,617101,0
2017-09-11,22:00:00,1.05,1.06,1.05,1.06,563735,0
2017-09-12,16:00:00,1.08,1.08,1.04,1.06,270219,0
2017-09-12,17:00:00,1.06,1.08,1.06,1.065,1030271,0
2017-09-12,18:00:00,1.065,1.1,1.06,1.09,1022167,0
2017-09-12,19:00:00,1.09,1.1,1.08,1.08,1005235,0
2017-09-12,20:00:00,1.085,1.1,1.08,1.08,1117108,0
2017-09-12,21:00:00,1.08,1.09,1.07,1.08,897946,0
2017-09-12,22:00:00,1.075,1.08,1.06,1.08,1532034,0
2017-09-13,16:00:00,1.08,1.11,1.08,1.1,726250,0
2017-09-13,17:00:00,1.095,1.1,1.08,1.085,601386,0
2017-09-13,18:00:00,1.085,1.12,1.08,1.115,1248594,0
2017-09-13,19:00:00,1.115,1.12,1.1,1.105,492957,0
2017-09-13,20:00:00,1.11,1.13,1.1,1.125,1470142,0
2017-09-13,21:00:00,1.125,1.13,1.12,1.125,391557,0
2017-09-13,22:00:00,1.12,1.13,1.12,1.13,1471789,0
2017-09-14,16:00:00,1.14,1.24,1.14,1.2375,2084675,0
2017-09-14,17:00:00,1.239,1.29,1.23,1.265,2586456,0
2017-09-14,18:00:00,1.265,1.265,1.22,1.225,1673007,0
2017-09-14,19:00:00,1.225,1.23,1.21,1.22,684704,0
