Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,15.493,15.523,15.465,15.483,8254,0
2017-09-05,17:00:00,15.54,15.54,15.467,15.467,18818,0
2017-09-05,18:00:00,15.456,15.474,15.427,15.427,4552,0
2017-09-05,19:00:00,15.427,15.427,15.399,15.402,6389,0
2017-09-05,20:00:00,15.399,15.453,15.399,15.449,19880,0
2017-09-05,21:00:00,15.471,15.474,15.456,15.457,6653,0
2017-09-05,22:00:00,15.474,15.493,15.465,15.465,7985,0
2017-09-06,16:00:00,15.456,15.526,15.456,15.518,5413,0
2017-09-06,17:00:00,15.502,15.546,15.502,15.512,10150,0
2017-09-06,18:00:00,15.52,15.567,15.511,15.511,7680,0
2017-09-06,19:00:00,15.53,15.53,15.503,15.508,1783,0
2017-09-06,20:00:00,15.518,15.529,15.474,15.478,10205,0
2017-09-06,21:00:00,15.474,15.474,15.394,15.409,17673,0
2017-09-06,22:00:00,15.464,15.52,15.448,15.456,19026,0
2017-09-07,16:00:00,15.53,15.558,15.493,15.558,15287,0
2017-09-07,17:00:00,15.558,15.634,15.52,15.634,24037,0
2017-09-07,18:00:00,15.634,15.642,15.587,15.587,18489,0
2017-09-07,19:00:00,15.596,15.621,15.587,15.596,25167,0
2017-09-07,20:00:00,15.587,15.596,15.567,15.577,6097,0
2017-09-07,21:00:00,15.577,15.577,15.568,15.577,3845,0
2017-09-07,22:00:00,15.577,15.614,15.577,15.604,14365,0
2017-09-08,16:00:00,15.614,15.614,15.571,15.614,7959,0
2017-09-08,17:00:00,15.614,15.634,15.614,15.614,2922,0
2017-09-08,18:00:00,15.617,15.617,15.601,15.609,6109,0
2017-09-08,19:00:00,15.604,15.608,15.596,15.599,7359,0
2017-09-08,20:00:00,15.599,15.604,15.587,15.6,5013,0
2017-09-08,21:00:00,15.587,15.587,15.54,15.54,2877,0
2017-09-08,22:00:00,15.53,15.577,15.52,15.577,8938,0
2017-09-11,16:00:00,15.614,15.634,15.594,15.617,3943,0
2017-09-11,17:00:00,15.62,15.651,15.596,15.624,23085,0
2017-09-11,18:00:00,15.641,15.661,15.614,15.642,8780,0
2017-09-11,19:00:00,15.642,15.661,15.634,15.652,10428,0
2017-09-11,20:00:00,15.655,15.655,15.596,15.647,13959,0
2017-09-11,21:00:00,15.636,15.648,15.614,15.614,7293,0
2017-09-11,22:00:00,15.633,15.651,15.614,15.634,9228,0
2017-09-12,16:00:00,15.624,15.642,15.604,15.634,16781,0
2017-09-12,17:00:00,15.634,15.653,15.604,15.651,14322,0
2017-09-12,18:00:00,15.627,15.651,15.614,15.624,10167,0
2017-09-12,19:00:00,15.622,15.633,15.604,15.61,17403,0
2017-09-12,20:00:00,15.61,15.624,15.596,15.596,3317,0
2017-09-12,21:00:00,15.596,15.614,15.567,15.614,10414,0
2017-09-12,22:00:00,15.587,15.614,15.567,15.577,7560,0
2017-09-13,16:00:00,15.55,15.614,15.55,15.589,9145,0
2017-09-13,17:00:00,15.6,15.661,15.596,15.601,24457,0
2017-09-13,18:00:00,15.614,15.614,15.577,15.587,26985,0
2017-09-13,19:00:00,15.58,15.587,15.577,15.584,5946,0
2017-09-13,20:00:00,15.587,15.596,15.577,15.587,9074,0
2017-09-13,21:00:00,15.587,15.614,15.578,15.598,16382,0
2017-09-13,22:00:00,15.614,15.619,15.577,15.577,25831,0
2017-09-14,16:00:00,15.663,15.663,15.519,15.591,13201,0
2017-09-14,17:00:00,15.605,15.635,15.567,15.585,19764,0
2017-09-14,18:00:00,15.579,15.615,15.577,15.615,8662,0
2017-09-14,19:00:00,15.597,15.609,15.54,15.54,9150,0
2017-09-14,20:00:00,15.577,15.587,15.549,15.558,3345,0
2017-09-14,21:00:00,15.558,15.587,15.558,15.584,8476,0
2017-09-14,22:00:00,15.587,15.625,15.577,15.615,7658,0
2017-09-15,16:00:00,15.567,15.622,15.549,15.589,6620,0
2017-09-15,17:00:00,15.627,15.627,15.558,15.587,7278,0
2017-09-15,18:00:00,15.593,15.605,15.587,15.605,7852,0
2017-09-15,19:00:00,15.594,15.596,15.567,15.568,6279,0
2017-09-15,20:00:00,15.574,15.596,15.567,15.577,12744,0
2017-09-15,21:00:00,15.577,15.577,15.529,15.55,30904,0
2017-09-15,22:00:00,15.567,15.567,15.519,15.549,4974,0
2017-09-18,16:00:00,15.529,15.539,15.433,15.433,38365,0
2017-09-18,17:00:00,15.44,15.512,15.44,15.472,13102,0
2017-09-18,18:00:00,15.424,15.432,15.348,15.395,8416,0
2017-09-18,19:00:00,15.381,15.386,15.348,15.363,21942,0
2017-09-18,20:00:00,15.386,15.472,15.376,15.443,30644,0
2017-09-18,21:00:00,15.453,15.453,15.405,15.435,7365,0
2017-09-18,22:00:00,15.424,15.433,15.386,15.433,15259,0
2017-09-19,16:00:00,15.501,15.519,15.415,15.472,8362,0
2017-09-19,17:00:00,15.453,15.463,15.437,15.453,6857,0
2017-09-19,18:00:00,15.453,15.463,15.424,15.463,10998,0
2017-09-19,19:00:00,15.472,15.491,15.472,15.491,5299,0
2017-09-19,20:00:00,15.491,15.501,15.481,15.486,7440,0
2017-09-19,21:00:00,15.472,15.491,15.472,15.482,14793,0
2017-09-19,22:00:00,15.481,15.51,15.472,15.501,19619,0
2017-09-20,16:00:00,15.453,15.519,15.453,15.484,3562,0
2017-09-20,17:00:00,15.474,15.51,15.472,15.488,6412,0
2017-09-20,18:00:00,15.477,15.491,15.463,15.491,4082,0
2017-09-20,19:00:00,15.491,15.491,15.472,15.475,2073,0
2017-09-20,20:00:00,15.478,15.481,15.463,15.472,2649,0
2017-09-20,21:00:00,15.453,15.453,15.386,15.424,22256,0
2017-09-20,22:00:00,15.463,15.472,15.421,15.463,10597,0
2017-09-21,16:00:00,15.519,15.519,15.507,15.518,2880,0
2017-09-21,17:00:00,15.481,15.491,15.424,15.453,13323,0
2017-09-21,18:00:00,15.437,15.437,15.424,15.424,3631,0
2017-09-21,19:00:00,15.419,15.442,15.415,15.424,5125,0
2017-09-21,20:00:00,15.442,15.443,15.415,15.424,8886,0
2017-09-21,21:00:00,15.415,15.443,15.415,15.415,5042,0
2017-09-21,22:00:00,15.433,15.433,15.329,15.395,30782,0
