Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-04-20,16:00:00,50.5,50.876,50.5,50.876,1167,0
2017-04-20,18:00:00,50.688,50.688,50.668,50.688,318,0
2017-04-20,19:00:00,50.754,50.764,50.754,50.764,849,0
2017-04-20,20:00:00,50.774,50.83,50.754,50.754,743,0
2017-04-20,21:00:00,50.632,50.632,50.632,50.632,106,0
2017-04-20,22:00:00,50.586,50.632,50.424,50.424,53494,0
2017-04-21,16:00:00,51.018,51.055,50.454,51.018,955,0
2017-04-21,17:00:00,50.576,50.886,50.566,50.886,1591,0
2017-04-21,18:00:00,50.754,50.932,50.754,50.932,425,0
2017-04-21,19:00:00,50.576,51.008,50.576,51.008,318,0
2017-04-21,22:00:00,50.866,50.952,50.698,50.698,6784,0
2017-04-24,16:00:00,50.881,51.008,50.708,50.708,2150,0
2017-04-24,17:00:00,50.971,50.971,50.783,50.783,425,0
2017-04-24,18:00:00,51.008,51.008,51.008,51.008,158,0
2017-04-24,19:00:00,50.734,50.734,50.734,50.734,106,0
2017-04-24,20:00:00,50.678,50.849,50.678,50.849,637,0
2017-04-24,21:00:00,50.678,50.678,50.52,50.52,318,0
2017-04-24,22:00:00,50.857,50.857,50.706,50.83,1778,0
2017-04-25,16:00:00,51.018,51.018,51.018,51.018,212,0
2017-04-25,17:00:00,51.188,51.188,51.188,51.188,106,0
2017-04-25,21:00:00,50.81,50.81,50.81,50.81,292,0
2017-04-25,22:00:00,50.87,50.952,50.642,50.952,983,0
2017-04-26,16:00:00,50.717,50.717,50.717,50.717,106,0
2017-04-26,17:00:00,50.915,50.915,50.744,50.744,366,0
2017-04-26,21:00:00,50.764,50.764,50.754,50.754,212,0
2017-04-26,22:00:00,50.981,50.981,50.688,50.698,1027,0
2017-04-27,16:00:00,50.414,51.064,50.414,51.037,637,0
2017-04-27,19:00:00,51.083,51.088,50.906,51.088,1592,0
2017-04-27,20:00:00,51.066,51.159,51.066,51.159,1167,0
2017-04-27,21:00:00,51.15,51.159,51.15,51.159,212,0
2017-04-27,22:00:00,51.14,51.15,51.14,51.14,394,0
2017-04-28,17:00:00,50.8,51.064,50.8,51.064,318,0
2017-04-28,19:00:00,50.82,51.047,50.82,50.857,318,0
2017-04-28,22:00:00,50.754,50.981,50.754,50.774,1275,0
2017-05-01,16:00:00,51.159,51.159,50.783,50.783,689,0
2017-05-01,17:00:00,50.818,50.83,50.528,50.83,1668,0
2017-05-01,20:00:00,50.499,50.499,50.49,50.49,1104,0
2017-05-01,22:00:00,50.84,50.84,50.84,50.84,192,0
2017-05-02,17:00:00,51.122,51.122,51.122,51.122,106,0
2017-05-02,18:00:00,50.962,50.962,50.962,50.962,106,0
2017-05-02,19:00:00,50.642,50.642,50.642,50.642,318,0
2017-05-02,21:00:00,50.915,50.915,50.536,50.536,7976,0
2017-05-02,22:00:00,50.81,50.81,50.805,50.805,258,0
2017-05-03,16:00:00,50.292,50.292,50.292,50.292,106,0
2017-05-03,17:00:00,50.688,50.83,50.626,50.83,849,0
2017-05-03,19:00:00,50.83,50.83,50.83,50.83,187,0
2017-05-03,20:00:00,50.483,50.483,50.483,50.483,637,0
2017-05-03,22:00:00,50.292,50.292,50.292,50.292,106,0
2017-05-04,16:00:00,50.302,50.302,50.302,50.302,106,0
2017-05-04,17:00:00,50.454,50.754,50.454,50.754,1167,0
2017-05-04,19:00:00,50.348,50.348,50.348,50.348,212,0
2017-05-04,20:00:00,50.348,50.49,50.348,50.49,3773,0
2017-05-04,22:00:00,50.48,51.008,50.463,51.008,3748,0
2017-05-05,17:00:00,51.14,51.14,50.979,50.979,425,0
2017-05-05,18:00:00,50.981,50.981,50.659,50.678,2759,0
2017-05-05,22:00:00,51.028,51.028,50.698,50.698,743,0
2017-05-08,16:00:00,50.52,50.52,50.52,50.52,106,0
2017-05-08,18:00:00,50.612,50.612,50.546,50.602,2122,0
2017-05-08,21:00:00,50.546,50.632,50.52,50.622,1307,0
2017-05-08,22:00:00,50.528,50.528,50.528,50.528,212,0
2017-05-09,16:00:00,50.18,50.515,50.18,50.515,212,0
2017-05-09,17:00:00,50.528,50.622,50.444,50.593,1274,0
2017-05-09,20:00:00,50.5,50.5,50.5,50.5,4459,0
2017-05-09,22:00:00,50.424,50.424,50.321,50.331,637,0
2017-05-10,18:00:00,50.47,50.47,50.47,50.47,425,0
2017-05-10,22:00:00,50.576,50.734,50.576,50.734,26959,0
2017-05-11,16:00:00,50.876,50.876,50.876,50.876,106,0
2017-05-11,18:00:00,50.437,50.437,50.437,50.437,318,0
2017-05-11,20:00:00,50.402,50.402,50.402,50.402,530,0
2017-05-11,22:00:00,50.434,50.5,50.434,50.5,212,0
2017-05-12,17:00:00,50.602,50.915,50.602,50.915,212,0
2017-05-12,20:00:00,50.857,50.857,50.857,50.857,318,0
2017-05-12,22:00:00,50.84,50.849,50.81,50.81,425,0
2017-05-15,17:00:00,50.744,50.744,50.744,50.744,106,0
2017-05-15,18:00:00,50.81,50.81,50.81,50.81,2308,0
2017-05-15,19:00:00,50.998,51.008,50.998,51.008,1274,0
2017-05-15,21:00:00,51.064,51.064,51.046,51.046,1195,0
2017-05-15,22:00:00,51.008,51.008,50.83,50.83,318,0
2017-05-16,17:00:00,51.103,51.103,51.103,51.103,106,0
2017-05-16,18:00:00,51.047,51.047,51.008,51.018,1826,0
2017-05-16,19:00:00,50.988,51.14,50.988,51.14,425,0
2017-05-16,20:00:00,50.915,50.923,50.876,50.876,4459,0
2017-05-16,21:00:00,50.876,50.876,50.876,50.876,1274,0
2017-05-16,22:00:00,50.717,50.717,50.717,50.717,156,0
2017-05-17,22:00:00,50.923,50.923,50.876,50.876,539,0
2017-05-18,16:00:00,51.159,51.159,50.876,50.876,393,0
2017-05-18,19:00:00,50.98,50.981,50.98,50.98,955,0
2017-05-18,22:00:00,51.31,51.31,51.206,51.206,233,0
2017-05-19,17:00:00,51.074,51.074,51.074,51.074,318,0
2017-05-19,18:00:00,51.196,51.196,51.196,51.196,318,0
2017-05-19,19:00:00,51.159,51.159,51.14,51.14,530,0
2017-05-19,22:00:00,50.942,50.962,50.942,50.962,812,0
2017-05-22,16:00:00,50.962,50.962,50.962,50.962,153,0
2017-05-22,18:00:00,51.32,51.32,51.254,51.262,955,0
2017-05-22,22:00:00,51.282,51.282,51.282,51.282,106,0
2017-05-23,16:00:00,51.254,51.254,51.254,51.254,743,0
2017-05-23,17:00:00,51.508,51.508,51.479,51.508,3069,0
2017-05-23,22:00:00,51.367,51.367,50.942,51.328,404,0
2017-05-24,18:00:00,51.491,51.491,51.491,51.491,743,0
2017-05-24,21:00:00,51.288,51.799,51.288,51.799,361,0
2017-05-24,22:00:00,51.706,51.706,51.443,51.443,494,0
2017-05-25,17:00:00,51.772,51.772,51.772,51.772,318,0
2017-05-25,21:00:00,51.772,51.819,51.743,51.743,1555,0
2017-05-25,22:00:00,51.852,52.403,51.592,52.243,165783,0
2017-05-26,16:00:00,52.243,52.271,52.243,52.271,999,0
2017-05-26,18:00:00,51.706,52.205,51.706,52.205,7989,0
2017-05-26,19:00:00,52.215,52.281,52.215,52.281,2122,0
2017-05-26,20:00:00,52.271,52.309,52.252,52.29,2122,0
2017-05-26,21:00:00,52.29,54.183,52.29,52.384,2017,0
2017-05-26,22:00:00,52.384,52.403,52.318,52.403,2547,0
2017-05-30,17:00:00,52.12,52.12,51.97,52.073,1863,0
2017-05-30,18:00:00,52.063,52.073,52.063,52.073,1268,0
2017-05-30,19:00:00,51.951,52.243,51.951,52.243,318,0
2017-05-30,20:00:00,51.96,51.96,51.96,51.96,212,0
2017-05-30,21:00:00,51.96,52.243,51.96,52.233,1226,0
2017-05-30,22:00:00,51.951,52.233,51.433,51.433,637,0
2017-05-31,16:00:00,53.233,53.233,52.29,52.29,216,0
2017-05-31,17:00:00,52.017,52.592,52.017,52.309,1189,0
2017-05-31,20:00:00,52.309,54.956,52.23,52.507,7283,0
2017-05-31,21:00:00,52.507,52.507,52.507,52.507,212,0
2017-05-31,22:00:00,52.195,52.384,51.65,51.65,13164,0
2017-06-01,16:00:00,52.46,53.467,52.46,53.467,1167,0
2017-06-01,17:00:00,53.656,54.165,52.535,52.535,4728,0
2017-06-01,18:00:00,52.516,53.59,52.45,52.45,7005,0
2017-06-01,19:00:00,52.526,52.526,52.431,52.478,3303,0
2017-06-01,20:00:00,52.421,52.469,52.412,52.469,5557,0
2017-06-01,21:00:00,52.384,52.431,52.149,52.431,3733,0
2017-06-01,22:00:00,52.469,52.592,52.468,52.563,1059,0
2017-06-02,16:00:00,52.959,52.959,52.959,52.959,743,0
2017-06-02,18:00:00,52.761,52.761,52.761,52.761,637,0
2017-06-02,20:00:00,52.624,52.695,52.478,52.695,25050,0
2017-06-02,21:00:00,52.667,52.883,52.534,52.761,31214,0
2017-06-02,22:00:00,52.526,52.658,52.526,52.658,212,0
2017-06-05,17:00:00,52.761,52.761,52.761,52.761,106,0
2017-06-05,18:00:00,52.761,52.761,52.761,52.761,158,0
2017-06-05,21:00:00,52.054,52.054,52.054,52.054,318,0
2017-06-06,16:00:00,52.421,52.421,52.421,52.421,138,0
2017-06-06,17:00:00,52.253,52.253,52.253,52.253,138,0
2017-06-06,18:00:00,52.573,52.573,52.573,52.573,637,0
2017-06-06,19:00:00,52.535,52.535,52.429,52.429,1286,0
2017-06-06,22:00:00,52.487,52.526,52.478,52.526,637,0
2017-06-07,17:00:00,52.873,53.971,52.78,52.969,5699,0
2017-06-07,18:00:00,52.903,54.249,52.751,53.449,19656,0
2017-06-07,19:00:00,53.289,54.146,52.761,52.761,20702,0
2017-06-07,20:00:00,52.856,52.883,52.856,52.883,2040,0
2017-06-07,21:00:00,52.657,53.119,52.657,53.119,519,0
2017-06-07,22:00:00,52.879,52.883,52.879,52.883,637,0
2017-06-08,17:00:00,52.083,52.158,52.083,52.158,212,0
2017-06-08,18:00:00,52.205,52.205,52.12,52.12,318,0
2017-06-08,20:00:00,52.573,52.573,52.573,52.573,425,0
2017-06-08,21:00:00,52.516,52.543,52.45,52.526,9443,0
2017-06-08,22:00:00,52.526,52.675,52.478,52.675,1051,0
2017-06-09,18:00:00,52.526,52.526,52.526,52.526,212,0
2017-06-09,22:00:00,52.384,52.384,52.29,52.29,1254,0
2017-06-12,17:00:00,52.294,52.294,52.294,52.294,212,0
2017-06-12,18:00:00,52.526,52.78,52.507,52.78,8519,0
2017-06-12,19:00:00,52.526,52.695,52.526,52.695,2229,0
2017-06-12,20:00:00,52.309,52.318,52.309,52.318,530,0
2017-06-12,22:00:00,52.526,52.573,52.478,52.526,16571,0
2017-06-13,16:00:00,52.346,52.346,52.346,52.346,106,0
2017-06-13,18:00:00,52.365,52.365,52.355,52.355,507,0
2017-06-13,19:00:00,52.431,52.431,52.337,52.337,530,0
2017-06-13,20:00:00,52.431,52.45,52.431,52.431,3927,0
2017-06-13,21:00:00,52.45,52.45,52.35,52.45,3163,0
2017-06-13,22:00:00,52.526,52.807,52.424,52.573,11676,0
2017-06-14,16:00:00,53.002,53.002,52.688,52.688,1203,0
2017-06-14,17:00:00,52.843,53.042,52.843,53.042,628,0
2017-06-14,18:00:00,53.049,53.05,53.049,53.05,313,0
2017-06-14,21:00:00,53.089,53.127,52.783,52.975,837,0
2017-06-14,22:00:00,52.496,54.198,52.496,53.328,4803,0
2017-06-15,16:00:00,52.742,53.557,52.742,53.557,5638,0
2017-06-15,17:00:00,53.347,53.787,52.793,53.777,7854,0
