Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,84.301,85.397,84.081,85.167,67672,0
2017-09-05,17:00:00,85.097,85.112,84.504,84.739,175745,0
2017-09-05,18:00:00,84.739,84.759,84.4,84.599,186012,0
2017-09-05,19:00:00,84.599,84.599,83.931,84.091,140948,0
2017-09-05,20:00:00,84.061,84.321,83.931,84.271,116010,0
2017-09-05,21:00:00,84.291,84.38,83.991,84.061,124030,0
2017-09-05,22:00:00,84.061,84.191,84.021,84.131,390108,0
2017-09-06,16:00:00,84.121,84.609,83.733,83.891,58155,0
2017-09-06,17:00:00,83.862,83.991,83.388,83.473,138695,0
2017-09-06,18:00:00,83.453,83.563,83.324,83.543,94275,0
2017-09-06,19:00:00,83.543,83.563,83.413,83.523,107416,0
2017-09-06,20:00:00,83.533,83.633,83.493,83.593,148312,0
2017-09-06,21:00:00,83.593,84.021,83.473,83.798,191425,0
2017-09-06,22:00:00,83.843,83.931,83.653,83.703,288009,0
2017-09-07,16:00:00,83.951,83.961,83.413,83.638,20491,0
2017-09-07,17:00:00,83.823,83.926,83.215,83.783,437575,0
2017-09-07,18:00:00,83.743,83.783,83.543,83.543,138531,0
2017-09-07,19:00:00,83.508,83.843,83.473,83.64,151661,0
2017-09-07,20:00:00,83.653,83.733,83.573,83.683,54837,0
2017-09-07,21:00:00,83.683,83.698,83.573,83.673,238661,0
2017-09-07,22:00:00,83.693,84.031,83.583,84.021,486508,0
2017-09-08,16:00:00,83.981,84.276,83.314,83.413,255075,0
2017-09-08,17:00:00,83.443,83.623,83.275,83.623,75900,0
2017-09-08,18:00:00,83.593,84.021,83.513,83.951,152766,0
2017-09-08,19:00:00,83.931,84.031,83.713,83.713,63871,0
2017-09-08,20:00:00,83.738,83.951,83.643,83.773,163572,0
2017-09-08,21:00:00,83.773,83.901,83.733,83.763,130063,0
2017-09-08,22:00:00,83.753,83.891,83.603,83.862,539780,0
2017-09-11,16:00:00,84.529,85.067,83.872,84.39,640726,0
2017-09-11,17:00:00,84.39,84.709,84.041,84.221,137604,0
2017-09-11,18:00:00,84.251,84.839,84.191,84.794,137417,0
2017-09-11,19:00:00,84.809,84.978,84.589,84.754,176437,0
2017-09-11,20:00:00,84.759,85.008,84.669,84.918,244808,0
2017-09-11,21:00:00,84.928,85.546,84.888,85.172,320764,0
2017-09-11,22:00:00,85.147,85.237,84.859,84.938,760319,0
2017-09-12,16:00:00,85.257,85.974,85.147,85.367,805860,0
2017-09-12,17:00:00,85.352,85.745,85.267,85.367,243934,0
2017-09-12,18:00:00,85.367,85.974,85.317,85.764,149485,0
2017-09-12,19:00:00,85.765,85.855,85.476,85.526,60246,0
2017-09-12,20:00:00,85.536,85.665,85.476,85.596,75942,0
2017-09-12,21:00:00,85.586,85.695,85.516,85.586,132696,0
2017-09-12,22:00:00,85.586,85.645,85.426,85.596,391572,0
2017-09-13,16:00:00,85.486,85.486,84.739,84.888,64101,0
2017-09-13,17:00:00,84.879,84.898,84.43,84.569,118761,0
2017-09-13,18:00:00,84.569,84.759,84.469,84.599,123222,0
2017-09-13,19:00:00,84.609,84.789,84.589,84.735,110393,0
2017-09-13,20:00:00,84.735,84.988,84.619,84.903,246434,0
2017-09-13,21:00:00,84.883,85.157,84.799,84.881,301157,0
2017-09-13,22:00:00,84.879,85.377,84.809,85.047,983765,0
2017-09-14,16:00:00,84.669,84.848,84.191,84.479,85581,0
2017-09-14,17:00:00,84.479,85.182,84.261,84.943,333582,0
2017-09-14,18:00:00,84.918,85.337,84.779,85.307,135150,0
2017-09-14,19:00:00,85.317,85.456,85.047,85.142,113781,0
2017-09-14,20:00:00,85.097,85.397,84.998,85.397,177902,0
2017-09-14,21:00:00,85.426,85.481,85.217,85.387,213306,0
2017-09-14,22:00:00,85.387,85.506,85.008,85.087,869456,0
2017-09-15,16:00:00,85.466,85.516,85.058,85.177,264580,0
2017-09-15,17:00:00,85.177,85.202,84.888,85.037,194520,0
2017-09-15,18:00:00,85.018,85.162,84.928,85.027,143559,0
2017-09-15,19:00:00,85.027,85.377,84.968,85.197,127235,0
2017-09-15,20:00:00,85.177,85.227,85.018,85.167,80654,0
2017-09-15,21:00:00,85.137,85.167,84.918,84.968,85681,0
2017-09-15,22:00:00,84.973,85.027,84.649,84.759,1084553,0
2017-09-18,16:00:00,84.769,84.769,84.509,84.669,81604,0
2017-09-18,17:00:00,84.669,84.719,84.449,84.499,184301,0
2017-09-18,18:00:00,84.499,85.077,84.499,85.037,184434,0
2017-09-18,19:00:00,85.042,85.057,84.819,84.879,90025,0
2017-09-18,20:00:00,84.869,84.879,84.739,84.821,85824,0
2017-09-18,21:00:00,84.829,84.839,84.42,84.509,149345,0
2017-09-18,22:00:00,84.499,84.539,84.449,84.539,348234,0
2017-09-19,16:00:00,84.589,84.739,84.361,84.469,34928,0
2017-09-19,17:00:00,84.435,84.739,84.41,84.584,114563,0
2017-09-19,18:00:00,84.559,84.599,84.39,84.42,49788,0
2017-09-19,19:00:00,84.41,84.489,84.38,84.42,53876,0
2017-09-19,20:00:00,84.42,84.519,84.401,84.44,125244,0
2017-09-19,21:00:00,84.449,84.519,84.351,84.459,44191,0
2017-09-19,22:00:00,84.459,84.505,84.4,84.459,275501,0
2017-09-20,16:00:00,84.449,84.689,84.051,84.351,37454,0
2017-09-20,17:00:00,84.38,84.43,84.201,84.221,131776,0
2017-09-20,18:00:00,84.251,84.998,84.201,84.784,182155,0
2017-09-20,19:00:00,84.784,84.829,84.689,84.709,104577,0
2017-09-20,20:00:00,84.699,84.709,84.251,84.385,106679,0
2017-09-20,21:00:00,84.361,84.41,83.951,84.316,165519,0
2017-09-20,22:00:00,84.316,84.629,84.301,84.579,330000,0
2017-09-21,16:00:00,84.211,84.469,84.021,84.291,45681,0
2017-09-21,17:00:00,84.37,85.077,84.281,84.789,315848,0
2017-09-21,18:00:00,84.819,84.998,84.699,84.978,136705,0
2017-09-21,19:00:00,84.963,84.963,84.609,84.789,108619,0
2017-09-21,20:00:00,84.789,84.898,84.709,84.789,98392,0
2017-09-21,21:00:00,84.789,84.849,84.649,84.659,106127,0
2017-09-21,22:00:00,84.669,84.736,84.509,84.529,365639,0
2017-09-22,16:00:00,84.111,85.297,83.941,84.799,963093,0
2017-09-22,17:00:00,84.859,85.675,84.859,84.927,348645,0
2017-09-22,18:00:00,84.869,85.087,84.839,84.948,112929,0
2017-09-22,19:00:00,84.938,85.217,84.908,85.107,562469,0
2017-09-22,20:00:00,85.087,85.147,84.988,85.137,90479,0
2017-09-22,21:00:00,85.117,85.227,85.018,85.027,195244,0
2017-09-22,22:00:00,85.023,85.411,85.013,85.197,453413,0
2017-09-25,16:00:00,85.018,85.267,84.071,84.191,61388,0
2017-09-25,17:00:00,84.191,84.709,83.921,83.971,157975,0
2017-09-25,18:00:00,83.961,84.351,83.733,83.881,87996,0
2017-09-25,19:00:00,83.891,84.011,83.493,83.991,103661,0
2017-09-25,20:00:00,83.971,84.141,83.951,84.001,81389,0
2017-09-25,21:00:00,83.991,84.221,83.961,84.221,121332,0
2017-09-25,22:00:00,84.181,84.336,84.101,84.261,387898,0
2017-09-26,16:00:00,84.151,84.211,83.951,84.011,51263,0
2017-09-26,17:00:00,84.011,84.191,83.798,83.803,55819,0
2017-09-26,18:00:00,83.803,83.971,83.563,83.843,92134,0
2017-09-26,19:00:00,83.843,84.041,83.773,83.911,51824,0
2017-09-26,20:00:00,83.931,84.231,83.931,84.141,61050,0
2017-09-26,21:00:00,84.146,84.181,83.941,84.031,80196,0
2017-09-26,22:00:00,84.011,84.101,83.683,83.713,311765,0
2017-09-27,16:00:00,84.291,84.559,84.041,84.291,51050,0
2017-09-27,17:00:00,84.314,84.331,83.852,83.991,57385,0
2017-09-27,18:00:00,83.951,84.489,83.951,84.4,238055,0
2017-09-27,19:00:00,84.351,84.42,84.041,84.131,53971,0
2017-09-27,20:00:00,84.131,84.469,84.131,84.469,62449,0
2017-09-27,21:00:00,84.458,84.763,84.44,84.529,96103,0
2017-09-27,22:00:00,84.519,84.609,84.291,84.311,347462,0
2017-09-28,16:00:00,83.941,84.141,83.623,83.881,78762,0
2017-09-28,17:00:00,83.872,84.261,83.663,84.087,73423,0
2017-09-28,18:00:00,84.111,84.231,83.931,84.211,78915,0
2017-09-28,19:00:00,84.221,84.341,84.201,84.271,43844,0
2017-09-28,20:00:00,84.291,84.539,84.251,84.539,49334,0
2017-09-28,21:00:00,84.529,84.659,84.509,84.519,90317,0
2017-09-28,22:00:00,84.519,84.629,84.41,84.479,313353,0
2017-09-29,16:00:00,84.211,85.018,84.101,84.888,79872,0
2017-09-29,17:00:00,84.908,84.908,84.619,84.851,71886,0
2017-09-29,18:00:00,84.859,85.357,84.819,85.337,101398,0
2017-09-29,19:00:00,85.327,85.715,85.317,85.605,206035,0
2017-09-29,20:00:00,85.615,85.655,85.297,85.451,115058,0
2017-09-29,21:00:00,85.456,85.625,85.446,85.566,125307,0
2017-09-29,22:00:00,85.576,85.715,85.486,85.566,545948,0
2017-10-02,16:00:00,85.566,86.432,85.486,86.238,146699,0
2017-10-02,17:00:00,86.233,86.283,85.337,85.426,208938,0
2017-10-02,18:00:00,85.441,85.546,84.729,84.958,155642,0
2017-10-02,19:00:00,84.948,85.337,84.779,85.307,112523,0
2017-10-02,20:00:00,85.317,85.322,84.968,84.968,88178,0
2017-10-02,21:00:00,84.978,85.107,84.809,85.047,105630,0
2017-10-02,22:00:00,85.027,85.167,84.869,85.037,634299,0
2017-10-03,16:00:00,85.057,85.416,84.739,85.167,59260,0
