Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,13.721,13.781,13.668,13.741,57094,0
2017-09-05,17:00:00,13.741,13.741,13.631,13.641,37207,0
2017-09-05,18:00:00,13.631,13.651,13.602,13.622,57885,0
2017-09-05,19:00:00,13.622,13.622,13.502,13.517,72789,0
2017-09-05,20:00:00,13.512,13.522,13.492,13.507,41483,0
2017-09-05,21:00:00,13.502,13.547,13.502,13.532,47575,0
2017-09-05,22:00:00,13.532,13.651,13.522,13.622,260953,0
2017-09-06,16:00:00,13.661,13.661,13.602,13.651,15460,0
2017-09-06,17:00:00,13.671,13.731,13.661,13.671,19425,0
2017-09-06,18:00:00,13.671,13.701,13.651,13.701,19240,0
2017-09-06,19:00:00,13.701,13.801,13.666,13.801,188826,0
2017-09-06,20:00:00,13.801,13.891,13.801,13.821,233316,0
2017-09-06,21:00:00,13.811,13.831,13.786,13.821,120438,0
2017-09-06,22:00:00,13.816,13.871,13.791,13.841,527593,0
2017-09-07,16:00:00,13.831,13.931,13.761,13.761,186010,0
2017-09-07,17:00:00,13.766,13.821,13.746,13.796,58558,0
2017-09-07,18:00:00,13.791,13.821,13.786,13.796,58997,0
2017-09-07,19:00:00,13.796,13.821,13.791,13.816,90559,0
2017-09-07,20:00:00,13.821,13.836,13.781,13.806,131365,0
2017-09-07,21:00:00,13.801,13.841,13.801,13.801,138796,0
2017-09-07,22:00:00,13.801,13.821,13.696,13.711,217027,0
2017-09-08,16:00:00,13.751,13.761,13.602,13.602,32306,0
2017-09-08,17:00:00,13.612,13.701,13.592,13.691,28935,0
2017-09-08,18:00:00,13.686,13.721,13.681,13.711,51822,0
2017-09-08,19:00:00,13.716,13.721,13.681,13.711,40669,0
2017-09-08,20:00:00,13.721,13.721,13.711,13.716,28183,0
2017-09-08,21:00:00,13.716,13.721,13.681,13.691,144644,0
2017-09-08,22:00:00,13.691,13.721,13.686,13.711,164365,0
2017-09-11,16:00:00,13.771,13.921,13.741,13.881,53549,0
2017-09-11,17:00:00,13.886,13.951,13.801,13.841,43039,0
2017-09-11,18:00:00,13.841,13.871,13.751,13.751,90588,0
2017-09-11,19:00:00,13.751,13.771,13.701,13.771,66700,0
2017-09-11,20:00:00,13.771,13.771,13.751,13.766,36748,0
