Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-20,16:00:00,47.435,47.435,47.435,47.435,3078,0
2016-06-01,17:00:00,47.645,47.645,47.645,47.645,100,0
2016-06-01,20:00:00,47.654,47.654,47.472,47.472,636,0
2016-06-02,18:00:00,47.549,47.549,47.521,47.521,215,0
2016-06-03,16:00:00,47.654,47.654,47.588,47.588,291,0
2016-06-03,22:00:00,47.617,47.617,47.617,47.617,528,0
2016-06-06,17:00:00,47.74,47.74,47.74,47.74,3067,0
2016-06-09,16:00:00,47.831,47.831,47.831,47.831,1162,0
2016-06-14,22:00:00,47.994,47.994,47.994,47.994,236,0
2016-07-01,21:00:00,48.502,48.502,48.426,48.426,526,0
2016-07-08,17:00:00,49.009,49.022,49.005,49.02,1581,0
2016-07-08,18:00:00,49.005,49.022,48.988,48.988,1528,0
2016-07-08,19:00:00,48.985,48.991,48.985,48.991,214,0
2016-07-12,22:00:00,49.069,49.089,49.069,49.089,420,0
2016-07-13,18:00:00,49.202,49.213,49.193,49.213,420,0
2016-07-13,20:00:00,49.213,49.213,49.21,49.21,319,0
2016-07-15,21:00:00,49.327,49.327,49.327,49.327,540,0
2016-07-18,21:00:00,49.327,49.327,49.327,49.327,151,0
2016-07-21,22:00:00,49.364,49.364,49.364,49.364,100,0
2016-07-28,16:00:00,49.623,49.623,49.623,49.623,319,0
2016-07-28,21:00:00,49.793,49.793,49.793,49.793,100,0
2016-08-01,17:00:00,49.959,49.959,49.959,49.959,318,0
2016-08-03,22:00:00,49.876,49.876,49.876,49.876,318,0
2016-08-04,16:00:00,49.728,49.728,49.671,49.671,318,0
2016-08-05,22:00:00,49.912,49.912,49.912,49.912,100,0
2016-08-08,19:00:00,49.768,49.768,49.768,49.768,100,0
2016-08-09,22:00:00,49.807,49.876,49.807,49.842,736,0
2016-08-10,18:00:00,49.912,49.912,49.912,49.912,840,0
2016-08-15,21:00:00,50.005,50.005,50.005,50.005,319,0
2016-08-15,22:00:00,50.005,50.005,50.005,50.005,100,0
2016-08-17,20:00:00,50.158,50.158,50.158,50.158,202,0
2016-08-23,21:00:00,50.206,50.206,50.206,50.206,8509,0
2016-08-24,21:00:00,50.3,50.3,50.3,50.3,100,0
2016-08-29,20:00:00,50.29,50.29,50.246,50.246,17944,0
2016-09-02,21:00:00,50.23,50.23,50.23,50.23,212,0
2016-09-09,16:00:00,50.174,50.183,50.174,50.183,4709,0
2016-09-09,20:00:00,50.145,50.165,50.145,50.165,630,0
2016-09-09,21:00:00,50.155,50.155,50.155,50.155,5232,0
2016-09-09,22:00:00,50.136,50.136,50.136,50.136,317,0
2016-09-14,17:00:00,50.145,50.145,50.136,50.136,212,0
2016-09-15,18:00:00,50.265,50.265,50.265,50.265,100,0
2016-09-21,22:00:00,50.297,50.297,50.297,50.297,100,0
2016-09-22,19:00:00,50.404,50.404,50.336,50.36,1148,0
2016-09-22,22:00:00,50.404,50.404,50.404,50.404,212,0
2016-09-26,16:00:00,50.213,50.213,50.213,50.213,100,0
2016-09-30,17:00:00,50.287,50.287,50.287,50.287,100,0
2016-10-04,22:00:00,50.378,50.378,50.378,50.378,199,0
2016-10-10,20:00:00,50.312,50.312,50.312,50.312,520,0
2016-10-11,17:00:00,50.274,50.274,50.274,50.274,100,0
2016-10-11,20:00:00,50.197,50.283,50.197,50.283,407,0
2016-10-17,22:00:00,50.509,50.509,50.509,50.509,211,0
2016-10-18,21:00:00,50.379,50.503,50.379,50.503,716,0
2016-10-19,18:00:00,50.428,50.428,50.428,50.428,100,0
2016-10-24,19:00:00,50.504,50.628,50.504,50.628,732,0
2016-10-28,18:00:00,50.513,50.513,50.513,50.513,100,0
2016-11-01,19:00:00,50.375,50.375,50.375,50.375,100,0
2016-11-01,20:00:00,50.375,50.375,50.375,50.375,100,0
2016-11-02,21:00:00,50.51,50.51,50.51,50.51,15619,0
2016-11-11,16:00:00,50.318,50.318,50.318,50.318,211,0
2016-11-11,17:00:00,50.203,50.203,50.203,50.203,519,0
2016-11-11,19:00:00,50.165,50.203,50.165,50.203,416,0
2016-11-11,22:00:00,50.203,50.203,50.203,50.203,1042,0
2016-11-15,21:00:00,50.165,50.165,50.165,50.165,100,0
2016-11-16,16:00:00,50.26,50.26,49.993,49.993,211,0
2016-11-18,22:00:00,49.84,49.84,49.82,49.82,343,0
2016-11-21,18:00:00,49.84,49.84,49.84,49.84,100,0
2016-11-21,20:00:00,49.84,49.84,49.84,49.84,100,0
2016-11-22,18:00:00,49.751,49.81,49.651,49.651,14861,0
2016-11-23,19:00:00,49.545,49.548,49.545,49.548,341,0
2016-11-25,20:00:00,49.548,49.548,49.548,49.548,0,0
2016-11-28,20:00:00,49.741,50.018,49.741,49.827,1986,0
2016-11-28,21:00:00,49.981,49.981,49.981,49.981,211,0
2016-11-30,16:00:00,49.741,49.741,49.741,49.741,938,0
2016-11-30,17:00:00,49.741,49.741,49.741,49.741,100,0
2016-11-30,19:00:00,49.741,49.741,49.741,49.741,100,0
2016-11-30,20:00:00,49.741,49.741,49.741,49.741,100,0
2016-11-30,21:00:00,49.741,49.741,49.741,49.741,379,0
2016-12-01,18:00:00,49.865,49.865,49.865,49.865,100,0
2016-12-02,22:00:00,49.883,49.883,49.883,49.883,327,0
2016-12-05,16:00:00,49.81,49.81,49.81,49.81,313,0
2016-12-05,21:00:00,49.728,49.728,49.728,49.728,713,0
2016-12-06,20:00:00,49.539,49.539,49.539,49.539,100,0
2016-12-07,19:00:00,49.865,49.865,49.865,49.865,211,0
2016-12-07,21:00:00,49.865,49.865,49.862,49.862,1140,0
2016-12-07,22:00:00,49.865,49.865,49.842,49.842,728,0
2016-12-08,16:00:00,49.987,49.987,49.987,49.987,1040,0
2016-12-08,21:00:00,49.96,49.96,49.96,49.96,328,0
2016-12-09,18:00:00,49.594,49.594,49.574,49.574,1040,0
2016-12-12,20:00:00,49.912,49.912,49.752,49.752,696,0
2016-12-13,17:00:00,49.868,49.868,49.868,49.868,279,0
2016-12-15,19:00:00,49.893,49.893,49.893,49.893,899,0
2016-12-15,22:00:00,49.867,49.867,49.867,49.867,261,0
2016-12-19,21:00:00,49.894,49.894,49.894,49.894,294,0
2016-12-20,17:00:00,49.85,49.85,49.85,49.85,300,0
2016-12-20,19:00:00,49.807,49.807,49.807,49.807,483,0
2016-12-20,21:00:00,49.796,49.796,49.796,49.796,208,0
2016-12-20,22:00:00,49.846,49.846,49.846,49.846,130,0
2016-12-21,16:00:00,50.006,50.012,49.975,50.012,1219,0
2016-12-21,17:00:00,49.865,49.865,49.865,49.865,153,0
2016-12-22,21:00:00,49.865,49.865,49.865,49.865,100,0
2016-12-23,18:00:00,49.901,49.901,49.892,49.892,554,0
2016-12-23,20:00:00,49.623,49.792,49.614,49.792,4653,0
2016-12-28,16:00:00,49.147,49.223,46.742,46.742,1802,0
2016-12-28,17:00:00,46.954,46.954,46.954,46.954,210,0
2016-12-28,18:00:00,46.859,46.859,46.859,46.859,210,0
2016-12-28,22:00:00,46.762,46.922,46.752,46.922,725,0
2016-12-29,22:00:00,47.127,47.127,47.127,47.127,13143,0
2016-12-30,16:00:00,46.921,46.921,46.921,46.921,517,0
2016-12-30,18:00:00,47.012,47.042,47.012,47.031,666,0
2016-12-30,20:00:00,47.04,47.042,47.04,47.042,414,0
2016-12-30,21:00:00,47.106,47.108,47.106,47.108,743,0
2017-01-04,16:00:00,47.274,47.274,47.274,47.274,126,0
2017-01-04,22:00:00,47.227,47.227,47.227,47.227,100,0
2017-01-06,18:00:00,47.236,47.236,47.236,47.236,4041,0
2017-01-09,18:00:00,47.157,47.157,47.157,47.157,100,0
2017-01-10,18:00:00,47.137,47.157,47.127,47.157,6115,0
2017-01-11,16:00:00,47.003,47.072,47.003,47.063,828,0
2017-01-11,20:00:00,47.147,47.147,47.147,47.147,1137,0
2017-01-11,21:00:00,47.147,47.147,47.147,47.147,2590,0
2017-01-11,22:00:00,47.147,47.147,47.147,47.147,3005,0
2017-01-12,16:00:00,47.197,47.197,47.187,47.197,8185,0
2017-01-12,21:00:00,47.147,47.147,47.113,47.113,2079,0
2017-01-13,18:00:00,47.095,47.095,47.095,47.095,460,0
2017-01-13,20:00:00,47.147,47.147,47.147,47.147,5182,0
2017-01-13,21:00:00,47.147,47.147,47.147,47.147,2590,0
2017-01-17,17:00:00,47.254,47.254,47.254,47.254,1336,0
2017-01-17,19:00:00,47.237,47.302,47.227,47.227,1744,0
2017-01-17,20:00:00,47.21,47.245,47.21,47.236,2605,0
2017-01-17,22:00:00,47.228,47.228,47.228,47.228,424,0
2017-01-18,20:00:00,47.284,47.293,47.227,47.227,2933,0
2017-01-20,17:00:00,47.145,47.145,47.145,47.145,198,0
2017-01-23,16:00:00,47.246,47.246,47.246,47.246,100,0
2017-01-23,18:00:00,47.197,47.197,47.197,47.197,1866,0
2017-01-23,19:00:00,47.197,47.197,47.197,47.197,3418,0
2017-01-24,17:00:00,47.294,47.294,47.255,47.255,661,0
2017-01-25,17:00:00,47.197,47.197,47.179,47.179,3635,0
2017-01-25,19:00:00,47.161,47.161,47.069,47.142,4129,0
2017-01-26,20:00:00,47.294,47.294,47.182,47.201,2700,0
2017-01-27,22:00:00,47.197,47.197,47.197,47.197,5182,0
2017-01-30,16:00:00,47.485,47.485,47.437,47.447,624,0
2017-01-30,19:00:00,47.388,47.388,47.388,47.388,2383,0
2017-01-30,22:00:00,47.197,47.475,47.132,47.336,7374,0
2017-01-31,20:00:00,47.48,47.583,47.48,47.536,3751,0
2017-01-31,21:00:00,47.457,47.457,47.457,47.457,179,0
2017-01-31,22:00:00,47.612,47.612,47.612,47.612,517,0
2017-02-02,21:00:00,47.735,47.735,47.686,47.686,209,0
2017-02-02,22:00:00,47.725,47.725,47.725,47.725,725,0
2017-02-03,16:00:00,47.725,47.812,47.725,47.812,101,0
2017-02-03,22:00:00,47.652,47.736,47.652,47.736,653,0
2017-02-06,16:00:00,47.626,47.696,47.626,47.696,826,0
2017-02-06,20:00:00,47.601,47.601,47.601,47.601,127,0
2017-02-06,22:00:00,47.701,47.701,47.701,47.701,100,0
2017-02-07,22:00:00,47.773,47.773,47.726,47.726,262,0
2017-02-10,19:00:00,47.806,47.806,47.806,47.806,100,0
2017-02-10,21:00:00,47.696,47.91,47.686,47.91,23165,0
2017-02-10,22:00:00,47.88,47.88,47.838,47.858,1985,0
2017-02-13,16:00:00,47.831,47.831,47.831,47.831,100,0
2017-02-13,19:00:00,47.784,47.784,47.784,47.784,505,0
2017-02-14,22:00:00,47.803,47.803,47.725,47.726,1069,0
2017-02-21,21:00:00,47.9,47.9,47.845,47.845,312,0
2017-02-23,21:00:00,48.072,48.082,48.042,48.042,7369,0
2017-02-28,21:00:00,48.161,48.161,48.139,48.139,931,0
2017-03-01,16:00:00,48.079,48.079,48.079,48.079,100,0
2017-03-02,20:00:00,47.886,47.886,47.886,47.886,346,0
2017-03-03,18:00:00,48.099,48.099,48.099,48.099,311,0
2017-03-06,17:00:00,47.999,47.999,47.999,47.999,100,0
2017-03-07,22:00:00,48.05,48.05,48.048,48.048,208,0
