Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-08-15,19:00:00,23.537,23.537,23.507,23.537,547,0
2016-08-15,20:00:00,23.93,24.021,23.883,24.021,4050,0
2016-08-15,21:00:00,23.527,23.527,23.527,23.527,220,0
2016-08-15,22:00:00,23.58,23.58,23.58,23.58,1720,0
2016-08-16,16:00:00,23.983,23.983,23.983,23.983,710,0
2016-08-16,19:00:00,23.571,23.571,23.553,23.571,655,0
2016-08-16,22:00:00,23.628,23.682,23.628,23.673,1168,0
2016-08-17,21:00:00,23.833,23.833,23.833,23.833,392,0
2016-08-19,22:00:00,23.819,23.911,23.819,23.911,1994,0
2016-08-22,20:00:00,23.819,23.819,23.819,23.819,1022,0
2016-08-22,21:00:00,23.93,23.93,23.93,23.93,793,0
2016-08-23,19:00:00,23.844,23.844,23.844,23.844,425,0
2016-08-23,21:00:00,23.889,23.889,23.889,23.889,410,0
2016-08-24,16:00:00,23.819,23.819,23.819,23.819,425,0
2016-08-24,18:00:00,23.892,23.892,23.892,23.892,129,0
2016-08-25,18:00:00,23.829,23.829,23.829,23.829,547,0
2016-08-25,22:00:00,23.892,23.892,23.872,23.872,1353,0
2016-08-29,16:00:00,23.933,23.933,23.933,23.933,218,0
2016-08-29,17:00:00,23.886,23.886,23.886,23.886,830,0
2016-08-29,19:00:00,24.098,24.098,24.098,24.098,106,0
2016-08-29,22:00:00,24.191,24.229,24.098,24.136,2546,0
2016-08-30,18:00:00,24.098,24.098,24.098,24.098,354,0
2016-08-31,18:00:00,24.331,24.331,24.274,24.274,678,0
2016-08-31,22:00:00,23.886,23.904,23.876,23.904,557,0
2016-09-01,16:00:00,23.895,23.895,23.895,23.895,755,0
2016-09-01,17:00:00,23.895,23.895,23.82,23.82,430,0
2016-09-01,18:00:00,23.886,24.007,23.886,24.007,2158,0
2016-09-01,19:00:00,23.839,23.839,23.83,23.83,1079,0
2016-09-01,21:00:00,23.802,24.007,23.802,24.007,1388,0
2016-09-02,16:00:00,24.061,24.061,24.061,24.061,106,0
2016-09-07,16:00:00,23.987,23.987,23.987,23.987,106,0
2016-09-07,17:00:00,23.886,23.886,23.886,23.886,218,0
2016-09-07,18:00:00,24.081,24.086,23.969,24.043,971,0
2016-09-07,19:00:00,23.969,23.969,23.969,23.969,218,0
2016-09-09,16:00:00,23.959,23.959,23.802,23.802,540,0
2016-09-13,18:00:00,23.978,24.007,23.887,23.887,527,0
2016-09-15,16:00:00,23.839,23.839,23.839,23.839,106,0
2016-09-15,18:00:00,23.765,23.775,23.431,23.431,1956,0
2016-09-15,22:00:00,23.701,24.925,23.496,24.435,5171,0
2016-09-16,17:00:00,24.322,24.322,24.322,24.322,430,0
2016-09-16,18:00:00,24.091,24.098,24.082,24.09,1287,0
2016-09-16,19:00:00,24.222,24.757,24.222,24.711,4930,0
2016-09-16,20:00:00,24.454,24.983,24.454,24.981,3224,0
2016-09-16,21:00:00,24.989,25.147,24.735,24.785,11329,0
2016-09-16,22:00:00,24.776,24.933,24.753,24.915,2481,0
2016-09-19,16:00:00,24.886,24.886,24.886,24.886,106,0
2016-09-19,17:00:00,24.886,24.886,24.886,24.886,106,0
2016-09-19,18:00:00,24.851,24.853,24.85,24.85,2455,0
2016-09-19,19:00:00,24.863,24.877,24.863,24.863,971,0
2016-09-19,21:00:00,24.85,24.97,24.85,24.97,3021,0
2016-09-19,22:00:00,25.015,25.138,24.915,25.138,7416,0
