Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,65.765,65.891,65.345,65.433,92485,0
2017-09-06,17:00:00,65.453,65.53,65.335,65.453,122662,0
2017-09-06,18:00:00,65.472,65.599,65.323,65.53,213950,0
2017-09-06,19:00:00,65.52,65.647,65.433,65.497,85324,0
2017-09-06,20:00:00,65.492,65.619,65.406,65.52,204390,0
2017-09-06,21:00:00,65.535,65.677,65.502,65.638,193774,0
2017-09-06,22:00:00,65.638,65.726,65.472,65.59,776708,0
2017-09-07,16:00:00,65.745,65.852,65.619,65.735,61254,0
2017-09-07,17:00:00,65.755,66.204,65.619,65.745,268378,0
2017-09-07,18:00:00,65.718,65.96,65.697,65.911,91842,0
2017-09-07,19:00:00,65.911,65.921,65.726,65.862,55267,0
2017-09-07,20:00:00,65.862,66.058,65.824,66.009,202238,0
2017-09-07,21:00:00,66.009,66.126,65.97,66.087,146277,0
2017-09-07,22:00:00,66.087,66.116,65.999,66.077,531797,0
2017-09-08,16:00:00,65.941,66.263,65.941,66.184,66645,0
2017-09-08,17:00:00,66.194,66.438,66.165,66.331,274746,0
2017-09-08,18:00:00,66.316,66.605,66.243,66.595,111508,0
2017-09-08,19:00:00,66.605,66.779,66.6,66.702,85279,0
2017-09-08,20:00:00,66.702,66.731,66.605,66.699,81997,0
2017-09-08,21:00:00,66.702,66.926,66.682,66.887,230904,0
2017-09-08,22:00:00,66.887,66.887,66.418,66.438,434150,0
2017-09-11,16:00:00,66.545,67.082,66.408,66.838,86995,0
2017-09-11,17:00:00,66.838,67.102,66.799,66.892,86815,0
2017-09-11,18:00:00,66.896,66.936,66.799,66.878,84946,0
2017-09-11,19:00:00,66.878,67.043,66.868,66.995,62361,0
2017-09-11,20:00:00,67.005,67.043,66.985,67.043,62123,0
2017-09-11,21:00:00,67.043,67.043,66.916,66.926,107099,0
2017-09-11,22:00:00,66.936,66.945,66.809,66.945,577650,0
2017-09-12,16:00:00,66.721,66.868,66.282,66.741,79332,0
2017-09-12,17:00:00,66.779,66.799,66.009,66.009,121720,0
2017-09-12,18:00:00,66.028,66.048,65.677,65.745,60573,0
2017-09-12,19:00:00,65.755,65.911,65.687,65.765,59596,0
2017-09-12,20:00:00,65.774,65.774,65.512,65.55,76011,0
2017-09-12,21:00:00,65.54,65.619,65.345,65.492,85080,0
2017-09-12,22:00:00,65.482,65.979,65.443,65.97,606115,0
2017-09-13,16:00:00,65.911,65.911,65.59,65.628,64395,0
2017-09-13,17:00:00,65.628,65.852,65.57,65.774,115761,0
2017-09-13,18:00:00,65.745,65.951,65.672,65.726,69834,0
2017-09-13,19:00:00,65.726,65.852,65.707,65.814,61345,0
2017-09-13,20:00:00,65.794,65.844,65.628,65.677,57147,0
