Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-07-13,16:00:00,20.053,20.053,20.053,20.053,201,0
2017-07-13,17:00:00,20.078,20.078,20.02,20.02,3167,0
2017-07-13,18:00:00,20.06,20.06,20.043,20.043,4725,0
2017-07-13,19:00:00,20.047,20.053,20.047,20.048,2714,0
2017-07-13,21:00:00,20.043,20.048,20.018,20.048,905,0
2017-07-13,22:00:00,20.023,20.053,20.023,20.053,804,0
2017-07-14,16:00:00,20.152,20.152,20.063,20.063,508,0
2017-07-14,17:00:00,20.103,20.103,20.078,20.103,895,0
2017-07-14,18:00:00,20.102,20.102,20.102,20.102,101,0
2017-07-14,19:00:00,20.108,20.122,20.103,20.122,7163,0
2017-07-14,20:00:00,20.122,20.142,20.122,20.132,1709,0
2017-07-14,21:00:00,20.137,20.137,20.132,20.132,503,0
2017-07-14,22:00:00,20.147,20.147,20.147,20.147,1005,0
2017-07-17,16:00:00,20.301,20.301,20.301,20.301,817,0
2017-07-17,17:00:00,20.114,20.152,20.114,20.142,1357,0
2017-07-17,19:00:00,20.152,20.157,20.152,20.157,3418,0
2017-07-17,20:00:00,20.157,20.157,20.152,20.152,348,0
2017-07-17,21:00:00,20.157,20.16,20.157,20.16,402,0
2017-07-17,22:00:00,20.157,20.157,20.157,20.157,704,0
2017-07-18,16:00:00,20.103,20.122,20.103,20.122,603,0
2017-07-18,17:00:00,20.113,20.122,20.063,20.063,16919,0
2017-07-18,18:00:00,20.122,20.122,20.122,20.122,101,0
2017-07-18,19:00:00,20.132,20.132,20.132,20.132,2765,0
2017-07-18,22:00:00,20.119,20.159,20.119,20.159,1039,0
2017-07-19,16:00:00,20.212,20.212,20.212,20.212,101,0
2017-07-19,18:00:00,20.242,20.242,20.242,20.242,101,0
2017-07-19,20:00:00,20.242,20.242,20.211,20.211,203,0
2017-07-19,21:00:00,20.262,20.262,20.262,20.262,1760,0
2017-07-20,16:00:00,20.401,20.401,20.272,20.272,201,0
2017-07-20,17:00:00,20.267,20.272,20.212,20.212,2513,0
2017-07-20,20:00:00,20.282,20.282,20.272,20.272,2689,0
2017-07-20,21:00:00,20.229,20.229,20.229,20.229,101,0
2017-07-20,22:00:00,20.282,20.301,20.242,20.282,4172,0
2017-07-21,16:00:00,20.262,20.262,20.242,20.242,3066,0
2017-07-21,18:00:00,20.212,20.212,20.212,20.212,201,0
2017-07-21,19:00:00,20.213,20.242,20.212,20.232,402,0
2017-07-21,20:00:00,20.242,20.242,20.242,20.242,101,0
2017-07-21,21:00:00,20.242,20.242,20.242,20.242,101,0
2017-07-24,17:00:00,20.242,20.242,20.232,20.232,5756,0
2017-07-24,18:00:00,20.202,20.202,20.202,20.202,503,0
2017-07-24,22:00:00,20.229,20.229,20.203,20.203,2011,0
2017-07-25,16:00:00,20.331,20.331,20.331,20.331,101,0
2017-07-25,17:00:00,20.306,20.341,20.306,20.341,704,0
2017-07-25,18:00:00,20.341,20.341,20.341,20.341,101,0
2017-07-25,19:00:00,20.371,20.371,20.351,20.351,2614,0
2017-07-25,21:00:00,20.371,20.381,20.369,20.371,1878,0
2017-07-25,22:00:00,20.371,20.371,20.351,20.351,905,0
2017-07-26,16:00:00,20.391,20.411,20.361,20.411,1206,0
2017-07-26,17:00:00,20.371,20.373,20.371,20.373,3720,0
2017-07-26,19:00:00,20.371,20.371,20.371,20.371,3619,0
2017-07-26,20:00:00,20.334,20.371,20.334,20.371,603,0
2017-07-27,16:00:00,20.391,20.391,20.391,20.391,251,0
2017-07-27,17:00:00,20.391,20.391,20.391,20.391,739,0
2017-07-27,19:00:00,20.411,20.411,20.411,20.411,3016,0
2017-07-27,20:00:00,20.352,20.352,20.262,20.272,1805,0
2017-07-27,21:00:00,20.282,20.311,20.282,20.311,503,0
2017-07-27,22:00:00,20.311,20.361,20.311,20.311,3016,0
2017-07-28,18:00:00,20.321,20.331,20.321,20.331,2161,0
2017-07-28,19:00:00,20.328,20.328,20.328,20.328,136,0
2017-07-28,20:00:00,20.326,20.33,20.326,20.33,905,0
2017-07-31,17:00:00,20.351,20.351,20.351,20.351,1508,0
2017-07-31,20:00:00,20.371,20.371,20.371,20.371,1654,0
2017-08-01,16:00:00,20.56,20.56,20.56,20.56,111,0
2017-08-01,19:00:00,20.361,20.361,20.361,20.361,402,0
2017-08-01,21:00:00,20.361,20.361,20.361,20.361,905,0
2017-08-01,22:00:00,20.371,20.371,20.35,20.35,789,0
2017-08-02,16:00:00,20.361,20.361,20.328,20.328,557,0
2017-08-02,19:00:00,20.212,20.212,20.212,20.212,101,0
2017-08-02,20:00:00,20.271,20.282,20.227,20.227,1377,0
2017-08-02,21:00:00,20.279,20.279,20.279,20.279,146,0
2017-08-03,16:00:00,20.361,20.42,20.361,20.42,2011,0
2017-08-03,20:00:00,20.376,20.42,20.361,20.411,1257,0
2017-08-03,21:00:00,20.311,20.311,20.311,20.311,390,0
2017-08-03,22:00:00,20.383,20.391,20.381,20.381,1106,0
2017-08-04,16:00:00,20.391,20.391,20.354,20.391,2011,0
2017-08-04,19:00:00,20.306,20.306,20.306,20.306,337,0
2017-08-04,20:00:00,20.339,20.339,20.339,20.339,101,0
2017-08-04,21:00:00,20.361,20.361,20.361,20.361,2115,0
2017-08-07,16:00:00,20.391,20.391,20.357,20.357,1709,0
2017-08-07,22:00:00,20.38,20.38,20.38,20.38,101,0
2017-08-08,16:00:00,20.431,20.431,20.404,20.404,2823,0
2017-08-08,17:00:00,20.451,20.451,20.425,20.425,201,0
2017-08-08,19:00:00,20.53,20.53,20.484,20.484,402,0
2017-08-08,21:00:00,20.49,20.49,20.487,20.49,865,0
2017-08-08,22:00:00,20.446,20.461,20.441,20.441,3066,0
2017-08-09,16:00:00,20.341,20.341,20.341,20.341,302,0
2017-08-09,18:00:00,20.319,20.319,20.319,20.319,503,0
2017-08-09,21:00:00,20.292,20.292,20.192,20.192,1614,0
2017-08-10,16:00:00,20.262,20.321,20.262,20.276,1101,0
2017-08-10,17:00:00,20.222,20.222,20.222,20.222,201,0
2017-08-10,22:00:00,20.282,20.282,20.27,20.27,741,0
2017-08-11,17:00:00,20.242,20.242,20.242,20.242,503,0
2017-08-11,18:00:00,20.242,20.242,20.211,20.212,1149,0
2017-08-11,19:00:00,20.242,20.242,20.214,20.242,1159,0
2017-08-11,20:00:00,20.242,20.242,20.242,20.242,201,0
2017-08-11,21:00:00,20.232,20.232,20.232,20.232,201,0
2017-08-11,22:00:00,20.232,20.242,20.232,20.242,1166,0
2017-08-14,18:00:00,20.401,20.421,20.401,20.401,1413,0
2017-08-14,21:00:00,20.401,20.401,20.391,20.391,2210,0
2017-08-14,22:00:00,20.451,20.451,20.451,20.451,1208,0
2017-08-15,16:00:00,20.49,20.49,20.49,20.49,101,0
2017-08-15,17:00:00,20.49,20.49,20.451,20.471,302,0
