Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,62.499,62.718,62.41,62.708,32770,0
2017-09-05,17:00:00,62.698,62.698,62.33,62.41,49661,0
2017-09-05,18:00:00,62.39,62.549,62.36,62.549,43328,0
2017-09-05,19:00:00,62.539,62.549,62.181,62.271,124346,0
2017-09-05,20:00:00,62.261,62.29,62.002,62.28,94276,0
2017-09-05,21:00:00,62.28,62.45,62.261,62.32,46765,0
2017-09-05,22:00:00,62.31,62.38,62.191,62.271,258685,0
2017-09-06,16:00:00,62.39,62.653,62.28,62.653,71221,0
2017-09-06,17:00:00,62.648,62.837,62.609,62.837,94182,0
2017-09-06,18:00:00,62.847,62.847,62.678,62.803,67810,0
2017-09-06,19:00:00,62.798,62.867,62.743,62.807,71538,0
2017-09-06,20:00:00,62.798,62.997,62.798,62.967,63671,0
2017-09-06,21:00:00,62.967,62.987,62.907,62.907,65074,0
2017-09-06,22:00:00,62.917,63.086,62.877,62.947,400874,0
2017-09-07,16:00:00,63.096,63.096,62.47,62.509,102270,0
2017-09-07,17:00:00,62.499,62.678,62.36,62.658,141630,0
2017-09-07,18:00:00,62.658,62.693,62.35,62.42,87650,0
2017-09-07,19:00:00,62.42,62.499,62.365,62.46,83044,0
2017-09-07,20:00:00,62.46,62.509,62.413,62.504,80763,0
2017-09-07,21:00:00,62.499,62.559,62.45,62.47,88035,0
2017-09-07,22:00:00,62.47,62.658,62.41,62.589,349303,0
2017-09-08,16:00:00,62.539,62.698,62.35,62.629,30688,0
2017-09-08,17:00:00,62.678,63.364,62.648,63.355,30621,0
2017-09-08,18:00:00,63.364,63.683,63.364,63.653,72911,0
2017-09-08,19:00:00,63.663,63.761,63.593,63.752,39852,0
2017-09-08,20:00:00,63.76,63.941,63.76,63.931,86366,0
2017-09-08,21:00:00,63.921,64.089,63.901,64.001,104161,0
2017-09-08,22:00:00,63.981,64.189,63.981,64.051,435045,0
2017-09-11,16:00:00,64.279,64.279,63.732,63.921,137788,0
2017-09-11,17:00:00,63.911,63.921,63.513,63.523,112504,0
2017-09-11,18:00:00,63.533,63.841,63.533,63.776,77356,0
2017-09-11,19:00:00,63.776,64.051,63.643,63.951,89008,0
2017-09-11,20:00:00,63.971,64.021,63.921,63.951,51282,0
2017-09-11,21:00:00,63.961,64.229,63.961,64.139,101420,0
2017-09-11,22:00:00,64.149,64.199,64.061,64.119,269079,0
