Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,18.48,18.56,18.28,18.38,163819,0
2017-09-05,17:00:00,18.38,18.39,18.28,18.28,183086,0
2017-09-05,18:00:00,18.28,18.29,18.2,18.24,125818,0
2017-09-05,19:00:00,18.23,18.24,18.045,18.12,254519,0
2017-09-05,20:00:00,18.11,18.12,18.03,18.07,246466,0
2017-09-05,21:00:00,18.07,18.17,18.04,18.095,364429,0
2017-09-05,22:00:00,18.1,18.13,18.01,18.08,1431683,0
2017-09-06,16:00:00,18.16,18.29,18.16,18.27,126986,0
2017-09-06,17:00:00,18.27,18.27,18.04,18.12,232772,0
2017-09-06,18:00:00,18.12,18.13,17.92,18.025,255682,0
2017-09-06,19:00:00,18.02,18.08,17.94,18.06,151079,0
2017-09-06,20:00:00,18.065,18.11,18.04,18.085,120267,0
2017-09-06,21:00:00,18.09,18.18,18.08,18.14,203002,0
2017-09-06,22:00:00,18.14,18.245,18.12,18.21,1574301,0
2017-09-07,16:00:00,18.24,18.26,18.18,18.23,83232,0
2017-09-07,17:00:00,18.22,18.349,18.11,18.31,204107,0
2017-09-07,18:00:00,18.309,18.5963,18.29,18.51,979377,0
2017-09-07,19:00:00,18.5166,18.56,18.43,18.49,568129,0
2017-09-07,20:00:00,18.4948,18.555,18.455,18.49,412546,0
2017-09-07,21:00:00,18.4964,18.5,18.37,18.405,392320,0
2017-09-07,22:00:00,18.4,18.5,18.385,18.46,1367682,0
2017-09-08,16:00:00,18.46,18.5,18.4162,18.4939,94651,0
2017-09-08,17:00:00,18.5,18.56,18.375,18.38,330680,0
2017-09-08,18:00:00,18.38,18.44,18.3547,18.37,256809,0
2017-09-08,19:00:00,18.38,18.53,18.375,18.5,127417,0
2017-09-08,20:00:00,18.49,18.51,18.46,18.49,170524,0
2017-09-08,21:00:00,18.5,18.56,18.49,18.51,205813,0
2017-09-08,22:00:00,18.5,18.525,18.46,18.49,613020,0
2017-09-11,16:00:00,18.68,18.79,18.6203,18.79,170445,0
2017-09-11,17:00:00,18.79,18.97,18.76,18.775,461311,0
2017-09-11,18:00:00,18.78,18.87,18.74,18.86,414264,0
2017-09-11,19:00:00,18.865,18.93,18.86,18.91,169568,0
2017-09-11,20:00:00,18.9,18.965,18.86,18.955,225394,0
2017-09-11,21:00:00,18.955,18.955,18.82,18.85,429223,0
2017-09-11,22:00:00,18.8508,18.88,18.76,18.85,1199894,0
2017-09-12,16:00:00,18.34,18.36,17.93,18.21,1242424,0
2017-09-12,17:00:00,18.22,18.42,18.11,18.16,1688360,0
2017-09-12,18:00:00,18.165,18.33,18.14,18.255,865499,0
2017-09-12,19:00:00,18.26,18.37,18.24,18.27,453211,0
2017-09-12,20:00:00,18.2757,18.33,18.205,18.27,505957,0
2017-09-12,21:00:00,18.28,18.325,18.18,18.305,698973,0
2017-09-12,22:00:00,18.3,18.47,18.28,18.38,1663077,0
2017-09-13,16:00:00,18.96,18.96,18.5,18.775,739444,0
2017-09-13,17:00:00,18.775,18.78,18.545,18.57,736195,0
2017-09-13,18:00:00,18.58,18.61,18.4308,18.56,706473,0
2017-09-13,19:00:00,18.56,18.62,18.5,18.56,537758,0
2017-09-13,20:00:00,18.57,18.57,18.481,18.515,247821,0
2017-09-13,21:00:00,18.52,18.58,18.46,18.5,449092,0
2017-09-13,22:00:00,18.49,18.54,18.32,18.41,2560014,0
2017-09-14,16:00:00,17.88,17.93,17.75,17.905,16806419,0
2017-09-14,17:00:00,17.905,18.05,17.875,18.0032,9200810,0
2017-09-14,18:00:00,18.01,18.12,17.93,18.07,3949803,0
2017-09-14,19:00:00,18.075,18.08,17.96,18,1783765,0
2017-09-14,20:00:00,17.995,18.01,17.89,17.985,2726256,0
2017-09-14,21:00:00,17.9833,18.04,17.95,18.005,1971190,0
2017-09-14,22:00:00,18.01,18.035,17.8,17.81,10218403,0
2017-09-15,16:00:00,17.87,17.91,17.65,17.755,2483297,0
2017-09-15,17:00:00,17.755,18,17.6,17.986,3257011,0
2017-09-15,18:00:00,17.98,18.09,17.94,18.075,1795976,0
2017-09-15,19:00:00,18.08,18.1,18.02,18.0654,1372241,0
2017-09-15,20:00:00,18.06,18.165,18.05,18.125,893787,0
2017-09-15,21:00:00,18.125,18.21,18.105,18.13,1295400,0
2017-09-15,22:00:00,18.13,18.135,17.95,17.96,8540469,0
2017-09-18,16:00:00,18,18.17,17.85,17.85,1538380,0
2017-09-18,17:00:00,17.855,17.91,17.75,17.83,2736894,0
2017-09-18,18:00:00,17.83,18.02,17.775,17.99,1742173,0
2017-09-18,19:00:00,17.98,18.01,17.96,18,1143799,0
2017-09-18,20:00:00,17.995,18.05,17.96,17.975,888019,0
2017-09-18,21:00:00,17.975,18.14,17.93,18.13,1197282,0
2017-09-18,22:00:00,18.125,18.19,18.05,18.15,6309508,0
2017-09-19,16:00:00,18.15,18.2199,18,18.2,538945,0
2017-09-19,17:00:00,18.205,18.29,18.175,18.265,1410649,0
2017-09-19,18:00:00,18.26,18.275,18.2,18.255,877645,0
2017-09-19,19:00:00,18.25,18.29,18.09,18.12,1045522,0
2017-09-19,20:00:00,18.12,18.26,18.11,18.215,709710,0
2017-09-19,21:00:00,18.215,18.23,18.21,18.225,287558,0
2017-09-19,22:00:00,18.225,18.28,18.22,18.25,1856564,0
2017-09-20,16:00:00,18.2,18.38,18.2,18.355,365648,0
2017-09-20,17:00:00,18.355,18.37,18.24,18.245,869251,0
2017-09-20,18:00:00,18.25,18.285,18.195,18.265,628261,0
2017-09-20,19:00:00,18.27,18.29,18.21,18.21,319236,0
2017-09-20,20:00:00,18.21,18.27,18.13,18.25,409203,0
2017-09-20,21:00:00,18.25,18.28,18.16,18.185,694810,0
2017-09-20,22:00:00,18.185,18.35,18.165,18.33,2235086,0
2017-09-21,16:00:00,18.3,18.46,18.3,18.39,586414,0
2017-09-21,17:00:00,18.39,18.41,18.13,18.16,1734799,0
2017-09-21,18:00:00,18.16,18.295,18.1,18.26,682553,0
2017-09-21,19:00:00,18.26,18.3,18.21,18.3,500661,0
2017-09-21,20:00:00,18.3,18.38,18.27,18.2921,592217,0
2017-09-21,21:00:00,18.295,18.32,18.28,18.315,389772,0
2017-09-21,22:00:00,18.3158,18.38,18.285,18.31,1211687,0
2017-09-22,16:00:00,18.31,18.31,18.24,18.275,430940,0
2017-09-22,17:00:00,18.28,18.305,18.15,18.16,966838,0
2017-09-22,18:00:00,18.16,18.17,18.08,18.12,475476,0
2017-09-22,19:00:00,18.12,18.21,18.09,18.14,703481,0
2017-09-22,20:00:00,18.14,18.18,18.1,18.15,342654,0
2017-09-22,21:00:00,18.15,18.16,18.05,18.06,311000,0
2017-09-22,22:00:00,18.05,18.18,18.03,18.18,5720139,0
2017-09-25,16:00:00,18.2,18.2,18.05,18.065,408818,0
2017-09-25,17:00:00,18.07,18.1,18,18.06,689006,0
2017-09-25,18:00:00,18.06,18.12,18,18.06,640403,0
2017-09-25,19:00:00,18.06,18.07,17.91,17.99,811627,0
2017-09-25,20:00:00,17.99,18.025,17.99,17.99,289238,0
2017-09-25,21:00:00,18,18.04,17.99,18.015,506161,0
2017-09-25,22:00:00,18.015,18.035,17.99,18.02,2312417,0
2017-09-26,16:00:00,18.08,18.14,18.02,18.04,221070,0
2017-09-26,17:00:00,18.04,18.05,17.85,17.87,835748,0
2017-09-26,18:00:00,17.88,18.0695,17.84,18.02,1261669,0
2017-09-26,19:00:00,18.025,18.0356,17.94,17.965,532802,0
2017-09-26,20:00:00,17.965,18.01,17.93,17.93,416693,0
2017-09-26,21:00:00,17.93,17.95,17.825,17.86,1026529,0
2017-09-26,22:00:00,17.865,17.91,17.78,17.8,3618429,0
2017-09-27,16:00:00,17.94,17.99,17.805,17.82,372865,0
2017-09-27,17:00:00,17.82,17.91,17.73,17.76,849472,0
2017-09-27,18:00:00,17.76,17.815,17.71,17.805,845305,0
2017-09-27,19:00:00,17.81,17.81,17.56,17.585,2068110,0
2017-09-27,20:00:00,17.59,17.64,17.5499,17.62,1238915,0
2017-09-27,21:00:00,17.63,17.71,17.61,17.655,1157875,0
2017-09-27,22:00:00,17.655,17.67,17.54,17.55,3878316,0
2017-09-28,16:00:00,17.56,17.85,17.55,17.785,1320658,0
2017-09-28,17:00:00,17.8,17.92,17.725,17.75,1027406,0
2017-09-28,18:00:00,17.75,17.75,17.64,17.71,481752,0
2017-09-28,19:00:00,17.705,17.8,17.7,17.795,369250,0
2017-09-28,20:00:00,17.8,17.87,17.75,17.84,413735,0
2017-09-28,21:00:00,17.85,17.88,17.8,17.85,386252,0
2017-09-28,22:00:00,17.8592,17.885,17.815,17.88,1430298,0
2017-09-29,16:00:00,17.9,17.94,17.78,17.87,223579,0
2017-09-29,17:00:00,17.86,17.935,17.81,17.88,335291,0
2017-09-29,18:00:00,17.8733,17.9,17.835,17.87,356248,0
2017-09-29,19:00:00,17.8738,17.94,17.87,17.9,417745,0
2017-09-29,20:00:00,17.91,17.94,17.895,17.91,253040,0
2017-09-29,21:00:00,17.91,17.91,17.85,17.87,204705,0
2017-09-29,22:00:00,17.865,18.14,17.86,18.04,1930225,0
2017-10-02,16:00:00,18.13,18.13,17.97,18.055,462189,0
2017-10-02,17:00:00,18.06,18.19,17.99,18,625592,0
2017-10-02,18:00:00,18.01,18.02,17.91,17.95,398691,0
2017-10-02,19:00:00,17.955,18.01,17.92,17.955,470379,0
2017-10-02,20:00:00,17.95,17.98,17.91,17.95,352030,0
2017-10-02,21:00:00,17.95,17.96,17.895,17.935,396831,0
2017-10-02,22:00:00,17.939,17.96,17.9,17.96,1406050,0
2017-10-03,16:00:00,17.91,18,17.854,17.89,275648,0
2017-10-03,17:00:00,17.9,18,17.895,18,375772,0
2017-10-03,18:00:00,17.995,18.005,17.95,17.9825,425570,0
2017-10-03,19:00:00,17.99,18.005,17.96,17.965,251174,0
2017-10-03,20:00:00,17.965,17.99,17.95,17.975,173527,0
2017-10-03,21:00:00,17.97,17.99,17.93,17.94,261331,0
2017-10-03,22:00:00,17.94,17.97,17.79,17.92,3279617,0
2017-10-04,16:00:00,17.92,17.96,17.77,17.79,213509,0
2017-10-04,17:00:00,17.79,17.89,17.78,17.84,369539,0
2017-10-04,18:00:00,17.84,17.91,17.81,17.825,414115,0
2017-10-04,19:00:00,17.83,17.88,17.82,17.8574,210085,0
2017-10-04,20:00:00,17.855,17.86,17.73,17.75,368863,0
2017-10-04,21:00:00,17.755,17.8,17.72,17.76,414541,0
2017-10-04,22:00:00,17.75,17.78,17.71,17.74,1940845,0
2017-10-05,16:00:00,17.77,17.81,17.66,17.675,225530,0
2017-10-05,17:00:00,17.68,17.86,17.675,17.845,611817,0
2017-10-05,18:00:00,17.85,17.93,17.795,17.93,491768,0
2017-10-05,19:00:00,17.92,17.97,17.87,17.96,642888,0
2017-10-05,20:00:00,17.95,17.985,17.92,17.955,323319,0
2017-10-05,21:00:00,17.955,18,17.93,17.99,338611,0
2017-10-05,22:00:00,17.995,18.01,17.93,17.94,2508136,0
2017-10-06,16:00:00,17.96,18.04,17.87,17.99,307965,0
2017-10-06,17:00:00,18,18.1,17.98,18.08,577822,0
2017-10-06,18:00:00,18.08,18.15,18.01,18.05,612950,0
2017-10-06,19:00:00,18.05,18.14,18.045,18.1,272880,0
2017-10-06,20:00:00,18.1,18.13,18.07,18.125,175480,0
2017-10-06,21:00:00,18.125,18.15,18.08,18.115,270537,0
