Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-08-19,16:00:00,14.903,14.903,14.903,14.903,215,0
2014-08-20,19:00:00,14.994,14.994,14.994,14.994,1034,0
2014-08-21,16:00:00,14.827,14.827,14.827,14.827,431,0
2014-08-21,17:00:00,15.04,15.04,15.04,15.04,1080,0
2014-08-21,18:00:00,15.133,15.133,15.133,15.133,758,0
2014-08-21,19:00:00,15.133,15.133,15.133,15.133,646,0
2014-08-21,20:00:00,15.133,15.133,15.133,15.133,542,0
2014-08-21,21:00:00,15.133,15.133,15.133,15.133,646,0
2014-08-21,22:00:00,15.133,15.133,15.087,15.087,3458,0
2014-08-25,18:00:00,15.133,15.133,15.133,15.133,758,0
2014-08-25,21:00:00,15.04,15.04,15.04,15.04,2160,0
2014-08-26,17:00:00,15.04,15.04,15.04,15.04,431,0
2014-08-26,18:00:00,15.04,15.04,15.04,15.04,646,0
2014-08-26,21:00:00,15.04,15.04,15.04,15.04,973,0
2014-08-26,22:00:00,15.03,15.03,14.994,15.002,646,0
2014-08-27,17:00:00,14.994,15.04,14.994,15.04,1080,0
2014-08-27,20:00:00,14.948,14.948,14.948,14.948,1193,0
2014-08-27,21:00:00,14.948,14.948,14.948,14.948,1301,0
2014-08-28,17:00:00,14.948,14.948,14.948,14.948,115,0
2014-08-28,18:00:00,14.903,14.903,14.903,14.903,431,0
2014-08-28,20:00:00,14.903,14.903,14.903,14.903,215,0
2014-08-28,21:00:00,14.903,14.903,14.903,14.903,862,0
2014-08-28,22:00:00,14.903,14.903,14.885,14.885,431,0
2014-08-29,19:00:00,14.836,14.836,14.836,14.836,115,0
2014-08-29,20:00:00,14.865,14.865,14.865,14.865,115,0
2014-08-29,21:00:00,14.865,14.865,14.865,14.865,115,0
2014-08-29,22:00:00,14.865,14.903,14.865,14.903,247,0
2014-09-02,16:00:00,14.836,14.836,14.836,14.836,115,0
2014-09-02,18:00:00,15.002,15.002,15.002,15.002,115,0
2014-09-02,21:00:00,15.04,15.04,15.04,15.04,215,0
