Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,5.2,5.335,5.181,5.33,71663,0
2017-09-06,17:00:00,5.335,5.35,5.23,5.255,134362,0
2017-09-06,18:00:00,5.255,5.26,5.21,5.21,34513,0
2017-09-06,19:00:00,5.215,5.23,5.19,5.2,53812,0
2017-09-06,20:00:00,5.205,5.23,5.19,5.195,107667,0
2017-09-06,21:00:00,5.195,5.22,5.19,5.2,131156,0
2017-09-06,22:00:00,5.205,5.25,5.2,5.23,295419,0
2017-09-07,16:00:00,5.23,5.27,5.1624,5.17,31997,0
2017-09-07,17:00:00,5.16,5.19,5.13,5.13,74867,0
2017-09-07,18:00:00,5.13,5.13,5.065,5.08,91945,0
2017-09-07,19:00:00,5.075,5.18,5.06,5.18,71433,0
2017-09-07,20:00:00,5.18,5.19,5.14,5.16,66479,0
2017-09-07,21:00:00,5.16,5.2,5.15,5.19,27009,0
2017-09-07,22:00:00,5.2,5.2,5.165,5.18,161228,0
2017-09-08,16:00:00,5.16,5.17,5.02,5.025,52756,0
2017-09-08,17:00:00,5.025,5.05,4.9,4.905,222187,0
2017-09-08,18:00:00,4.905,4.92,4.75,4.805,946002,0
2017-09-08,19:00:00,4.805,4.81,4.7,4.76,167349,0
2017-09-08,20:00:00,4.76,4.76,4.63,4.63,165898,0
2017-09-08,21:00:00,4.635,4.74,4.56,4.62,419441,0
2017-09-08,22:00:00,4.625,4.8,4.62,4.8,834749,0
2017-09-11,16:00:00,4.82,4.91,4.805,4.805,66518,0
2017-09-11,17:00:00,4.81,5.2,4.805,5.095,302534,0
2017-09-11,18:00:00,5.095,5.225,5.06,5.21,320639,0
2017-09-11,19:00:00,5.21,5.22,5.14,5.15,149889,0
2017-09-11,20:00:00,5.145,5.16,5.095,5.145,111567,0
2017-09-11,21:00:00,5.1499,5.18,5.12,5.12,203290,0
2017-09-11,22:00:00,5.13,5.17,5.1,5.11,343103,0
2017-09-12,16:00:00,5.11,5.22,5.08,5.205,59218,0
2017-09-12,17:00:00,5.2,5.21,5.13,5.18,86891,0
2017-09-12,18:00:00,5.175,5.19,5.14,5.18,87347,0
2017-09-12,19:00:00,5.19,5.195,5.17,5.19,107304,0
2017-09-12,20:00:00,5.19,5.2225,5.18,5.21,103324,0
2017-09-12,21:00:00,5.205,5.36,5.2,5.325,203730,0
2017-09-12,22:00:00,5.32,5.33,5.2,5.21,535478,0
2017-09-13,16:00:00,5.22,5.47,5.201,5.47,171457,0
2017-09-13,17:00:00,5.475,5.495,5.43,5.485,280413,0
2017-09-13,18:00:00,5.49,5.7199,5.48,5.7149,794644,0
2017-09-13,19:00:00,5.7175,5.76,5.67,5.6939,721869,0
2017-09-13,20:00:00,5.695,5.735,5.67,5.68,322376,0
2017-09-13,21:00:00,5.67,5.68,5.47,5.515,326666,0
2017-09-13,22:00:00,5.52,5.58,5.49,5.51,750745,0
2017-09-14,16:00:00,5.55,5.645,5.5,5.61,151274,0
