Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,17.446,17.446,17.407,17.407,3805,0
2017-09-05,17:00:00,17.426,17.426,17.399,17.416,7617,0
2017-09-05,18:00:00,17.425,17.426,17.399,17.417,9342,0
2017-09-05,19:00:00,17.417,17.446,17.417,17.446,7070,0
2017-09-05,20:00:00,17.446,17.455,17.446,17.446,12128,0
2017-09-05,21:00:00,17.446,17.446,17.417,17.43,2712,0
2017-09-05,22:00:00,17.417,17.446,17.408,17.408,3478,0
2017-09-06,16:00:00,17.407,17.446,17.407,17.446,1536,0
2017-09-06,17:00:00,17.462,17.503,17.433,17.464,8845,0
2017-09-06,18:00:00,17.484,17.493,17.455,17.455,9391,0
2017-09-06,19:00:00,17.484,17.592,17.464,17.464,14397,0
2017-09-06,20:00:00,17.464,17.589,17.464,17.589,3001,0
2017-09-06,21:00:00,17.492,17.57,17.492,17.552,9638,0
2017-09-06,22:00:00,17.552,17.562,17.493,17.493,9967,0
2017-09-07,16:00:00,17.542,17.542,17.542,17.542,6022,0
2017-09-07,17:00:00,17.523,17.532,17.513,17.513,3195,0
2017-09-07,18:00:00,17.513,17.523,17.484,17.503,3174,0
2017-09-07,19:00:00,17.484,17.484,17.407,17.407,3973,0
2017-09-07,20:00:00,17.441,17.503,17.441,17.488,5332,0
2017-09-07,21:00:00,17.513,17.513,17.466,17.513,6669,0
2017-09-07,22:00:00,17.488,17.513,17.464,17.513,4635,0
2017-09-08,16:00:00,17.523,17.523,17.523,17.523,2875,0
2017-09-08,17:00:00,17.493,17.493,17.493,17.493,107,0
2017-09-08,18:00:00,17.493,17.493,17.464,17.464,628,0
2017-09-08,19:00:00,17.479,17.503,17.455,17.493,6680,0
2017-09-08,20:00:00,17.455,17.532,17.455,17.532,2846,0
2017-09-08,21:00:00,17.503,17.523,17.503,17.523,2595,0
2017-09-08,22:00:00,17.523,17.542,17.498,17.523,11220,0
2017-09-11,16:00:00,17.58,17.58,17.496,17.57,4611,0
2017-09-11,17:00:00,17.57,17.58,17.513,17.513,8238,0
2017-09-11,18:00:00,17.503,17.523,17.474,17.523,4039,0
2017-09-11,19:00:00,17.523,17.523,17.503,17.503,1540,0
2017-09-11,20:00:00,17.523,17.523,17.501,17.501,3832,0
2017-09-11,21:00:00,17.523,17.523,17.513,17.523,883,0
2017-09-11,22:00:00,17.523,17.523,17.505,17.523,3233,0
2017-09-12,16:00:00,17.523,17.532,17.464,17.532,9212,0
2017-09-12,17:00:00,17.484,17.523,17.455,17.455,1370,0
2017-09-12,18:00:00,17.455,17.455,17.436,17.436,1792,0
2017-09-12,19:00:00,17.437,17.437,17.437,17.437,107,0
2017-09-12,20:00:00,17.472,17.523,17.446,17.523,16963,0
2017-09-12,21:00:00,17.51,17.523,17.493,17.504,5273,0
2017-09-12,22:00:00,17.523,17.532,17.464,17.532,19132,0
2017-09-13,16:00:00,17.552,17.552,17.523,17.538,4232,0
2017-09-13,17:00:00,17.503,17.523,17.503,17.516,1299,0
2017-09-13,18:00:00,17.495,17.523,17.464,17.523,2345,0
2017-09-13,20:00:00,17.503,17.513,17.474,17.503,4216,0
2017-09-13,21:00:00,17.503,17.503,17.474,17.5,7325,0
2017-09-13,22:00:00,17.5,17.532,17.493,17.532,16614,0
2017-09-14,16:00:00,17.617,17.617,17.532,17.532,3604,0
2017-09-14,17:00:00,17.509,17.523,17.493,17.512,2969,0
2017-09-14,18:00:00,17.514,17.523,17.495,17.516,7542,0
2017-09-14,19:00:00,17.523,17.542,17.513,17.524,9477,0
2017-09-14,20:00:00,17.523,17.523,17.503,17.513,1434,0
2017-09-14,21:00:00,17.484,17.493,17.464,17.484,3594,0
2017-09-14,22:00:00,17.503,17.513,17.474,17.513,8533,0
2017-09-15,16:00:00,17.523,17.523,17.523,17.523,903,0
2017-09-15,17:00:00,17.488,17.543,17.474,17.503,44671,0
2017-09-15,18:00:00,17.523,17.523,17.503,17.503,30017,0
2017-09-15,19:00:00,17.498,17.503,17.484,17.487,13220,0
2017-09-15,20:00:00,17.503,17.503,17.474,17.503,4344,0
2017-09-15,22:00:00,17.513,17.78,17.499,17.78,5948,0
2017-09-18,16:00:00,17.79,17.79,17.562,17.562,4879,0
2017-09-18,17:00:00,17.595,17.609,17.562,17.59,7986,0
2017-09-18,18:00:00,17.609,17.609,17.607,17.609,677,0
2017-09-18,19:00:00,17.57,17.57,17.57,17.57,160,0
2017-09-18,20:00:00,17.58,17.609,17.58,17.609,628,0
2017-09-18,21:00:00,17.609,17.686,17.603,17.646,34749,0
2017-09-18,22:00:00,17.646,17.676,17.628,17.666,57531,0
2017-09-19,16:00:00,17.656,17.656,17.617,17.617,3763,0
2017-09-19,17:00:00,17.617,17.617,17.613,17.617,1646,0
2017-09-19,18:00:00,17.615,17.617,17.613,17.617,7378,0
2017-09-19,19:00:00,17.617,17.617,17.609,17.614,6058,0
2017-09-19,20:00:00,17.617,17.617,17.614,17.617,8398,0
2017-09-19,21:00:00,17.613,17.617,17.609,17.609,3273,0
2017-09-19,22:00:00,17.609,17.627,17.609,17.627,2070,0
2017-09-20,16:00:00,17.656,17.666,17.624,17.666,2970,0
2017-09-20,17:00:00,17.666,17.666,17.64,17.661,13301,0
2017-09-20,18:00:00,17.661,17.666,17.661,17.666,3441,0
2017-09-20,19:00:00,17.661,17.666,17.656,17.656,7609,0
2017-09-20,20:00:00,17.656,17.656,17.646,17.646,1828,0
2017-09-20,21:00:00,17.66,17.66,17.656,17.656,1263,0
2017-09-20,22:00:00,17.656,17.666,17.646,17.666,13775,0
2017-09-21,16:00:00,17.81,17.81,17.746,17.781,1901,0
2017-09-21,17:00:00,17.753,17.753,17.733,17.733,5990,0
2017-09-21,18:00:00,17.725,17.733,17.715,17.725,3570,0
2017-09-21,19:00:00,17.724,17.724,17.701,17.705,3654,0
2017-09-21,20:00:00,17.705,17.725,17.705,17.725,518,0
2017-09-21,21:00:00,17.724,17.737,17.724,17.737,1662,0
2017-09-21,22:00:00,17.721,17.763,17.721,17.763,1084,0
2017-09-22,16:00:00,17.869,17.869,17.753,17.763,5360,0
2017-09-22,17:00:00,17.745,17.763,17.735,17.762,9064,0
2017-09-22,18:00:00,17.753,17.763,17.725,17.725,7423,0
2017-09-22,19:00:00,17.725,17.743,17.715,17.733,14630,0
2017-09-22,20:00:00,17.733,17.743,17.733,17.733,2186,0
2017-09-22,21:00:00,17.752,17.763,17.725,17.725,3866,0
2017-09-22,22:00:00,17.735,17.82,17.728,17.743,18656,0
2017-09-25,16:00:00,17.733,17.733,17.733,17.733,1469,0
2017-09-25,17:00:00,17.743,17.744,17.666,17.686,7540,0
2017-09-25,18:00:00,17.666,17.676,17.666,17.666,312,0
2017-09-25,19:00:00,17.676,17.676,17.676,17.676,106,0
2017-09-25,20:00:00,17.696,17.696,17.696,17.696,554,0
