Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,8.8925,8.9402,8.8925,8.9402,3365,0
2017-09-06,17:00:00,8.9115,8.9115,8.8734,8.883,7274,0
2017-09-06,18:00:00,8.9115,8.9211,8.8639,8.8639,7590,0
2017-09-06,19:00:00,8.8925,8.8925,8.8543,8.8925,4326,0
2017-09-06,20:00:00,8.8609,8.8925,8.8587,8.883,11756,0
2017-09-06,21:00:00,8.8639,8.9021,8.8639,8.8925,2859,0
2017-09-06,22:00:00,8.8831,8.8831,8.8449,8.8543,9944,0
2017-09-07,16:00:00,8.8925,8.8925,8.8225,8.8353,10724,0
2017-09-07,17:00:00,8.8353,8.9211,8.8162,8.9115,27506,0
2017-09-07,18:00:00,8.9115,8.9211,8.8543,8.8726,8933,0
2017-09-07,19:00:00,8.8734,8.9115,8.8543,8.889,7568,0
2017-09-07,20:00:00,8.921,8.921,8.8673,8.8673,4036,0
2017-09-07,21:00:00,8.883,8.883,8.8449,8.883,9314,0
2017-09-07,22:00:00,8.8639,8.883,8.8258,8.883,10254,0
2017-09-08,16:00:00,8.9115,8.9306,8.8639,8.8734,9978,0
2017-09-08,17:00:00,8.883,8.883,8.8162,8.8289,11574,0
2017-09-08,18:00:00,8.8353,8.8353,8.767,8.8037,18768,0
2017-09-08,19:00:00,8.7842,8.7842,8.7495,8.754,3987,0
2017-09-08,20:00:00,8.7692,8.7781,8.7305,8.74,9232,0
2017-09-08,21:00:00,8.7327,8.7495,8.7209,8.7209,3355,0
2017-09-08,22:00:00,8.7305,8.759,8.7305,8.74,6831,0
2017-09-11,16:00:00,8.7305,8.7686,8.7305,8.7495,9427,0
2017-09-11,17:00:00,8.759,8.7962,8.7403,8.7877,4007,0
2017-09-11,18:00:00,8.7781,8.7972,8.759,8.7972,6470,0
2017-09-11,19:00:00,8.7972,8.7972,8.759,8.759,5861,0
2017-09-11,20:00:00,8.762,8.7972,8.74,8.7762,4226,0
2017-09-11,21:00:00,8.7716,8.7903,8.7495,8.7495,10420,0
2017-09-11,22:00:00,8.7748,8.7877,8.7495,8.7877,7552,0
2017-09-12,16:00:00,8.8543,8.8543,8.7305,8.7877,21086,0
2017-09-12,17:00:00,8.7877,8.8067,8.7877,8.7972,10948,0
2017-09-12,18:00:00,8.7972,8.8067,8.7877,8.7877,6662,0
2017-09-12,19:00:00,8.7877,8.8027,8.7781,8.8027,6304,0
2017-09-12,20:00:00,8.7877,8.8027,8.7726,8.7823,8574,0
2017-09-12,21:00:00,8.7815,8.8067,8.7781,8.7877,8000,0
2017-09-12,22:00:00,8.8067,8.8067,8.74,8.7495,20892,0
2017-09-13,16:00:00,8.7495,8.8063,8.7315,8.8063,12037,0
2017-09-13,17:00:00,8.7877,8.8081,8.7686,8.7972,59191,0
2017-09-13,18:00:00,8.8178,8.8543,8.7877,8.8449,11491,0
2017-09-13,19:00:00,8.8353,8.8372,8.7972,8.8116,17963,0
2017-09-13,20:00:00,8.8104,8.8449,8.7877,8.8449,6524,0
2017-09-13,21:00:00,8.8147,8.8162,8.7877,8.8061,11847,0
2017-09-13,22:00:00,8.8066,8.8067,8.7686,8.7686,12727,0
2017-09-14,16:00:00,8.7972,8.8543,8.7972,8.8543,10904,0
2017-09-14,17:00:00,8.8639,8.9402,8.8353,8.9306,30058,0
2017-09-14,18:00:00,8.9258,8.9639,8.8639,8.8816,10946,0
2017-09-14,19:00:00,8.9021,8.9021,8.8639,8.8816,6696,0
2017-09-14,20:00:00,8.8749,8.8829,8.8353,8.8498,16879,0
2017-09-14,21:00:00,8.8531,8.8733,8.8258,8.8733,5219,0
2017-09-14,22:00:00,8.8636,8.8734,8.8258,8.8449,15314,0
2017-09-15,16:00:00,8.8543,8.8929,8.8543,8.8639,11683,0
2017-09-15,17:00:00,8.8449,8.8449,8.7877,8.8067,5627,0
2017-09-15,18:00:00,8.7802,8.8008,8.7802,8.7878,4727,0
2017-09-15,19:00:00,8.8067,8.8067,8.7591,8.7769,2857,0
2017-09-15,20:00:00,8.7781,8.7881,8.7686,8.7877,11163,0
2017-09-15,21:00:00,8.7686,8.7751,8.7305,8.7305,23362,0
2017-09-15,22:00:00,8.7305,8.7399,8.6828,8.7018,47692,0
2017-09-18,16:00:00,8.6924,8.7495,8.6924,8.7495,32416,0
2017-09-18,17:00:00,8.7686,8.7686,8.7305,8.7305,13913,0
2017-09-18,18:00:00,8.7305,8.7305,8.7018,8.7145,4887,0
2017-09-18,19:00:00,8.7114,8.7305,8.6924,8.7127,22753,0
2017-09-18,20:00:00,8.74,8.74,8.6999,8.7094,4774,0
2017-09-18,21:00:00,8.7104,8.74,8.6828,8.6925,23557,0
2017-09-18,22:00:00,8.7209,8.7305,8.6828,8.7305,14123,0
2017-09-19,16:00:00,8.74,8.7686,8.74,8.7623,15587,0
2017-09-19,17:00:00,8.759,8.7665,8.7495,8.7558,20360,0
2017-09-19,18:00:00,8.7581,8.759,8.7496,8.7497,3903,0
2017-09-19,19:00:00,8.7532,8.7658,8.7495,8.7495,13045,0
2017-09-19,20:00:00,8.759,8.7686,8.7495,8.7686,17609,0
2017-09-19,21:00:00,8.7556,8.7686,8.7495,8.759,11840,0
2017-09-19,22:00:00,8.759,8.7686,8.6743,8.6924,73714,0
2017-09-20,16:00:00,8.759,8.7781,8.733,8.7734,23410,0
2017-09-20,17:00:00,8.7781,8.7877,8.759,8.7877,16497,0
2017-09-20,18:00:00,8.7781,8.8162,8.7781,8.8162,15996,0
2017-09-20,19:00:00,8.8086,8.8162,8.759,8.759,24712,0
2017-09-20,20:00:00,8.759,8.7877,8.7305,8.7781,13429,0
2017-09-20,21:00:00,8.7495,8.7708,8.7209,8.7401,18129,0
2017-09-20,22:00:00,8.7209,8.8449,8.7114,8.8449,27963,0
2017-09-21,16:00:00,8.7877,8.7877,8.7686,8.7686,12328,0
2017-09-21,17:00:00,8.7495,8.7495,8.6924,8.7209,4391,0
2017-09-21,18:00:00,8.7114,8.7209,8.6637,8.6637,7054,0
2017-09-21,19:00:00,8.6733,8.7114,8.6733,8.7114,4957,0
2017-09-21,20:00:00,8.6829,8.7114,8.6829,8.7114,8228,0
2017-09-21,21:00:00,8.7114,8.7114,8.6829,8.7114,6839,0
2017-09-21,22:00:00,8.7114,8.7209,8.6542,8.6637,16643,0
2017-09-22,16:00:00,8.6352,8.7114,8.6352,8.6828,18319,0
2017-09-22,17:00:00,8.6924,8.7114,8.6542,8.6637,16019,0
2017-09-22,18:00:00,8.6637,8.7018,8.6542,8.7013,13026,0
2017-09-22,19:00:00,8.6924,8.7018,8.6637,8.6828,13640,0
2017-09-22,20:00:00,8.6828,8.7114,8.6821,8.7114,5634,0
2017-09-22,21:00:00,8.7114,8.7495,8.6733,8.6733,21698,0
2017-09-22,22:00:00,8.7209,8.759,8.6637,8.7209,14191,0
2017-09-25,16:00:00,8.7972,8.8314,8.74,8.8258,27348,0
2017-09-25,17:00:00,8.8258,8.8353,8.8067,8.8067,10082,0
2017-09-25,18:00:00,8.8098,8.8543,8.7972,8.8449,12103,0
2017-09-25,19:00:00,8.8543,8.8734,8.8416,8.8734,13619,0
2017-09-25,20:00:00,8.8734,8.9039,8.8734,8.8968,15922,0
2017-09-25,21:00:00,8.9024,8.9218,8.8639,8.8925,40919,0
2017-09-25,22:00:00,8.883,8.9115,8.8543,8.9021,35201,0
2017-09-26,16:00:00,8.883,8.883,8.8162,8.8639,21911,0
2017-09-26,17:00:00,8.8543,8.8723,8.8449,8.8639,11804,0
2017-09-26,18:00:00,8.8639,8.8925,8.8543,8.8925,7238,0
2017-09-26,19:00:00,8.9081,8.9114,8.893,8.893,6082,0
2017-09-26,20:00:00,8.8948,8.9177,8.8734,8.8925,30187,0
2017-09-26,21:00:00,8.8839,8.8925,8.883,8.8877,32346,0
2017-09-26,22:00:00,8.8877,8.9306,8.8877,8.9306,22051,0
2017-09-27,16:00:00,8.9592,9.0307,8.9306,8.9306,32190,0
2017-09-27,17:00:00,8.9021,8.9211,8.8353,8.8353,13291,0
2017-09-27,18:00:00,8.8353,8.8543,8.8067,8.8258,74989,0
2017-09-27,19:00:00,8.8321,8.8543,8.8163,8.8353,10377,0
2017-09-27,20:00:00,8.8258,8.8353,8.7781,8.7781,29541,0
2017-09-27,21:00:00,8.7781,8.8286,8.759,8.7686,49894,0
2017-09-27,22:00:00,8.7686,8.8266,8.7686,8.8162,51181,0
2017-09-28,16:00:00,8.8925,8.9115,8.8639,8.8639,22960,0
2017-09-28,17:00:00,8.8639,8.8734,8.8162,8.8449,12629,0
2017-09-28,18:00:00,8.8258,8.8449,8.7972,8.7972,20671,0
2017-09-28,19:00:00,8.7972,8.8162,8.7781,8.7877,8761,0
2017-09-28,20:00:00,8.8053,8.8162,8.7877,8.8055,14091,0
2017-09-28,21:00:00,8.7877,8.8067,8.7781,8.7781,9863,0
2017-09-28,22:00:00,8.7781,8.7877,8.7686,8.7781,27029,0
2017-09-29,16:00:00,8.74,8.9402,8.74,8.9021,16456,0
2017-09-29,17:00:00,8.9306,8.9402,8.8734,8.9021,11102,0
2017-09-29,18:00:00,8.8926,8.9402,8.8926,8.9211,7306,0
2017-09-29,19:00:00,8.9115,8.9402,8.8925,8.9021,10540,0
2017-09-29,20:00:00,8.8925,8.9306,8.8734,8.8734,10152,0
2017-09-29,21:00:00,8.8739,8.8982,8.8734,8.8982,10806,0
2017-09-29,22:00:00,8.8734,8.9021,8.8734,8.8925,19021,0
