Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,75.57,75.95,74.92,75.01,18428,0
2017-09-06,17:00:00,75.03,75.03,74.21,74.85,64523,0
2017-09-06,18:00:00,74.8722,75.03,74.39,74.74,75842,0
2017-09-06,19:00:00,74.76,74.98,74.52,74.61,32501,0
2017-09-06,20:00:00,74.52,74.98,73.99,74.28,125190,0
2017-09-06,21:00:00,74.33,74.475,73.52,74.035,173984,0
2017-09-06,22:00:00,74.02,74.13,72.97,73.23,363915,0
2017-09-07,16:00:00,74.4,79.71,73.4176,78.67,315823,0
2017-09-07,17:00:00,78.78,79.56,77.5806,78.59,325501,0
2017-09-07,18:00:00,78.65,79.39,78.34,79.085,217038,0
2017-09-07,19:00:00,79.085,80.95,78.67,80.6605,182868,0
2017-09-07,20:00:00,80.73,81.07,79.85,80.15,166747,0
2017-09-07,21:00:00,80.15,80.5,79.92,80.13,182427,0
2017-09-07,22:00:00,80.165,80.35,79.76,80.06,419007,0
2017-09-08,16:00:00,80.01,81.46,79.99,80.34,128658,0
2017-09-08,17:00:00,80.52,80.8,79.95,80.18,233310,0
2017-09-08,18:00:00,80.19,80.56,80.105,80.52,77672,0
2017-09-08,19:00:00,80.49,80.56,80.06,80.31,60356,0
2017-09-08,20:00:00,80.2598,80.39,79.77,80,73205,0
2017-09-08,21:00:00,79.99,80,78.94,79.285,139136,0
2017-09-08,22:00:00,79.285,79.92,79.238,79.81,298866,0
2017-09-11,16:00:00,80.39,80.5,79.36,79.665,62780,0
2017-09-11,17:00:00,79.8,79.92,78.8,78.8048,87143,0
2017-09-11,18:00:00,78.79,79.45,78.73,79.35,69061,0
2017-09-11,19:00:00,79.32,79.56,78.94,79.34,62045,0
2017-09-11,20:00:00,79.34,79.57,79.24,79.44,44345,0
2017-09-11,21:00:00,79.46,79.54,79.19,79.38,70792,0
2017-09-11,22:00:00,79.37,79.94,79.37,79.71,244426,0
2017-09-12,16:00:00,80,80.0651,79.45,79.55,18700,0
2017-09-12,17:00:00,79.5,79.64,78.85,78.85,36518,0
2017-09-12,18:00:00,78.82,78.85,78.44,78.7,72552,0
2017-09-12,19:00:00,78.74,78.99,78.62,78.84,55139,0
