Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-06,16:00:00,30.297,30.307,30.1,30.155,38815,0
2017-09-06,17:00:00,30.16,30.189,30.11,30.15,78842,0
2017-09-06,18:00:00,30.16,30.16,30.071,30.091,73175,0
2017-09-06,19:00:00,30.081,30.1,30.064,30.081,42751,0
2017-09-06,20:00:00,30.081,30.086,29.992,29.992,45395,0
2017-09-06,21:00:00,29.992,30.012,29.973,30.012,65734,0
2017-09-06,22:00:00,30.012,30.037,29.963,30.002,691920,0
2017-09-07,16:00:00,30.081,30.1,30.002,30.081,66727,0
2017-09-07,17:00:00,30.081,30.189,30.052,30.15,134023,0
2017-09-07,18:00:00,30.15,30.15,30.052,30.076,102608,0
2017-09-07,19:00:00,30.077,30.077,29.982,30.027,57776,0
2017-09-07,20:00:00,30.032,30.081,30.007,30.081,73886,0
2017-09-07,21:00:00,30.076,30.081,29.982,30.071,194316,0
2017-09-07,22:00:00,30.067,30.179,30.032,30.13,585561,0
2017-09-08,16:00:00,30.071,30.091,29.894,29.992,52532,0
2017-09-08,17:00:00,30.002,30.032,29.973,30.022,104700,0
2017-09-08,18:00:00,30.032,30.091,30.022,30.076,108059,0
2017-09-08,19:00:00,30.076,30.14,30.071,30.14,62931,0
2017-09-08,20:00:00,30.13,30.179,30.12,30.155,107401,0
2017-09-08,21:00:00,30.15,30.278,30.15,30.248,135517,0
2017-09-08,22:00:00,30.248,30.248,30.14,30.209,503918,0
2017-09-11,16:00:00,30.248,30.376,30.218,30.34,56189,0
2017-09-11,17:00:00,30.346,30.484,30.332,30.464,120170,0
2017-09-11,18:00:00,30.464,30.563,30.445,30.563,143143,0
2017-09-11,19:00:00,30.563,30.582,30.518,30.553,89139,0
2017-09-11,20:00:00,30.553,30.592,30.553,30.582,80998,0
2017-09-11,21:00:00,30.577,30.611,30.503,30.503,99120,0
2017-09-11,22:00:00,30.503,30.533,30.405,30.474,621505,0
2017-09-12,16:00:00,30.425,30.533,30.327,30.432,98967,0
2017-09-12,17:00:00,30.435,30.523,30.376,30.395,239029,0
2017-09-12,18:00:00,30.395,30.41,30.327,30.371,111669,0
2017-09-12,19:00:00,30.366,30.376,30.327,30.366,93484,0
2017-09-12,20:00:00,30.356,30.386,30.243,30.258,88552,0
2017-09-12,21:00:00,30.258,30.336,30.204,30.332,128832,0
2017-09-12,22:00:00,30.332,30.336,30.179,30.199,460672,0
2017-09-13,16:00:00,30.228,30.238,30.012,30.012,89981,0
2017-09-13,17:00:00,30.007,30.012,29.914,29.949,218267,0
2017-09-13,18:00:00,29.959,30.17,29.864,30.16,292487,0
2017-09-13,19:00:00,30.165,30.199,30.125,30.13,122363,0
2017-09-13,20:00:00,30.12,30.135,30.052,30.076,91717,0
2017-09-13,21:00:00,30.076,30.095,30.042,30.081,53600,0
2017-09-13,22:00:00,30.086,30.086,29.954,29.954,562347,0
2017-09-14,16:00:00,29.934,30.007,29.884,30.002,39870,0
2017-09-14,17:00:00,30.007,30.179,30.002,30.16,86203,0
2017-09-14,18:00:00,30.155,30.209,30.125,30.17,83741,0
2017-09-14,19:00:00,30.175,30.223,30.175,30.189,74491,0
2017-09-14,20:00:00,30.194,30.292,30.15,30.283,86691,0
2017-09-14,21:00:00,30.278,30.336,30.263,30.287,110917,0
2017-09-14,22:00:00,30.278,30.278,30.199,30.228,768416,0
2017-09-15,16:00:00,30.268,30.317,30.125,30.14,180385,0
2017-09-15,17:00:00,30.14,30.14,30.012,30.071,142590,0
2017-09-15,18:00:00,30.062,30.199,30.062,30.194,66378,0
2017-09-15,19:00:00,30.194,30.346,30.179,30.341,111281,0
2017-09-15,20:00:00,30.341,30.386,30.307,30.332,108954,0
2017-09-15,21:00:00,30.336,30.405,30.327,30.356,163199,0
2017-09-15,22:00:00,30.356,30.445,30.273,30.327,834283,0
2017-09-18,16:00:00,30.307,30.386,30.189,30.248,42164,0
2017-09-18,17:00:00,30.258,30.307,30.16,30.307,252873,0
2017-09-18,18:00:00,30.302,30.366,30.238,30.258,140676,0
2017-09-18,19:00:00,30.253,30.253,30.071,30.095,76497,0
2017-09-18,20:00:00,30.1,30.11,29.963,29.963,64554,0
2017-09-18,21:00:00,29.963,30.042,29.929,30.017,104586,0
2017-09-18,22:00:00,30.012,30.052,29.973,30.032,303088,0
2017-09-19,16:00:00,30.062,30.268,30.062,30.238,53567,0
2017-09-19,17:00:00,30.238,30.327,30.12,30.317,154297,0
2017-09-19,18:00:00,30.307,30.356,30.248,30.253,257560,0
2017-09-19,19:00:00,30.253,30.415,30.228,30.287,147722,0
2017-09-19,20:00:00,30.292,30.327,30.233,30.273,300819,0
2017-09-19,21:00:00,30.268,30.278,30.209,30.238,113148,0
2017-09-19,22:00:00,30.238,30.287,30.209,30.209,494275,0
2017-09-20,16:00:00,30.268,30.317,30.165,30.248,56611,0
2017-09-20,17:00:00,30.248,30.263,30.11,30.179,81745,0
2017-09-20,18:00:00,30.184,30.209,30.062,30.115,62657,0
2017-09-20,19:00:00,30.12,30.155,30.091,30.15,109464,0
2017-09-20,20:00:00,30.145,30.268,30.145,30.238,81445,0
2017-09-20,21:00:00,30.238,30.238,29.934,30.002,289812,0
2017-09-20,22:00:00,29.997,30.091,29.992,30.022,352392,0
2017-09-21,16:00:00,30.002,30.11,29.874,30.095,56968,0
2017-09-21,17:00:00,30.11,30.189,30.062,30.081,153264,0
2017-09-21,18:00:00,30.081,30.081,29.954,29.954,42576,0
2017-09-21,19:00:00,29.954,29.954,29.899,29.954,44929,0
2017-09-21,20:00:00,29.944,29.973,29.894,29.909,45736,0
2017-09-21,21:00:00,29.904,29.963,29.904,29.963,100379,0
2017-09-21,22:00:00,29.963,30.002,29.934,29.973,137455,0
2017-09-22,16:00:00,30.042,30.062,29.924,29.954,59427,0
2017-09-22,17:00:00,29.954,29.963,29.846,29.939,81172,0
2017-09-22,18:00:00,29.934,29.939,29.874,29.909,57126,0
2017-09-22,19:00:00,29.909,29.944,29.864,29.884,63188,0
2017-09-22,20:00:00,29.894,29.894,29.831,29.846,51465,0
2017-09-22,21:00:00,29.841,29.841,29.766,29.786,74645,0
2017-09-22,22:00:00,29.791,29.806,29.698,29.718,345177,0
2017-09-25,16:00:00,29.698,29.746,29.658,29.703,40500,0
2017-09-25,17:00:00,29.703,29.864,29.703,29.796,87965,0
2017-09-25,18:00:00,29.796,29.954,29.756,29.949,145879,0
2017-09-25,19:00:00,29.949,30.002,29.904,29.924,124273,0
2017-09-25,20:00:00,29.924,29.934,29.786,29.796,64859,0
2017-09-25,21:00:00,29.796,29.894,29.796,29.864,120725,0
2017-09-25,22:00:00,29.869,29.944,29.836,29.914,357018,0
2017-09-26,16:00:00,29.973,30.022,29.776,30.022,115127,0
