Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,36.511,36.826,36.461,36.501,9558,0
2017-09-05,17:00:00,36.511,36.565,36.333,36.491,14344,0
2017-09-05,18:00:00,36.511,36.531,36.363,36.393,11506,0
2017-09-05,19:00:00,36.373,36.432,35.999,35.999,8847,0
2017-09-05,20:00:00,35.989,35.989,35.694,35.762,13512,0
2017-09-05,21:00:00,35.782,35.871,35.644,35.709,12914,0
2017-09-05,22:00:00,35.723,36.048,35.624,36.019,107472,0
2017-09-06,16:00:00,36.166,36.295,36.048,36.295,8585,0
2017-09-06,17:00:00,36.343,36.501,36.295,36.363,21164,0
2017-09-06,18:00:00,36.373,36.403,36.028,36.087,11646,0
2017-09-06,19:00:00,36.107,36.157,35.94,36.157,12328,0
2017-09-06,20:00:00,36.147,36.295,36.112,36.112,14031,0
2017-09-06,21:00:00,36.137,36.147,35.93,35.989,20657,0
2017-09-06,22:00:00,36,36.087,35.95,36.038,79482,0
2017-09-07,16:00:00,36.107,36.107,35.614,35.614,7090,0
2017-09-07,17:00:00,35.595,35.644,35.27,35.566,13210,0
2017-09-07,18:00:00,35.526,35.526,35.192,35.468,13305,0
2017-09-07,19:00:00,35.478,35.881,35.468,35.812,11359,0
2017-09-07,20:00:00,35.772,35.802,35.476,35.622,13395,0
2017-09-07,21:00:00,35.634,35.743,35.595,35.644,8161,0
2017-09-07,22:00:00,35.644,35.684,35.595,35.664,54047,0
2017-09-08,16:00:00,35.458,35.752,35.25,35.704,12974,0
2017-09-08,17:00:00,35.684,36.195,35.684,36.179,12815,0
2017-09-08,18:00:00,36.205,36.323,36.009,36.265,20390,0
2017-09-08,19:00:00,36.265,36.353,36.019,36.353,9731,0
2017-09-08,20:00:00,36.343,36.531,36.265,36.531,10749,0
2017-09-08,21:00:00,36.521,36.575,36.383,36.413,11305,0
2017-09-08,22:00:00,36.413,36.451,36.304,36.441,66968,0
2017-09-11,16:00:00,36.708,36.914,36.285,36.717,11849,0
2017-09-11,17:00:00,36.717,36.737,36.461,36.649,10423,0
2017-09-11,18:00:00,36.698,36.875,36.589,36.826,15642,0
2017-09-11,19:00:00,36.831,37.131,36.816,37.131,13109,0
2017-09-11,20:00:00,37.112,37.16,36.846,36.846,13406,0
2017-09-11,21:00:00,36.905,36.964,36.865,36.914,8856,0
2017-09-11,22:00:00,36.964,37.023,36.836,36.944,97179,0
2017-09-12,16:00:00,37.032,37.378,37.032,37.278,8266,0
2017-09-12,17:00:00,37.288,37.387,36.984,36.984,21261,0
2017-09-12,18:00:00,37.032,37.22,36.846,37.131,12701,0
2017-09-12,19:00:00,37.112,37.26,37.033,37.23,9408,0
2017-09-12,20:00:00,37.2,37.308,37.2,37.25,22609,0
2017-09-12,21:00:00,37.25,37.318,37.22,37.318,7959,0
2017-09-12,22:00:00,37.308,37.378,37.15,37.22,47315,0
2017-09-13,16:00:00,37.19,37.387,36.855,36.954,27059,0
2017-09-13,17:00:00,37.052,37.17,36.924,37.042,17234,0
2017-09-13,18:00:00,37.042,37.082,36.964,37.013,17205,0
2017-09-13,19:00:00,36.993,37.298,36.944,37.24,17392,0
2017-09-13,20:00:00,37.211,37.26,37.082,37.092,14337,0
2017-09-13,21:00:00,37.112,37.17,37.013,37.131,21518,0
2017-09-13,22:00:00,37.131,37.131,37.023,37.072,80375,0
2017-09-14,16:00:00,37.072,37.24,36.905,36.914,9584,0
2017-09-14,17:00:00,36.914,36.964,36.708,36.777,20569,0
2017-09-14,18:00:00,36.777,36.787,36.501,36.57,25492,0
2017-09-14,19:00:00,36.609,36.703,36.471,36.55,28748,0
2017-09-14,20:00:00,36.536,36.811,36.531,36.629,34633,0
2017-09-14,21:00:00,36.664,36.737,36.609,36.668,17940,0
2017-09-14,22:00:00,36.668,36.678,36.55,36.609,86471,0
2017-09-15,16:00:00,36.619,37.072,36.428,36.944,99496,0
2017-09-15,17:00:00,36.984,37.141,36.885,36.929,18308,0
2017-09-15,18:00:00,36.905,37.368,36.905,37.122,15177,0
2017-09-15,19:00:00,37.092,37.288,37.092,37.131,12542,0
2017-09-15,20:00:00,37.122,37.15,36.959,37.077,9787,0
2017-09-15,21:00:00,37.082,37.318,37.062,37.268,19196,0
2017-09-15,22:00:00,37.268,37.368,37.122,37.348,122254,0
2017-09-18,16:00:00,37.368,37.554,37.318,37.416,41145,0
2017-09-18,17:00:00,37.406,37.604,37.378,37.515,31506,0
2017-09-18,18:00:00,37.506,37.515,37.072,37.15,8645,0
2017-09-18,19:00:00,37.112,37.397,37.03,37.19,13229,0
2017-09-18,20:00:00,37.24,37.368,37.122,37.358,12063,0
2017-09-18,21:00:00,37.378,37.506,37.278,37.328,12645,0
2017-09-18,22:00:00,37.318,37.368,37.24,37.298,41999,0
2017-09-19,16:00:00,37.416,37.811,37.083,37.15,31021,0
2017-09-19,17:00:00,37.26,37.406,37.21,37.22,16382,0
2017-09-19,18:00:00,37.18,37.416,37.013,37.26,30878,0
2017-09-19,19:00:00,37.268,37.486,37.255,37.397,12481,0
2017-09-19,20:00:00,37.392,37.604,37.387,37.515,9467,0
2017-09-19,21:00:00,37.506,37.515,37.406,37.446,12532,0
2017-09-19,22:00:00,37.456,37.525,37.456,37.476,66170,0
2017-09-20,16:00:00,37.338,37.368,37.092,37.15,21561,0
2017-09-20,17:00:00,37.131,37.535,37.122,37.535,31264,0
2017-09-20,18:00:00,37.633,37.643,37.406,37.476,16698,0
2017-09-20,19:00:00,37.466,37.614,37.446,37.535,32752,0
2017-09-20,20:00:00,37.545,37.564,37.476,37.476,7066,0
2017-09-20,21:00:00,37.486,37.554,37.368,37.426,26397,0
2017-09-20,22:00:00,37.436,37.466,37.383,37.426,60830,0
2017-09-21,16:00:00,37.368,38.007,37.368,37.525,43395,0
2017-09-21,17:00:00,37.496,37.899,37.476,37.614,19687,0
2017-09-21,18:00:00,37.609,37.801,37.476,37.771,16811,0
2017-09-21,19:00:00,37.702,37.727,37.604,37.663,20231,0
2017-09-21,20:00:00,37.663,37.997,37.653,37.939,21082,0
2017-09-21,21:00:00,37.929,38.057,37.751,37.84,15110,0
2017-09-21,22:00:00,37.85,37.899,37.624,37.673,67121,0
2017-09-22,16:00:00,37.751,38.145,37.751,38.017,6131,0
2017-09-22,17:00:00,38.007,38.293,37.949,37.959,21586,0
2017-09-22,18:00:00,37.987,38.11,37.909,37.909,8672,0
2017-09-22,19:00:00,37.919,38.007,37.909,37.968,10684,0
2017-09-22,20:00:00,37.939,38.185,37.919,38.135,14034,0
2017-09-22,21:00:00,38.135,38.234,38.105,38.125,14151,0
2017-09-22,22:00:00,38.115,38.234,38.077,38.105,59185,0
2017-09-25,16:00:00,38.087,38.352,38.087,38.352,2811,0
2017-09-25,17:00:00,38.391,38.648,38.303,38.381,9679,0
2017-09-25,18:00:00,38.263,38.303,38.125,38.145,4028,0
2017-09-25,19:00:00,38.115,38.519,38.115,38.49,10644,0
2017-09-25,20:00:00,38.47,38.559,38.372,38.411,14991,0
2017-09-25,21:00:00,38.451,38.677,38.441,38.569,20037,0
2017-09-25,22:00:00,38.618,38.637,38.362,38.451,81883,0
2017-09-26,16:00:00,38.343,38.767,38.22,38.519,11882,0
2017-09-26,17:00:00,38.608,38.844,38.519,38.549,36168,0
2017-09-26,18:00:00,38.574,39.057,38.569,38.914,16998,0
2017-09-26,19:00:00,38.942,38.992,38.864,38.874,15945,0
2017-09-26,20:00:00,38.864,39.278,38.746,39.258,16041,0
2017-09-26,21:00:00,39.278,39.287,38.952,38.992,18638,0
2017-09-26,22:00:00,39.022,39.16,38.972,38.992,49859,0
2017-09-27,16:00:00,39.238,39.406,39.18,39.189,5090,0
