Date,Time,Open,High,Low,Close,Volume,OpenInt
2018-01-24,20:00:00,25.2851,25.2851,25.2851,25.2851,150,0
2018-01-24,22:00:00,25.3635,25.3635,25.3635,25.3635,100,0
2018-01-25,17:00:00,25.32,25.32,25.2804,25.2804,200,0
2018-01-30,17:00:00,25.229,25.23,25.202,25.202,5500,0
2018-01-30,18:00:00,25.249,25.249,25.24,25.24,353,0
2018-01-30,22:00:00,25.2,25.2,25.2,25.2,1000,0
2018-02-01,16:00:00,25.21,25.21,25.21,25.21,100,0
2018-02-02,16:00:00,25.19,25.19,25.14,25.14,400,0
2018-02-05,16:00:00,24.5752,24.5752,24.5752,24.5752,100,0
2018-02-06,16:00:00,23.65,23.94,23.65,23.94,200,0
2018-02-06,17:00:00,23.64,23.7,23.64,23.7,200,0
2018-02-06,18:00:00,23.59,23.62,23.59,23.62,200,0
2018-02-06,19:00:00,23.69,23.69,23.69,23.69,100,0
2018-02-06,20:00:00,23.68,23.68,23.59,23.59,200,0
2018-02-06,21:00:00,23.54,23.71,23.54,23.71,200,0
2018-02-06,22:00:00,24,24.02,24,24.02,200,0
2018-02-14,20:00:00,24.1401,24.1401,24.1401,24.1401,200,0
2018-02-21,16:00:00,24.36,24.36,24.36,24.36,210,0
2018-02-21,18:00:00,24.4172,24.4172,24.41,24.41,400,0
2018-02-23,19:00:00,24.306,24.306,24.306,24.306,100,0
2018-03-02,16:00:00,23.7,23.7,23.7,23.7,100,0
2018-03-05,19:00:00,24.06,24.06,24.06,24.06,100,0
2018-03-22,15:00:00,24.0499,24.0499,24.0499,24.0499,100,0
