Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,3.92,4,3.81,3.82,51950,0
2017-09-05,17:00:00,3.835,3.835,3.76,3.795,66320,0
2017-09-05,18:00:00,3.8,3.83,3.72,3.765,124668,0
2017-09-05,19:00:00,3.76,3.76,3.69,3.71,57947,0
2017-09-05,20:00:00,3.7,3.8,3.69,3.8,41779,0
2017-09-05,21:00:00,3.7886,3.82,3.7886,3.79,75162,0
2017-09-05,22:00:00,3.81,3.9,3.8,3.86,102035,0
2017-09-06,16:00:00,3.89,3.9,3.78,3.78,20012,0
2017-09-06,17:00:00,3.78,3.82,3.75,3.75,44274,0
2017-09-06,18:00:00,3.76,3.79,3.74,3.76,41397,0
2017-09-06,19:00:00,3.765,3.765,3.74,3.74,19865,0
2017-09-06,20:00:00,3.74,3.77,3.72,3.75,24707,0
2017-09-06,21:00:00,3.76,3.8,3.755,3.79,20648,0
2017-09-06,22:00:00,3.79,3.81,3.77,3.8,66443,0
2017-09-07,16:00:00,3.79,3.86,3.73,3.785,26031,0
2017-09-07,17:00:00,3.78,3.9,3.77,3.88,74028,0
2017-09-07,18:00:00,3.88,3.99,3.86,3.96,108880,0
2017-09-07,19:00:00,3.96,4.02,3.93,3.995,89138,0
2017-09-07,20:00:00,4,4.01,3.98,3.99,24912,0
2017-09-07,21:00:00,3.9899,4.1,3.97,4.07,102400,0
2017-09-07,22:00:00,4.08,4.1,3.99,4.02,115076,0
2017-09-08,16:00:00,4.15,4.15,3.99,4.01,167861,0
2017-09-08,17:00:00,4.005,4.05,3.935,3.96,160026,0
2017-09-08,18:00:00,3.96,3.98,3.935,3.94,34121,0
2017-09-08,19:00:00,3.95,3.95,3.87,3.93,43243,0
2017-09-08,20:00:00,3.93,3.94,3.91,3.93,39900,0
2017-09-08,21:00:00,3.94,4.03,3.93,4.01,35143,0
2017-09-08,22:00:00,4.005,4.005,3.95,3.95,81339,0
2017-09-11,16:00:00,3.97,3.99,3.84,3.845,57234,0
2017-09-11,17:00:00,3.84,3.915,3.78,3.91,75891,0
2017-09-11,18:00:00,3.915,3.97,3.905,3.94,32081,0
2017-09-11,19:00:00,3.94,3.97,3.92,3.97,15863,0
2017-09-11,20:00:00,3.965,3.965,3.9,3.905,30673,0
2017-09-11,21:00:00,3.905,3.93,3.9,3.93,22224,0
2017-09-11,22:00:00,3.93,3.97,3.92,3.96,69651,0
2017-09-12,16:00:00,3.96,3.96,3.93,3.94,20938,0
2017-09-12,17:00:00,3.94,4.015,3.94,3.99,72531,0
2017-09-12,18:00:00,3.98,3.99,3.95,3.95,17739,0
2017-09-12,19:00:00,3.95,4.03,3.95,4.02,32036,0
2017-09-12,20:00:00,4.02,4.02,4,4.01,13858,0
2017-09-12,21:00:00,4.01,4.07,4.01,4.055,76709,0
2017-09-12,22:00:00,4.05,4.06,3.99,4.05,208947,0
2017-09-13,16:00:00,4.03,4.1,4,4.095,10159,0
2017-09-13,17:00:00,4.1,4.15,4.06,4.135,110387,0
