Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-05,16:00:00,4.2499,4.2793,4.2303,4.2401,18932,0
2017-09-05,17:00:00,4.2391,4.2597,4.2391,4.2499,12049,0
2017-09-05,18:00:00,4.2695,4.2695,4.2401,4.2597,13695,0
2017-09-05,19:00:00,4.2499,4.2597,4.2401,4.2401,4858,0
2017-09-05,20:00:00,4.2303,4.2401,4.2205,4.2303,3657,0
2017-09-05,21:00:00,4.2303,4.2401,4.2205,4.2254,5328,0
2017-09-05,22:00:00,4.2205,4.2499,4.2107,4.2499,35591,0
2017-09-06,16:00:00,4.2499,4.289,4.2499,4.2695,2438,0
2017-09-06,17:00:00,4.2793,4.3282,4.2793,4.3282,2579,0
2017-09-06,18:00:00,4.3226,4.3478,4.3086,4.3331,18566,0
2017-09-06,19:00:00,4.338,4.338,4.3282,4.3282,7459,0
2017-09-06,20:00:00,4.337,4.338,4.3184,4.3282,20887,0
2017-09-06,21:00:00,4.3282,4.3282,4.3086,4.3282,4025,0
2017-09-06,22:00:00,4.3184,4.3281,4.2793,4.289,31693,0
2017-09-07,16:00:00,4.3086,4.3282,4.2303,4.2597,94936,0
2017-09-07,17:00:00,4.2597,4.3086,4.2205,4.2793,96793,0
2017-09-07,18:00:00,4.2597,4.2695,4.2547,4.2547,3245,0
2017-09-07,19:00:00,4.2597,4.2793,4.2499,4.2597,17157,0
2017-09-07,20:00:00,4.2597,4.2597,4.2567,4.2597,2052,0
2017-09-07,21:00:00,4.2597,4.2793,4.2515,4.2597,9599,0
2017-09-07,22:00:00,4.2509,4.2695,4.2499,4.2499,11633,0
2017-09-08,16:00:00,4.289,4.3086,4.2107,4.2205,97562,0
2017-09-08,17:00:00,4.2107,4.289,4.2107,4.2793,45468,0
2017-09-08,18:00:00,4.2793,4.289,4.2793,4.2793,19259,0
2017-09-08,19:00:00,4.2793,4.289,4.2695,4.289,32072,0
2017-09-08,20:00:00,4.289,4.289,4.2743,4.2793,7764,0
2017-09-08,21:00:00,4.2695,4.2793,4.2597,4.2645,9855,0
2017-09-08,22:00:00,4.2645,4.2793,4.2598,4.2793,34976,0
2017-09-11,16:00:00,4.1421,4.2597,4.1373,4.1617,80298,0
2017-09-11,17:00:00,4.1586,4.2008,4.1544,4.2008,38045,0
2017-09-11,18:00:00,4.2008,4.2107,4.1992,4.2107,32327,0
2017-09-11,19:00:00,4.2107,4.2499,4.2008,4.2107,45250,0
2017-09-11,20:00:00,4.2008,4.2107,4.2008,4.2107,5514,0
2017-09-11,21:00:00,4.2107,4.2205,4.196,4.2008,11130,0
2017-09-11,22:00:00,4.2008,4.2205,4.1911,4.2008,40426,0
