Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-01,16:00:00,10.607,10.656,10.569,10.621,6158,0
2017-09-01,17:00:00,10.636,10.674,10.62,10.66,20088,0
2017-09-01,18:00:00,10.664,10.674,10.626,10.665,9636,0
2017-09-01,19:00:00,10.665,10.665,10.636,10.653,4481,0
2017-09-01,20:00:00,10.636,10.665,10.636,10.664,8738,0
2017-09-01,21:00:00,10.664,10.665,10.656,10.66,1197,0
2017-09-01,22:00:00,10.665,10.674,10.646,10.665,7084,0
2017-09-05,16:00:00,10.646,10.651,10.608,10.646,8552,0
2017-09-05,17:00:00,10.636,10.646,10.588,10.596,10461,0
2017-09-05,18:00:00,10.578,10.606,10.578,10.588,2394,0
2017-09-05,19:00:00,10.588,10.606,10.572,10.572,7282,0
2017-09-05,20:00:00,10.55,10.55,10.541,10.541,416,0
2017-09-05,21:00:00,10.54,10.55,10.537,10.542,5475,0
2017-09-05,22:00:00,10.55,10.559,10.511,10.511,25549,0
2017-09-06,16:00:00,10.54,10.588,10.519,10.529,6450,0
2017-09-06,17:00:00,10.54,10.559,10.53,10.53,3955,0
2017-09-06,18:00:00,10.538,10.55,10.511,10.52,6914,0
2017-09-06,19:00:00,10.526,10.552,10.518,10.552,3459,0
2017-09-06,20:00:00,10.559,10.588,10.554,10.554,9991,0
2017-09-06,21:00:00,10.55,10.574,10.53,10.574,7143,0
2017-09-06,22:00:00,10.578,10.598,10.54,10.598,8442,0
2017-09-07,16:00:00,10.598,10.636,10.551,10.607,6680,0
2017-09-07,17:00:00,10.598,10.617,10.589,10.605,16653,0
2017-09-07,18:00:00,10.607,10.626,10.588,10.607,6238,0
2017-09-07,19:00:00,10.601,10.607,10.601,10.607,2706,0
2017-09-07,20:00:00,10.599,10.599,10.585,10.588,6349,0
2017-09-07,21:00:00,10.598,10.617,10.588,10.604,14147,0
2017-09-07,22:00:00,10.607,10.617,10.569,10.582,11218,0
2017-09-08,16:00:00,10.578,10.588,10.578,10.588,5430,0
2017-09-08,17:00:00,10.581,10.617,10.578,10.617,6584,0
2017-09-08,18:00:00,10.617,10.617,10.607,10.617,1991,0
2017-09-08,19:00:00,10.617,10.636,10.61,10.619,18334,0
2017-09-08,20:00:00,10.621,10.626,10.607,10.626,9841,0
2017-09-08,22:00:00,10.608,10.626,10.559,10.607,14577,0
2017-09-11,16:00:00,10.713,10.713,10.674,10.674,5879,0
2017-09-11,17:00:00,10.665,10.684,10.665,10.684,1666,0
2017-09-11,18:00:00,10.684,10.684,10.646,10.646,5187,0
2017-09-11,19:00:00,10.655,10.656,10.646,10.656,1795,0
